Date,SPDR S&P China_Open_average,SPDR S&P China_Open_max,SPDR S&P China_Open_volatility,SPDR S&P China_Open_change,SPDR S&P China_High_average,SPDR S&P China_High_max,SPDR S&P China_High_volatility,SPDR S&P China_High_change,SPDR S&P China_Low_average,SPDR S&P China_Low_max,SPDR S&P China_Low_volatility,SPDR S&P China_Low_change,SPDR S&P China_Close_average,SPDR S&P China_Close_max,SPDR S&P China_Close_volatility,SPDR S&P China_Close_change
2016-01-03,65.99,65.99,0.0,0.0,66.06,66.06,0.0,0.0,64.73,64.73,0.0,0.0,65.3,65.3,0.0,0.0
2016-01-10,61.51,61.51,0.0,0.0,63.24,63.24,0.0,0.0,61.0,61.0,0.0,0.0,62.37,62.37,0.0,0.0
2016-01-17,63.36,63.36,0.0,0.0,63.61,63.61,0.0,0.0,62.76,62.76,0.0,0.0,62.78,62.78,0.0,0.0
2016-01-24,63.0,63.0,0.0,0.0,63.38,63.38,0.0,0.0,62.72,62.72,0.0,0.0,63.19,63.19,0.0,0.0
2016-01-31,60.15,60.15,0.0,0.0,60.15,60.15,0.0,0.0,58.89,58.89,0.0,0.0,59.75,59.75,0.0,0.0
2016-02-07,59.02,59.02,0.0,0.0,60.0,60.0,0.0,0.0,58.95,58.95,0.0,0.0,59.93,59.93,0.0,0.0
2016-02-14,64.34,64.34,0.0,0.0,65.14,65.14,0.0,0.0,64.34,64.34,0.0,0.0,64.99,64.99,0.0,0.0
2016-02-21,63.24,63.24,0.0,0.0,63.93,63.93,0.0,0.0,63.11,63.11,0.0,0.0,63.21,63.21,0.0,0.0
2016-02-28,66.76,66.76,0.0,0.0,67.47,67.47,0.0,0.0,66.44,66.44,0.0,0.0,67.11,67.11,0.0,0.0
2016-03-06,67.69,67.69,0.0,0.0,68.07,68.07,0.0,0.0,67.6,67.6,0.0,0.0,67.81,67.81,0.0,0.0
2016-03-13,69.55,69.55,0.0,0.0,70.03,70.03,0.0,0.0,69.44,69.44,0.0,0.0,69.69,69.69,0.0,0.0
2016-03-20,67.97,67.97,0.0,0.0,68.25,68.25,0.0,0.0,67.96,67.96,0.0,0.0,68.24,68.24,0.0,0.0
2016-03-27,69.52,69.52,0.0,0.0,69.8,69.8,0.0,0.0,68.87,68.87,0.0,0.0,69.0,69.0,0.0,0.0
2016-04-03,69.63,69.63,0.0,0.0,70.1,70.1,0.0,0.0,69.27,69.27,0.0,0.0,69.32,69.32,0.0,0.0
2016-04-10,71.34,71.34,0.0,0.0,72.19,72.19,0.0,0.0,71.24,71.24,0.0,0.0,71.97,71.97,0.0,0.0
2016-04-17,70.66,70.66,0.0,0.0,70.66,70.66,0.0,0.0,70.2,70.2,0.0,0.0,70.36,70.36,0.0,0.0
2016-04-24,69.7,69.7,0.0,0.0,69.7,69.7,0.0,0.0,68.78,68.78,0.0,0.0,69.11,69.11,0.0,0.0
2016-05-01,66.67,66.67,0.0,0.0,66.75,66.75,0.0,0.0,65.89,65.89,0.0,0.0,65.93,65.93,0.0,0.0
2016-05-08,65.72,65.72,0.0,0.0,66.67,66.67,0.0,0.0,65.72,65.72,0.0,0.0,66.45,66.45,0.0,0.0
2016-05-15,65.73,65.73,0.0,0.0,66.15,66.15,0.0,0.0,65.64,65.64,0.0,0.0,65.65,65.65,0.0,0.0
2016-05-22,68.12,68.12,0.0,0.0,68.37,68.37,0.0,0.0,67.81,67.81,0.0,0.0,68.22,68.22,0.0,0.0
2016-05-29,69.44,69.44,0.0,0.0,70.26,70.26,0.0,0.0,69.44,69.44,0.0,0.0,70.06,70.06,0.0,0.0
2016-06-05,67.09,67.09,0.0,0.0,67.73,67.73,0.0,0.0,66.94,66.94,0.0,0.0,67.03,67.03,0.0,0.0
2016-06-12,67.64,67.64,0.0,0.0,68.19,68.19,0.0,0.0,67.63,67.63,0.0,0.0,67.73,67.73,0.0,0.0
2016-06-19,66.65,66.65,0.0,0.0,66.65,66.65,0.0,0.0,65.34,65.34,0.0,0.0,66.06,66.06,0.0,0.0
2016-06-26,70.16,70.16,0.0,0.0,70.94,70.94,0.0,0.0,70.12,70.12,0.0,0.0,70.3,70.3,0.0,0.0
2016-07-03,70.12,70.12,0.0,0.0,70.92,70.92,0.0,0.0,70.12,70.12,0.0,0.0,70.67,70.67,0.0,0.0
2016-07-10,71.61,71.61,0.0,0.0,72.45,72.45,0.0,0.0,71.61,71.61,0.0,0.0,72.43,72.43,0.0,0.0
2016-07-17,72.57,72.57,0.0,0.0,72.57,72.57,0.0,0.0,71.98,71.98,0.0,0.0,72.09,72.09,0.0,0.0
2016-07-24,72.28,72.28,0.0,0.0,72.41,72.41,0.0,0.0,71.95,71.95,0.0,0.0,72.11,72.11,0.0,0.0
2016-07-31,73.73,73.73,0.0,0.0,73.86,73.86,0.0,0.0,73.61,73.61,0.0,0.0,73.65,73.65,0.0,0.0
2016-08-07,76.99,76.99,0.0,0.0,77.54,77.54,0.0,0.0,76.99,76.99,0.0,0.0,77.45,77.45,0.0,0.0
2016-08-14,77.4,77.4,0.0,0.0,77.4,77.4,0.0,0.0,76.75,76.75,0.0,0.0,77.05,77.05,0.0,0.0
2016-08-21,76.7,76.7,0.0,0.0,77.15,77.15,0.0,0.0,76.69,76.69,0.0,0.0,77.0,77.0,0.0,0.0
2016-08-28,78.3,78.3,0.0,0.0,78.95,78.95,0.0,0.0,78.3,78.3,0.0,0.0,78.66,78.66,0.0,0.0
2016-09-04,77.84,77.84,0.0,0.0,79.6,79.6,0.0,0.0,77.75,77.75,0.0,0.0,79.52,79.52,0.0,0.0
2016-09-11,79.56,79.56,0.0,0.0,79.94,79.94,0.0,0.0,79.21,79.21,0.0,0.0,79.21,79.21,0.0,0.0
2016-09-18,79.61,79.61,0.0,0.0,79.61,79.61,0.0,0.0,79.0,79.0,0.0,0.0,79.08,79.08,0.0,0.0
2016-09-25,79.69,79.69,0.0,0.0,80.17,80.17,0.0,0.0,79.52,79.52,0.0,0.0,80.05,80.05,0.0,0.0
2016-10-02,81.03,81.03,0.0,0.0,82.0,82.0,0.0,0.0,81.03,81.03,0.0,0.0,81.74,81.74,0.0,0.0
2016-10-09,78.37,78.37,0.0,0.0,78.6,78.6,0.0,0.0,78.29,78.29,0.0,0.0,78.36,78.36,0.0,0.0
2016-10-16,80.05,80.05,0.0,0.0,80.17,80.17,0.0,0.0,79.74,79.74,0.0,0.0,79.91,79.91,0.0,0.0
2016-10-23,77.61,77.61,0.0,0.0,77.67,77.67,0.0,0.0,77.25,77.25,0.0,0.0,77.25,77.25,0.0,0.0
2016-10-30,77.22,77.22,0.0,0.0,77.98,77.98,0.0,0.0,77.22,77.22,0.0,0.0,77.7,77.7,0.0,0.0
2016-11-06,74.12,74.12,0.0,0.0,74.21,74.21,0.0,0.0,73.25,73.25,0.0,0.0,73.61,73.61,0.0,0.0
2016-11-13,75.21,75.21,0.0,0.0,75.49,75.49,0.0,0.0,75.11,75.11,0.0,0.0,75.24,75.24,0.0,0.0
2016-11-20,76.78,76.78,0.0,0.0,77.07,77.07,0.0,0.0,76.54,76.54,0.0,0.0,76.59,76.59,0.0,0.0
2016-11-27,75.77,75.77,0.0,0.0,76.09,76.09,0.0,0.0,75.64,75.64,0.0,0.0,75.82,75.82,0.0,0.0
2016-12-04,75.02,75.02,0.0,0.0,75.1,75.1,0.0,0.0,74.48,74.48,0.0,0.0,74.72,74.72,0.0,0.0
2016-12-11,71.54,71.54,0.0,0.0,71.76,71.76,0.0,0.0,71.39,71.39,0.0,0.0,71.44,71.44,0.0,0.0
2016-12-18,70.33,70.33,0.0,0.0,70.71,70.71,0.0,0.0,70.33,70.33,0.0,0.0,70.54,70.54,0.0,0.0
2016-12-25,72.39,72.39,0.0,0.0,72.6,72.6,0.0,0.0,71.85,71.85,0.0,0.0,72.05,72.05,0.0,0.0
2017-01-01,74.5,74.5,0.0,0.0,74.84,74.84,0.0,0.0,74.43,74.43,0.0,0.0,74.7,74.7,0.0,0.0
2017-01-08,75.84,75.84,0.0,0.0,76.18,76.18,0.0,0.0,75.84,75.84,0.0,0.0,76.02,76.02,0.0,0.0
2017-01-15,76.13,76.13,0.0,0.0,76.5,76.5,0.0,0.0,76.05,76.05,0.0,0.0,76.47,76.47,0.0,0.0
2017-01-22,76.97,76.97,0.0,0.0,77.14,77.14,0.0,0.0,76.72,76.72,0.0,0.0,77.09,77.09,0.0,0.0
2017-01-29,77.57,77.57,0.0,0.0,77.8,77.8,0.0,0.0,77.51,77.51,0.0,0.0,77.57,77.57,0.0,0.0
2017-02-05,80.18,80.18,0.0,0.0,80.58,80.58,0.0,0.0,80.0,80.0,0.0,0.0,80.25,80.25,0.0,0.0
2017-02-12,80.21,80.21,0.0,0.0,80.65,80.65,0.0,0.0,80.19,80.19,0.0,0.0,80.65,80.65,0.0,0.0
2017-02-19,80.44,80.44,0.0,0.0,80.63,80.63,0.0,0.0,80.23,80.23,0.0,0.0,80.61,80.61,0.0,0.0
2017-02-26,80.07,80.07,0.0,0.0,80.17,80.17,0.0,0.0,79.83,79.83,0.0,0.0,80.01,80.01,0.0,0.0
2017-03-05,81.19,81.19,0.0,0.0,81.54,81.54,0.0,0.0,81.19,81.19,0.0,0.0,81.43,81.43,0.0,0.0
2017-03-12,83.51,83.51,0.0,0.0,83.94,83.94,0.0,0.0,83.5,83.5,0.0,0.0,83.85,83.85,0.0,0.0
2017-03-19,82.22,82.22,0.0,0.0,82.92,82.92,0.0,0.0,82.02,82.02,0.0,0.0,82.78,82.78,0.0,0.0
2017-03-26,82.58,82.58,0.0,0.0,82.93,82.93,0.0,0.0,82.26,82.26,0.0,0.0,82.91,82.91,0.0,0.0
