Date,GBX_Open_average,GBX_Open_max,GBX_Open_min,GBX_Open_volatility,GBX_Open_change,GBX_High_average,GBX_High_max,GBX_High_min,GBX_High_volatility,GBX_High_change,GBX_Low_average,GBX_Low_max,GBX_Low_min,GBX_Low_volatility,GBX_Low_change,GBX_Close_average,GBX_Close_max,GBX_Close_min,GBX_Close_volatility,GBX_Close_change,GBX_Volume_average,GBX_Volume_max,GBX_Volume_min,GBX_Volume_volatility,GBX_Volume_change
2018-01-14,51.6875,51.8,51.5,0.29999999999999716,-0.29999999999999716,52.2625,52.6,51.8,0.8000000000000043,0.0,51.0375,51.5,50.65,0.8500000000000014,0.8500000000000014,51.8125,52.35,51.3,1.0500000000000043,1.0500000000000043,339557,401559,258412,143147,-44321
2018-01-21,52.22,52.55,51.8,0.75,-0.3999999999999986,52.73,53.1,52.4,0.7000000000000028,0.05000000000000426,51.72,52.05,51.3,0.75,-0.3499999999999943,52.22,52.7,51.7,1.0,0.20000000000000284,346456,478888,234557,244331,105131
2018-01-28,50.8,52.25,49.9,2.3500000000000014,-2.3500000000000014,51.28,52.55,50.05,2.5,-2.5,49.934,51.17,48.55,2.6200000000000045,-2.6200000000000045,50.31,51.65,49.0,2.6499999999999986,-2.6499999999999986,405447,566033,305787,260246,212930
2018-02-04,47.370000000000005,48.4,46.6,1.7999999999999972,-1.7999999999999972,48.11,49.75,46.8,2.950000000000003,-2.950000000000003,46.31,47.5,44.75,2.75,-2.75,47.08,47.75,46.1,1.6499999999999986,-1.1499999999999986,454025,579254,304909,274345,-34202
2018-02-11,48.68,51.05,46.7,4.349999999999994,4.349999999999994,49.96,52.2,47.85,4.350000000000001,4.350000000000001,48.3,51.05,46.05,5.0,5.0,49.68,51.6,47.55,4.050000000000004,4.050000000000004,375768,533887,261921,271966,271966
2018-02-18,52.4125,53.1,51.2,1.8999999999999986,1.8999999999999986,53.4875,54.15,52.8,1.3500000000000014,0.8000000000000043,52.0625,52.7,51.1,1.6000000000000014,1.6000000000000014,52.8375,53.3,52.15,1.1499999999999986,1.1499999999999986,413009,487314,360000,127314,-66382
2018-02-25,52.3,53.5,50.75,2.75,-2.75,52.69,53.5,51.15,2.3500000000000014,-2.3500000000000014,51.29,52.8,48.45,4.349999999999994,-4.349999999999994,51.85,53.0,50.9,2.1000000000000014,-2.1000000000000014,507597,632420,358593,273827,179592
2018-03-04,50.580000000000005,50.95,49.7,1.25,0.3500000000000014,51.29,52.3,50.6,1.6999999999999957,1.0,49.958,50.84,49.25,1.5900000000000034,0.8900000000000006,50.82,51.85,50.15,1.7000000000000028,1.0,334360,384854,258509,126345,-25717
2018-03-11,51.46,52.0,50.05,1.9500000000000028,-1.8000000000000043,51.95,52.6,51.45,1.1499999999999986,-0.3999999999999986,50.74,51.55,49.85,1.6999999999999957,-1.25,51.23,51.65,49.95,1.6999999999999957,-0.05000000000000426,308186,448033,194211,253822,244492
2018-03-18,50.82,51.5,50.1,1.3999999999999986,-1.3999999999999986,51.38,51.9,50.6,1.2999999999999972,-0.8999999999999986,50.078,50.89,49.5,1.3900000000000006,-0.10000000000000142,50.54,51.3,49.5,1.7999999999999972,-1.7999999999999972,393263,528696,298565,230131,-41870
