Date,Vanguard Dividend Appreciation_Open_average,Vanguard Dividend Appreciation_Open_max,Vanguard Dividend Appreciation_Open_min,Vanguard Dividend Appreciation_Open_volatility,Vanguard Dividend Appreciation_Open_change,Vanguard Dividend Appreciation_High_average,Vanguard Dividend Appreciation_High_max,Vanguard Dividend Appreciation_High_min,Vanguard Dividend Appreciation_High_volatility,Vanguard Dividend Appreciation_High_change,Vanguard Dividend Appreciation_Low_average,Vanguard Dividend Appreciation_Low_max,Vanguard Dividend Appreciation_Low_min,Vanguard Dividend Appreciation_Low_volatility,Vanguard Dividend Appreciation_Low_change,Vanguard Dividend Appreciation_Close_average,Vanguard Dividend Appreciation_Close_max,Vanguard Dividend Appreciation_Close_min,Vanguard Dividend Appreciation_Close_volatility,Vanguard Dividend Appreciation_Close_change
2018-01-14,106.75,106.75,106.75,0.0,0.0,107.25,107.25,107.25,0.0,0.0,106.56,106.56,106.56,0.0,0.0,107.25,107.25,107.25,0.0,0.0
2018-01-21,108.73,108.73,108.73,0.0,0.0,108.99,108.99,108.99,0.0,0.0,108.26,108.26,108.26,0.0,0.0,108.3,108.3,108.3,0.0,0.0
2018-01-28,104.25,104.25,104.25,0.0,0.0,105.0,105.0,105.0,0.0,0.0,100.28,100.28,100.28,0.0,0.0,100.69,100.69,100.69,0.0,0.0
2018-02-04,100.47,100.47,100.47,0.0,0.0,101.37,101.37,101.37,0.0,0.0,99.62,99.62,99.62,0.0,0.0,100.73,100.73,100.73,0.0,0.0
2018-02-11,103.42,103.42,103.42,0.0,0.0,104.65,104.65,104.65,0.0,0.0,103.42,103.42,103.42,0.0,0.0,103.96,103.96,103.96,0.0,0.0
2018-02-18,104.24,104.24,104.24,0.0,0.0,105.23,105.23,105.23,0.0,0.0,104.13,104.13,104.13,0.0,0.0,105.16,105.16,105.16,0.0,0.0
2018-02-25,101.48,101.48,101.48,0.0,0.0,103.14,103.14,103.14,0.0,0.0,101.29,101.29,101.29,0.0,0.0,102.91,102.91,102.91,0.0,0.0
2018-03-04,105.53,105.53,105.53,0.0,0.0,105.6,105.6,105.6,0.0,0.0,104.83,104.83,104.83,0.0,0.0,105.02,105.02,105.02,0.0,0.0
2018-03-11,103.77,103.77,103.77,0.0,0.0,103.85,103.85,103.85,0.0,0.0,102.18,102.18,102.18,0.0,0.0,102.85,102.85,102.85,0.0,0.0
2018-03-18,99.89,99.89,99.89,0.0,0.0,101.22,101.22,101.22,0.0,0.0,99.41,99.41,99.41,0.0,0.0,101.12,101.12,101.12,0.0,0.0
2018-03-25,100.81,100.81,100.81,0.0,0.0,100.88,100.88,100.88,0.0,0.0,97.75,97.75,97.75,0.0,0.0,98.76,98.76,98.76,0.0,0.0
2018-04-01,100.09,100.09,100.09,0.0,0.0,101.13,101.13,101.13,0.0,0.0,99.59,99.59,99.59,0.0,0.0,99.71,99.71,99.71,0.0,0.0
2018-04-08,101.51,101.51,101.51,0.0,0.0,102.51,102.51,102.51,0.0,0.0,101.42,101.42,101.42,0.0,0.0,102.12,102.12,102.12,0.0,0.0
2018-04-15,101.74,101.74,101.74,0.0,0.0,101.9,101.9,101.9,0.0,0.0,101.16,101.16,101.16,0.0,0.0,101.59,101.59,101.59,0.0,0.0
2018-04-22,101.24,101.24,101.24,0.0,0.0,101.55,101.55,101.55,0.0,0.0,100.11,100.11,100.11,0.0,0.0,100.11,100.11,100.11,0.0,0.0
2018-04-29,100.09,100.09,100.09,0.0,0.0,100.3,100.3,100.3,0.0,0.0,99.66,99.66,99.66,0.0,0.0,99.92,99.92,99.92,0.0,0.0
2018-05-06,102.05,102.05,102.05,0.0,0.0,102.17,102.17,102.17,0.0,0.0,101.64,101.64,101.64,0.0,0.0,101.84,101.84,101.84,0.0,0.0
2018-05-13,102.4,102.4,102.4,0.0,0.0,102.99,102.99,102.99,0.0,0.0,102.4,102.4,102.4,0.0,0.0,102.76,102.76,102.76,0.0,0.0
2018-05-20,102.74,102.74,102.74,0.0,0.0,103.06,103.06,103.06,0.0,0.0,102.46,102.46,102.46,0.0,0.0,102.68,102.68,102.68,0.0,0.0
2018-05-27,103.2,103.2,103.2,0.0,0.0,103.51,103.51,103.51,0.0,0.0,103.14,103.14,103.14,0.0,0.0,103.43,103.43,103.43,0.0,0.0
2018-06-03,104.88,104.88,104.88,0.0,0.0,105.01,105.01,105.01,0.0,0.0,104.67,104.67,104.67,0.0,0.0,104.74,104.74,104.74,0.0,0.0
2018-06-10,104.2,104.2,104.2,0.0,0.0,104.3,104.3,104.3,0.0,0.0,103.81,103.81,103.81,0.0,0.0,104.28,104.28,104.28,0.0,0.0
2018-06-17,103.1,103.1,103.1,0.0,0.0,103.14,103.14,103.14,0.0,0.0,102.05,102.05,102.05,0.0,0.0,102.67,102.67,102.67,0.0,0.0
2018-06-24,101.0,101.0,101.0,0.0,0.0,101.78,101.78,101.78,0.0,0.0,100.81,100.81,100.81,0.0,0.0,101.7,101.7,101.7,0.0,0.0
2018-07-01,103.09,103.09,103.09,0.0,0.0,103.77,103.77,103.77,0.0,0.0,103.0,103.0,103.0,0.0,0.0,103.63,103.63,103.63,0.0,0.0
2018-07-08,104.66,104.66,104.66,0.0,0.0,104.67,104.67,104.67,0.0,0.0,104.02,104.02,104.02,0.0,0.0,104.15,104.15,104.15,0.0,0.0
2018-07-15,105.04,105.04,105.04,0.0,0.0,105.12,105.12,105.12,0.0,0.0,104.78,104.78,104.78,0.0,0.0,105.03,105.03,105.03,0.0,0.0
