Date,Vanguard Total Stock Market_Open_average,Vanguard Total Stock Market_Open_max,Vanguard Total Stock Market_Open_min,Vanguard Total Stock Market_Open_volatility,Vanguard Total Stock Market_Open_change,Vanguard Total Stock Market_High_average,Vanguard Total Stock Market_High_max,Vanguard Total Stock Market_High_min,Vanguard Total Stock Market_High_volatility,Vanguard Total Stock Market_High_change,Vanguard Total Stock Market_Low_average,Vanguard Total Stock Market_Low_max,Vanguard Total Stock Market_Low_min,Vanguard Total Stock Market_Low_volatility,Vanguard Total Stock Market_Low_change,Vanguard Total Stock Market_Close_average,Vanguard Total Stock Market_Close_max,Vanguard Total Stock Market_Close_min,Vanguard Total Stock Market_Close_volatility,Vanguard Total Stock Market_Close_change
2018-01-14,143.49,143.49,143.49,0.0,0.0,143.93,143.93,143.93,0.0,0.0,143.19,143.19,143.19,0.0,0.0,143.92,143.92,143.92,0.0,0.0
2018-01-21,145.82,145.82,145.82,0.0,0.0,146.87,146.87,146.87,0.0,0.0,145.63,145.63,145.63,0.0,0.0,146.86,146.86,146.86,0.0,0.0
2018-01-28,143.51,143.51,143.51,0.0,0.0,143.68,143.68,143.68,0.0,0.0,141.24,141.24,141.24,0.0,0.0,141.3,141.3,141.3,0.0,0.0
2018-02-04,133.9,133.9,133.9,0.0,0.0,135.21,135.21,135.21,0.0,0.0,129.84,129.84,129.84,0.0,0.0,134.23,134.23,134.23,0.0,0.0
2018-02-11,139.68,139.68,139.68,0.0,0.0,141.23,141.23,141.23,0.0,0.0,139.67,139.67,139.67,0.0,0.0,140.11,140.11,140.11,0.0,0.0
2018-02-18,139.45,139.45,139.45,0.0,0.0,140.86,140.86,140.86,0.0,0.0,139.14,139.14,139.14,0.0,0.0,140.86,140.86,140.86,0.0,0.0
2018-02-25,136.28,136.28,136.28,0.0,0.0,138.51,138.51,138.51,0.0,0.0,135.83,135.83,135.83,0.0,0.0,138.24,138.24,138.24,0.0,0.0
2018-03-04,141.79,141.79,141.79,0.0,0.0,143.3,143.3,143.3,0.0,0.0,141.55,141.55,141.55,0.0,0.0,143.3,143.3,143.3,0.0,0.0
2018-03-11,141.58,141.58,141.58,0.0,0.0,142.19,142.19,142.19,0.0,0.0,141.58,141.58,141.58,0.0,0.0,141.66,141.66,141.66,0.0,0.0
2018-03-18,136.13,136.13,136.13,0.0,0.0,136.65,136.65,136.65,0.0,0.0,133.03,133.03,133.03,0.0,0.0,133.1,133.1,133.1,0.0,0.0
2018-03-25,134.49,134.49,134.49,0.0,0.0,136.59,136.59,136.59,0.0,0.0,134.16,134.16,134.16,0.0,0.0,135.72,135.72,135.72,0.0,0.0
2018-04-01,135.73,135.73,135.73,0.0,0.0,136.54,136.54,136.54,0.0,0.0,132.92,132.92,132.92,0.0,0.0,133.87,133.87,133.87,0.0,0.0
2018-04-08,137.72,137.72,137.72,0.0,0.0,137.75,137.75,137.75,0.0,0.0,136.01,136.01,136.01,0.0,0.0,136.58,136.58,136.58,0.0,0.0
2018-04-15,138.56,138.56,138.56,0.0,0.0,138.67,138.67,138.67,0.0,0.0,137.03,137.03,137.03,0.0,0.0,137.5,137.5,137.5,0.0,0.0
2018-04-22,137.54,137.54,137.54,0.0,0.0,137.74,137.74,137.74,0.0,0.0,136.8,136.8,136.8,0.0,0.0,137.33,137.33,137.33,0.0,0.0
2018-04-29,134.97,134.97,134.97,0.0,0.0,137.56,137.56,137.56,0.0,0.0,134.64,134.64,134.64,0.0,0.0,137.13,137.13,137.13,0.0,0.0
2018-05-06,140.41,140.41,140.41,0.0,0.0,140.87,140.87,140.87,0.0,0.0,140.05,140.05,140.05,0.0,0.0,140.57,140.57,140.57,0.0,0.0
2018-05-13,140.36,140.36,140.36,0.0,0.0,140.51,140.51,140.51,0.0,0.0,139.97,139.97,139.97,0.0,0.0,140.2,140.2,140.2,0.0,0.0
2018-05-20,140.6,140.6,140.6,0.0,0.0,140.91,140.91,140.91,0.0,0.0,140.28,140.28,140.28,0.0,0.0,140.6,140.6,140.6,0.0,0.0
2018-05-27,140.93,140.93,140.93,0.0,0.0,141.65,141.65,141.65,0.0,0.0,140.76,140.76,140.76,0.0,0.0,141.5,141.5,141.5,0.0,0.0
2018-06-03,143.27,143.27,143.27,0.0,0.0,143.94,143.94,143.94,0.0,0.0,143.12,143.12,143.12,0.0,0.0,143.91,143.91,143.91,0.0,0.0
2018-06-10,143.85,143.85,143.85,0.0,0.0,144.33,144.33,144.33,0.0,0.0,143.23,143.23,143.23,0.0,0.0,144.15,144.15,144.15,0.0,0.0
2018-06-17,143.0,143.0,143.0,0.0,0.0,143.08,143.08,143.08,0.0,0.0,142.37,142.37,142.37,0.0,0.0,142.45,142.45,142.45,0.0,0.0
2018-06-24,140.9,140.9,140.9,0.0,0.0,141.66,141.66,141.66,0.0,0.0,140.39,140.39,140.39,0.0,0.0,140.43,140.43,140.43,0.0,0.0
2018-07-01,141.66,141.66,141.66,0.0,0.0,143.0,143.0,143.0,0.0,0.0,141.44,141.44,141.44,0.0,0.0,142.79,142.79,142.79,0.0,0.0
2018-07-08,144.53,144.53,144.53,0.0,0.0,144.98,144.98,144.98,0.0,0.0,144.26,144.26,144.26,0.0,0.0,144.7,144.7,144.7,0.0,0.0
2018-07-15,145.0,145.0,145.0,0.0,0.0,145.24,145.24,145.24,0.0,0.0,144.56,144.56,144.56,0.0,0.0,144.84,144.84,144.84,0.0,0.0
2018-07-22,146.6,146.6,146.6,0.0,0.0,146.64,146.64,146.64,0.0,0.0,144.63,144.63,144.63,0.0,0.0,145.22,145.22,145.22,0.0,0.0
2018-07-29,145.89,145.89,145.89,0.0,0.0,146.29,146.29,146.29,0.0,0.0,145.76,145.76,145.76,0.0,0.0,146.27,146.27,146.27,0.0,0.0
2018-08-05,146.35,146.35,146.35,0.0,0.0,146.76,146.76,146.76,0.0,0.0,145.94,145.94,145.94,0.0,0.0,146.25,146.25,146.25,0.0,0.0
2018-08-12,146.45,146.45,146.45,0.0,0.0,147.39,147.39,147.39,0.0,0.0,146.3,146.3,146.3,0.0,0.0,147.17,147.17,147.17,0.0,0.0
2018-08-19,148.15,148.15,148.15,0.0,0.0,148.76,148.76,148.76,0.0,0.0,148.1,148.1,148.1,0.0,0.0,148.68,148.68,148.68,0.0,0.0
2018-08-26,149.81,149.81,149.81,0.0,0.0,150.28,150.28,150.28,0.0,0.0,149.59,149.59,149.59,0.0,0.0,150.07,150.07,150.07,0.0,0.0
2018-09-02,148.37,148.37,148.37,0.0,0.0,149.17,149.17,149.17,0.0,0.0,148.13,148.13,148.13,0.0,0.0,148.58,148.58,148.58,0.0,0.0
2018-09-09,150.28,150.28,150.28,0.0,0.0,150.48,150.48,150.48,0.0,0.0,149.79,149.79,149.79,0.0,0.0,150.28,150.28,150.28,0.0,0.0
2018-09-16,151.82,151.82,151.82,0.0,0.0,151.84,151.84,151.84,0.0,0.0,151.05,151.05,151.05,0.0,0.0,151.16,151.16,151.16,0.0,0.0
2018-09-23,149.28,149.28,149.28,0.0,0.0,149.99,149.99,149.99,0.0,0.0,149.23,149.23,149.23,0.0,0.0,149.65,149.65,149.65,0.0,0.0
2018-09-30,148.62,148.62,148.62,0.0,0.0,148.95,148.95,148.95,0.0,0.0,146.73,146.73,146.73,0.0,0.0,147.63,147.63,147.63,0.0,0.0
2018-10-07,142.0,142.0,142.0,0.0,0.0,142.32,142.32,142.32,0.0,0.0,139.49,139.49,139.49,0.0,0.0,141.37,141.37,141.37,0.0,0.0
2018-10-14,142.14,142.14,142.14,0.0,0.0,143.07,143.07,143.07,0.0,0.0,141.01,141.01,141.01,0.0,0.0,141.35,141.35,141.35,0.0,0.0
2018-10-21,136.12,136.12,136.12,0.0,0.0,137.53,137.53,137.53,0.0,0.0,134.17,134.17,134.17,0.0,0.0,135.77,135.77,135.77,0.0,0.0
