Date,VelocityShares 3x Inverse Gold linked to S&P GSCIEtf_Open_average,VelocityShares 3x Inverse Gold linked to S&P GSCIEtf_Open_max,VelocityShares 3x Inverse Gold linked to S&P GSCIEtf_Open_min,VelocityShares 3x Inverse Gold linked to S&P GSCIEtf_Open_volatility,VelocityShares 3x Inverse Gold linked to S&P GSCIEtf_Open_change,VelocityShares 3x Inverse Gold linked to S&P GSCIEtf_High_average,VelocityShares 3x Inverse Gold linked to S&P GSCIEtf_High_max,VelocityShares 3x Inverse Gold linked to S&P GSCIEtf_High_min,VelocityShares 3x Inverse Gold linked to S&P GSCIEtf_High_volatility,VelocityShares 3x Inverse Gold linked to S&P GSCIEtf_High_change,VelocityShares 3x Inverse Gold linked to S&P GSCIEtf_Low_average,VelocityShares 3x Inverse Gold linked to S&P GSCIEtf_Low_max,VelocityShares 3x Inverse Gold linked to S&P GSCIEtf_Low_min,VelocityShares 3x Inverse Gold linked to S&P GSCIEtf_Low_volatility,VelocityShares 3x Inverse Gold linked to S&P GSCIEtf_Low_change,VelocityShares 3x Inverse Gold linked to S&P GSCIEtf_Close_average,VelocityShares 3x Inverse Gold linked to S&P GSCIEtf_Close_max,VelocityShares 3x Inverse Gold linked to S&P GSCIEtf_Close_min,VelocityShares 3x Inverse Gold linked to S&P GSCIEtf_Close_volatility,VelocityShares 3x Inverse Gold linked to S&P GSCIEtf_Close_change
2018-01-14,40.82,40.82,40.82,0.0,0.0,40.98,40.98,40.98,0.0,0.0,40.67,40.67,40.67,0.0,0.0,40.98,40.98,40.98,0.0,0.0
2018-01-21,39.26,39.26,39.26,0.0,0.0,39.46,39.46,39.46,0.0,0.0,38.99,38.99,38.99,0.0,0.0,39.39,39.39,39.39,0.0,0.0
2018-01-28,40.64,40.64,40.64,0.0,0.0,41.43,41.43,41.43,0.0,0.0,40.59,40.59,40.59,0.0,0.0,41.06,41.06,41.06,0.0,0.0
2018-02-04,42.82,42.82,42.82,0.0,0.0,43.04,43.04,43.04,0.0,0.0,42.3,42.3,42.3,0.0,0.0,42.7,42.7,42.7,0.0,0.0
2018-02-11,39.06,39.06,39.06,0.0,0.0,39.69,39.69,39.69,0.0,0.0,38.72,38.72,38.72,0.0,0.0,39.38,39.38,39.38,0.0,0.0
2018-02-18,41.16,41.16,41.16,0.0,0.0,41.35,41.35,41.35,0.0,0.0,41.01,41.01,41.01,0.0,0.0,41.14,41.14,41.14,0.0,0.0
2018-02-25,41.47,41.47,41.47,0.0,0.0,42.18,42.18,42.18,0.0,0.0,41.45,41.45,41.45,0.0,0.0,41.78,41.78,41.78,0.0,0.0
2018-03-04,42.36,42.36,42.36,0.0,0.0,42.4,42.4,42.4,0.0,0.0,41.48,41.48,41.48,0.0,0.0,41.64,41.64,41.64,0.0,0.0
2018-03-11,42.36,42.36,42.36,0.0,0.0,43.01,43.01,43.01,0.0,0.0,42.36,42.36,42.36,0.0,0.0,42.63,42.63,42.63,0.0,0.0
2018-03-18,39.35,39.35,39.35,0.0,0.0,39.76,39.76,39.76,0.0,0.0,39.15,39.15,39.15,0.0,0.0,39.55,39.55,39.55,0.0,0.0
