Date,ACLS_stock_Open_average,ACLS_stock_Open_max,ACLS_stock_Open_min,ACLS_stock_Open_volatility,ACLS_stock_Open_change,ACLS_stock_High_average,ACLS_stock_High_max,ACLS_stock_High_min,ACLS_stock_High_volatility,ACLS_stock_High_change,ACLS_stock_Low_average,ACLS_stock_Low_max,ACLS_stock_Low_min,ACLS_stock_Low_volatility,ACLS_stock_Low_change,ACLS_stock_Close_average,ACLS_stock_Close_max,ACLS_stock_Close_min,ACLS_stock_Close_volatility,ACLS_stock_Close_change,ACLS_stock_Volume_average,ACLS_stock_Volume_max,ACLS_stock_Volume_min,ACLS_stock_Volume_volatility,ACLS_stock_Volume_change
2018-01-14,28.0875,30.6,25.45,5.150000000000002,-3.900000000000002,28.6625,31.0,26.2,4.800000000000001,-4.300000000000001,26.525,29.3,24.95,4.350000000000001,-4.25,27.130000000000003,30.3,25.3,5.0,-4.300000000000001,1092061,1666382,491039,1175343,365476
2018-01-21,26.98,28.15,25.95,2.1999999999999993,0.75,27.51,28.2,26.1,2.099999999999998,1.1999999999999993,26.254,26.67,25.55,1.120000000000001,0.9499999999999993,26.94,28.1,26.0,2.1000000000000014,1.1999999999999993,592364,884957,355012,529945,-87836
2018-01-28,26.13,27.15,25.6,1.5499999999999972,-1.1999999999999993,26.63,27.2,25.95,1.25,-1.25,25.538,25.9,24.7,1.1999999999999993,-1.1999999999999993,26.04,26.35,25.6,0.75,-0.6499999999999986,372959,410454,341818,68636,52708
2018-02-04,24.06,25.4,22.85,2.549999999999997,-2.25,24.81,26.5,23.2,3.3000000000000007,-2.4499999999999993,22.919999999999998,23.85,21.9,1.9500000000000028,-1.9500000000000028,23.51,24.3,22.45,1.8500000000000014,-0.8000000000000007,754551,880297,611137,269160,181476
2018-02-11,23.86,24.65,23.25,1.3999999999999986,1.0999999999999979,24.36,24.9,23.6,1.2999999999999972,0.8500000000000014,23.349999999999998,24.4,22.65,1.75,1.75,24.11,24.7,23.35,1.3499999999999979,1.0500000000000007,353080,447352,287250,160102,-160102
2018-02-18,24.8875,25.2,24.4,0.8000000000000007,0.40000000000000213,25.45,25.7,25.15,0.5500000000000007,-0.3000000000000007,24.5125,24.95,24.15,0.8000000000000007,0.6500000000000021,24.9375,25.2,24.45,0.75,0.14999999999999858,287574,364692,205534,159158,19796
2018-02-25,24.83,25.6,24.0,1.6000000000000014,-1.25,25.29,25.75,24.88,0.870000000000001,-0.870000000000001,24.38,25.19,23.65,1.5400000000000027,-1.5400000000000027,24.79,25.55,24.4,1.1500000000000021,-0.8000000000000007,299993,369452,263140,106312,-23340
2018-03-04,25.28,25.95,24.6,1.3499999999999979,1.3499999999999979,26.046,27.0,24.95,2.0500000000000007,2.0500000000000007,25.06,25.95,24.15,1.8000000000000007,1.8000000000000007,25.66,26.85,24.65,2.200000000000003,2.200000000000003,420073,586990,312862,274128,274128
2018-03-11,26.88,27.5,26.35,1.1499999999999986,-0.8500000000000014,27.316,27.6,27.05,0.5500000000000007,-0.22000000000000242,26.27,26.4,26.1,0.29999999999999716,0.0,26.7,27.3,26.25,1.0500000000000007,0.5,619370,796553,538100,258453,-48376
2018-03-18,27.06,27.45,26.5,0.9499999999999993,-0.5,27.560000000000002,28.35,27.05,1.3000000000000007,0.0,26.43,27.25,25.8,1.4499999999999993,-0.09999999999999787,26.89,27.95,25.8,2.1499999999999986,-1.1499999999999986,328345,403757,262207,141550,33979
2018-03-25,25.375,26.75,23.8,2.9499999999999993,-2.5,25.9,26.85,24.9,1.9500000000000028,-1.5500000000000007,24.314999999999998,25.65,23.4,2.25,-1.9899999999999984,24.875,26.65,23.6,3.049999999999997,-2.049999999999997,424688,610551,247200,363351,363351
