Date,Vanguard High Dividend Yield_etf_Open_average,Vanguard High Dividend Yield_etf_Open_max,Vanguard High Dividend Yield_etf_Open_min,Vanguard High Dividend Yield_etf_Open_volatility,Vanguard High Dividend Yield_etf_Open_change,Vanguard High Dividend Yield_etf_High_average,Vanguard High Dividend Yield_etf_High_max,Vanguard High Dividend Yield_etf_High_min,Vanguard High Dividend Yield_etf_High_volatility,Vanguard High Dividend Yield_etf_High_change,Vanguard High Dividend Yield_etf_Low_average,Vanguard High Dividend Yield_etf_Low_max,Vanguard High Dividend Yield_etf_Low_min,Vanguard High Dividend Yield_etf_Low_volatility,Vanguard High Dividend Yield_etf_Low_change,Vanguard High Dividend Yield_etf_Close_average,Vanguard High Dividend Yield_etf_Close_max,Vanguard High Dividend Yield_etf_Close_min,Vanguard High Dividend Yield_etf_Close_volatility,Vanguard High Dividend Yield_etf_Close_change
2018-01-14,88.8,88.8,88.8,0.0,0.0,88.89,88.89,88.89,0.0,0.0,88.55,88.55,88.55,0.0,0.0,88.88,88.88,88.88,0.0,0.0
2018-01-21,89.97,89.97,89.97,0.0,0.0,90.93,90.93,90.93,0.0,0.0,89.96,89.96,89.96,0.0,0.0,90.91,90.91,90.91,0.0,0.0
2018-01-28,88.48,88.48,88.48,0.0,0.0,88.56,88.56,88.56,0.0,0.0,87.15,87.15,87.15,0.0,0.0,87.18,87.18,87.18,0.0,0.0
2018-02-04,82.54,82.54,82.54,0.0,0.0,83.48,83.48,83.48,0.0,0.0,80.32,80.32,80.32,0.0,0.0,82.92,82.92,82.92,0.0,0.0
2018-02-11,85.8,85.8,85.8,0.0,0.0,86.79,86.79,86.79,0.0,0.0,85.78,85.78,85.78,0.0,0.0,86.08,86.08,86.08,0.0,0.0
2018-02-18,85.18,85.18,85.18,0.0,0.0,86.12,86.12,86.12,0.0,0.0,85.01,85.01,85.01,0.0,0.0,86.12,86.12,86.12,0.0,0.0
2018-02-25,83.44,83.44,83.44,0.0,0.0,84.54,84.54,84.54,0.0,0.0,83.15,83.15,83.15,0.0,0.0,84.33,84.33,84.33,0.0,0.0
2018-03-04,86.12,86.12,86.12,0.0,0.0,86.9,86.9,86.9,0.0,0.0,85.86,85.86,85.86,0.0,0.0,86.89,86.89,86.89,0.0,0.0
2018-03-11,85.59,85.59,85.59,0.0,0.0,86.07,86.07,86.07,0.0,0.0,85.59,85.59,85.59,0.0,0.0,85.75,85.75,85.75,0.0,0.0
2018-03-18,82.71,82.71,82.71,0.0,0.0,83.0,83.0,83.0,0.0,0.0,80.86,80.86,80.86,0.0,0.0,80.94,80.94,80.94,0.0,0.0
2018-03-25,81.95,81.95,81.95,0.0,0.0,82.85,82.85,82.85,0.0,0.0,81.76,81.76,81.76,0.0,0.0,82.49,82.49,82.49,0.0,0.0
2018-04-01,82.61,82.61,82.61,0.0,0.0,83.13,83.13,83.13,0.0,0.0,81.0,81.0,81.0,0.0,0.0,81.58,81.58,81.58,0.0,0.0
2018-04-08,83.8,83.8,83.8,0.0,0.0,83.85,83.85,83.85,0.0,0.0,82.85,82.85,82.85,0.0,0.0,83.18,83.18,83.18,0.0,0.0
2018-04-15,83.75,83.75,83.75,0.0,0.0,83.83,83.83,83.83,0.0,0.0,82.82,82.82,82.82,0.0,0.0,83.13,83.13,83.13,0.0,0.0
2018-04-22,83.42,83.42,83.42,0.0,0.0,83.6,83.6,83.6,0.0,0.0,83.1,83.1,83.1,0.0,0.0,83.41,83.41,83.41,0.0,0.0
2018-04-29,81.3,81.3,81.3,0.0,0.0,82.78,82.78,82.78,0.0,0.0,81.12,81.12,81.12,0.0,0.0,82.51,82.51,82.51,0.0,0.0
2018-05-06,84.13,84.13,84.13,0.0,0.0,84.43,84.43,84.43,0.0,0.0,84.03,84.03,84.03,0.0,0.0,84.28,84.28,84.28,0.0,0.0
2018-05-13,84.26,84.26,84.26,0.0,0.0,84.33,84.33,84.33,0.0,0.0,84.02,84.02,84.02,0.0,0.0,84.1,84.1,84.1,0.0,0.0
2018-05-20,84.33,84.33,84.33,0.0,0.0,84.39,84.39,84.39,0.0,0.0,83.98,83.98,83.98,0.0,0.0,84.23,84.23,84.23,0.0,0.0
2018-05-27,84.35,84.35,84.35,0.0,0.0,84.75,84.75,84.75,0.0,0.0,84.35,84.35,84.35,0.0,0.0,84.63,84.63,84.63,0.0,0.0
