Date,USAA Core Intermediate-Term Bond_Open_average,USAA Core Intermediate-Term Bond_Open_max,USAA Core Intermediate-Term Bond_Open_min,USAA Core Intermediate-Term Bond_Open_volatility,USAA Core Intermediate-Term Bond_Open_change,USAA Core Intermediate-Term Bond_High_average,USAA Core Intermediate-Term Bond_High_max,USAA Core Intermediate-Term Bond_High_min,USAA Core Intermediate-Term Bond_High_volatility,USAA Core Intermediate-Term Bond_High_change,USAA Core Intermediate-Term Bond_Low_average,USAA Core Intermediate-Term Bond_Low_max,USAA Core Intermediate-Term Bond_Low_min,USAA Core Intermediate-Term Bond_Low_volatility,USAA Core Intermediate-Term Bond_Low_change,USAA Core Intermediate-Term Bond_Close_average,USAA Core Intermediate-Term Bond_Close_max,USAA Core Intermediate-Term Bond_Close_min,USAA Core Intermediate-Term Bond_Close_volatility,USAA Core Intermediate-Term Bond_Close_change
2018-01-14,49.59,49.59,49.59,0.0,0.0,49.63,49.63,49.63,0.0,0.0,49.56,49.56,49.56,0.0,0.0,49.57,49.57,49.57,0.0,0.0
2018-01-21,49.52,49.52,49.52,0.0,0.0,49.57,49.57,49.57,0.0,0.0,49.49,49.49,49.49,0.0,0.0,49.56,49.56,49.56,0.0,0.0
2018-01-28,49.12,49.12,49.12,0.0,0.0,49.34,49.34,49.34,0.0,0.0,49.12,49.12,49.12,0.0,0.0,49.34,49.34,49.34,0.0,0.0
2018-02-04,49.01,49.01,49.01,0.0,0.0,49.02,49.02,49.02,0.0,0.0,48.91,48.91,48.91,0.0,0.0,49.01,49.01,49.01,0.0,0.0
2018-02-11,48.94,48.94,48.94,0.0,0.0,49.05,49.05,49.05,0.0,0.0,48.94,48.94,48.94,0.0,0.0,49.02,49.02,49.02,0.0,0.0
2018-02-18,49.05,49.05,49.05,0.0,0.0,49.08,49.08,49.08,0.0,0.0,48.99,48.99,48.99,0.0,0.0,49.01,49.01,49.01,0.0,0.0
2018-02-25,48.9,48.9,48.9,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.9,48.9,48.9,0.0,0.0,48.9,48.9,48.9,0.0,0.0
2018-03-04,48.85,48.85,48.85,0.0,0.0,48.89,48.89,48.89,0.0,0.0,48.84,48.84,48.84,0.0,0.0,48.89,48.89,48.89,0.0,0.0
2018-03-11,48.85,48.85,48.85,0.0,0.0,48.87,48.87,48.87,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.86,48.86,48.86,0.0,0.0
2018-03-18,48.73,48.73,48.73,0.0,0.0,48.77,48.77,48.77,0.0,0.0,48.73,48.73,48.73,0.0,0.0,48.76,48.76,48.76,0.0,0.0
2018-03-25,49.03,49.03,49.03,0.0,0.0,49.1,49.1,49.1,0.0,0.0,48.99,48.99,48.99,0.0,0.0,49.07,49.07,49.07,0.0,0.0
2018-04-01,49.03,49.03,49.03,0.0,0.0,49.08,49.08,49.08,0.0,0.0,49.01,49.01,49.01,0.0,0.0,49.08,49.08,49.08,0.0,0.0
2018-04-08,48.95,48.95,48.95,0.0,0.0,49.03,49.03,49.03,0.0,0.0,48.91,48.91,48.91,0.0,0.0,49.02,49.02,49.02,0.0,0.0
2018-04-15,48.52,48.52,48.52,0.0,0.0,48.52,48.52,48.52,0.0,0.0,48.46,48.46,48.46,0.0,0.0,48.49,48.49,48.49,0.0,0.0
2018-04-22,48.44,48.44,48.44,0.0,0.0,48.54,48.54,48.54,0.0,0.0,48.42,48.42,48.42,0.0,0.0,48.51,48.51,48.51,0.0,0.0
2018-04-29,48.46,48.46,48.46,0.0,0.0,48.5,48.5,48.5,0.0,0.0,48.43,48.43,48.43,0.0,0.0,48.49,48.49,48.49,0.0,0.0
2018-05-06,48.45,48.45,48.45,0.0,0.0,48.46,48.46,48.46,0.0,0.0,48.43,48.43,48.43,0.0,0.0,48.43,48.43,48.43,0.0,0.0
2018-05-13,48.2,48.2,48.2,0.0,0.0,48.25,48.25,48.25,0.0,0.0,48.19,48.19,48.19,0.0,0.0,48.25,48.25,48.25,0.0,0.0
2018-05-20,48.46,48.46,48.46,0.0,0.0,48.5,48.5,48.5,0.0,0.0,48.43,48.43,48.43,0.0,0.0,48.5,48.5,48.5,0.0,0.0
