Date,ARK Israeli Innovation HedgedEtf_Open_average,ARK Israeli Innovation HedgedEtf_Open_max,ARK Israeli Innovation HedgedEtf_Open_min,ARK Israeli Innovation HedgedEtf_Open_volatility,ARK Israeli Innovation HedgedEtf_Open_change,ARK Israeli Innovation HedgedEtf_High_average,ARK Israeli Innovation HedgedEtf_High_max,ARK Israeli Innovation HedgedEtf_High_min,ARK Israeli Innovation HedgedEtf_High_volatility,ARK Israeli Innovation HedgedEtf_High_change,ARK Israeli Innovation HedgedEtf_Low_average,ARK Israeli Innovation HedgedEtf_Low_max,ARK Israeli Innovation HedgedEtf_Low_min,ARK Israeli Innovation HedgedEtf_Low_volatility,ARK Israeli Innovation HedgedEtf_Low_change,ARK Israeli Innovation HedgedEtf_Close_average,ARK Israeli Innovation HedgedEtf_Close_max,ARK Israeli Innovation HedgedEtf_Close_min,ARK Israeli Innovation HedgedEtf_Close_volatility,ARK Israeli Innovation HedgedEtf_Close_change
2018-01-14,21.37,21.37,21.37,0.0,0.0,21.41,21.41,21.41,0.0,0.0,21.25,21.25,21.25,0.0,0.0,21.38,21.38,21.38,0.0,0.0
2018-01-21,21.66,21.66,21.66,0.0,0.0,21.8,21.8,21.8,0.0,0.0,21.65,21.65,21.65,0.0,0.0,21.65,21.65,21.65,0.0,0.0
2018-01-28,20.92,20.92,20.92,0.0,0.0,20.92,20.92,20.92,0.0,0.0,20.45,20.45,20.45,0.0,0.0,20.5,20.5,20.5,0.0,0.0
2018-02-04,19.71,19.71,19.71,0.0,0.0,19.77,19.77,19.77,0.0,0.0,19.25,19.25,19.25,0.0,0.0,19.65,19.65,19.65,0.0,0.0
2018-02-11,21.48,21.48,21.48,0.0,0.0,21.48,21.48,21.48,0.0,0.0,20.8,20.8,20.8,0.0,0.0,20.82,20.82,20.82,0.0,0.0
2018-02-18,21.0,21.0,21.0,0.0,0.0,21.1,21.1,21.1,0.0,0.0,20.85,20.85,20.85,0.0,0.0,21.06,21.06,21.06,0.0,0.0
2018-02-25,20.64,20.64,20.64,0.0,0.0,21.1,21.1,21.1,0.0,0.0,20.64,20.64,20.64,0.0,0.0,21.09,21.09,21.09,0.0,0.0
2018-03-04,21.08,21.08,21.08,0.0,0.0,21.11,21.11,21.11,0.0,0.0,20.87,20.87,20.87,0.0,0.0,21.04,21.04,21.04,0.0,0.0
2018-03-11,21.12,21.12,21.12,0.0,0.0,21.12,21.12,21.12,0.0,0.0,21.0,21.0,21.0,0.0,0.0,21.03,21.03,21.03,0.0,0.0
2018-03-18,20.31,20.31,20.31,0.0,0.0,20.33,20.33,20.33,0.0,0.0,20.0,20.0,20.0,0.0,0.0,20.03,20.03,20.03,0.0,0.0
2018-03-25,19.55,19.55,19.55,0.0,0.0,19.84,19.84,19.84,0.0,0.0,19.45,19.45,19.45,0.0,0.0,19.81,19.81,19.81,0.0,0.0
2018-04-01,19.76,19.76,19.76,0.0,0.0,19.76,19.76,19.76,0.0,0.0,19.36,19.36,19.36,0.0,0.0,19.39,19.39,19.39,0.0,0.0
2018-04-08,20.25,20.25,20.25,0.0,0.0,20.33,20.33,20.33,0.0,0.0,20.16,20.16,20.16,0.0,0.0,20.33,20.33,20.33,0.0,0.0
2018-04-15,20.04,20.04,20.04,0.0,0.0,20.14,20.14,20.14,0.0,0.0,19.94,19.94,19.94,0.0,0.0,19.94,19.94,19.94,0.0,0.0
2018-04-22,19.55,19.55,19.55,0.0,0.0,19.6,19.6,19.6,0.0,0.0,19.53,19.53,19.53,0.0,0.0,19.6,19.6,19.6,0.0,0.0
2018-04-29,19.56,19.56,19.56,0.0,0.0,19.85,19.85,19.85,0.0,0.0,19.56,19.56,19.56,0.0,0.0,19.77,19.77,19.77,0.0,0.0
