Date,Direxion Zacks MLP High Income Shares_Open_average,Direxion Zacks MLP High Income Shares_Open_max,Direxion Zacks MLP High Income Shares_Open_min,Direxion Zacks MLP High Income Shares_Open_volatility,Direxion Zacks MLP High Income Shares_Open_change,Direxion Zacks MLP High Income Shares_High_average,Direxion Zacks MLP High Income Shares_High_max,Direxion Zacks MLP High Income Shares_High_min,Direxion Zacks MLP High Income Shares_High_volatility,Direxion Zacks MLP High Income Shares_High_change,Direxion Zacks MLP High Income Shares_Low_average,Direxion Zacks MLP High Income Shares_Low_max,Direxion Zacks MLP High Income Shares_Low_min,Direxion Zacks MLP High Income Shares_Low_volatility,Direxion Zacks MLP High Income Shares_Low_change,Direxion Zacks MLP High Income Shares_Close_average,Direxion Zacks MLP High Income Shares_Close_max,Direxion Zacks MLP High Income Shares_Close_min,Direxion Zacks MLP High Income Shares_Close_volatility,Direxion Zacks MLP High Income Shares_Close_change
2018-01-14,17.2,17.2,17.2,0.0,0.0,17.32,17.32,17.32,0.0,0.0,17.1,17.1,17.1,0.0,0.0,17.23,17.23,17.23,0.0,0.0
2018-01-21,17.93,17.93,17.93,0.0,0.0,17.93,17.93,17.93,0.0,0.0,17.79,17.79,17.79,0.0,0.0,17.82,17.82,17.82,0.0,0.0
2018-01-28,17.19,17.19,17.19,0.0,0.0,17.21,17.21,17.21,0.0,0.0,16.85,16.85,16.85,0.0,0.0,16.85,16.85,16.85,0.0,0.0
2018-02-04,16.3,16.3,16.3,0.0,0.0,16.3,16.3,16.3,0.0,0.0,15.52,15.52,15.52,0.0,0.0,15.92,15.92,15.92,0.0,0.0
2018-02-11,16.29,16.29,16.29,0.0,0.0,16.41,16.41,16.41,0.0,0.0,16.1,16.1,16.1,0.0,0.0,16.19,16.19,16.19,0.0,0.0
2018-02-18,15.94,15.94,15.94,0.0,0.0,15.94,15.94,15.94,0.0,0.0,15.71,15.71,15.71,0.0,0.0,15.79,15.79,15.79,0.0,0.0
2018-02-25,15.35,15.35,15.35,0.0,0.0,15.41,15.41,15.41,0.0,0.0,15.12,15.12,15.12,0.0,0.0,15.36,15.36,15.36,0.0,0.0
2018-03-04,15.29,15.29,15.29,0.0,0.0,15.41,15.41,15.41,0.0,0.0,15.29,15.29,15.29,0.0,0.0,15.4,15.4,15.4,0.0,0.0
2018-03-11,14.93,14.93,14.93,0.0,0.0,15.09,15.09,15.09,0.0,0.0,14.85,14.85,14.85,0.0,0.0,15.09,15.09,15.09,0.0,0.0
2018-03-18,14.03,14.03,14.03,0.0,0.0,14.03,14.03,14.03,0.0,0.0,13.83,13.83,13.83,0.0,0.0,13.83,13.83,13.83,0.0,0.0
2018-03-25,13.76,13.76,13.76,0.0,0.0,13.96,13.96,13.96,0.0,0.0,13.76,13.76,13.76,0.0,0.0,13.96,13.96,13.96,0.0,0.0
2018-04-01,14.11,14.11,14.11,0.0,0.0,14.13,14.13,14.13,0.0,0.0,13.8,13.8,13.8,0.0,0.0,13.93,13.93,13.93,0.0,0.0
2018-04-08,14.29,14.29,14.29,0.0,0.0,14.34,14.34,14.34,0.0,0.0,14.2,14.2,14.2,0.0,0.0,14.32,14.32,14.32,0.0,0.0
2018-04-15,14.63,14.63,14.63,0.0,0.0,14.81,14.81,14.81,0.0,0.0,14.63,14.63,14.63,0.0,0.0,14.79,14.79,14.79,0.0,0.0
2018-04-22,14.71,14.71,14.71,0.0,0.0,14.79,14.79,14.79,0.0,0.0,14.69,14.69,14.69,0.0,0.0,14.75,14.75,14.75,0.0,0.0
2018-04-29,14.18,14.18,14.18,0.0,0.0,14.45,14.45,14.45,0.0,0.0,14.18,14.18,14.18,0.0,0.0,14.45,14.45,14.45,0.0,0.0
2018-05-06,15.05,15.05,15.05,0.0,0.0,15.05,15.05,15.05,0.0,0.0,14.95,14.95,14.95,0.0,0.0,14.98,14.98,14.98,0.0,0.0
2018-05-13,15.32,15.32,15.32,0.0,0.0,15.36,15.36,15.36,0.0,0.0,15.22,15.22,15.22,0.0,0.0,15.36,15.36,15.36,0.0,0.0
2018-05-20,15.0,15.0,15.0,0.0,0.0,15.09,15.09,15.09,0.0,0.0,14.9,14.9,14.9,0.0,0.0,15.09,15.09,15.09,0.0,0.0
2018-05-27,15.3,15.3,15.3,0.0,0.0,15.46,15.46,15.46,0.0,0.0,15.3,15.3,15.3,0.0,0.0,15.42,15.42,15.42,0.0,0.0
