Date,iShares Int Agg Bond_Open_average,iShares Int Agg Bond_Open_max,iShares Int Agg Bond_Open_min,iShares Int Agg Bond_Open_volatility,iShares Int Agg Bond_Open_change,iShares Int Agg Bond_High_average,iShares Int Agg Bond_High_max,iShares Int Agg Bond_High_min,iShares Int Agg Bond_High_volatility,iShares Int Agg Bond_High_change,iShares Int Agg Bond_Low_average,iShares Int Agg Bond_Low_max,iShares Int Agg Bond_Low_min,iShares Int Agg Bond_Low_volatility,iShares Int Agg Bond_Low_change,iShares Int Agg Bond_Close_average,iShares Int Agg Bond_Close_max,iShares Int Agg Bond_Close_min,iShares Int Agg Bond_Close_volatility,iShares Int Agg Bond_Close_change
2018-01-14,52.08,52.08,52.08,0.0,0.0,52.11,52.11,52.11,0.0,0.0,52.05,52.05,52.05,0.0,0.0,52.09,52.09,52.09,0.0,0.0
2018-01-21,52.0,52.0,52.0,0.0,0.0,52.01,52.01,52.01,0.0,0.0,51.88,51.88,51.88,0.0,0.0,51.96,51.96,51.96,0.0,0.0
2018-01-28,51.77,51.77,51.77,0.0,0.0,51.95,51.95,51.95,0.0,0.0,51.7,51.7,51.7,0.0,0.0,51.95,51.95,51.95,0.0,0.0
2018-02-04,51.75,51.75,51.75,0.0,0.0,51.93,51.93,51.93,0.0,0.0,51.75,51.75,51.75,0.0,0.0,51.78,51.78,51.78,0.0,0.0
2018-02-11,51.87,51.87,51.87,0.0,0.0,51.91,51.91,51.91,0.0,0.0,51.75,51.75,51.75,0.0,0.0,51.75,51.75,51.75,0.0,0.0
2018-02-18,52.0,52.0,52.0,0.0,0.0,52.06,52.06,52.06,0.0,0.0,51.93,51.93,51.93,0.0,0.0,52.02,52.02,52.02,0.0,0.0
2018-02-25,52.12,52.12,52.12,0.0,0.0,52.15,52.15,52.15,0.0,0.0,52.0,52.0,52.0,0.0,0.0,52.01,52.01,52.01,0.0,0.0
2018-03-04,52.2,52.2,52.2,0.0,0.0,52.2,52.2,52.2,0.0,0.0,52.07,52.07,52.07,0.0,0.0,52.11,52.11,52.11,0.0,0.0
2018-03-11,52.19,52.19,52.19,0.0,0.0,52.4,52.4,52.4,0.0,0.0,52.19,52.19,52.19,0.0,0.0,52.38,52.38,52.38,0.0,0.0
2018-03-18,52.46,52.46,52.46,0.0,0.0,52.51,52.51,52.51,0.0,0.0,52.38,52.38,52.38,0.0,0.0,52.51,52.51,52.51,0.0,0.0
2018-03-25,52.65,52.65,52.65,0.0,0.0,52.74,52.74,52.74,0.0,0.0,52.55,52.55,52.55,0.0,0.0,52.56,52.56,52.56,0.0,0.0
2018-04-01,52.65,52.65,52.65,0.0,0.0,52.65,52.65,52.65,0.0,0.0,52.57,52.57,52.57,0.0,0.0,52.63,52.63,52.63,0.0,0.0
2018-04-08,52.54,52.54,52.54,0.0,0.0,52.57,52.57,52.57,0.0,0.0,52.52,52.52,52.52,0.0,0.0,52.57,52.57,52.57,0.0,0.0
2018-04-15,52.41,52.41,52.41,0.0,0.0,52.42,52.42,52.42,0.0,0.0,52.38,52.38,52.38,0.0,0.0,52.42,52.42,52.42,0.0,0.0
2018-04-22,52.56,52.56,52.56,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.47,52.47,52.47,0.0,0.0,52.53,52.53,52.53,0.0,0.0
2018-04-29,52.56,52.56,52.56,0.0,0.0,52.63,52.63,52.63,0.0,0.0,52.49,52.49,52.49,0.0,0.0,52.51,52.51,52.51,0.0,0.0
2018-05-06,52.45,52.45,52.45,0.0,0.0,52.45,52.45,52.45,0.0,0.0,52.31,52.31,52.31,0.0,0.0,52.34,52.34,52.34,0.0,0.0
2018-05-13,52.3,52.3,52.3,0.0,0.0,52.31,52.31,52.31,0.0,0.0,52.21,52.21,52.21,0.0,0.0,52.25,52.25,52.25,0.0,0.0
2018-05-20,52.41,52.41,52.41,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.36,52.36,52.36,0.0,0.0,52.5,52.5,52.5,0.0,0.0
2018-05-27,52.46,52.46,52.46,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.42,52.42,52.42,0.0,0.0,52.42,52.42,52.42,0.0,0.0
2018-06-03,52.28,52.28,52.28,0.0,0.0,52.29,52.29,52.29,0.0,0.0,52.22,52.22,52.22,0.0,0.0,52.25,52.25,52.25,0.0,0.0
2018-06-10,52.64,52.64,52.64,0.0,0.0,52.75,52.75,52.75,0.0,0.0,52.55,52.55,52.55,0.0,0.0,52.63,52.63,52.63,0.0,0.0
2018-06-17,52.55,52.55,52.55,0.0,0.0,52.65,52.65,52.65,0.0,0.0,52.55,52.55,52.55,0.0,0.0,52.61,52.61,52.61,0.0,0.0
2018-06-24,52.65,52.65,52.65,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.59,52.59,52.59,0.0,0.0,52.67,52.67,52.67,0.0,0.0
2018-07-01,52.69,52.69,52.69,0.0,0.0,52.76,52.76,52.76,0.0,0.0,52.67,52.67,52.67,0.0,0.0,52.75,52.75,52.75,0.0,0.0
2018-07-08,52.76,52.76,52.76,0.0,0.0,52.8,52.8,52.8,0.0,0.0,52.75,52.75,52.75,0.0,0.0,52.79,52.79,52.79,0.0,0.0
2018-07-15,52.73,52.73,52.73,0.0,0.0,52.73,52.73,52.73,0.0,0.0,52.61,52.61,52.61,0.0,0.0,52.63,52.63,52.63,0.0,0.0
2018-07-22,52.57,52.57,52.57,0.0,0.0,52.58,52.58,52.58,0.0,0.0,52.48,52.48,52.48,0.0,0.0,52.5,52.5,52.5,0.0,0.0
2018-07-29,52.49,52.49,52.49,0.0,0.0,52.53,52.53,52.53,0.0,0.0,52.42,52.42,52.42,0.0,0.0,52.51,52.51,52.51,0.0,0.0
2018-08-05,52.58,52.58,52.58,0.0,0.0,52.62,52.62,52.62,0.0,0.0,52.5,52.5,52.5,0.0,0.0,52.5,52.5,52.5,0.0,0.0
2018-08-12,52.69,52.69,52.69,0.0,0.0,52.71,52.71,52.71,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.69,52.69,52.69,0.0,0.0
2018-08-19,52.57,52.57,52.57,0.0,0.0,52.57,52.57,52.57,0.0,0.0,52.5,52.5,52.5,0.0,0.0,52.52,52.52,52.52,0.0,0.0
2018-08-26,52.6,52.6,52.6,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.46,52.46,52.46,0.0,0.0,52.51,52.51,52.51,0.0,0.0
2018-09-02,52.46,52.46,52.46,0.0,0.0,52.5,52.5,52.5,0.0,0.0,52.41,52.41,52.41,0.0,0.0,52.42,52.42,52.42,0.0,0.0
2018-09-09,52.32,52.32,52.32,0.0,0.0,52.33,52.33,52.33,0.0,0.0,52.23,52.23,52.23,0.0,0.0,52.3,52.3,52.3,0.0,0.0
2018-09-16,52.21,52.21,52.21,0.0,0.0,52.21,52.21,52.21,0.0,0.0,52.13,52.13,52.13,0.0,0.0,52.17,52.17,52.17,0.0,0.0
2018-09-23,52.07,52.07,52.07,0.0,0.0,52.07,52.07,52.07,0.0,0.0,51.96,51.96,51.96,0.0,0.0,52.03,52.03,52.03,0.0,0.0
2018-09-30,51.8,51.8,51.8,0.0,0.0,51.82,51.82,51.82,0.0,0.0,51.69,51.69,51.69,0.0,0.0,51.69,51.69,51.69,0.0,0.0
2018-10-07,51.9,51.9,51.9,0.0,0.0,51.9,51.9,51.9,0.0,0.0,51.8,51.8,51.8,0.0,0.0,51.82,51.82,51.82,0.0,0.0
2018-10-14,52.03,52.03,52.03,0.0,0.0,52.03,52.03,52.03,0.0,0.0,51.93,51.93,51.93,0.0,0.0,52.0,52.0,52.0,0.0,0.0
2018-10-21,52.31,52.31,52.31,0.0,0.0,52.36,52.36,52.36,0.0,0.0,52.19,52.19,52.19,0.0,0.0,52.29,52.29,52.29,0.0,0.0
2018-10-28,52.11,52.11,52.11,0.0,0.0,52.14,52.14,52.14,0.0,0.0,52.07,52.07,52.07,0.0,0.0,52.09,52.09,52.09,0.0,0.0
2018-11-04,52.14,52.14,52.14,0.0,0.0,52.21,52.21,52.21,0.0,0.0,52.11,52.11,52.11,0.0,0.0,52.2,52.2,52.2,0.0,0.0
2018-11-11,52.17,52.17,52.17,0.0,0.0,52.2,52.2,52.2,0.0,0.0,52.04,52.04,52.04,0.0,0.0,52.2,52.2,52.2,0.0,0.0
2018-11-18,52.23,52.23,52.23,0.0,0.0,52.23,52.23,52.23,0.0,0.0,52.18,52.18,52.18,0.0,0.0,52.18,52.18,52.18,0.0,0.0
2018-11-25,52.18,52.18,52.18,0.0,0.0,52.25,52.25,52.25,0.0,0.0,52.11,52.11,52.11,0.0,0.0,52.25,52.25,52.25,0.0,0.0
2018-12-02,52.46,52.46,52.46,0.0,0.0,52.52,52.52,52.52,0.0,0.0,52.42,52.42,52.42,0.0,0.0,52.42,52.42,52.42,0.0,0.0
2018-12-09,52.49,52.49,52.49,0.0,0.0,52.56,52.56,52.56,0.0,0.0,52.47,52.47,52.47,0.0,0.0,52.55,52.55,52.55,0.0,0.0
2018-12-16,52.08,52.08,52.08,0.0,0.0,52.08,52.08,52.08,0.0,0.0,52.0,52.0,52.0,0.0,0.0,52.06,52.06,52.06,0.0,0.0
2018-12-23,52.14,52.14,52.14,0.0,0.0,52.24,52.24,52.24,0.0,0.0,52.09,52.09,52.09,0.0,0.0,52.21,52.21,52.21,0.0,0.0
2018-12-30,52.14,52.14,52.14,0.0,0.0,52.23,52.23,52.23,0.0,0.0,52.07,52.07,52.07,0.0,0.0,52.07,52.07,52.07,0.0,0.0
2019-01-06,52.17,52.17,52.17,0.0,0.0,52.22,52.22,52.22,0.0,0.0,52.12,52.12,52.12,0.0,0.0,52.19,52.19,52.19,0.0,0.0
2019-01-13,52.21,52.21,52.21,0.0,0.0,52.23,52.23,52.23,0.0,0.0,52.2,52.2,52.2,0.0,0.0,52.2,52.2,52.2,0.0,0.0
2019-01-20,52.41,52.41,52.41,0.0,0.0,52.45,52.45,52.45,0.0,0.0,52.39,52.39,52.39,0.0,0.0,52.41,52.41,52.41,0.0,0.0
2019-01-27,52.43,52.43,52.43,0.0,0.0,52.43,52.43,52.43,0.0,0.0,52.35,52.35,52.35,0.0,0.0,52.38,52.38,52.38,0.0,0.0
2019-02-03,52.55,52.55,52.55,0.0,0.0,52.67,52.67,52.67,0.0,0.0,52.53,52.53,52.53,0.0,0.0,52.57,52.57,52.57,0.0,0.0
2019-02-10,52.57,52.57,52.57,0.0,0.0,52.64,52.64,52.64,0.0,0.0,52.57,52.57,52.57,0.0,0.0,52.59,52.59,52.59,0.0,0.0
2019-02-17,52.65,52.65,52.65,0.0,0.0,52.76,52.76,52.76,0.0,0.0,52.62,52.62,52.62,0.0,0.0,52.75,52.75,52.75,0.0,0.0
2019-02-24,52.5,52.5,52.5,0.0,0.0,52.5,52.5,52.5,0.0,0.0,52.43,52.43,52.43,0.0,0.0,52.47,52.47,52.47,0.0,0.0
2019-03-03,52.87,52.87,52.87,0.0,0.0,52.87,52.87,52.87,0.0,0.0,52.84,52.84,52.84,0.0,0.0,52.84,52.84,52.84,0.0,0.0
2019-03-10,52.95,52.95,52.95,0.0,0.0,53.01,53.01,53.01,0.0,0.0,52.91,52.91,52.91,0.0,0.0,53.01,53.01,53.01,0.0,0.0
2019-03-17,53.37,53.37,53.37,0.0,0.0,53.44,53.44,53.44,0.0,0.0,53.3,53.3,53.3,0.0,0.0,53.37,53.37,53.37,0.0,0.0
2019-03-24,53.24,53.24,53.24,0.0,0.0,53.24,53.24,53.24,0.0,0.0,53.15,53.15,53.15,0.0,0.0,53.18,53.18,53.18,0.0,0.0
2019-03-31,53.16,53.16,53.16,0.0,0.0,53.16,53.16,53.16,0.0,0.0,53.1,53.1,53.1,0.0,0.0,53.1,53.1,53.1,0.0,0.0
2019-04-07,53.05,53.05,53.05,0.0,0.0,53.07,53.07,53.07,0.0,0.0,53.02,53.02,53.02,0.0,0.0,53.04,53.04,53.04,0.0,0.0
2019-04-14,53.05,53.05,53.05,0.0,0.0,53.12,53.12,53.12,0.0,0.0,53.05,53.05,53.05,0.0,0.0,53.09,53.09,53.09,0.0,0.0
2019-04-21,53.27,53.27,53.27,0.0,0.0,53.31,53.31,53.31,0.0,0.0,53.23,53.23,53.23,0.0,0.0,53.24,53.24,53.24,0.0,0.0
