Date,Franklin FTSE Japan Hedged_etf_Open_average,Franklin FTSE Japan Hedged_etf_Open_max,Franklin FTSE Japan Hedged_etf_Open_min,Franklin FTSE Japan Hedged_etf_Open_volatility,Franklin FTSE Japan Hedged_etf_Open_change,Franklin FTSE Japan Hedged_etf_High_average,Franklin FTSE Japan Hedged_etf_High_max,Franklin FTSE Japan Hedged_etf_High_min,Franklin FTSE Japan Hedged_etf_High_volatility,Franklin FTSE Japan Hedged_etf_High_change,Franklin FTSE Japan Hedged_etf_Low_average,Franklin FTSE Japan Hedged_etf_Low_max,Franklin FTSE Japan Hedged_etf_Low_min,Franklin FTSE Japan Hedged_etf_Low_volatility,Franklin FTSE Japan Hedged_etf_Low_change,Franklin FTSE Japan Hedged_etf_Close_average,Franklin FTSE Japan Hedged_etf_Close_max,Franklin FTSE Japan Hedged_etf_Close_min,Franklin FTSE Japan Hedged_etf_Close_volatility,Franklin FTSE Japan Hedged_etf_Close_change
2018-01-14,27.47,27.47,27.47,0.0,0.0,27.47,27.47,27.47,0.0,0.0,27.47,27.47,27.47,0.0,0.0,27.47,27.47,27.47,0.0,0.0
2018-01-21,27.39,27.39,27.39,0.0,0.0,27.42,27.42,27.42,0.0,0.0,27.37,27.37,27.37,0.0,0.0,27.42,27.42,27.42,0.0,0.0
2018-01-28,27.0,27.0,27.0,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.0,27.0,27.0,0.0,0.0,27.0,27.0,27.0,0.0,0.0
2018-02-04,25.29,25.29,25.29,0.0,0.0,25.29,25.29,25.29,0.0,0.0,24.84,24.84,24.84,0.0,0.0,25.12,25.12,25.12,0.0,0.0
2018-02-11,25.44,25.44,25.44,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.44,25.44,25.44,0.0,0.0,25.49,25.49,25.49,0.0,0.0
2018-02-18,25.55,25.55,25.55,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.55,25.55,25.55,0.0,0.0,25.57,25.57,25.57,0.0,0.0
2018-02-25,24.55,24.55,24.55,0.0,0.0,24.59,24.59,24.59,0.0,0.0,24.51,24.51,24.51,0.0,0.0,24.59,24.59,24.59,0.0,0.0
2018-03-04,25.05,25.05,25.05,0.0,0.0,25.05,25.05,25.05,0.0,0.0,25.05,25.05,25.05,0.0,0.0,25.05,25.05,25.05,0.0,0.0
2018-03-11,25.07,25.07,25.07,0.0,0.0,25.13,25.13,25.13,0.0,0.0,25.07,25.07,25.07,0.0,0.0,25.13,25.13,25.13,0.0,0.0
2018-03-18,24.35,24.35,24.35,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.35,24.35,24.35,0.0,0.0
2018-03-25,24.84,24.84,24.84,0.0,0.0,24.84,24.84,24.84,0.0,0.0,24.84,24.84,24.84,0.0,0.0,24.84,24.84,24.84,0.0,0.0
2018-04-01,25.1,25.1,25.1,0.0,0.0,25.1,25.1,25.1,0.0,0.0,25.1,25.1,25.1,0.0,0.0,25.1,25.1,25.1,0.0,0.0
2018-04-08,25.34,25.34,25.34,0.0,0.0,25.34,25.34,25.34,0.0,0.0,25.34,25.34,25.34,0.0,0.0,25.34,25.34,25.34,0.0,0.0
