Date,First Trust Dorsey Wright Focus 5_Open_average,First Trust Dorsey Wright Focus 5_Open_max,First Trust Dorsey Wright Focus 5_Open_min,First Trust Dorsey Wright Focus 5_Open_volatility,First Trust Dorsey Wright Focus 5_Open_change,First Trust Dorsey Wright Focus 5_High_average,First Trust Dorsey Wright Focus 5_High_max,First Trust Dorsey Wright Focus 5_High_min,First Trust Dorsey Wright Focus 5_High_volatility,First Trust Dorsey Wright Focus 5_High_change,First Trust Dorsey Wright Focus 5_Low_average,First Trust Dorsey Wright Focus 5_Low_max,First Trust Dorsey Wright Focus 5_Low_min,First Trust Dorsey Wright Focus 5_Low_volatility,First Trust Dorsey Wright Focus 5_Low_change,First Trust Dorsey Wright Focus 5_Close_average,First Trust Dorsey Wright Focus 5_Close_max,First Trust Dorsey Wright Focus 5_Close_min,First Trust Dorsey Wright Focus 5_Close_volatility,First Trust Dorsey Wright Focus 5_Close_change
2018-01-14,29.42,29.42,29.42,0.0,0.0,29.67,29.67,29.67,0.0,0.0,29.37,29.37,29.37,0.0,0.0,29.67,29.67,29.67,0.0,0.0
2018-01-21,29.9,29.9,29.9,0.0,0.0,30.05,30.05,30.05,0.0,0.0,29.78,29.78,29.78,0.0,0.0,29.82,29.82,29.82,0.0,0.0
2018-01-28,28.77,28.77,28.77,0.0,0.0,29.17,29.17,29.17,0.0,0.0,27.87,27.87,27.87,0.0,0.0,27.96,27.96,27.96,0.0,0.0
2018-02-04,27.94,27.94,27.94,0.0,0.0,28.33,28.33,28.33,0.0,0.0,27.74,27.74,27.74,0.0,0.0,28.17,28.17,28.17,0.0,0.0
2018-02-11,29.24,29.24,29.24,0.0,0.0,29.48,29.48,29.48,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.24,29.24,29.24,0.0,0.0
2018-02-18,29.7,29.7,29.7,0.0,0.0,29.84,29.84,29.84,0.0,0.0,29.54,29.54,29.54,0.0,0.0,29.82,29.82,29.82,0.0,0.0
2018-02-25,29.05,29.05,29.05,0.0,0.0,29.77,29.77,29.77,0.0,0.0,29.05,29.05,29.05,0.0,0.0,29.67,29.67,29.67,0.0,0.0
2018-03-04,30.88,30.88,30.88,0.0,0.0,31.0,31.0,31.0,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.85,30.85,30.85,0.0,0.0
2018-03-11,30.17,30.17,30.17,0.0,0.0,30.33,30.33,30.33,0.0,0.0,29.73,29.73,29.73,0.0,0.0,30.03,30.03,30.03,0.0,0.0
2018-03-18,28.86,28.86,28.86,0.0,0.0,29.33,29.33,29.33,0.0,0.0,28.58,28.58,28.58,0.0,0.0,29.32,29.32,29.32,0.0,0.0
2018-03-25,28.5,28.5,28.5,0.0,0.0,28.64,28.64,28.64,0.0,0.0,27.67,27.67,27.67,0.0,0.0,27.93,27.93,27.93,0.0,0.0
2018-04-01,28.18,28.18,28.18,0.0,0.0,28.64,28.64,28.64,0.0,0.0,28.12,28.12,28.12,0.0,0.0,28.12,28.12,28.12,0.0,0.0
2018-04-08,28.93,28.93,28.93,0.0,0.0,29.04,29.04,29.04,0.0,0.0,28.77,28.77,28.77,0.0,0.0,28.97,28.97,28.97,0.0,0.0
2018-04-15,29.1,29.1,29.1,0.0,0.0,29.25,29.25,29.25,0.0,0.0,28.84,28.84,28.84,0.0,0.0,28.98,28.98,28.98,0.0,0.0
2018-04-22,28.77,28.77,28.77,0.0,0.0,28.87,28.87,28.87,0.0,0.0,28.55,28.55,28.55,0.0,0.0,28.55,28.55,28.55,0.0,0.0
2018-04-29,29.02,29.02,29.02,0.0,0.0,29.28,29.28,29.28,0.0,0.0,29.02,29.02,29.02,0.0,0.0,29.13,29.13,29.13,0.0,0.0
2018-05-06,30.06,30.06,30.06,0.0,0.0,30.21,30.21,30.21,0.0,0.0,29.87,29.87,29.87,0.0,0.0,29.92,29.92,29.92,0.0,0.0
2018-05-13,29.93,29.93,29.93,0.0,0.0,30.11,30.11,30.11,0.0,0.0,29.85,29.85,29.85,0.0,0.0,29.96,29.96,29.96,0.0,0.0
2018-05-20,29.98,29.98,29.98,0.0,0.0,30.07,30.07,30.07,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.99,29.99,29.99,0.0,0.0
2018-05-27,30.4,30.4,30.4,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.49,30.49,30.49,0.0,0.0
2018-06-03,30.73,30.73,30.73,0.0,0.0,30.81,30.81,30.81,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.69,30.69,30.69,0.0,0.0
2018-06-10,30.67,30.67,30.67,0.0,0.0,30.93,30.93,30.93,0.0,0.0,30.57,30.57,30.57,0.0,0.0,30.92,30.92,30.92,0.0,0.0
2018-06-17,30.19,30.19,30.19,0.0,0.0,30.19,30.19,30.19,0.0,0.0,29.42,29.42,29.42,0.0,0.0,29.61,29.61,29.61,0.0,0.0
2018-06-24,29.26,29.26,29.26,0.0,0.0,29.79,29.79,29.79,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.79,29.79,29.79,0.0,0.0
2018-07-01,30.39,30.39,30.39,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.22,30.22,30.22,0.0,0.0,30.5,30.5,30.5,0.0,0.0
2018-07-08,30.61,30.61,30.61,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.55,30.55,30.55,0.0,0.0
2018-07-15,30.71,30.71,30.71,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.84,30.84,30.84,0.0,0.0
2018-07-22,30.45,30.45,30.45,0.0,0.0,30.49,30.49,30.49,0.0,0.0,29.86,29.86,29.86,0.0,0.0,29.97,29.97,29.97,0.0,0.0
2018-07-29,30.47,30.47,30.47,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.35,30.35,30.35,0.0,0.0,30.65,30.65,30.65,0.0,0.0
2018-08-05,30.64,30.64,30.64,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.41,30.41,30.41,0.0,0.0
2018-08-12,30.65,30.65,30.65,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.7,30.7,30.7,0.0,0.0
