Date,MTEX_Open_average,MTEX_Open_max,MTEX_Open_min,MTEX_Open_volatility,MTEX_Open_change,MTEX_High_average,MTEX_High_max,MTEX_High_min,MTEX_High_volatility,MTEX_High_change,MTEX_Low_average,MTEX_Low_max,MTEX_Low_min,MTEX_Low_volatility,MTEX_Low_change,MTEX_Close_average,MTEX_Close_max,MTEX_Close_min,MTEX_Close_volatility,MTEX_Close_change,MTEX_Volume_average,MTEX_Volume_max,MTEX_Volume_min,MTEX_Volume_volatility,MTEX_Volume_change
2018-01-14,15.875,16.05,15.5,0.5500000000000007,0.5,16.05,16.15,16.0,0.14999999999999858,0.0,15.4375,15.85,15.25,0.5999999999999996,-0.05000000000000071,15.6125,16.05,15.35,0.7000000000000011,-0.05000000000000071,4800,12761,869,11892,-11892
2018-01-21,15.35,15.7,15.0,0.6999999999999993,-0.5,15.56,16.0,15.0,1.0,-1.0,14.94,15.45,14.3,1.1499999999999986,-1.1499999999999986,15.11,15.7,14.5,1.1999999999999993,-1.1999999999999993,6599,9713,2610,7103,-5537
2018-01-28,14.536,14.75,14.4,0.34999999999999964,-0.25,14.616,14.95,14.45,0.5,-0.4499999999999993,14.402,14.5,14.26,0.2400000000000002,-0.09999999999999964,14.53,14.95,14.35,0.5999999999999996,-0.5,2412,8197,645,7552,7208
2018-02-04,14.53,14.8,14.3,0.5,0.1999999999999993,14.62,14.8,14.5,0.3000000000000007,-0.09999999999999964,14.34,14.5,14.25,0.25,0.0,14.452,14.6,14.25,0.34999999999999964,-0.23000000000000043,3320,8573,242,8331,4356
2018-02-11,14.445,14.65,14.3,0.34999999999999964,0.049999999999998934,14.6475,14.76,14.48,0.27999999999999936,-0.27999999999999936,14.275,14.3,14.25,0.05000000000000071,0.0,14.3875,14.65,14.25,0.40000000000000036,-0.40000000000000036,1246,2636,319,2317,-2317
2018-02-18,14.0125,14.3,13.75,0.5500000000000007,-0.5500000000000007,14.175,14.45,13.75,0.6999999999999993,-0.5500000000000007,13.845,14.13,13.7,0.4300000000000015,-0.05000000000000071,14.05,14.45,13.75,0.6999999999999993,-0.05000000000000071,3494,9435,182,9253,-9253
2018-02-25,13.9,14.1,13.65,0.4499999999999993,0.20000000000000107,13.99,14.3,13.7,0.6000000000000014,0.0,13.76,13.85,13.5,0.34999999999999964,0.0,13.87,14.1,13.55,0.5499999999999989,-0.15000000000000036,4982,10613,492,10121,-9642
2018-03-04,13.9,14.14,13.65,0.4900000000000002,0.0600000000000005,14.078,14.2,14.0,0.1999999999999993,0.08999999999999986,13.842,14.01,13.65,0.35999999999999943,0.0600000000000005,14.008000000000001,14.14,13.85,0.2900000000000009,0.08999999999999986,1969,3408,810,2598,1844
2018-03-11,14.83,15.5,13.95,1.5500000000000007,1.5500000000000007,15.66,16.3,14.8,1.5,0.8000000000000007,14.75,15.5,13.95,1.5500000000000007,1.5500000000000007,15.42,16.3,14.8,1.5,0.9000000000000004,10041,24535,604,23931,-12825
2018-03-18,15.08,15.3,15.0,0.3000000000000007,-0.20000000000000107,15.304,15.65,15.07,0.5800000000000001,-0.20000000000000107,15.01,15.3,14.9,0.40000000000000036,-0.40000000000000036,15.08,15.3,14.9,0.40000000000000036,-0.40000000000000036,3504,6942,184,6758,3135
2018-03-25,14.905000000000001,15.25,14.77,0.4800000000000004,-0.4499999999999993,15.3925,16.0,15.07,0.9299999999999997,0.75,14.7675,15.12,14.45,0.6699999999999999,-0.3199999999999985,15.147499999999999,15.7,14.7,1.0,0.5800000000000001,5057,13120,701,12419,12419
2018-04-01,16.96,17.65,15.5,2.1499999999999986,2.1499999999999986,17.8,18.0,17.65,0.3500000000000014,-0.3500000000000014,16.669999999999998,17.4,15.5,1.8999999999999986,1.5,17.36,17.65,16.75,0.8999999999999986,0.20000000000000284,9197,23767,2192,21575,-17699
2018-04-08,17.97,18.4,17.4,1.0,0.6999999999999993,18.19,18.5,17.7,0.8000000000000007,0.8000000000000007,17.698,18.0,17.4,0.6000000000000014,0.35999999999999943,18.07,18.4,17.6,0.7999999999999972,0.7999999999999972,4275,5259,3785,1474,-1287
2018-04-15,19.04,20.95,17.4,3.5500000000000007,1.8000000000000007,20.349999999999998,22.4,18.45,3.9499999999999993,2.1999999999999993,18.52,20.25,17.05,3.1999999999999993,1.9500000000000028,19.69,20.85,17.8,3.0500000000000007,2.75,17647,40971,4235,36736,7617
2018-04-22,20.38,20.85,20.0,0.8500000000000014,0.0,20.658,21.14,20.3,0.8399999999999999,-0.6400000000000006,19.992,20.5,19.65,0.8500000000000014,-0.26000000000000156,20.43,20.85,20.2,0.6500000000000021,-0.5500000000000007,6446,10658,2335,8323,-4133
