Date,First Trust China AlphaDEX_etf_Open_average,First Trust China AlphaDEX_etf_Open_max,First Trust China AlphaDEX_etf_Open_min,First Trust China AlphaDEX_etf_Open_volatility,First Trust China AlphaDEX_etf_Open_change,First Trust China AlphaDEX_etf_High_average,First Trust China AlphaDEX_etf_High_max,First Trust China AlphaDEX_etf_High_min,First Trust China AlphaDEX_etf_High_volatility,First Trust China AlphaDEX_etf_High_change,First Trust China AlphaDEX_etf_Low_average,First Trust China AlphaDEX_etf_Low_max,First Trust China AlphaDEX_etf_Low_min,First Trust China AlphaDEX_etf_Low_volatility,First Trust China AlphaDEX_etf_Low_change,First Trust China AlphaDEX_etf_Close_average,First Trust China AlphaDEX_etf_Close_max,First Trust China AlphaDEX_etf_Close_min,First Trust China AlphaDEX_etf_Close_volatility,First Trust China AlphaDEX_etf_Close_change
2018-01-14,33.26,33.26,33.26,0.0,0.0,33.39,33.39,33.39,0.0,0.0,33.09,33.09,33.09,0.0,0.0,33.39,33.39,33.39,0.0,0.0
2018-01-21,34.21,34.21,34.21,0.0,0.0,34.79,34.79,34.79,0.0,0.0,34.21,34.21,34.21,0.0,0.0,34.6,34.6,34.6,0.0,0.0
2018-01-28,33.42,33.42,33.42,0.0,0.0,33.66,33.66,33.66,0.0,0.0,32.91,32.91,32.91,0.0,0.0,32.91,32.91,32.91,0.0,0.0
2018-02-04,29.24,29.24,29.24,0.0,0.0,29.62,29.62,29.62,0.0,0.0,28.52,28.52,28.52,0.0,0.0,28.52,28.52,28.52,0.0,0.0
2018-02-11,31.83,31.83,31.83,0.0,0.0,31.83,31.83,31.83,0.0,0.0,31.79,31.79,31.79,0.0,0.0,31.79,31.79,31.79,0.0,0.0
2018-02-18,32.13,32.13,32.13,0.0,0.0,32.54,32.54,32.54,0.0,0.0,32.02,32.02,32.02,0.0,0.0,32.25,32.25,32.25,0.0,0.0
2018-02-25,31.2,31.2,31.2,0.0,0.0,31.2,31.2,31.2,0.0,0.0,30.35,30.35,30.35,0.0,0.0,31.0,31.0,31.0,0.0,0.0
2018-03-04,31.63,31.63,31.63,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.29,31.29,31.29,0.0,0.0,31.29,31.29,31.29,0.0,0.0
2018-03-11,31.73,31.73,31.73,0.0,0.0,31.91,31.91,31.91,0.0,0.0,31.73,31.73,31.73,0.0,0.0,31.91,31.91,31.91,0.0,0.0
2018-03-18,30.51,30.51,30.51,0.0,0.0,30.51,30.51,30.51,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.57,29.57,29.57,0.0,0.0
2018-03-25,30.98,30.98,30.98,0.0,0.0,30.99,30.99,30.99,0.0,0.0,30.55,30.55,30.55,0.0,0.0,30.55,30.55,30.55,0.0,0.0
2018-04-01,30.78,30.78,30.78,0.0,0.0,31.08,31.08,31.08,0.0,0.0,30.73,30.73,30.73,0.0,0.0,31.08,31.08,31.08,0.0,0.0
2018-04-08,31.4,31.4,31.4,0.0,0.0,31.73,31.73,31.73,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.61,31.61,31.61,0.0,0.0
2018-04-15,30.4,30.4,30.4,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.38,30.38,30.38,0.0,0.0
2018-04-22,30.8,30.8,30.8,0.0,0.0,31.06,31.06,31.06,0.0,0.0,30.8,30.8,30.8,0.0,0.0,31.06,31.06,31.06,0.0,0.0
2018-04-29,30.59,30.59,30.59,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.59,30.59,30.59,0.0,0.0
2018-05-06,31.95,31.95,31.95,0.0,0.0,31.97,31.97,31.97,0.0,0.0,31.95,31.95,31.95,0.0,0.0,31.97,31.97,31.97,0.0,0.0
2018-05-13,32.39,32.39,32.39,0.0,0.0,32.39,32.39,32.39,0.0,0.0,32.25,32.25,32.25,0.0,0.0,32.25,32.25,32.25,0.0,0.0
2018-05-20,31.5,31.5,31.5,0.0,0.0,31.96,31.96,31.96,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.91,31.91,31.91,0.0,0.0
2018-05-27,31.99,31.99,31.99,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.87,31.87,31.87,0.0,0.0,31.91,31.91,31.91,0.0,0.0
2018-06-03,33.09,33.09,33.09,0.0,0.0,33.24,33.24,33.24,0.0,0.0,32.94,32.94,32.94,0.0,0.0,33.22,33.22,33.22,0.0,0.0
2018-06-10,31.91,31.91,31.91,0.0,0.0,32.47,32.47,32.47,0.0,0.0,31.89,31.89,31.89,0.0,0.0,32.47,32.47,32.47,0.0,0.0
2018-06-17,30.63,30.63,30.63,0.0,0.0,30.89,30.89,30.89,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.89,30.89,30.89,0.0,0.0
2018-06-24,28.86,28.86,28.86,0.0,0.0,29.14,29.14,29.14,0.0,0.0,28.86,28.86,28.86,0.0,0.0,28.93,28.93,28.93,0.0,0.0
2018-07-01,27.53,27.53,27.53,0.0,0.0,27.9,27.9,27.9,0.0,0.0,27.53,27.53,27.53,0.0,0.0,27.69,27.69,27.69,0.0,0.0
2018-07-08,28.75,28.75,28.75,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.75,28.75,28.75,0.0,0.0,28.75,28.75,28.75,0.0,0.0
2018-07-15,28.36,28.36,28.36,0.0,0.0,28.36,28.36,28.36,0.0,0.0,28.03,28.03,28.03,0.0,0.0,28.34,28.34,28.34,0.0,0.0
2018-07-22,29.11,29.11,29.11,0.0,0.0,29.11,29.11,29.11,0.0,0.0,29.11,29.11,29.11,0.0,0.0,29.11,29.11,29.11,0.0,0.0
2018-07-29,27.95,27.95,27.95,0.0,0.0,28.0,28.0,28.0,0.0,0.0,27.78,27.78,27.78,0.0,0.0,27.78,27.78,27.78,0.0,0.0
2018-08-05,28.21,28.21,28.21,0.0,0.0,28.39,28.39,28.39,0.0,0.0,28.03,28.03,28.03,0.0,0.0,28.03,28.03,28.03,0.0,0.0
2018-08-12,26.31,26.31,26.31,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.31,26.31,26.31,0.0,0.0,26.75,26.75,26.75,0.0,0.0
2018-08-19,27.51,27.51,27.51,0.0,0.0,27.78,27.78,27.78,0.0,0.0,27.51,27.51,27.51,0.0,0.0,27.66,27.66,27.66,0.0,0.0
2018-08-26,27.5,27.5,27.5,0.0,0.0,27.5,27.5,27.5,0.0,0.0,27.5,27.5,27.5,0.0,0.0,27.5,27.5,27.5,0.0,0.0
2018-09-02,27.3,27.3,27.3,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.3,27.3,27.3,0.0,0.0,27.3,27.3,27.3,0.0,0.0
2018-09-09,26.42,26.42,26.42,0.0,0.0,26.45,26.45,26.45,0.0,0.0,26.01,26.01,26.01,0.0,0.0,26.05,26.05,26.05,0.0,0.0
2018-09-16,28.04,28.04,28.04,0.0,0.0,28.07,28.07,28.07,0.0,0.0,28.04,28.04,28.04,0.0,0.0,28.07,28.07,28.07,0.0,0.0
2018-09-23,27.54,27.54,27.54,0.0,0.0,27.54,27.54,27.54,0.0,0.0,27.54,27.54,27.54,0.0,0.0,27.54,27.54,27.54,0.0,0.0
2018-09-30,26.33,26.33,26.33,0.0,0.0,26.33,26.33,26.33,0.0,0.0,26.11,26.11,26.11,0.0,0.0,26.11,26.11,26.11,0.0,0.0
2018-10-07,25.05,25.05,25.05,0.0,0.0,25.14,25.14,25.14,0.0,0.0,24.96,24.96,24.96,0.0,0.0,25.13,25.13,25.13,0.0,0.0
2018-10-14,24.97,24.97,24.97,0.0,0.0,24.97,24.97,24.97,0.0,0.0,24.93,24.93,24.93,0.0,0.0,24.93,24.93,24.93,0.0,0.0
2018-10-21,24.09,24.09,24.09,0.0,0.0,24.19,24.19,24.19,0.0,0.0,24.01,24.01,24.01,0.0,0.0,24.01,24.01,24.01,0.0,0.0
2018-10-28,26.11,26.11,26.11,0.0,0.0,26.11,26.11,26.11,0.0,0.0,25.36,25.36,25.36,0.0,0.0,25.78,25.78,25.78,0.0,0.0
2018-11-04,24.9,24.9,24.9,0.0,0.0,24.9,24.9,24.9,0.0,0.0,24.79,24.79,24.79,0.0,0.0,24.8,24.8,24.8,0.0,0.0
2018-11-11,25.76,25.76,25.76,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.57,25.57,25.57,0.0,0.0,25.6,25.6,25.6,0.0,0.0
2018-11-18,25.45,25.45,25.45,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.45,25.45,25.45,0.0,0.0
2018-11-25,25.77,25.77,25.77,0.0,0.0,25.78,25.78,25.78,0.0,0.0,25.67,25.67,25.67,0.0,0.0,25.67,25.67,25.67,0.0,0.0
2018-12-02,24.88,24.88,24.88,0.0,0.0,25.21,25.21,25.21,0.0,0.0,24.88,24.88,24.88,0.0,0.0,25.21,25.21,25.21,0.0,0.0
2018-12-09,25.01,25.01,25.01,0.0,0.0,25.01,25.01,25.01,0.0,0.0,24.78,24.78,24.78,0.0,0.0,24.8,24.8,24.8,0.0,0.0
2018-12-16,23.5,23.5,23.5,0.0,0.0,23.51,23.51,23.51,0.0,0.0,23.14,23.14,23.14,0.0,0.0,23.19,23.19,23.19,0.0,0.0
2018-12-23,23.56,23.56,23.56,0.0,0.0,23.72,23.72,23.72,0.0,0.0,23.56,23.56,23.56,0.0,0.0,23.62,23.62,23.62,0.0,0.0
2018-12-30,23.39,23.39,23.39,0.0,0.0,23.54,23.54,23.54,0.0,0.0,23.39,23.39,23.39,0.0,0.0,23.54,23.54,23.54,0.0,0.0
2019-01-06,24.39,24.39,24.39,0.0,0.0,24.39,24.39,24.39,0.0,0.0,24.38,24.38,24.38,0.0,0.0,24.39,24.39,24.39,0.0,0.0
2019-01-13,25.17,25.17,25.17,0.0,0.0,25.42,25.42,25.42,0.0,0.0,25.17,25.17,25.17,0.0,0.0,25.4,25.4,25.4,0.0,0.0
2019-01-20,25.56,25.56,25.56,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.51,25.51,25.51,0.0,0.0,25.51,25.51,25.51,0.0,0.0
2019-01-27,26.18,26.18,26.18,0.0,0.0,26.25,26.25,26.25,0.0,0.0,26.09,26.09,26.09,0.0,0.0,26.13,26.13,26.13,0.0,0.0
2019-02-03,26.07,26.07,26.07,0.0,0.0,26.07,26.07,26.07,0.0,0.0,26.07,26.07,26.07,0.0,0.0,26.07,26.07,26.07,0.0,0.0
2019-02-10,26.45,26.45,26.45,0.0,0.0,26.45,26.45,26.45,0.0,0.0,26.2,26.2,26.2,0.0,0.0,26.2,26.2,26.2,0.0,0.0
2019-02-17,27.14,27.14,27.14,0.0,0.0,27.34,27.34,27.34,0.0,0.0,27.14,27.14,27.14,0.0,0.0,27.15,27.15,27.15,0.0,0.0
2019-02-24,26.98,26.98,26.98,0.0,0.0,27.14,27.14,27.14,0.0,0.0,26.98,26.98,26.98,0.0,0.0,27.14,27.14,27.14,0.0,0.0
2019-03-03,26.46,26.46,26.46,0.0,0.0,26.46,26.46,26.46,0.0,0.0,26.24,26.24,26.24,0.0,0.0,26.26,26.26,26.26,0.0,0.0
2019-03-10,27.1,27.1,27.1,0.0,0.0,27.1,27.1,27.1,0.0,0.0,27.1,27.1,27.1,0.0,0.0,27.1,27.1,27.1,0.0,0.0
