Date,Vanguard Extended Duration_Open_average,Vanguard Extended Duration_Open_max,Vanguard Extended Duration_Open_min,Vanguard Extended Duration_Open_volatility,Vanguard Extended Duration_Open_change,Vanguard Extended Duration_High_average,Vanguard Extended Duration_High_max,Vanguard Extended Duration_High_min,Vanguard Extended Duration_High_volatility,Vanguard Extended Duration_High_change,Vanguard Extended Duration_Low_average,Vanguard Extended Duration_Low_max,Vanguard Extended Duration_Low_min,Vanguard Extended Duration_Low_volatility,Vanguard Extended Duration_Low_change,Vanguard Extended Duration_Close_average,Vanguard Extended Duration_Close_max,Vanguard Extended Duration_Close_min,Vanguard Extended Duration_Close_volatility,Vanguard Extended Duration_Close_change
2018-01-14,116.61,116.61,116.61,0.0,0.0,116.82,116.82,116.82,0.0,0.0,116.0,116.0,116.0,0.0,0.0,116.15,116.15,116.15,0.0,0.0
2018-01-21,115.77,115.77,115.77,0.0,0.0,115.97,115.97,115.97,0.0,0.0,115.22,115.22,115.22,0.0,0.0,115.54,115.54,115.54,0.0,0.0
2018-01-28,111.29,111.29,111.29,0.0,0.0,114.79,114.79,114.79,0.0,0.0,110.57,110.57,110.57,0.0,0.0,113.24,113.24,113.24,0.0,0.0
2018-02-04,110.28,110.28,110.28,0.0,0.0,111.13,111.13,111.13,0.0,0.0,109.63,109.63,109.63,0.0,0.0,110.07,110.07,110.07,0.0,0.0
2018-02-11,111.05,111.05,111.05,0.0,0.0,111.28,111.28,111.28,0.0,0.0,110.1,110.1,110.1,0.0,0.0,110.57,110.57,110.57,0.0,0.0
2018-02-18,110.57,110.57,110.57,0.0,0.0,110.67,110.67,110.67,0.0,0.0,109.79,109.79,109.79,0.0,0.0,109.95,109.95,109.95,0.0,0.0
2018-02-25,111.14,111.14,111.14,0.0,0.0,111.16,111.16,111.16,0.0,0.0,109.69,109.69,109.69,0.0,0.0,110.12,110.12,110.12,0.0,0.0
2018-03-04,110.43,110.43,110.43,0.0,0.0,111.0,111.0,111.0,0.0,0.0,110.4,110.4,110.4,0.0,0.0,110.82,110.82,110.82,0.0,0.0
2018-03-11,111.04,111.04,111.04,0.0,0.0,111.88,111.88,111.88,0.0,0.0,110.98,110.98,110.98,0.0,0.0,111.32,111.32,111.32,0.0,0.0
2018-03-18,112.02,112.02,112.02,0.0,0.0,112.63,112.63,112.63,0.0,0.0,111.52,111.52,111.52,0.0,0.0,111.52,111.52,111.52,0.0,0.0
