Date,Janus SmallMid Cap Growth Alpha_Open_average,Janus SmallMid Cap Growth Alpha_Open_max,Janus SmallMid Cap Growth Alpha_Open_min,Janus SmallMid Cap Growth Alpha_Open_volatility,Janus SmallMid Cap Growth Alpha_Open_change,Janus SmallMid Cap Growth Alpha_High_average,Janus SmallMid Cap Growth Alpha_High_max,Janus SmallMid Cap Growth Alpha_High_min,Janus SmallMid Cap Growth Alpha_High_volatility,Janus SmallMid Cap Growth Alpha_High_change,Janus SmallMid Cap Growth Alpha_Low_average,Janus SmallMid Cap Growth Alpha_Low_max,Janus SmallMid Cap Growth Alpha_Low_min,Janus SmallMid Cap Growth Alpha_Low_volatility,Janus SmallMid Cap Growth Alpha_Low_change,Janus SmallMid Cap Growth Alpha_Close_average,Janus SmallMid Cap Growth Alpha_Close_max,Janus SmallMid Cap Growth Alpha_Close_min,Janus SmallMid Cap Growth Alpha_Close_volatility,Janus SmallMid Cap Growth Alpha_Close_change
2018-01-14,40.53,40.53,40.53,0.0,0.0,41.08,41.08,41.08,0.0,0.0,40.39,40.39,40.39,0.0,0.0,41.01,41.01,41.01,0.0,0.0
2018-01-21,41.59,41.59,41.59,0.0,0.0,41.59,41.59,41.59,0.0,0.0,41.04,41.04,41.04,0.0,0.0,41.04,41.04,41.04,0.0,0.0
2018-01-28,40.39,40.39,40.39,0.0,0.0,40.39,40.39,40.39,0.0,0.0,38.92,38.92,38.92,0.0,0.0,39.11,39.11,39.11,0.0,0.0
2018-02-04,38.57,38.57,38.57,0.0,0.0,39.15,39.15,39.15,0.0,0.0,38.54,38.54,38.54,0.0,0.0,38.92,38.92,38.92,0.0,0.0
2018-02-11,40.73,40.73,40.73,0.0,0.0,40.73,40.73,40.73,0.0,0.0,40.2,40.2,40.2,0.0,0.0,40.29,40.29,40.29,0.0,0.0
2018-02-18,40.41,40.41,40.41,0.0,0.0,40.41,40.41,40.41,0.0,0.0,40.0,40.0,40.0,0.0,0.0,40.39,40.39,40.39,0.0,0.0
2018-02-25,39.72,39.72,39.72,0.0,0.0,40.41,40.41,40.41,0.0,0.0,39.72,39.72,39.72,0.0,0.0,40.32,40.32,40.32,0.0,0.0
2018-03-04,42.43,42.43,42.43,0.0,0.0,42.43,42.43,42.43,0.0,0.0,41.71,41.71,41.71,0.0,0.0,41.86,41.86,41.86,0.0,0.0
2018-03-11,41.18,41.18,41.18,0.0,0.0,41.18,41.18,41.18,0.0,0.0,40.73,40.73,40.73,0.0,0.0,40.73,40.73,40.73,0.0,0.0
2018-03-18,40.46,40.46,40.46,0.0,0.0,40.68,40.68,40.68,0.0,0.0,39.94,39.94,39.94,0.0,0.0,40.68,40.68,40.68,0.0,0.0
