Date,AAM S&P EM Sector High Dividend_Open_average,AAM S&P EM Sector High Dividend_Open_max,AAM S&P EM Sector High Dividend_Open_min,AAM S&P EM Sector High Dividend_Open_volatility,AAM S&P EM Sector High Dividend_Open_change,AAM S&P EM Sector High Dividend_High_average,AAM S&P EM Sector High Dividend_High_max,AAM S&P EM Sector High Dividend_High_min,AAM S&P EM Sector High Dividend_High_volatility,AAM S&P EM Sector High Dividend_High_change,AAM S&P EM Sector High Dividend_Low_average,AAM S&P EM Sector High Dividend_Low_max,AAM S&P EM Sector High Dividend_Low_min,AAM S&P EM Sector High Dividend_Low_volatility,AAM S&P EM Sector High Dividend_Low_change,AAM S&P EM Sector High Dividend_Close_average,AAM S&P EM Sector High Dividend_Close_max,AAM S&P EM Sector High Dividend_Close_min,AAM S&P EM Sector High Dividend_Close_volatility,AAM S&P EM Sector High Dividend_Close_change
2018-01-14,27.39,27.39,27.39,0.0,0.0,27.39,27.39,27.39,0.0,0.0,27.39,27.39,27.39,0.0,0.0,27.39,27.39,27.39,0.0,0.0
2018-01-21,28.01,28.01,28.01,0.0,0.0,28.08,28.08,28.08,0.0,0.0,28.01,28.01,28.01,0.0,0.0,28.07,28.07,28.07,0.0,0.0
2018-01-28,27.1,27.1,27.1,0.0,0.0,27.1,27.1,27.1,0.0,0.0,27.09,27.09,27.09,0.0,0.0,27.09,27.09,27.09,0.0,0.0
2018-02-04,26.24,26.24,26.24,0.0,0.0,26.24,26.24,26.24,0.0,0.0,26.24,26.24,26.24,0.0,0.0,26.24,26.24,26.24,0.0,0.0
2018-02-11,27.16,27.16,27.16,0.0,0.0,27.16,27.16,27.16,0.0,0.0,27.16,27.16,27.16,0.0,0.0,27.16,27.16,27.16,0.0,0.0
2018-02-18,27.16,27.16,27.16,0.0,0.0,27.17,27.17,27.17,0.0,0.0,27.16,27.16,27.16,0.0,0.0,27.17,27.17,27.17,0.0,0.0
2018-02-25,26.42,26.42,26.42,0.0,0.0,26.42,26.42,26.42,0.0,0.0,26.42,26.42,26.42,0.0,0.0,26.42,26.42,26.42,0.0,0.0
2018-03-04,26.63,26.63,26.63,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.63,26.63,26.63,0.0,0.0,26.75,26.75,26.75,0.0,0.0
2018-03-11,26.84,26.84,26.84,0.0,0.0,26.84,26.84,26.84,0.0,0.0,26.83,26.83,26.83,0.0,0.0,26.84,26.84,26.84,0.0,0.0
2018-03-18,26.55,26.55,26.55,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.55,26.55,26.55,0.0,0.0,26.55,26.55,26.55,0.0,0.0
2018-03-25,26.44,26.44,26.44,0.0,0.0,26.44,26.44,26.44,0.0,0.0,26.44,26.44,26.44,0.0,0.0,26.44,26.44,26.44,0.0,0.0
2018-04-01,26.44,26.44,26.44,0.0,0.0,26.44,26.44,26.44,0.0,0.0,26.44,26.44,26.44,0.0,0.0,26.44,26.44,26.44,0.0,0.0
2018-04-08,26.25,26.25,26.25,0.0,0.0,26.25,26.25,26.25,0.0,0.0,26.25,26.25,26.25,0.0,0.0,26.25,26.25,26.25,0.0,0.0
2018-04-15,26.08,26.08,26.08,0.0,0.0,26.08,26.08,26.08,0.0,0.0,26.08,26.08,26.08,0.0,0.0,26.08,26.08,26.08,0.0,0.0
2018-04-22,25.64,25.64,25.64,0.0,0.0,25.64,25.64,25.64,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.54,25.54,25.54,0.0,0.0
