Date,iShares Edge MSCI Multifactor USA Small-Cap_Open_average,iShares Edge MSCI Multifactor USA Small-Cap_Open_max,iShares Edge MSCI Multifactor USA Small-Cap_Open_min,iShares Edge MSCI Multifactor USA Small-Cap_Open_volatility,iShares Edge MSCI Multifactor USA Small-Cap_Open_change,iShares Edge MSCI Multifactor USA Small-Cap_High_average,iShares Edge MSCI Multifactor USA Small-Cap_High_max,iShares Edge MSCI Multifactor USA Small-Cap_High_min,iShares Edge MSCI Multifactor USA Small-Cap_High_volatility,iShares Edge MSCI Multifactor USA Small-Cap_High_change,iShares Edge MSCI Multifactor USA Small-Cap_Low_average,iShares Edge MSCI Multifactor USA Small-Cap_Low_max,iShares Edge MSCI Multifactor USA Small-Cap_Low_min,iShares Edge MSCI Multifactor USA Small-Cap_Low_volatility,iShares Edge MSCI Multifactor USA Small-Cap_Low_change,iShares Edge MSCI Multifactor USA Small-Cap_Close_average,iShares Edge MSCI Multifactor USA Small-Cap_Close_max,iShares Edge MSCI Multifactor USA Small-Cap_Close_min,iShares Edge MSCI Multifactor USA Small-Cap_Close_volatility,iShares Edge MSCI Multifactor USA Small-Cap_Close_change
2018-01-14,41.17,41.17,41.17,0.0,0.0,41.47,41.47,41.47,0.0,0.0,41.17,41.17,41.17,0.0,0.0,41.47,41.47,41.47,0.0,0.0
2018-01-21,41.09,41.09,41.09,0.0,0.0,41.4,41.4,41.4,0.0,0.0,41.09,41.09,41.09,0.0,0.0,41.09,41.09,41.09,0.0,0.0
2018-01-28,39.41,39.41,39.41,0.0,0.0,39.6,39.6,39.6,0.0,0.0,38.41,38.41,38.41,0.0,0.0,38.41,38.41,38.41,0.0,0.0
2018-02-04,37.94,37.94,37.94,0.0,0.0,38.33,38.33,38.33,0.0,0.0,37.67,37.67,37.67,0.0,0.0,38.14,38.14,38.14,0.0,0.0
2018-02-11,39.35,39.35,39.35,0.0,0.0,39.58,39.58,39.58,0.0,0.0,39.35,39.35,39.35,0.0,0.0,39.53,39.53,39.53,0.0,0.0
2018-02-18,39.63,39.63,39.63,0.0,0.0,39.87,39.87,39.87,0.0,0.0,39.43,39.43,39.43,0.0,0.0,39.83,39.83,39.83,0.0,0.0
2018-02-25,38.91,38.91,38.91,0.0,0.0,39.46,39.46,39.46,0.0,0.0,38.81,38.81,38.81,0.0,0.0,39.34,39.34,39.34,0.0,0.0
2018-03-04,40.85,40.85,40.85,0.0,0.0,40.91,40.91,40.91,0.0,0.0,40.77,40.77,40.77,0.0,0.0,40.88,40.88,40.88,0.0,0.0
2018-03-11,40.53,40.53,40.53,0.0,0.0,40.53,40.53,40.53,0.0,0.0,40.1,40.1,40.1,0.0,0.0,40.1,40.1,40.1,0.0,0.0
2018-03-18,39.15,39.15,39.15,0.0,0.0,39.49,39.49,39.49,0.0,0.0,38.84,38.84,38.84,0.0,0.0,39.48,39.48,39.48,0.0,0.0
2018-03-25,39.07,39.07,39.07,0.0,0.0,39.1,39.1,39.1,0.0,0.0,38.12,38.12,38.12,0.0,0.0,38.45,38.45,38.45,0.0,0.0
2018-04-01,39.02,39.02,39.02,0.0,0.0,39.35,39.35,39.35,0.0,0.0,38.93,38.93,38.93,0.0,0.0,38.93,38.93,38.93,0.0,0.0
2018-04-08,39.99,39.99,39.99,0.0,0.0,40.05,40.05,40.05,0.0,0.0,39.78,39.78,39.78,0.0,0.0,40.05,40.05,40.05,0.0,0.0
2018-04-15,40.12,40.12,40.12,0.0,0.0,40.12,40.12,40.12,0.0,0.0,39.74,39.74,39.74,0.0,0.0,39.76,39.76,39.76,0.0,0.0
2018-04-22,39.49,39.49,39.49,0.0,0.0,39.49,39.49,39.49,0.0,0.0,39.02,39.02,39.02,0.0,0.0,39.07,39.07,39.07,0.0,0.0
2018-04-29,39.98,39.98,39.98,0.0,0.0,40.14,40.14,40.14,0.0,0.0,39.77,39.77,39.77,0.0,0.0,39.98,39.98,39.98,0.0,0.0
2018-05-06,40.96,40.96,40.96,0.0,0.0,40.98,40.98,40.98,0.0,0.0,40.7,40.7,40.7,0.0,0.0,40.72,40.72,40.72,0.0,0.0
2018-05-13,41.69,41.69,41.69,0.0,0.0,41.74,41.74,41.74,0.0,0.0,41.47,41.47,41.47,0.0,0.0,41.58,41.58,41.58,0.0,0.0
2018-05-20,41.63,41.63,41.63,0.0,0.0,41.71,41.71,41.71,0.0,0.0,41.55,41.55,41.55,0.0,0.0,41.62,41.62,41.62,0.0,0.0
2018-05-27,42.33,42.33,42.33,0.0,0.0,42.55,42.55,42.55,0.0,0.0,42.2,42.2,42.2,0.0,0.0,42.55,42.55,42.55,0.0,0.0
2018-06-03,43.05,43.05,43.05,0.0,0.0,43.05,43.05,43.05,0.0,0.0,42.82,42.82,42.82,0.0,0.0,43.0,43.0,43.0,0.0,0.0
2018-06-10,42.97,42.97,42.97,0.0,0.0,43.14,43.14,43.14,0.0,0.0,42.71,42.71,42.71,0.0,0.0,43.14,43.14,43.14,0.0,0.0
2018-06-17,42.72,42.72,42.72,0.0,0.0,42.72,42.72,42.72,0.0,0.0,42.1,42.1,42.1,0.0,0.0,42.24,42.24,42.24,0.0,0.0
