Date,Guggenheim S&P Spin-OffEtf_Open_average,Guggenheim S&P Spin-OffEtf_Open_max,Guggenheim S&P Spin-OffEtf_Open_min,Guggenheim S&P Spin-OffEtf_Open_volatility,Guggenheim S&P Spin-OffEtf_Open_change,Guggenheim S&P Spin-OffEtf_High_average,Guggenheim S&P Spin-OffEtf_High_max,Guggenheim S&P Spin-OffEtf_High_min,Guggenheim S&P Spin-OffEtf_High_volatility,Guggenheim S&P Spin-OffEtf_High_change,Guggenheim S&P Spin-OffEtf_Low_average,Guggenheim S&P Spin-OffEtf_Low_max,Guggenheim S&P Spin-OffEtf_Low_min,Guggenheim S&P Spin-OffEtf_Low_volatility,Guggenheim S&P Spin-OffEtf_Low_change,Guggenheim S&P Spin-OffEtf_Close_average,Guggenheim S&P Spin-OffEtf_Close_max,Guggenheim S&P Spin-OffEtf_Close_min,Guggenheim S&P Spin-OffEtf_Close_volatility,Guggenheim S&P Spin-OffEtf_Close_change
2018-01-14,54.84,54.84,54.84,0.0,0.0,54.84,54.84,54.84,0.0,0.0,54.27,54.27,54.27,0.0,0.0,54.54,54.54,54.54,0.0,0.0
2018-01-21,56.04,56.04,56.04,0.0,0.0,56.26,56.26,56.26,0.0,0.0,56.04,56.04,56.04,0.0,0.0,56.16,56.16,56.16,0.0,0.0
2018-01-28,55.07,55.07,55.07,0.0,0.0,55.07,55.07,55.07,0.0,0.0,54.13,54.13,54.13,0.0,0.0,54.37,54.37,54.37,0.0,0.0
2018-02-04,51.32,51.32,51.32,0.0,0.0,51.32,51.32,51.32,0.0,0.0,49.56,49.56,49.56,0.0,0.0,51.01,51.01,51.01,0.0,0.0
2018-02-11,53.39,53.39,53.39,0.0,0.0,53.73,53.73,53.73,0.0,0.0,53.21,53.21,53.21,0.0,0.0,53.58,53.58,53.58,0.0,0.0
2018-02-18,53.98,53.98,53.98,0.0,0.0,54.53,54.53,54.53,0.0,0.0,53.77,53.77,53.77,0.0,0.0,54.53,54.53,54.53,0.0,0.0
2018-02-25,52.32,52.32,52.32,0.0,0.0,53.16,53.16,53.16,0.0,0.0,52.32,52.32,52.32,0.0,0.0,53.16,53.16,53.16,0.0,0.0
2018-03-04,54.99,54.99,54.99,0.0,0.0,55.63,55.63,55.63,0.0,0.0,54.6,54.6,54.6,0.0,0.0,55.63,55.63,55.63,0.0,0.0
2018-03-11,54.61,54.61,54.61,0.0,0.0,54.94,54.94,54.94,0.0,0.0,54.61,54.61,54.61,0.0,0.0,54.92,54.92,54.92,0.0,0.0
2018-03-18,53.32,53.32,53.32,0.0,0.0,53.32,53.32,53.32,0.0,0.0,52.0,52.0,52.0,0.0,0.0,52.0,52.0,52.0,0.0,0.0
2018-03-25,52.72,52.72,52.72,0.0,0.0,53.35,53.35,53.35,0.0,0.0,52.52,52.52,52.52,0.0,0.0,53.35,53.35,53.35,0.0,0.0
2018-04-01,53.24,53.24,53.24,0.0,0.0,53.41,53.41,53.41,0.0,0.0,52.48,52.48,52.48,0.0,0.0,52.7,52.7,52.7,0.0,0.0
2018-04-08,53.95,53.95,53.95,0.0,0.0,53.95,53.95,53.95,0.0,0.0,53.56,53.56,53.56,0.0,0.0,53.56,53.56,53.56,0.0,0.0
2018-04-15,54.7,54.7,54.7,0.0,0.0,54.7,54.7,54.7,0.0,0.0,54.31,54.31,54.31,0.0,0.0,54.31,54.31,54.31,0.0,0.0
