Date,iShares US Financial Services_Open_average,iShares US Financial Services_Open_max,iShares US Financial Services_Open_min,iShares US Financial Services_Open_volatility,iShares US Financial Services_Open_change,iShares US Financial Services_High_average,iShares US Financial Services_High_max,iShares US Financial Services_High_min,iShares US Financial Services_High_volatility,iShares US Financial Services_High_change,iShares US Financial Services_Low_average,iShares US Financial Services_Low_max,iShares US Financial Services_Low_min,iShares US Financial Services_Low_volatility,iShares US Financial Services_Low_change,iShares US Financial Services_Close_average,iShares US Financial Services_Close_max,iShares US Financial Services_Close_min,iShares US Financial Services_Close_volatility,iShares US Financial Services_Close_change
2018-01-14,138.78,138.78,138.78,0.0,0.0,140.12,140.12,140.12,0.0,0.0,138.78,138.78,138.78,0.0,0.0,140.12,140.12,140.12,0.0,0.0
2018-01-21,141.65,141.65,141.65,0.0,0.0,142.14,142.14,142.14,0.0,0.0,140.86,140.86,140.86,0.0,0.0,140.94,140.94,140.94,0.0,0.0
2018-01-28,135.68,135.68,135.68,0.0,0.0,137.62,137.62,137.62,0.0,0.0,130.01,130.01,130.01,0.0,0.0,131.59,131.59,131.59,0.0,0.0
2018-02-04,132.22,132.22,132.22,0.0,0.0,134.18,134.18,134.18,0.0,0.0,131.32,131.32,131.32,0.0,0.0,132.97,132.97,132.97,0.0,0.0
2018-02-11,137.3,137.3,137.3,0.0,0.0,138.78,138.78,138.78,0.0,0.0,137.3,137.3,137.3,0.0,0.0,137.76,137.76,137.76,0.0,0.0
2018-02-18,139.26,139.26,139.26,0.0,0.0,140.09,140.09,140.09,0.0,0.0,138.38,138.38,138.38,0.0,0.0,140.09,140.09,140.09,0.0,0.0
2018-02-25,134.64,134.64,134.64,0.0,0.0,138.02,138.02,138.02,0.0,0.0,134.25,134.25,134.25,0.0,0.0,137.36,137.36,137.36,0.0,0.0
2018-03-04,141.29,141.29,141.29,0.0,0.0,141.65,141.65,141.65,0.0,0.0,140.47,140.47,140.47,0.0,0.0,141.04,141.04,141.04,0.0,0.0
2018-03-11,137.93,137.93,137.93,0.0,0.0,138.09,138.09,138.09,0.0,0.0,135.67,135.67,135.67,0.0,0.0,136.99,136.99,136.99,0.0,0.0
2018-03-18,129.99,129.99,129.99,0.0,0.0,132.13,132.13,132.13,0.0,0.0,128.95,128.95,128.95,0.0,0.0,131.78,131.78,131.78,0.0,0.0
2018-03-25,130.63,130.63,130.63,0.0,0.0,130.92,130.92,130.92,0.0,0.0,126.19,126.19,126.19,0.0,0.0,128.01,128.01,128.01,0.0,0.0
2018-04-01,129.5,129.5,129.5,0.0,0.0,132.26,132.26,132.26,0.0,0.0,129.34,129.34,129.34,0.0,0.0,129.5,129.5,129.5,0.0,0.0
2018-04-08,131.05,131.05,131.05,0.0,0.0,131.55,131.55,131.55,0.0,0.0,130.3,130.3,130.3,0.0,0.0,130.79,130.79,130.79,0.0,0.0
2018-04-15,132.69,132.69,132.69,0.0,0.0,132.95,132.95,132.95,0.0,0.0,131.84,131.84,131.84,0.0,0.0,132.28,132.28,132.28,0.0,0.0
2018-04-22,132.32,132.32,132.32,0.0,0.0,132.92,132.92,132.92,0.0,0.0,131.04,131.04,131.04,0.0,0.0,131.04,131.04,131.04,0.0,0.0
2018-04-29,131.73,131.73,131.73,0.0,0.0,132.62,132.62,132.62,0.0,0.0,131.27,131.27,131.27,0.0,0.0,132.1,132.1,132.1,0.0,0.0
2018-05-06,137.04,137.04,137.04,0.0,0.0,137.09,137.09,137.09,0.0,0.0,136.16,136.16,136.16,0.0,0.0,136.35,136.35,136.35,0.0,0.0
2018-05-13,135.76,135.76,135.76,0.0,0.0,136.5,136.5,136.5,0.0,0.0,135.76,135.76,135.76,0.0,0.0,136.05,136.05,136.05,0.0,0.0
2018-05-20,134.88,134.88,134.88,0.0,0.0,135.12,135.12,135.12,0.0,0.0,134.28,134.28,134.28,0.0,0.0,134.87,134.87,134.87,0.0,0.0
2018-05-27,134.04,134.04,134.04,0.0,0.0,134.39,134.39,134.39,0.0,0.0,133.86,133.86,133.86,0.0,0.0,134.32,134.32,134.32,0.0,0.0
2018-06-03,137.15,137.15,137.15,0.0,0.0,137.56,137.56,137.56,0.0,0.0,136.22,136.22,136.22,0.0,0.0,136.23,136.23,136.23,0.0,0.0
2018-06-10,133.47,133.47,133.47,0.0,0.0,134.65,134.65,134.65,0.0,0.0,133.04,133.04,133.04,0.0,0.0,134.58,134.58,134.58,0.0,0.0
2018-06-17,132.57,132.57,132.57,0.0,0.0,132.57,132.57,132.57,0.0,0.0,130.18,130.18,130.18,0.0,0.0,131.11,131.11,131.11,0.0,0.0
2018-06-24,128.75,128.75,128.75,0.0,0.0,130.42,130.42,130.42,0.0,0.0,128.68,128.68,128.68,0.0,0.0,130.42,130.42,130.42,0.0,0.0
2018-07-01,130.81,130.81,130.81,0.0,0.0,133.25,133.25,133.25,0.0,0.0,130.81,130.81,130.81,0.0,0.0,133.12,133.12,133.12,0.0,0.0
2018-07-08,131.96,131.96,131.96,0.0,0.0,133.95,133.95,133.95,0.0,0.0,131.96,131.96,131.96,0.0,0.0,133.92,133.92,133.92,0.0,0.0
2018-07-15,134.68,134.68,134.68,0.0,0.0,136.69,136.69,136.69,0.0,0.0,134.68,134.68,134.68,0.0,0.0,136.53,136.53,136.53,0.0,0.0
2018-07-22,136.84,136.84,136.84,0.0,0.0,137.26,137.26,137.26,0.0,0.0,135.8,135.8,135.8,0.0,0.0,135.96,135.96,135.96,0.0,0.0
2018-07-29,136.25,136.25,136.25,0.0,0.0,136.74,136.74,136.74,0.0,0.0,135.75,135.75,135.75,0.0,0.0,136.44,136.44,136.44,0.0,0.0
2018-08-05,135.46,135.46,135.46,0.0,0.0,135.9,135.9,135.9,0.0,0.0,134.17,134.17,134.17,0.0,0.0,134.21,134.21,134.21,0.0,0.0
2018-08-12,136.36,136.36,136.36,0.0,0.0,136.97,136.97,136.97,0.0,0.0,136.17,136.17,136.17,0.0,0.0,136.83,136.83,136.83,0.0,0.0
2018-08-19,137.63,137.63,137.63,0.0,0.0,139.31,139.31,139.31,0.0,0.0,137.63,137.63,137.63,0.0,0.0,138.73,138.73,138.73,0.0,0.0
2018-08-26,137.37,137.37,137.37,0.0,0.0,137.92,137.92,137.92,0.0,0.0,137.1,137.1,137.1,0.0,0.0,137.9,137.9,137.9,0.0,0.0
2018-09-02,137.28,137.28,137.28,0.0,0.0,137.47,137.47,137.47,0.0,0.0,136.77,136.77,136.77,0.0,0.0,136.79,136.79,136.79,0.0,0.0
2018-09-09,136.5,136.5,136.5,0.0,0.0,136.74,136.74,136.74,0.0,0.0,135.42,135.42,135.42,0.0,0.0,135.6,135.6,135.6,0.0,0.0
2018-09-16,138.78,138.78,138.78,0.0,0.0,138.78,138.78,138.78,0.0,0.0,137.52,137.52,137.52,0.0,0.0,137.7,137.7,137.7,0.0,0.0
2018-09-23,133.96,133.96,133.96,0.0,0.0,134.76,134.76,134.76,0.0,0.0,133.4,133.4,133.4,0.0,0.0,133.72,133.72,133.72,0.0,0.0
