Date,ProShares UltraShort Bloomberg Natural Gas_Open_average,ProShares UltraShort Bloomberg Natural Gas_Open_max,ProShares UltraShort Bloomberg Natural Gas_Open_min,ProShares UltraShort Bloomberg Natural Gas_Open_volatility,ProShares UltraShort Bloomberg Natural Gas_Open_change,ProShares UltraShort Bloomberg Natural Gas_High_average,ProShares UltraShort Bloomberg Natural Gas_High_max,ProShares UltraShort Bloomberg Natural Gas_High_min,ProShares UltraShort Bloomberg Natural Gas_High_volatility,ProShares UltraShort Bloomberg Natural Gas_High_change,ProShares UltraShort Bloomberg Natural Gas_Low_average,ProShares UltraShort Bloomberg Natural Gas_Low_max,ProShares UltraShort Bloomberg Natural Gas_Low_min,ProShares UltraShort Bloomberg Natural Gas_Low_volatility,ProShares UltraShort Bloomberg Natural Gas_Low_change,ProShares UltraShort Bloomberg Natural Gas_Close_average,ProShares UltraShort Bloomberg Natural Gas_Close_max,ProShares UltraShort Bloomberg Natural Gas_Close_min,ProShares UltraShort Bloomberg Natural Gas_Close_volatility,ProShares UltraShort Bloomberg Natural Gas_Close_change
2018-01-14,38.4,38.4,38.4,0.0,0.0,38.51,38.51,38.51,0.0,0.0,37.67,37.67,37.67,0.0,0.0,37.72,37.72,37.72,0.0,0.0
2018-01-21,34.0,34.0,34.0,0.0,0.0,34.0,34.0,34.0,0.0,0.0,31.98,31.98,31.98,0.0,0.0,32.11,32.11,32.11,0.0,0.0
2018-01-28,40.77,40.77,40.77,0.0,0.0,42.32,42.32,42.32,0.0,0.0,40.43,40.43,40.43,0.0,0.0,41.86,41.86,41.86,0.0,0.0
2018-02-04,47.39,47.39,47.39,0.0,0.0,47.54,47.54,47.54,0.0,0.0,46.74,46.74,46.74,0.0,0.0,47.05,47.05,47.05,0.0,0.0
2018-02-11,46.6,46.6,46.6,0.0,0.0,46.88,46.88,46.88,0.0,0.0,46.3,46.3,46.3,0.0,0.0,46.41,46.41,46.41,0.0,0.0
2018-02-18,43.6,43.6,43.6,0.0,0.0,44.87,44.87,44.87,0.0,0.0,43.5,43.5,43.5,0.0,0.0,43.95,43.95,43.95,0.0,0.0
2018-02-25,43.04,43.04,43.04,0.0,0.0,43.46,43.46,43.46,0.0,0.0,42.77,42.77,42.77,0.0,0.0,43.06,43.06,43.06,0.0,0.0
2018-03-04,41.1,41.1,41.1,0.0,0.0,41.23,41.23,41.23,0.0,0.0,40.4,40.4,40.4,0.0,0.0,40.83,40.83,40.83,0.0,0.0
2018-03-11,44.9,44.9,44.9,0.0,0.0,44.97,44.97,44.97,0.0,0.0,44.5,44.5,44.5,0.0,0.0,44.6,44.6,44.6,0.0,0.0
2018-03-18,45.66,45.66,45.66,0.0,0.0,45.74,45.74,45.74,0.0,0.0,44.9,44.9,44.9,0.0,0.0,44.94,44.94,44.94,0.0,0.0
2018-03-25,44.85,44.85,44.85,0.0,0.0,45.37,45.37,45.37,0.0,0.0,44.39,44.39,44.39,0.0,0.0,44.59,44.59,44.59,0.0,0.0
2018-04-01,44.1,44.1,44.1,0.0,0.0,45.6,45.6,45.6,0.0,0.0,43.92,43.92,43.92,0.0,0.0,43.99,43.99,43.99,0.0,0.0
