Date,iShares Convertible Bond_Open_average,iShares Convertible Bond_Open_max,iShares Convertible Bond_Open_min,iShares Convertible Bond_Open_volatility,iShares Convertible Bond_Open_change,iShares Convertible Bond_High_average,iShares Convertible Bond_High_max,iShares Convertible Bond_High_min,iShares Convertible Bond_High_volatility,iShares Convertible Bond_High_change,iShares Convertible Bond_Low_average,iShares Convertible Bond_Low_max,iShares Convertible Bond_Low_min,iShares Convertible Bond_Low_volatility,iShares Convertible Bond_Low_change,iShares Convertible Bond_Close_average,iShares Convertible Bond_Close_max,iShares Convertible Bond_Close_min,iShares Convertible Bond_Close_volatility,iShares Convertible Bond_Close_change
2018-01-14,57.13,57.13,57.13,0.0,0.0,57.2,57.2,57.2,0.0,0.0,56.91,56.91,56.91,0.0,0.0,57.2,57.2,57.2,0.0,0.0
2018-01-21,57.36,57.36,57.36,0.0,0.0,57.89,57.89,57.89,0.0,0.0,57.24,57.24,57.24,0.0,0.0,57.89,57.89,57.89,0.0,0.0
2018-01-28,56.81,56.81,56.81,0.0,0.0,56.81,56.81,56.81,0.0,0.0,56.02,56.02,56.02,0.0,0.0,56.02,56.02,56.02,0.0,0.0
2018-02-04,54.11,54.11,54.11,0.0,0.0,54.22,54.22,54.22,0.0,0.0,53.04,53.04,53.04,0.0,0.0,54.07,54.07,54.07,0.0,0.0
2018-02-11,55.85,55.85,55.85,0.0,0.0,56.12,56.12,56.12,0.0,0.0,55.7,55.7,55.7,0.0,0.0,55.8,55.8,55.8,0.0,0.0
2018-02-18,56.15,56.15,56.15,0.0,0.0,56.57,56.57,56.57,0.0,0.0,56.03,56.03,56.03,0.0,0.0,56.57,56.57,56.57,0.0,0.0
2018-02-25,55.78,55.78,55.78,0.0,0.0,56.47,56.47,56.47,0.0,0.0,55.54,55.54,55.54,0.0,0.0,56.47,56.47,56.47,0.0,0.0
2018-03-04,58.0,58.0,58.0,0.0,0.0,58.24,58.24,58.24,0.0,0.0,57.89,57.89,57.89,0.0,0.0,58.23,58.23,58.23,0.0,0.0
2018-03-11,58.55,58.55,58.55,0.0,0.0,58.55,58.55,58.55,0.0,0.0,58.15,58.15,58.15,0.0,0.0,58.17,58.17,58.17,0.0,0.0
2018-03-18,57.54,57.54,57.54,0.0,0.0,57.6,57.6,57.6,0.0,0.0,56.49,56.49,56.49,0.0,0.0,56.49,56.49,56.49,0.0,0.0
