Date,Global X MSCI China Communication Services_etf_Open_average,Global X MSCI China Communication Services_etf_Open_max,Global X MSCI China Communication Services_etf_Open_min,Global X MSCI China Communication Services_etf_Open_volatility,Global X MSCI China Communication Services_etf_Open_change,Global X MSCI China Communication Services_etf_High_average,Global X MSCI China Communication Services_etf_High_max,Global X MSCI China Communication Services_etf_High_min,Global X MSCI China Communication Services_etf_High_volatility,Global X MSCI China Communication Services_etf_High_change,Global X MSCI China Communication Services_etf_Low_average,Global X MSCI China Communication Services_etf_Low_max,Global X MSCI China Communication Services_etf_Low_min,Global X MSCI China Communication Services_etf_Low_volatility,Global X MSCI China Communication Services_etf_Low_change,Global X MSCI China Communication Services_etf_Close_average,Global X MSCI China Communication Services_etf_Close_max,Global X MSCI China Communication Services_etf_Close_min,Global X MSCI China Communication Services_etf_Close_volatility,Global X MSCI China Communication Services_etf_Close_change
2018-01-14,33.28,33.28,33.28,0.0,0.0,33.45,33.45,33.45,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.39,33.39,33.39,0.0,0.0
2018-01-21,33.7,33.7,33.7,0.0,0.0,34.11,34.11,34.11,0.0,0.0,33.7,33.7,33.7,0.0,0.0,34.08,34.08,34.08,0.0,0.0
2018-01-28,32.07,32.07,32.07,0.0,0.0,32.09,32.09,32.09,0.0,0.0,31.24,31.24,31.24,0.0,0.0,31.35,31.35,31.35,0.0,0.0
2018-02-04,28.69,28.69,28.69,0.0,0.0,29.25,29.25,29.25,0.0,0.0,27.8,27.8,27.8,0.0,0.0,29.23,29.23,29.23,0.0,0.0
2018-02-11,31.51,31.51,31.51,0.0,0.0,32.12,32.12,32.12,0.0,0.0,31.38,31.38,31.38,0.0,0.0,31.47,31.47,31.47,0.0,0.0
2018-02-18,31.84,31.84,31.84,0.0,0.0,32.46,32.46,32.46,0.0,0.0,31.84,31.84,31.84,0.0,0.0,32.46,32.46,32.46,0.0,0.0
2018-02-25,31.0,31.0,31.0,0.0,0.0,31.81,31.81,31.81,0.0,0.0,30.59,30.59,30.59,0.0,0.0,31.6,31.6,31.6,0.0,0.0
2018-03-04,32.8,32.8,32.8,0.0,0.0,33.19,33.19,33.19,0.0,0.0,32.77,32.77,32.77,0.0,0.0,33.19,33.19,33.19,0.0,0.0
2018-03-11,32.9,32.9,32.9,0.0,0.0,33.03,33.03,33.03,0.0,0.0,32.76,32.76,32.76,0.0,0.0,33.02,33.02,33.02,0.0,0.0
2018-03-18,31.0,31.0,31.0,0.0,0.0,31.05,31.05,31.05,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.42,30.42,30.42,0.0,0.0
2018-03-25,30.18,30.18,30.18,0.0,0.0,30.5,30.5,30.5,0.0,0.0,29.93,29.93,29.93,0.0,0.0,30.47,30.47,30.47,0.0,0.0
