Date,MIND_stock_Open_average,MIND_stock_Open_max,MIND_stock_Open_min,MIND_stock_Open_volatility,MIND_stock_Open_change,MIND_stock_High_average,MIND_stock_High_max,MIND_stock_High_min,MIND_stock_High_volatility,MIND_stock_High_change,MIND_stock_Low_average,MIND_stock_Low_max,MIND_stock_Low_min,MIND_stock_Low_volatility,MIND_stock_Low_change,MIND_stock_Close_average,MIND_stock_Close_max,MIND_stock_Close_min,MIND_stock_Close_volatility,MIND_stock_Close_change,MIND_stock_Volume_average,MIND_stock_Volume_max,MIND_stock_Volume_min,MIND_stock_Volume_volatility,MIND_stock_Volume_change
2018-01-14,3.826,4.034,3.61,0.42399999999999993,-0.42399999999999993,3.9825,4.08,3.91,0.16999999999999993,-0.0600000000000005,3.64925,3.82,3.477,0.34299999999999997,-0.34299999999999997,3.8,3.96,3.6,0.3599999999999999,0.08000000000000007,14839,24391,9252,15139,-10161
2018-01-21,3.802,3.94,3.66,0.2799999999999998,-0.18999999999999995,3.9756,4.2,3.87,0.33000000000000007,0.017999999999999794,3.704,3.83,3.62,0.20999999999999996,0.0900000000000003,3.786,3.88,3.64,0.23999999999999977,0.17999999999999972,21211,64344,4755,59589,-629
2018-01-28,3.764,3.8,3.73,0.06999999999999984,0.04999999999999982,3.81,3.88,3.77,0.10999999999999988,0.009999999999999787,3.7348,3.79,3.654,0.13600000000000012,-0.07600000000000007,3.754,3.82,3.68,0.13999999999999968,-0.07999999999999963,24153,72547,3024,69523,-37935
2018-02-04,3.418,3.65,3.33,0.31999999999999984,-0.29000000000000004,3.5,3.65,3.41,0.23999999999999977,-0.1499999999999999,3.2723999999999998,3.32,3.2,0.11999999999999966,-0.06800000000000006,3.338,3.42,3.3,0.1200000000000001,0.03000000000000025,33348,71616,8983,62633,42248
2018-02-11,3.4322,3.571,3.3,0.27100000000000035,0.20999999999999996,3.5042,3.6,3.4,0.20000000000000018,0.1200000000000001,3.3686000000000003,3.45,3.2460000000000004,0.20399999999999974,0.20399999999999974,3.454,3.51,3.37,0.13999999999999968,0.08000000000000007,6248,11365,1691,9674,-9674
2018-02-18,3.44,3.5,3.4,0.10000000000000009,-0.050000000000000266,3.5524999999999998,3.59,3.5,0.08999999999999986,0.020000000000000018,3.4,3.45,3.35,0.10000000000000009,-0.050000000000000266,3.465,3.56,3.4,0.16000000000000014,0.06000000000000005,15792,57672,404,57268,-55766
2018-02-25,3.552,3.64,3.51,0.13000000000000034,-0.03000000000000025,3.5762,3.64,3.52,0.1200000000000001,-0.009999999999999787,3.4979999999999998,3.51,3.45,0.05999999999999961,-0.05999999999999961,3.524,3.56,3.51,0.050000000000000266,0.040000000000000036,5956,15358,517,14841,6234
2018-03-04,3.4062,3.53,3.33,0.19999999999999973,-0.16999999999999993,3.468,3.53,3.39,0.13999999999999968,-0.03999999999999959,3.3424,3.3810000000000002,3.325,0.05600000000000005,-0.05600000000000005,3.42,3.49,3.34,0.15000000000000036,0.050000000000000266,11189,20503,6477,14026,-7160
2018-03-11,3.354,3.48,3.18,0.2999999999999998,-0.2799999999999998,3.426,3.6,3.26,0.3400000000000003,-0.21999999999999975,3.2600000000000002,3.41,3.08,0.33000000000000007,-0.22999999999999998,3.316,3.53,3.2,0.3299999999999996,-0.3299999999999996,31698,95875,9957,85918,-20740
2018-03-18,3.346,3.55,3.2,0.34999999999999964,0.27,3.4636,3.648,3.24,0.4079999999999999,0.3299999999999996,3.2738,3.3480000000000003,3.2,0.14800000000000013,0.11100000000000021,3.4214,3.531,3.216,0.31499999999999995,0.2839999999999998,22300,69233,688,68545,6382
2018-03-25,3.39675,3.49,3.26,0.23000000000000043,-0.23000000000000043,3.40925,3.5,3.3,0.20000000000000018,-0.20000000000000018,3.2592499999999998,3.35,3.17,0.18000000000000016,-0.08299999999999974,3.2925,3.39,3.21,0.18000000000000016,-0.08999999999999986,11469,32109,1925,30184,24218
2018-04-01,3.2754,3.407,3.14,0.2669999999999999,-0.06999999999999984,3.384,3.55,3.26,0.29000000000000004,-0.029999999999999805,3.1786,3.2560000000000002,3.095,0.16100000000000003,-0.021999999999999797,3.32,3.55,3.14,0.4099999999999997,-0.040000000000000036,8695,25058,2776,22282,-4423
2018-04-08,3.1778,3.259,3.07,0.18900000000000006,-0.16900000000000004,3.2754,3.4,3.148,0.2519999999999998,-0.1419999999999999,3.109,3.23,3.02,0.20999999999999996,-0.1549999999999998,3.166,3.31,3.04,0.27,-0.16999999999999993,14836,29957,4194,25763,5970
2018-04-15,3.0442,3.09,3.02,0.06999999999999984,0.001000000000000334,3.129,3.145,3.12,0.02499999999999991,0.0,2.9824,3.03,2.861,0.1689999999999996,0.001000000000000334,3.044,3.1,3.01,0.0900000000000003,0.050000000000000266,118581,327758,8580,319178,5371
2018-04-22,3.198,3.31,3.1,0.20999999999999996,0.16999999999999993,3.274,3.35,3.1,0.25,0.20999999999999996,3.1768,3.26,3.08,0.17999999999999972,0.15600000000000014,3.2358,3.32,3.09,0.22999999999999998,0.20999999999999996,23167,33557,11245,22312,12229
2018-04-29,3.318,3.39,3.27,0.1200000000000001,0.1200000000000001,3.37,3.47,3.27,0.20000000000000018,0.20000000000000018,3.25,3.37,3.15,0.2200000000000002,0.2200000000000002,3.34,3.41,3.25,0.16000000000000014,0.1499999999999999,27343,40947,13576,27371,-2444
2018-05-06,3.536,3.6,3.46,0.14000000000000012,0.08000000000000007,3.658,3.7,3.58,0.1200000000000001,0.1200000000000001,3.488,3.55,3.4,0.1499999999999999,0.10999999999999988,3.582,3.64,3.55,0.0900000000000003,0.0900000000000003,75833,347846,2269,345577,333794
2018-05-13,3.7138,3.9389999999999996,3.4,0.5389999999999997,0.24899999999999967,3.92,4.0,3.82,0.18000000000000016,0.1200000000000001,3.664,3.83,3.26,0.5700000000000003,0.14000000000000012,3.82,3.93,3.74,0.18999999999999995,0.1499999999999999,18310,39602,4535,35067,27214
