Date,SPDR S&P Health Care Services_etf_Open_average,SPDR S&P Health Care Services_etf_Open_max,SPDR S&P Health Care Services_etf_Open_min,SPDR S&P Health Care Services_etf_Open_volatility,SPDR S&P Health Care Services_etf_Open_change,SPDR S&P Health Care Services_etf_High_average,SPDR S&P Health Care Services_etf_High_max,SPDR S&P Health Care Services_etf_High_min,SPDR S&P Health Care Services_etf_High_volatility,SPDR S&P Health Care Services_etf_High_change,SPDR S&P Health Care Services_etf_Low_average,SPDR S&P Health Care Services_etf_Low_max,SPDR S&P Health Care Services_etf_Low_min,SPDR S&P Health Care Services_etf_Low_volatility,SPDR S&P Health Care Services_etf_Low_change,SPDR S&P Health Care Services_etf_Close_average,SPDR S&P Health Care Services_etf_Close_max,SPDR S&P Health Care Services_etf_Close_min,SPDR S&P Health Care Services_etf_Close_volatility,SPDR S&P Health Care Services_etf_Close_change
2018-01-14,65.31,65.31,65.31,0.0,0.0,65.83,65.83,65.83,0.0,0.0,65.23,65.23,65.23,0.0,0.0,65.83,65.83,65.83,0.0,0.0
2018-01-21,67.33,67.33,67.33,0.0,0.0,67.75,67.75,67.75,0.0,0.0,67.33,67.33,67.33,0.0,0.0,67.73,67.73,67.73,0.0,0.0
2018-01-28,65.41,65.41,65.41,0.0,0.0,65.41,65.41,65.41,0.0,0.0,64.22,64.22,64.22,0.0,0.0,64.5,64.5,64.5,0.0,0.0
2018-02-04,62.87,62.87,62.87,0.0,0.0,62.87,62.87,62.87,0.0,0.0,60.91,60.91,60.91,0.0,0.0,62.73,62.73,62.73,0.0,0.0
2018-02-11,63.75,63.75,63.75,0.0,0.0,64.87,64.87,64.87,0.0,0.0,63.75,63.75,63.75,0.0,0.0,64.52,64.52,64.52,0.0,0.0
2018-02-18,63.65,63.65,63.65,0.0,0.0,64.12,64.12,64.12,0.0,0.0,63.23,63.23,63.23,0.0,0.0,64.12,64.12,64.12,0.0,0.0
2018-02-25,62.25,62.25,62.25,0.0,0.0,63.53,63.53,63.53,0.0,0.0,62.25,62.25,62.25,0.0,0.0,63.53,63.53,63.53,0.0,0.0
2018-03-04,65.59,65.59,65.59,0.0,0.0,66.21,66.21,66.21,0.0,0.0,65.57,65.57,65.57,0.0,0.0,66.15,66.15,66.15,0.0,0.0
2018-03-11,65.54,65.54,65.54,0.0,0.0,65.56,65.56,65.56,0.0,0.0,65.42,65.42,65.42,0.0,0.0,65.42,65.42,65.42,0.0,0.0
2018-03-18,63.63,63.63,63.63,0.0,0.0,63.68,63.68,63.68,0.0,0.0,62.49,62.49,62.49,0.0,0.0,62.49,62.49,62.49,0.0,0.0
2018-03-25,62.54,62.54,62.54,0.0,0.0,63.0,63.0,63.0,0.0,0.0,62.44,62.44,62.44,0.0,0.0,63.0,63.0,63.0,0.0,0.0
2018-04-01,63.55,63.55,63.55,0.0,0.0,63.55,63.55,63.55,0.0,0.0,62.77,62.77,62.77,0.0,0.0,63.05,63.05,63.05,0.0,0.0
2018-04-08,63.78,63.78,63.78,0.0,0.0,63.91,63.91,63.91,0.0,0.0,63.62,63.62,63.62,0.0,0.0,63.62,63.62,63.62,0.0,0.0
2018-04-15,65.04,65.04,65.04,0.0,0.0,65.04,65.04,65.04,0.0,0.0,65.04,65.04,65.04,0.0,0.0,65.04,65.04,65.04,0.0,0.0
2018-04-22,64.93,64.93,64.93,0.0,0.0,65.71,65.71,65.71,0.0,0.0,64.87,64.87,64.87,0.0,0.0,65.65,65.65,65.65,0.0,0.0
2018-04-29,65.2,65.2,65.2,0.0,0.0,66.06,66.06,66.06,0.0,0.0,64.95,64.95,64.95,0.0,0.0,65.73,65.73,65.73,0.0,0.0
2018-05-06,66.42,66.42,66.42,0.0,0.0,66.86,66.86,66.86,0.0,0.0,66.06,66.06,66.06,0.0,0.0,66.81,66.81,66.81,0.0,0.0
2018-05-13,68.22,68.22,68.22,0.0,0.0,68.39,68.39,68.39,0.0,0.0,68.05,68.05,68.05,0.0,0.0,68.39,68.39,68.39,0.0,0.0
2018-05-20,67.7,67.7,67.7,0.0,0.0,68.33,68.33,68.33,0.0,0.0,67.7,67.7,67.7,0.0,0.0,67.92,67.92,67.92,0.0,0.0
2018-05-27,67.92,67.92,67.92,0.0,0.0,67.92,67.92,67.92,0.0,0.0,67.47,67.47,67.47,0.0,0.0,67.74,67.74,67.74,0.0,0.0
2018-06-03,68.81,68.81,68.81,0.0,0.0,69.4,69.4,69.4,0.0,0.0,68.81,68.81,68.81,0.0,0.0,69.4,69.4,69.4,0.0,0.0
2018-06-10,71.19,71.19,71.19,0.0,0.0,71.41,71.41,71.41,0.0,0.0,71.06,71.06,71.06,0.0,0.0,71.2,71.2,71.2,0.0,0.0
2018-06-17,72.59,72.59,72.59,0.0,0.0,72.59,72.59,72.59,0.0,0.0,72.25,72.25,72.25,0.0,0.0,72.25,72.25,72.25,0.0,0.0
2018-06-24,69.97,69.97,69.97,0.0,0.0,69.97,69.97,69.97,0.0,0.0,69.5,69.5,69.5,0.0,0.0,69.5,69.5,69.5,0.0,0.0
2018-07-01,70.77,70.77,70.77,0.0,0.0,71.23,71.23,71.23,0.0,0.0,70.77,70.77,70.77,0.0,0.0,71.22,71.22,71.22,0.0,0.0
