Date,ProShares UltraShort Semiconductors_Open_average,ProShares UltraShort Semiconductors_Open_max,ProShares UltraShort Semiconductors_Open_min,ProShares UltraShort Semiconductors_Open_volatility,ProShares UltraShort Semiconductors_Open_change,ProShares UltraShort Semiconductors_High_average,ProShares UltraShort Semiconductors_High_max,ProShares UltraShort Semiconductors_High_min,ProShares UltraShort Semiconductors_High_volatility,ProShares UltraShort Semiconductors_High_change,ProShares UltraShort Semiconductors_Low_average,ProShares UltraShort Semiconductors_Low_max,ProShares UltraShort Semiconductors_Low_min,ProShares UltraShort Semiconductors_Low_volatility,ProShares UltraShort Semiconductors_Low_change,ProShares UltraShort Semiconductors_Close_average,ProShares UltraShort Semiconductors_Close_max,ProShares UltraShort Semiconductors_Close_min,ProShares UltraShort Semiconductors_Close_volatility,ProShares UltraShort Semiconductors_Close_change
2018-01-14,36.0,36.0,36.0,0.0,0.0,36.0,36.0,36.0,0.0,0.0,35.44,35.44,35.44,0.0,0.0,35.44,35.44,35.44,0.0,0.0
2018-01-21,34.86,34.86,34.86,0.0,0.0,35.08,35.08,35.08,0.0,0.0,34.52,34.52,34.52,0.0,0.0,34.56,34.56,34.56,0.0,0.0
2018-01-28,39.12,39.12,39.12,0.0,0.0,42.2,42.2,42.2,0.0,0.0,37.64,37.64,37.64,0.0,0.0,41.13,41.13,41.13,0.0,0.0
2018-02-04,38.95,38.95,38.95,0.0,0.0,40.32,40.32,40.32,0.0,0.0,38.8,38.8,38.8,0.0,0.0,39.2,39.2,39.2,0.0,0.0
2018-02-11,36.6,36.6,36.6,0.0,0.0,36.6,36.6,36.6,0.0,0.0,35.92,35.92,35.92,0.0,0.0,36.52,36.52,36.52,0.0,0.0
2018-02-18,34.36,34.36,34.36,0.0,0.0,34.48,34.48,34.48,0.0,0.0,33.09,33.09,33.09,0.0,0.0,33.17,33.17,33.17,0.0,0.0
2018-02-25,34.4,34.4,34.4,0.0,0.0,34.4,34.4,34.4,0.0,0.0,33.44,33.44,33.44,0.0,0.0,33.48,33.48,33.48,0.0,0.0
2018-03-04,30.73,30.73,30.73,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.29,30.29,30.29,0.0,0.0
2018-03-11,32.12,32.12,32.12,0.0,0.0,33.28,33.28,33.28,0.0,0.0,31.92,31.92,31.92,0.0,0.0,32.72,32.72,32.72,0.0,0.0
2018-03-18,34.0,34.0,34.0,0.0,0.0,34.67,34.67,34.67,0.0,0.0,32.26,32.26,32.26,0.0,0.0,32.26,32.26,32.26,0.0,0.0
2018-03-25,35.0,35.0,35.0,0.0,0.0,37.96,37.96,37.96,0.0,0.0,34.48,34.48,34.48,0.0,0.0,37.08,37.08,37.08,0.0,0.0
2018-04-01,37.4,37.4,37.4,0.0,0.0,37.4,37.4,37.4,0.0,0.0,34.88,34.88,34.88,0.0,0.0,37.27,37.27,37.27,0.0,0.0
