Date,JD_stock_Open_average,JD_stock_Open_max,JD_stock_Open_min,JD_stock_Open_volatility,JD_stock_Open_change,JD_stock_High_average,JD_stock_High_max,JD_stock_High_min,JD_stock_High_volatility,JD_stock_High_change,JD_stock_Low_average,JD_stock_Low_max,JD_stock_Low_min,JD_stock_Low_volatility,JD_stock_Low_change,JD_stock_Close_average,JD_stock_Close_max,JD_stock_Close_min,JD_stock_Close_volatility,JD_stock_Close_change,JD_stock_Volume_average,JD_stock_Volume_max,JD_stock_Volume_min,JD_stock_Volume_volatility,JD_stock_Volume_change
2018-01-14,46.765,47.32,46.15,1.1700000000000017,-1.1700000000000017,46.8825,47.4,46.4,1.0,-1.0,45.7775,46.02,45.57,0.45000000000000284,-0.3500000000000014,46.2475,46.61,45.9,0.7100000000000009,-0.4399999999999977,9347963,13359672,6650566,6709106,-6709106
2018-01-21,46.262,48.23,45.4,2.8299999999999983,2.719999999999999,47.506,50.55,45.6,4.949999999999996,4.949999999999996,45.512,48.11,43.34,4.769999999999996,4.769999999999996,47.012,50.5,45.18,5.32,5.240000000000002,18620260,25705402,13589749,12115653,7275002
2018-01-28,48.794000000000004,50.6,46.89,3.710000000000001,-2.6099999999999994,49.51,50.68,48.02,2.6599999999999966,-2.6599999999999966,47.676,49.71,45.5,4.210000000000001,-3.789999999999999,48.402,49.94,46.03,3.9099999999999966,-3.9099999999999966,16667276,19814438,13417983,6396455,160717
2018-02-04,44.104,45.03,42.62,2.4100000000000037,-2.4100000000000037,45.304,47.64,43.41,4.230000000000004,-4.230000000000004,42.806,44.22,40.93,3.289999999999999,-3.1799999999999997,43.844,45.05,42.25,2.799999999999997,-1.6700000000000017,17963963,20648878,14960187,5688691,-1078904
2018-02-11,45.434000000000005,47.78,43.68,4.100000000000001,3.4200000000000017,46.258,47.91,44.09,3.819999999999993,3.2099999999999937,44.778,46.3,43.04,3.259999999999998,3.259999999999998,45.732,47.11,43.72,3.3900000000000006,2.700000000000003,10759472,16726990,7362644,9364346,-4113198
2018-02-18,47.505,48.22,46.34,1.8799999999999955,1.8799999999999955,48.2725,48.8,47.92,0.8799999999999955,0.4399999999999977,47.0175,47.48,46.3,1.1799999999999997,1.1799999999999997,47.5625,48.35,46.93,1.4200000000000017,1.4200000000000017,11166292,14555629,9622201,4933428,-1026354
2018-02-25,47.022,49.0,42.98,6.020000000000003,-6.020000000000003,47.508,49.0,43.99,5.009999999999998,-5.009999999999998,45.766,48.19,41.8,6.390000000000001,-6.390000000000001,46.6,48.8,43.8,5.0,-5.0,16964677,34896968,9126891,25770077,25770077
2018-03-04,43.984,45.71,42.8,2.9100000000000037,2.3400000000000034,44.748,46.13,43.65,2.480000000000004,2.480000000000004,43.396,45.29,41.89,3.3999999999999986,3.3999999999999986,44.328,45.71,42.99,2.719999999999999,2.719999999999999,14628114,22091042,10069730,12021312,-12021312
2018-03-11,45.372,46.02,44.77,1.25,-1.0300000000000011,45.632,46.31,45.15,1.1600000000000037,-1.0900000000000034,44.506,45.45,43.9,1.5500000000000043,-0.7000000000000028,44.866,46.01,44.09,1.9199999999999946,-1.0399999999999991,13082906,15869334,8896163,6973171,5763221
2018-03-18,43.62,44.36,42.3,2.0600000000000023,-1.9600000000000009,43.934,44.69,42.89,1.7999999999999972,-1.7999999999999972,42.568,43.75,40.66,3.0900000000000034,-2.770000000000003,43.007999999999996,44.15,40.87,3.280000000000001,-3.280000000000001,16462342,19223716,11270567,7953149,-287804
