Date,LUNA_stock_Open_average,LUNA_stock_Open_max,LUNA_stock_Open_min,LUNA_stock_Open_volatility,LUNA_stock_Open_change,LUNA_stock_High_average,LUNA_stock_High_max,LUNA_stock_High_min,LUNA_stock_High_volatility,LUNA_stock_High_change,LUNA_stock_Low_average,LUNA_stock_Low_max,LUNA_stock_Low_min,LUNA_stock_Low_volatility,LUNA_stock_Low_change,LUNA_stock_Close_average,LUNA_stock_Close_max,LUNA_stock_Close_min,LUNA_stock_Close_volatility,LUNA_stock_Close_change,LUNA_stock_Volume_average,LUNA_stock_Volume_max,LUNA_stock_Volume_min,LUNA_stock_Volume_volatility,LUNA_stock_Volume_change
2018-01-14,2.5025,2.59,2.42,0.16999999999999993,-0.16999999999999993,2.545,2.64,2.48,0.16000000000000014,-0.16000000000000014,2.4225,2.46,2.4,0.06000000000000005,-0.04999999999999982,2.4725,2.5,2.43,0.06999999999999984,-0.029999999999999805,132737,189820,88887,100933,-71676
2018-01-21,2.378,2.48,2.28,0.20000000000000018,-0.20000000000000018,2.416,2.5,2.35,0.1499999999999999,-0.1499999999999999,2.292,2.39,2.18,0.20999999999999996,-0.13000000000000034,2.346,2.45,2.28,0.17000000000000037,-0.15000000000000036,63994,83927,35631,48296,-11283
2018-01-28,2.208,2.28,2.17,0.10999999999999988,-0.06999999999999984,2.26,2.34,2.2,0.13999999999999968,-0.06000000000000005,2.154,2.18,2.11,0.07000000000000028,-0.07000000000000028,2.186,2.23,2.12,0.10999999999999988,-0.10999999999999988,85468,137120,36545,100575,-13829
2018-02-04,2.126,2.18,2.09,0.0900000000000003,0.04999999999999982,2.208,2.25,2.15,0.10000000000000009,0.009999999999999787,2.072,2.1,2.03,0.07000000000000028,0.020000000000000018,2.14,2.2,2.05,0.15000000000000036,0.0,116600,169801,60786,109015,65294
2018-02-11,2.262,2.31,2.18,0.1299999999999999,-0.06000000000000005,2.336,2.35,2.32,0.03000000000000025,-0.020000000000000018,2.222,2.27,2.18,0.08999999999999986,0.0,2.274,2.31,2.23,0.08000000000000007,-0.06000000000000005,31998,53935,20289,33646,10607
2018-02-18,2.3525,2.48,2.2,0.2799999999999998,0.2799999999999998,2.4625000000000004,2.54,2.43,0.10999999999999988,0.10999999999999988,2.3225,2.4,2.2,0.19999999999999973,0.19999999999999973,2.415,2.52,2.31,0.20999999999999996,0.20999999999999996,96520,175158,38200,136958,12081
2018-02-25,2.584,2.68,2.51,0.17000000000000037,-0.020000000000000018,2.638,2.68,2.58,0.10000000000000009,0.020000000000000018,2.4739999999999998,2.55,2.32,0.22999999999999998,-0.18000000000000016,2.588,2.67,2.5,0.16999999999999993,0.010000000000000231,102620,199110,62174,136936,-28596
2018-03-04,2.586,2.62,2.56,0.06000000000000005,0.050000000000000266,2.624,2.65,2.6,0.04999999999999982,0.03000000000000025,2.556,2.61,2.52,0.08999999999999986,0.08999999999999986,2.584,2.63,2.55,0.08000000000000007,0.06999999999999984,44558,77295,25894,51401,-16589
2018-03-11,2.592,2.66,2.52,0.14000000000000012,-0.08999999999999986,2.618,2.66,2.56,0.10000000000000009,-0.08999999999999986,2.504,2.56,2.39,0.16999999999999993,-0.050000000000000266,2.566,2.59,2.54,0.04999999999999982,-0.009999999999999787,35047,61263,22601,38662,-28760
2018-03-18,2.664,2.91,2.56,0.3500000000000001,0.3500000000000001,2.806,3.15,2.59,0.56,0.56,2.612,2.9,2.48,0.41999999999999993,0.3999999999999999,2.752,3.09,2.53,0.56,0.54,345709,563192,51632,511560,485995
2018-03-25,3.1675,3.25,3.1,0.1499999999999999,0.06000000000000005,3.24,3.27,3.19,0.08000000000000007,0.08000000000000007,3.0775,3.19,2.96,0.22999999999999998,0.22999999999999998,3.1675,3.24,3.1,0.14000000000000012,0.14000000000000012,207129,283999,128958,155041,-155041
