Date,ProShares UltraShort Gold_Open_average,ProShares UltraShort Gold_Open_max,ProShares UltraShort Gold_Open_min,ProShares UltraShort Gold_Open_volatility,ProShares UltraShort Gold_Open_change,ProShares UltraShort Gold_High_average,ProShares UltraShort Gold_High_max,ProShares UltraShort Gold_High_min,ProShares UltraShort Gold_High_volatility,ProShares UltraShort Gold_High_change,ProShares UltraShort Gold_Low_average,ProShares UltraShort Gold_Low_max,ProShares UltraShort Gold_Low_min,ProShares UltraShort Gold_Low_volatility,ProShares UltraShort Gold_Low_change,ProShares UltraShort Gold_Close_average,ProShares UltraShort Gold_Close_max,ProShares UltraShort Gold_Close_min,ProShares UltraShort Gold_Close_volatility,ProShares UltraShort Gold_Close_change
2018-01-14,66.2,66.2,66.2,0.0,0.0,66.31,66.31,66.31,0.0,0.0,65.85,65.85,65.85,0.0,0.0,65.93,65.93,65.93,0.0,0.0
2018-01-21,65.09,65.09,65.09,0.0,0.0,65.67,65.67,65.67,0.0,0.0,64.82,64.82,64.82,0.0,0.0,65.23,65.23,65.23,0.0,0.0
2018-01-28,65.73,65.73,65.73,0.0,0.0,66.25,66.25,66.25,0.0,0.0,65.41,65.41,65.41,0.0,0.0,65.82,65.82,65.82,0.0,0.0
2018-02-04,67.55,67.55,67.55,0.0,0.0,67.61,67.61,67.61,0.0,0.0,66.9,66.9,66.9,0.0,0.0,67.2,67.2,67.2,0.0,0.0
2018-02-11,64.15,64.15,64.15,0.0,0.0,64.95,64.95,64.95,0.0,0.0,63.92,63.92,63.92,0.0,0.0,64.74,64.74,64.74,0.0,0.0
2018-02-18,66.15,66.15,66.15,0.0,0.0,66.39,66.39,66.39,0.0,0.0,65.8,65.8,65.8,0.0,0.0,66.13,66.13,66.13,0.0,0.0
2018-02-25,67.27,67.27,67.27,0.0,0.0,67.58,67.58,67.58,0.0,0.0,67.23,67.23,67.23,0.0,0.0,67.55,67.55,67.55,0.0,0.0
2018-03-04,67.6,67.6,67.6,0.0,0.0,67.76,67.76,67.76,0.0,0.0,67.05,67.05,67.05,0.0,0.0,67.07,67.07,67.07,0.0,0.0
2018-03-11,68.19,68.19,68.19,0.0,0.0,68.46,68.46,68.46,0.0,0.0,67.55,67.55,67.55,0.0,0.0,67.82,67.82,67.82,0.0,0.0
2018-03-18,64.47,64.47,64.47,0.0,0.0,64.52,64.52,64.52,0.0,0.0,63.95,63.95,63.95,0.0,0.0,64.24,64.24,64.24,0.0,0.0
2018-03-25,66.19,66.19,66.19,0.0,0.0,66.19,66.19,66.19,0.0,0.0,65.0,65.0,65.0,0.0,0.0,65.2,65.2,65.2,0.0,0.0
2018-04-01,66.25,66.25,66.25,0.0,0.0,66.42,66.42,66.42,0.0,0.0,65.69,65.69,65.69,0.0,0.0,65.73,65.73,65.73,0.0,0.0
2018-04-08,64.9,64.9,64.9,0.0,0.0,65.0,65.0,65.0,0.0,0.0,64.54,64.54,64.54,0.0,0.0,65.0,65.0,65.0,0.0,0.0
2018-04-15,67.08,67.08,67.08,0.0,0.0,67.39,67.39,67.39,0.0,0.0,66.95,66.95,66.95,0.0,0.0,67.23,67.23,67.23,0.0,0.0
2018-04-22,68.38,68.38,68.38,0.0,0.0,68.58,68.58,68.58,0.0,0.0,67.51,67.51,67.51,0.0,0.0,68.14,68.14,68.14,0.0,0.0
2018-04-29,68.41,68.41,68.41,0.0,0.0,68.51,68.51,68.51,0.0,0.0,68.11,68.11,68.11,0.0,0.0,68.21,68.21,68.21,0.0,0.0
2018-05-06,67.63,67.63,67.63,0.0,0.0,68.55,68.55,68.55,0.0,0.0,67.48,67.48,67.48,0.0,0.0,68.31,68.31,68.31,0.0,0.0
2018-05-13,70.94,70.94,70.94,0.0,0.0,71.22,71.22,71.22,0.0,0.0,70.54,70.54,70.54,0.0,0.0,70.58,70.58,70.58,0.0,0.0
2018-05-20,69.16,69.16,69.16,0.0,0.0,69.68,69.68,69.68,0.0,0.0,69.16,69.16,69.16,0.0,0.0,69.65,69.65,69.65,0.0,0.0
2018-05-27,70.07,70.07,70.07,0.0,0.0,70.79,70.79,70.79,0.0,0.0,70.07,70.07,70.07,0.0,0.0,70.65,70.65,70.65,0.0,0.0
2018-06-03,69.9,69.9,69.9,0.0,0.0,69.9,69.9,69.9,0.0,0.0,69.54,69.54,69.54,0.0,0.0,69.88,69.88,69.88,0.0,0.0
2018-06-10,71.89,71.89,71.89,0.0,0.0,72.21,72.21,72.21,0.0,0.0,71.79,71.79,71.79,0.0,0.0,72.21,72.21,72.21,0.0,0.0
2018-06-17,73.71,73.71,73.71,0.0,0.0,73.76,73.76,73.76,0.0,0.0,73.55,73.55,73.55,0.0,0.0,73.76,73.76,73.76,0.0,0.0
2018-06-24,75.87,75.87,75.87,0.0,0.0,76.79,76.79,76.79,0.0,0.0,75.78,75.78,75.78,0.0,0.0,76.79,76.79,76.79,0.0,0.0
2018-07-01,74.09,74.09,74.09,0.0,0.0,74.73,74.73,74.73,0.0,0.0,73.9,73.9,73.9,0.0,0.0,74.56,74.56,74.56,0.0,0.0
2018-07-08,76.99,76.99,76.99,0.0,0.0,77.2,77.2,77.2,0.0,0.0,76.63,76.63,76.63,0.0,0.0,77.04,77.04,77.04,0.0,0.0
2018-07-15,78.64,78.64,78.64,0.0,0.0,79.34,79.34,79.34,0.0,0.0,78.64,78.64,78.64,0.0,0.0,78.97,78.97,78.97,0.0,0.0
2018-07-22,79.35,79.35,79.35,0.0,0.0,79.45,79.45,79.45,0.0,0.0,78.93,78.93,78.93,0.0,0.0,79.35,79.35,79.35,0.0,0.0
2018-07-29,81.14,81.14,81.14,0.0,0.0,81.36,81.36,81.36,0.0,0.0,80.89,80.89,80.89,0.0,0.0,81.32,81.32,81.32,0.0,0.0
2018-08-05,82.45,82.45,82.45,0.0,0.0,83.42,83.42,83.42,0.0,0.0,82.31,82.31,82.31,0.0,0.0,83.3,83.3,83.3,0.0,0.0
2018-08-12,84.13,84.13,84.13,0.0,0.0,84.49,84.49,84.49,0.0,0.0,83.91,83.91,83.91,0.0,0.0,83.91,83.91,83.91,0.0,0.0
2018-08-19,81.33,81.33,81.33,0.0,0.0,81.52,81.52,81.52,0.0,0.0,80.64,80.64,80.64,0.0,0.0,81.2,81.2,81.2,0.0,0.0
2018-08-26,82.38,82.38,82.38,0.0,0.0,82.66,82.66,82.66,0.0,0.0,81.9,81.9,81.9,0.0,0.0,82.51,82.51,82.51,0.0,0.0
2018-09-02,82.84,82.84,82.84,0.0,0.0,83.25,83.25,83.25,0.0,0.0,82.84,82.84,82.84,0.0,0.0,83.25,83.25,83.25,0.0,0.0
2018-09-09,82.37,82.37,82.37,0.0,0.0,82.47,82.47,82.47,0.0,0.0,81.85,81.85,81.85,0.0,0.0,82.45,82.45,82.45,0.0,0.0
2018-09-16,82.05,82.05,82.05,0.0,0.0,82.74,82.74,82.74,0.0,0.0,81.9,81.9,81.9,0.0,0.0,82.7,82.7,82.7,0.0,0.0
2018-09-23,84.33,84.33,84.33,0.0,0.0,84.6,84.6,84.6,0.0,0.0,84.03,84.03,84.03,0.0,0.0,84.06,84.06,84.06,0.0,0.0
2018-09-30,84.42,84.42,84.42,0.0,0.0,84.75,84.75,84.75,0.0,0.0,84.3,84.3,84.3,0.0,0.0,84.31,84.31,84.31,0.0,0.0
2018-10-07,79.06,79.06,79.06,0.0,0.0,79.16,79.16,79.16,0.0,0.0,78.59,78.59,78.59,0.0,0.0,79.16,79.16,79.16,0.0,0.0
2018-10-14,79.74,79.74,79.74,0.0,0.0,80.14,80.14,80.14,0.0,0.0,79.59,79.59,79.59,0.0,0.0,79.67,79.67,79.67,0.0,0.0
2018-10-21,78.55,78.55,78.55,0.0,0.0,79.34,79.34,79.34,0.0,0.0,78.48,78.48,78.48,0.0,0.0,78.76,78.76,78.76,0.0,0.0
2018-10-28,78.75,78.75,78.75,0.0,0.0,78.87,78.87,78.87,0.0,0.0,78.38,78.38,78.38,0.0,0.0,78.63,78.63,78.63,0.0,0.0
2018-11-04,82.08,82.08,82.08,0.0,0.0,82.54,82.54,82.54,0.0,0.0,82.01,82.01,82.01,0.0,0.0,82.54,82.54,82.54,0.0,0.0
2018-11-11,79.79,79.79,79.79,0.0,0.0,80.05,80.05,80.05,0.0,0.0,79.56,79.56,79.56,0.0,0.0,79.69,79.69,79.69,0.0,0.0
2018-11-18,79.55,79.55,79.55,0.0,0.0,79.93,79.93,79.93,0.0,0.0,79.55,79.55,79.55,0.0,0.0,79.84,79.84,79.84,0.0,0.0
2018-11-25,78.37,78.37,78.37,0.0,0.0,78.73,78.73,78.73,0.0,0.0,78.01,78.01,78.01,0.0,0.0,78.73,78.73,78.73,0.0,0.0
