Date,SPDR DJIAEtf_Open_average,SPDR DJIAEtf_Open_max,SPDR DJIAEtf_Open_min,SPDR DJIAEtf_Open_volatility,SPDR DJIAEtf_Open_change,SPDR DJIAEtf_High_average,SPDR DJIAEtf_High_max,SPDR DJIAEtf_High_min,SPDR DJIAEtf_High_volatility,SPDR DJIAEtf_High_change,SPDR DJIAEtf_Low_average,SPDR DJIAEtf_Low_max,SPDR DJIAEtf_Low_min,SPDR DJIAEtf_Low_volatility,SPDR DJIAEtf_Low_change,SPDR DJIAEtf_Close_average,SPDR DJIAEtf_Close_max,SPDR DJIAEtf_Close_min,SPDR DJIAEtf_Close_volatility,SPDR DJIAEtf_Close_change
2018-01-14,260.05,260.05,260.05,0.0,0.0,260.55,260.55,260.55,0.0,0.0,259.27,259.27,259.27,0.0,0.0,260.54,260.54,260.54,0.0,0.0
2018-01-21,264.32,264.32,264.32,0.0,0.0,265.93,265.93,265.93,0.0,0.0,264.05,264.05,264.05,0.0,0.0,265.91,265.91,265.91,0.0,0.0
2018-01-28,259.61,259.61,259.61,0.0,0.0,259.85,259.85,259.85,0.0,0.0,254.73,254.73,254.73,0.0,0.0,254.93,254.93,254.93,0.0,0.0
2018-02-04,241.41,241.41,241.41,0.0,0.0,244.03,244.03,244.03,0.0,0.0,233.76,233.76,233.76,0.0,0.0,242.03,242.03,242.03,0.0,0.0
2018-02-11,251.43,251.43,251.43,0.0,0.0,254.12,254.12,254.12,0.0,0.0,251.2,251.2,251.2,0.0,0.0,251.96,251.96,251.96,0.0,0.0
2018-02-18,250.79,250.79,250.79,0.0,0.0,252.95,252.95,252.95,0.0,0.0,250.05,250.05,250.05,0.0,0.0,252.91,252.91,252.91,0.0,0.0
2018-02-25,243.55,243.55,243.55,0.0,0.0,245.92,245.92,245.92,0.0,0.0,242.16,242.16,242.16,0.0,0.0,245.35,245.35,245.35,0.0,0.0
2018-03-04,250.94,250.94,250.94,0.0,0.0,253.56,253.56,253.56,0.0,0.0,250.34,250.34,250.34,0.0,0.0,253.56,253.56,253.56,0.0,0.0
2018-03-11,248.57,248.57,248.57,0.0,0.0,250.13,250.13,250.13,0.0,0.0,248.34,248.34,248.34,0.0,0.0,249.1,249.1,249.1,0.0,0.0
2018-03-18,239.98,239.98,239.98,0.0,0.0,240.9,240.9,240.9,0.0,0.0,234.85,234.85,234.85,0.0,0.0,235.13,235.13,235.13,0.0,0.0
2018-03-25,239.57,239.57,239.57,0.0,0.0,242.94,242.94,242.94,0.0,0.0,239.06,239.06,239.06,0.0,0.0,241.4,241.4,241.4,0.0,0.0
2018-04-01,242.3,242.3,242.3,0.0,0.0,244.25,244.25,244.25,0.0,0.0,237.24,237.24,237.24,0.0,0.0,239.13,239.13,239.13,0.0,0.0
2018-04-08,246.42,246.42,246.42,0.0,0.0,246.46,246.46,246.46,0.0,0.0,242.33,242.33,242.33,0.0,0.0,243.58,243.58,243.58,0.0,0.0
2018-04-15,246.37,246.37,246.37,0.0,0.0,246.66,246.66,246.66,0.0,0.0,243.59,243.59,243.59,0.0,0.0,244.48,244.48,244.48,0.0,0.0
2018-04-22,242.97,242.97,242.97,0.0,0.0,243.44,243.44,243.44,0.0,0.0,241.77,241.77,241.77,0.0,0.0,242.95,242.95,242.95,0.0,0.0
2018-04-29,238.11,238.11,238.11,0.0,0.0,243.22,243.22,243.22,0.0,0.0,237.68,237.68,237.68,0.0,0.0,242.52,242.52,242.52,0.0,0.0
2018-05-06,247.7,247.7,247.7,0.0,0.0,248.94,248.94,248.94,0.0,0.0,247.38,247.38,247.38,0.0,0.0,248.54,248.54,248.54,0.0,0.0
2018-05-13,246.97,246.97,246.97,0.0,0.0,247.53,247.53,247.53,0.0,0.0,246.42,246.42,246.42,0.0,0.0,247.0,247.0,247.0,0.0,0.0
2018-05-20,247.41,247.41,247.41,0.0,0.0,248.1,248.1,248.1,0.0,0.0,246.71,246.71,246.71,0.0,0.0,247.37,247.37,247.37,0.0,0.0
2018-05-27,246.14,246.14,246.14,0.0,0.0,246.83,246.83,246.83,0.0,0.0,245.65,245.65,245.65,0.0,0.0,246.36,246.36,246.36,0.0,0.0
2018-06-03,251.96,251.96,251.96,0.0,0.0,253.41,253.41,253.41,0.0,0.0,251.77,251.77,251.77,0.0,0.0,253.27,253.27,253.27,0.0,0.0
2018-06-10,250.27,250.27,250.27,0.0,0.0,251.19,251.19,251.19,0.0,0.0,248.77,248.77,248.77,0.0,0.0,250.74,250.74,250.74,0.0,0.0
2018-06-17,245.92,245.92,245.92,0.0,0.0,246.51,246.51,246.51,0.0,0.0,245.44,245.44,245.44,0.0,0.0,245.69,245.69,245.69,0.0,0.0
2018-06-24,243.48,243.48,243.48,0.0,0.0,244.96,244.96,244.96,0.0,0.0,242.59,242.59,242.59,0.0,0.0,242.73,242.73,242.73,0.0,0.0
