Date,First Trust FTSE EPRANAREIT Global Developed Mark_Open_average,First Trust FTSE EPRANAREIT Global Developed Mark_Open_max,First Trust FTSE EPRANAREIT Global Developed Mark_Open_min,First Trust FTSE EPRANAREIT Global Developed Mark_Open_volatility,First Trust FTSE EPRANAREIT Global Developed Mark_Open_change,First Trust FTSE EPRANAREIT Global Developed Mark_High_average,First Trust FTSE EPRANAREIT Global Developed Mark_High_max,First Trust FTSE EPRANAREIT Global Developed Mark_High_min,First Trust FTSE EPRANAREIT Global Developed Mark_High_volatility,First Trust FTSE EPRANAREIT Global Developed Mark_High_change,First Trust FTSE EPRANAREIT Global Developed Mark_Low_average,First Trust FTSE EPRANAREIT Global Developed Mark_Low_max,First Trust FTSE EPRANAREIT Global Developed Mark_Low_min,First Trust FTSE EPRANAREIT Global Developed Mark_Low_volatility,First Trust FTSE EPRANAREIT Global Developed Mark_Low_change,First Trust FTSE EPRANAREIT Global Developed Mark_Close_average,First Trust FTSE EPRANAREIT Global Developed Mark_Close_max,First Trust FTSE EPRANAREIT Global Developed Mark_Close_min,First Trust FTSE EPRANAREIT Global Developed Mark_Close_volatility,First Trust FTSE EPRANAREIT Global Developed Mark_Close_change
2018-01-14,44.93,44.93,44.93,0.0,0.0,45.02,45.02,45.02,0.0,0.0,44.86,44.86,44.86,0.0,0.0,45.0,45.0,45.0,0.0,0.0
2018-01-21,45.76,45.76,45.76,0.0,0.0,45.82,45.82,45.82,0.0,0.0,45.65,45.65,45.65,0.0,0.0,45.69,45.69,45.69,0.0,0.0
2018-01-28,44.37,44.37,44.37,0.0,0.0,44.42,44.42,44.42,0.0,0.0,44.11,44.11,44.11,0.0,0.0,44.13,44.13,44.13,0.0,0.0
2018-02-04,41.81,41.81,41.81,0.0,0.0,41.98,41.98,41.98,0.0,0.0,41.42,41.42,41.42,0.0,0.0,41.98,41.98,41.98,0.0,0.0
2018-02-11,43.12,43.12,43.12,0.0,0.0,43.41,43.41,43.41,0.0,0.0,43.12,43.12,43.12,0.0,0.0,43.41,43.41,43.41,0.0,0.0
2018-02-18,42.96,42.96,42.96,0.0,0.0,43.19,43.19,43.19,0.0,0.0,42.94,42.94,42.94,0.0,0.0,43.19,43.19,43.19,0.0,0.0
2018-02-25,42.29,42.29,42.29,0.0,0.0,42.42,42.42,42.42,0.0,0.0,42.29,42.29,42.29,0.0,0.0,42.42,42.42,42.42,0.0,0.0
2018-03-04,43.26,43.26,43.26,0.0,0.0,43.36,43.36,43.36,0.0,0.0,43.19,43.19,43.19,0.0,0.0,43.34,43.34,43.34,0.0,0.0
2018-03-11,43.57,43.57,43.57,0.0,0.0,43.63,43.63,43.63,0.0,0.0,43.48,43.48,43.48,0.0,0.0,43.63,43.63,43.63,0.0,0.0
2018-03-18,42.91,42.91,42.91,0.0,0.0,42.97,42.97,42.97,0.0,0.0,42.38,42.38,42.38,0.0,0.0,42.38,42.38,42.38,0.0,0.0
