Date,iShares 20+ Year Treasury Bond_Open_average,iShares 20+ Year Treasury Bond_Open_max,iShares 20+ Year Treasury Bond_Open_min,iShares 20+ Year Treasury Bond_Open_volatility,iShares 20+ Year Treasury Bond_Open_change,iShares 20+ Year Treasury Bond_High_average,iShares 20+ Year Treasury Bond_High_max,iShares 20+ Year Treasury Bond_High_min,iShares 20+ Year Treasury Bond_High_volatility,iShares 20+ Year Treasury Bond_High_change,iShares 20+ Year Treasury Bond_Low_average,iShares 20+ Year Treasury Bond_Low_max,iShares 20+ Year Treasury Bond_Low_min,iShares 20+ Year Treasury Bond_Low_volatility,iShares 20+ Year Treasury Bond_Low_change,iShares 20+ Year Treasury Bond_Close_average,iShares 20+ Year Treasury Bond_Close_max,iShares 20+ Year Treasury Bond_Close_min,iShares 20+ Year Treasury Bond_Close_volatility,iShares 20+ Year Treasury Bond_Close_change
2018-01-14,123.45,123.45,123.45,0.0,0.0,123.71,123.71,123.71,0.0,0.0,122.99,122.99,122.99,0.0,0.0,123.18,123.18,123.18,0.0,0.0
2018-01-21,122.97,122.97,122.97,0.0,0.0,122.97,122.97,122.97,0.0,0.0,122.3,122.3,122.3,0.0,0.0,122.73,122.73,122.73,0.0,0.0
2018-01-28,119.17,119.17,119.17,0.0,0.0,121.82,121.82,121.82,0.0,0.0,118.64,118.64,118.64,0.0,0.0,120.71,120.71,120.71,0.0,0.0
2018-02-04,118.56,118.56,118.56,0.0,0.0,119.3,119.3,119.3,0.0,0.0,118.19,118.19,118.19,0.0,0.0,118.46,118.46,118.46,0.0,0.0
2018-02-11,119.04,119.04,119.04,0.0,0.0,119.21,119.21,119.21,0.0,0.0,118.34,118.34,118.34,0.0,0.0,118.71,118.71,118.71,0.0,0.0
2018-02-18,118.68,118.68,118.68,0.0,0.0,118.91,118.91,118.91,0.0,0.0,118.04,118.04,118.04,0.0,0.0,118.17,118.17,118.17,0.0,0.0
2018-02-25,118.75,118.75,118.75,0.0,0.0,118.8,118.8,118.8,0.0,0.0,117.63,117.63,117.63,0.0,0.0,118.03,118.03,118.03,0.0,0.0
2018-03-04,118.31,118.31,118.31,0.0,0.0,118.66,118.66,118.66,0.0,0.0,118.19,118.19,118.19,0.0,0.0,118.59,118.59,118.59,0.0,0.0
2018-03-11,119.21,119.21,119.21,0.0,0.0,119.97,119.97,119.97,0.0,0.0,119.2,119.2,119.2,0.0,0.0,119.43,119.43,119.43,0.0,0.0
2018-03-18,120.0,120.0,120.0,0.0,0.0,120.45,120.45,120.45,0.0,0.0,119.67,119.67,119.67,0.0,0.0,119.71,119.71,119.71,0.0,0.0
2018-03-25,121.35,121.35,121.35,0.0,0.0,122.36,122.36,122.36,0.0,0.0,121.16,121.16,121.16,0.0,0.0,121.88,121.88,121.88,0.0,0.0
2018-04-01,120.64,120.64,120.64,0.0,0.0,121.3,121.3,121.3,0.0,0.0,120.35,120.35,120.35,0.0,0.0,121.3,121.3,121.3,0.0,0.0
2018-04-08,120.23,120.23,120.23,0.0,0.0,120.97,120.97,120.97,0.0,0.0,120.18,120.18,120.18,0.0,0.0,120.94,120.94,120.94,0.0,0.0
2018-04-15,118.33,118.33,118.33,0.0,0.0,118.62,118.62,118.62,0.0,0.0,118.08,118.08,118.08,0.0,0.0,118.49,118.49,118.49,0.0,0.0
2018-04-22,119.08,119.08,119.08,0.0,0.0,119.56,119.56,119.56,0.0,0.0,118.94,118.94,118.94,0.0,0.0,119.1,119.1,119.1,0.0,0.0
2018-04-29,118.97,118.97,118.97,0.0,0.0,119.02,119.02,119.02,0.0,0.0,118.73,118.73,118.73,0.0,0.0,118.8,118.8,118.8,0.0,0.0
2018-05-06,118.8,118.8,118.8,0.0,0.0,118.99,118.99,118.99,0.0,0.0,118.59,118.59,118.59,0.0,0.0,118.6,118.6,118.6,0.0,0.0
2018-05-13,117.13,117.13,117.13,0.0,0.0,117.38,117.38,117.38,0.0,0.0,116.95,116.95,116.95,0.0,0.0,117.27,117.27,117.27,0.0,0.0
2018-05-20,119.56,119.56,119.56,0.0,0.0,119.84,119.84,119.84,0.0,0.0,119.47,119.47,119.47,0.0,0.0,119.62,119.62,119.62,0.0,0.0
2018-05-27,120.11,120.11,120.11,0.0,0.0,120.14,120.14,120.14,0.0,0.0,119.37,119.37,119.37,0.0,0.0,119.43,119.43,119.43,0.0,0.0
2018-06-03,119.07,119.07,119.07,0.0,0.0,119.39,119.39,119.39,0.0,0.0,118.94,118.94,118.94,0.0,0.0,119.31,119.31,119.31,0.0,0.0
2018-06-10,120.48,120.48,120.48,0.0,0.0,120.56,120.56,120.56,0.0,0.0,120.04,120.04,120.04,0.0,0.0,120.27,120.27,120.27,0.0,0.0
