Date,ProShares UltraShort S&P500_Open_average,ProShares UltraShort S&P500_Open_max,ProShares UltraShort S&P500_Open_min,ProShares UltraShort S&P500_Open_volatility,ProShares UltraShort S&P500_Open_change,ProShares UltraShort S&P500_High_average,ProShares UltraShort S&P500_High_max,ProShares UltraShort S&P500_High_min,ProShares UltraShort S&P500_High_volatility,ProShares UltraShort S&P500_High_change,ProShares UltraShort S&P500_Low_average,ProShares UltraShort S&P500_Low_max,ProShares UltraShort S&P500_Low_min,ProShares UltraShort S&P500_Low_volatility,ProShares UltraShort S&P500_Low_change,ProShares UltraShort S&P500_Close_average,ProShares UltraShort S&P500_Close_max,ProShares UltraShort S&P500_Close_min,ProShares UltraShort S&P500_Close_volatility,ProShares UltraShort S&P500_Close_change
2018-01-14,37.31,37.31,37.31,0.0,0.0,37.32,37.32,37.32,0.0,0.0,36.64,36.64,36.64,0.0,0.0,36.64,36.64,36.64,0.0,0.0
2018-01-21,35.82,35.82,35.82,0.0,0.0,36.17,36.17,36.17,0.0,0.0,35.7,35.7,35.7,0.0,0.0,36.16,36.16,36.16,0.0,0.0
2018-01-28,39.15,39.15,39.15,0.0,0.0,41.97,41.97,41.97,0.0,0.0,38.45,38.45,38.45,0.0,0.0,41.67,41.67,41.67,0.0,0.0
2018-02-04,41.57,41.57,41.57,0.0,0.0,42.23,42.23,42.23,0.0,0.0,40.59,40.59,40.59,0.0,0.0,41.14,41.14,41.14,0.0,0.0
2018-02-11,39.03,39.03,39.03,0.0,0.0,39.05,39.05,39.05,0.0,0.0,38.17,38.17,38.17,0.0,0.0,38.74,38.74,38.74,0.0,0.0
2018-02-18,38.0,38.0,38.0,0.0,0.0,38.17,38.17,38.17,0.0,0.0,37.41,37.41,37.41,0.0,0.0,37.44,37.44,37.44,0.0,0.0
2018-02-25,40.32,40.32,40.32,0.0,0.0,40.35,40.35,40.35,0.0,0.0,38.8,38.8,38.8,0.0,0.0,38.98,38.98,38.98,0.0,0.0
2018-03-04,37.03,37.03,37.03,0.0,0.0,37.34,37.34,37.34,0.0,0.0,36.86,36.86,36.86,0.0,0.0,37.23,37.23,37.23,0.0,0.0
2018-03-11,38.39,38.39,38.39,0.0,0.0,39.66,39.66,39.66,0.0,0.0,38.36,38.36,38.36,0.0,0.0,39.15,39.15,39.15,0.0,0.0
2018-03-18,41.47,41.47,41.47,0.0,0.0,42.38,42.38,42.38,0.0,0.0,40.4,40.4,40.4,0.0,0.0,40.48,40.48,40.48,0.0,0.0
