Date,PIMCO Intermediate Municipal Bond Active_Open_average,PIMCO Intermediate Municipal Bond Active_Open_max,PIMCO Intermediate Municipal Bond Active_Open_min,PIMCO Intermediate Municipal Bond Active_Open_volatility,PIMCO Intermediate Municipal Bond Active_Open_change,PIMCO Intermediate Municipal Bond Active_High_average,PIMCO Intermediate Municipal Bond Active_High_max,PIMCO Intermediate Municipal Bond Active_High_min,PIMCO Intermediate Municipal Bond Active_High_volatility,PIMCO Intermediate Municipal Bond Active_High_change,PIMCO Intermediate Municipal Bond Active_Low_average,PIMCO Intermediate Municipal Bond Active_Low_max,PIMCO Intermediate Municipal Bond Active_Low_min,PIMCO Intermediate Municipal Bond Active_Low_volatility,PIMCO Intermediate Municipal Bond Active_Low_change,PIMCO Intermediate Municipal Bond Active_Close_average,PIMCO Intermediate Municipal Bond Active_Close_max,PIMCO Intermediate Municipal Bond Active_Close_min,PIMCO Intermediate Municipal Bond Active_Close_volatility,PIMCO Intermediate Municipal Bond Active_Close_change
2018-01-14,53.38,53.38,53.38,0.0,0.0,53.47,53.47,53.47,0.0,0.0,53.38,53.38,53.38,0.0,0.0,53.4,53.4,53.4,0.0,0.0
2018-01-21,53.26,53.26,53.26,0.0,0.0,53.31,53.31,53.31,0.0,0.0,53.1,53.1,53.1,0.0,0.0,53.14,53.14,53.14,0.0,0.0
2018-01-28,52.7,52.7,52.7,0.0,0.0,53.03,53.03,53.03,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.78,52.78,52.78,0.0,0.0
2018-02-04,52.79,52.79,52.79,0.0,0.0,52.88,52.88,52.88,0.0,0.0,52.74,52.74,52.74,0.0,0.0,52.74,52.74,52.74,0.0,0.0
2018-02-11,52.74,52.74,52.74,0.0,0.0,52.75,52.75,52.75,0.0,0.0,52.7,52.7,52.7,0.0,0.0,52.73,52.73,52.73,0.0,0.0
2018-02-18,52.9,52.9,52.9,0.0,0.0,52.91,52.91,52.91,0.0,0.0,52.76,52.76,52.76,0.0,0.0,52.82,52.82,52.82,0.0,0.0
2018-02-25,52.77,52.77,52.77,0.0,0.0,52.79,52.79,52.79,0.0,0.0,52.67,52.67,52.67,0.0,0.0,52.71,52.71,52.71,0.0,0.0
2018-03-04,52.69,52.69,52.69,0.0,0.0,52.75,52.75,52.75,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.75,52.75,52.75,0.0,0.0
2018-03-11,52.64,52.64,52.64,0.0,0.0,52.75,52.75,52.75,0.0,0.0,52.64,52.64,52.64,0.0,0.0,52.65,52.65,52.65,0.0,0.0
2018-03-18,52.75,52.75,52.75,0.0,0.0,52.76,52.76,52.76,0.0,0.0,52.64,52.64,52.64,0.0,0.0,52.73,52.73,52.73,0.0,0.0
2018-03-25,52.66,52.66,52.66,0.0,0.0,52.81,52.81,52.81,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.75,52.75,52.75,0.0,0.0
2018-04-01,52.63,52.63,52.63,0.0,0.0,52.8,52.8,52.8,0.0,0.0,52.57,52.57,52.57,0.0,0.0,52.65,52.65,52.65,0.0,0.0
2018-04-08,52.71,52.71,52.71,0.0,0.0,52.8,52.8,52.8,0.0,0.0,52.61,52.61,52.61,0.0,0.0,52.72,52.72,52.72,0.0,0.0
