Date,SPDR S&P Health Care Equipment_etf_Open_average,SPDR S&P Health Care Equipment_etf_Open_max,SPDR S&P Health Care Equipment_etf_Open_min,SPDR S&P Health Care Equipment_etf_Open_volatility,SPDR S&P Health Care Equipment_etf_Open_change,SPDR S&P Health Care Equipment_etf_High_average,SPDR S&P Health Care Equipment_etf_High_max,SPDR S&P Health Care Equipment_etf_High_min,SPDR S&P Health Care Equipment_etf_High_volatility,SPDR S&P Health Care Equipment_etf_High_change,SPDR S&P Health Care Equipment_etf_Low_average,SPDR S&P Health Care Equipment_etf_Low_max,SPDR S&P Health Care Equipment_etf_Low_min,SPDR S&P Health Care Equipment_etf_Low_volatility,SPDR S&P Health Care Equipment_etf_Low_change,SPDR S&P Health Care Equipment_etf_Close_average,SPDR S&P Health Care Equipment_etf_Close_max,SPDR S&P Health Care Equipment_etf_Close_min,SPDR S&P Health Care Equipment_etf_Close_volatility,SPDR S&P Health Care Equipment_etf_Close_change
2018-01-14,67.53,67.53,67.53,0.0,0.0,68.37,68.37,68.37,0.0,0.0,67.53,67.53,67.53,0.0,0.0,68.37,68.37,68.37,0.0,0.0
2018-01-21,70.22,70.22,70.22,0.0,0.0,70.84,70.84,70.84,0.0,0.0,70.1,70.1,70.1,0.0,0.0,70.84,70.84,70.84,0.0,0.0
2018-01-28,69.24,69.24,69.24,0.0,0.0,69.42,69.42,69.42,0.0,0.0,68.5,68.5,68.5,0.0,0.0,68.5,68.5,68.5,0.0,0.0
2018-02-04,63.8,63.8,63.8,0.0,0.0,64.33,64.33,64.33,0.0,0.0,62.42,62.42,62.42,0.0,0.0,64.33,64.33,64.33,0.0,0.0
2018-02-11,67.04,67.04,67.04,0.0,0.0,67.75,67.75,67.75,0.0,0.0,67.04,67.04,67.04,0.0,0.0,67.38,67.38,67.38,0.0,0.0
2018-02-18,67.33,67.33,67.33,0.0,0.0,67.82,67.82,67.82,0.0,0.0,66.9,66.9,66.9,0.0,0.0,67.81,67.81,67.81,0.0,0.0
2018-02-25,65.86,65.86,65.86,0.0,0.0,67.45,67.45,67.45,0.0,0.0,65.74,65.74,65.74,0.0,0.0,67.45,67.45,67.45,0.0,0.0
2018-03-04,70.58,70.58,70.58,0.0,0.0,71.11,71.11,71.11,0.0,0.0,70.29,70.29,70.29,0.0,0.0,70.88,70.88,70.88,0.0,0.0
2018-03-11,71.28,71.28,71.28,0.0,0.0,71.48,71.48,71.48,0.0,0.0,71.03,71.03,71.03,0.0,0.0,71.4,71.4,71.4,0.0,0.0
2018-03-18,69.64,69.64,69.64,0.0,0.0,70.13,70.13,70.13,0.0,0.0,68.35,68.35,68.35,0.0,0.0,68.35,68.35,68.35,0.0,0.0
2018-03-25,68.97,68.97,68.97,0.0,0.0,70.33,70.33,70.33,0.0,0.0,68.68,68.68,68.68,0.0,0.0,69.74,69.74,69.74,0.0,0.0
2018-04-01,69.9,69.9,69.9,0.0,0.0,69.9,69.9,69.9,0.0,0.0,67.93,67.93,67.93,0.0,0.0,68.25,68.25,68.25,0.0,0.0
2018-04-08,70.53,70.53,70.53,0.0,0.0,70.57,70.57,70.57,0.0,0.0,69.94,69.94,69.94,0.0,0.0,70.14,70.14,70.14,0.0,0.0
2018-04-15,71.88,71.88,71.88,0.0,0.0,71.88,71.88,71.88,0.0,0.0,71.31,71.31,71.31,0.0,0.0,71.38,71.38,71.38,0.0,0.0
2018-04-22,71.87,71.87,71.87,0.0,0.0,71.87,71.87,71.87,0.0,0.0,71.08,71.08,71.08,0.0,0.0,71.83,71.83,71.83,0.0,0.0
2018-04-29,71.82,71.82,71.82,0.0,0.0,73.35,73.35,73.35,0.0,0.0,71.38,71.38,71.38,0.0,0.0,72.87,72.87,72.87,0.0,0.0
2018-05-06,74.37,74.37,74.37,0.0,0.0,74.62,74.62,74.62,0.0,0.0,74.01,74.01,74.01,0.0,0.0,74.42,74.42,74.42,0.0,0.0
