Date,ProShares Short Term USD EM Bond_Open_average,ProShares Short Term USD EM Bond_Open_max,ProShares Short Term USD EM Bond_Open_min,ProShares Short Term USD EM Bond_Open_volatility,ProShares Short Term USD EM Bond_Open_change,ProShares Short Term USD EM Bond_High_average,ProShares Short Term USD EM Bond_High_max,ProShares Short Term USD EM Bond_High_min,ProShares Short Term USD EM Bond_High_volatility,ProShares Short Term USD EM Bond_High_change,ProShares Short Term USD EM Bond_Low_average,ProShares Short Term USD EM Bond_Low_max,ProShares Short Term USD EM Bond_Low_min,ProShares Short Term USD EM Bond_Low_volatility,ProShares Short Term USD EM Bond_Low_change,ProShares Short Term USD EM Bond_Close_average,ProShares Short Term USD EM Bond_Close_max,ProShares Short Term USD EM Bond_Close_min,ProShares Short Term USD EM Bond_Close_volatility,ProShares Short Term USD EM Bond_Close_change
2018-01-14,77.08,77.08,77.08,0.0,0.0,77.08,77.08,77.08,0.0,0.0,77.08,77.08,77.08,0.0,0.0,77.08,77.08,77.08,0.0,0.0
2018-01-21,76.95,76.95,76.95,0.0,0.0,76.95,76.95,76.95,0.0,0.0,76.74,76.74,76.74,0.0,0.0,76.74,76.74,76.74,0.0,0.0
2018-01-28,76.34,76.34,76.34,0.0,0.0,76.34,76.34,76.34,0.0,0.0,76.34,76.34,76.34,0.0,0.0,76.34,76.34,76.34,0.0,0.0
2018-02-04,75.64,75.64,75.64,0.0,0.0,75.98,75.98,75.98,0.0,0.0,75.64,75.64,75.64,0.0,0.0,75.98,75.98,75.98,0.0,0.0
2018-02-11,76.26,76.26,76.26,0.0,0.0,76.26,76.26,76.26,0.0,0.0,76.26,76.26,76.26,0.0,0.0,76.26,76.26,76.26,0.0,0.0
2018-02-18,75.91,75.91,75.91,0.0,0.0,75.91,75.91,75.91,0.0,0.0,75.72,75.72,75.72,0.0,0.0,75.74,75.74,75.74,0.0,0.0
2018-02-25,75.7,75.7,75.7,0.0,0.0,75.8,75.8,75.8,0.0,0.0,75.69,75.69,75.69,0.0,0.0,75.69,75.69,75.69,0.0,0.0
2018-03-04,75.35,75.35,75.35,0.0,0.0,75.35,75.35,75.35,0.0,0.0,75.35,75.35,75.35,0.0,0.0,75.35,75.35,75.35,0.0,0.0
2018-03-11,75.69,75.69,75.69,0.0,0.0,75.69,75.69,75.69,0.0,0.0,75.69,75.69,75.69,0.0,0.0,75.69,75.69,75.69,0.0,0.0
2018-03-18,75.75,75.75,75.75,0.0,0.0,75.75,75.75,75.75,0.0,0.0,75.75,75.75,75.75,0.0,0.0,75.75,75.75,75.75,0.0,0.0
2018-03-25,75.75,75.75,75.75,0.0,0.0,75.75,75.75,75.75,0.0,0.0,75.75,75.75,75.75,0.0,0.0,75.75,75.75,75.75,0.0,0.0
2018-04-01,75.52,75.52,75.52,0.0,0.0,75.52,75.52,75.52,0.0,0.0,75.52,75.52,75.52,0.0,0.0,75.52,75.52,75.52,0.0,0.0
2018-04-08,75.92,75.92,75.92,0.0,0.0,75.92,75.92,75.92,0.0,0.0,75.92,75.92,75.92,0.0,0.0,75.92,75.92,75.92,0.0,0.0
2018-04-15,75.4,75.4,75.4,0.0,0.0,75.55,75.55,75.55,0.0,0.0,75.03,75.03,75.03,0.0,0.0,75.2,75.2,75.2,0.0,0.0
2018-04-22,75.08,75.08,75.08,0.0,0.0,75.08,75.08,75.08,0.0,0.0,74.89,74.89,74.89,0.0,0.0,74.89,74.89,74.89,0.0,0.0
2018-04-29,74.77,74.77,74.77,0.0,0.0,74.77,74.77,74.77,0.0,0.0,74.77,74.77,74.77,0.0,0.0,74.77,74.77,74.77,0.0,0.0
2018-05-06,74.82,74.82,74.82,0.0,0.0,74.82,74.82,74.82,0.0,0.0,74.82,74.82,74.82,0.0,0.0,74.82,74.82,74.82,0.0,0.0
2018-05-13,74.09,74.09,74.09,0.0,0.0,74.09,74.09,74.09,0.0,0.0,74.09,74.09,74.09,0.0,0.0,74.09,74.09,74.09,0.0,0.0
2018-05-20,74.94,74.94,74.94,0.0,0.0,74.94,74.94,74.94,0.0,0.0,74.94,74.94,74.94,0.0,0.0,74.94,74.94,74.94,0.0,0.0
2018-05-27,74.7,74.7,74.7,0.0,0.0,74.7,74.7,74.7,0.0,0.0,74.7,74.7,74.7,0.0,0.0,74.7,74.7,74.7,0.0,0.0
2018-06-03,74.71,74.71,74.71,0.0,0.0,74.71,74.71,74.71,0.0,0.0,74.71,74.71,74.71,0.0,0.0,74.71,74.71,74.71,0.0,0.0
2018-06-10,74.05,74.05,74.05,0.0,0.0,74.05,74.05,74.05,0.0,0.0,74.05,74.05,74.05,0.0,0.0,74.05,74.05,74.05,0.0,0.0
2018-06-17,74.15,74.15,74.15,0.0,0.0,74.15,74.15,74.15,0.0,0.0,74.15,74.15,74.15,0.0,0.0,74.15,74.15,74.15,0.0,0.0
2018-06-24,73.94,73.94,73.94,0.0,0.0,73.96,73.96,73.96,0.0,0.0,73.54,73.54,73.54,0.0,0.0,73.96,73.96,73.96,0.0,0.0
2018-07-01,74.63,74.63,74.63,0.0,0.0,74.63,74.63,74.63,0.0,0.0,74.63,74.63,74.63,0.0,0.0,74.63,74.63,74.63,0.0,0.0
2018-07-08,74.7,74.7,74.7,0.0,0.0,74.7,74.7,74.7,0.0,0.0,74.7,74.7,74.7,0.0,0.0,74.7,74.7,74.7,0.0,0.0
2018-07-15,74.1,74.1,74.1,0.0,0.0,74.1,74.1,74.1,0.0,0.0,74.1,74.1,74.1,0.0,0.0,74.1,74.1,74.1,0.0,0.0
2018-07-22,74.84,74.84,74.84,0.0,0.0,74.84,74.84,74.84,0.0,0.0,74.84,74.84,74.84,0.0,0.0,74.84,74.84,74.84,0.0,0.0
2018-07-29,74.71,74.71,74.71,0.0,0.0,74.71,74.71,74.71,0.0,0.0,74.71,74.71,74.71,0.0,0.0,74.71,74.71,74.71,0.0,0.0
2018-08-05,74.05,74.05,74.05,0.0,0.0,74.05,74.05,74.05,0.0,0.0,74.05,74.05,74.05,0.0,0.0,74.05,74.05,74.05,0.0,0.0
2018-08-12,73.77,73.77,73.77,0.0,0.0,73.77,73.77,73.77,0.0,0.0,73.77,73.77,73.77,0.0,0.0,73.77,73.77,73.77,0.0,0.0
2018-08-19,73.92,73.92,73.92,0.0,0.0,73.92,73.92,73.92,0.0,0.0,73.92,73.92,73.92,0.0,0.0,73.92,73.92,73.92,0.0,0.0
2018-08-26,73.68,73.68,73.68,0.0,0.0,73.68,73.68,73.68,0.0,0.0,73.68,73.68,73.68,0.0,0.0,73.68,73.68,73.68,0.0,0.0
2018-09-02,73.91,73.91,73.91,0.0,0.0,73.91,73.91,73.91,0.0,0.0,73.91,73.91,73.91,0.0,0.0,73.91,73.91,73.91,0.0,0.0
2018-09-09,73.5,73.5,73.5,0.0,0.0,73.5,73.5,73.5,0.0,0.0,73.5,73.5,73.5,0.0,0.0,73.5,73.5,73.5,0.0,0.0
2018-09-16,73.88,73.88,73.88,0.0,0.0,73.88,73.88,73.88,0.0,0.0,73.88,73.88,73.88,0.0,0.0,73.88,73.88,73.88,0.0,0.0
2018-09-23,73.87,73.87,73.87,0.0,0.0,73.87,73.87,73.87,0.0,0.0,73.87,73.87,73.87,0.0,0.0,73.87,73.87,73.87,0.0,0.0
2018-09-30,74.12,74.12,74.12,0.0,0.0,74.12,74.12,74.12,0.0,0.0,74.12,74.12,74.12,0.0,0.0,74.12,74.12,74.12,0.0,0.0
2018-10-07,73.57,73.57,73.57,0.0,0.0,73.57,73.57,73.57,0.0,0.0,73.57,73.57,73.57,0.0,0.0,73.57,73.57,73.57,0.0,0.0
2018-10-14,73.51,73.51,73.51,0.0,0.0,73.51,73.51,73.51,0.0,0.0,73.51,73.51,73.51,0.0,0.0,73.51,73.51,73.51,0.0,0.0
2018-10-21,73.94,73.94,73.94,0.0,0.0,73.94,73.94,73.94,0.0,0.0,73.94,73.94,73.94,0.0,0.0,73.94,73.94,73.94,0.0,0.0
2018-10-28,73.72,73.72,73.72,0.0,0.0,73.72,73.72,73.72,0.0,0.0,73.72,73.72,73.72,0.0,0.0,73.72,73.72,73.72,0.0,0.0
2018-11-04,73.66,73.66,73.66,0.0,0.0,73.66,73.66,73.66,0.0,0.0,73.66,73.66,73.66,0.0,0.0,73.66,73.66,73.66,0.0,0.0
2018-11-11,73.53,73.53,73.53,0.0,0.0,73.53,73.53,73.53,0.0,0.0,73.53,73.53,73.53,0.0,0.0,73.53,73.53,73.53,0.0,0.0
2018-11-18,73.32,73.32,73.32,0.0,0.0,73.32,73.32,73.32,0.0,0.0,73.32,73.32,73.32,0.0,0.0,73.32,73.32,73.32,0.0,0.0
2018-11-25,73.71,73.71,73.71,0.0,0.0,73.71,73.71,73.71,0.0,0.0,73.71,73.71,73.71,0.0,0.0,73.71,73.71,73.71,0.0,0.0
2018-12-02,73.47,73.47,73.47,0.0,0.0,73.47,73.47,73.47,0.0,0.0,73.47,73.47,73.47,0.0,0.0,73.47,73.47,73.47,0.0,0.0
2018-12-09,73.69,73.69,73.69,0.0,0.0,73.69,73.69,73.69,0.0,0.0,73.64,73.64,73.64,0.0,0.0,73.64,73.64,73.64,0.0,0.0
2018-12-16,73.53,73.53,73.53,0.0,0.0,73.53,73.53,73.53,0.0,0.0,73.53,73.53,73.53,0.0,0.0,73.53,73.53,73.53,0.0,0.0
2018-12-23,73.65,73.65,73.65,0.0,0.0,73.65,73.65,73.65,0.0,0.0,73.65,73.65,73.65,0.0,0.0,73.65,73.65,73.65,0.0,0.0
2018-12-30,73.71,73.71,73.71,0.0,0.0,73.74,73.74,73.74,0.0,0.0,73.71,73.71,73.71,0.0,0.0,73.73,73.73,73.73,0.0,0.0
2019-01-06,73.85,73.85,73.85,0.0,0.0,73.85,73.85,73.85,0.0,0.0,73.85,73.85,73.85,0.0,0.0,73.85,73.85,73.85,0.0,0.0
2019-01-13,73.9,73.9,73.9,0.0,0.0,73.9,73.9,73.9,0.0,0.0,73.86,73.86,73.86,0.0,0.0,73.86,73.86,73.86,0.0,0.0
2019-01-20,74.48,74.48,74.48,0.0,0.0,74.48,74.48,74.48,0.0,0.0,74.48,74.48,74.48,0.0,0.0,74.48,74.48,74.48,0.0,0.0
2019-01-27,74.74,74.74,74.74,0.0,0.0,74.74,74.74,74.74,0.0,0.0,74.59,74.59,74.59,0.0,0.0,74.59,74.59,74.59,0.0,0.0
2019-02-03,74.67,74.67,74.67,0.0,0.0,74.67,74.67,74.67,0.0,0.0,74.67,74.67,74.67,0.0,0.0,74.67,74.67,74.67,0.0,0.0
2019-02-10,74.75,74.75,74.75,0.0,0.0,74.75,74.75,74.75,0.0,0.0,74.75,74.75,74.75,0.0,0.0,74.75,74.75,74.75,0.0,0.0
2019-02-17,75.2,75.2,75.2,0.0,0.0,75.33,75.33,75.33,0.0,0.0,75.2,75.2,75.2,0.0,0.0,75.33,75.33,75.33,0.0,0.0
2019-02-24,75.05,75.05,75.05,0.0,0.0,75.12,75.12,75.12,0.0,0.0,75.05,75.05,75.05,0.0,0.0,75.12,75.12,75.12,0.0,0.0
2019-03-03,75.08,75.08,75.08,0.0,0.0,75.08,75.08,75.08,0.0,0.0,75.08,75.08,75.08,0.0,0.0,75.08,75.08,75.08,0.0,0.0
2019-03-10,75.27,75.27,75.27,0.0,0.0,75.27,75.27,75.27,0.0,0.0,75.27,75.27,75.27,0.0,0.0,75.27,75.27,75.27,0.0,0.0
2019-03-17,75.04,75.04,75.04,0.0,0.0,75.39,75.39,75.39,0.0,0.0,75.04,75.04,75.04,0.0,0.0,75.39,75.39,75.39,0.0,0.0
2019-03-24,75.39,75.39,75.39,0.0,0.0,75.39,75.39,75.39,0.0,0.0,75.22,75.22,75.22,0.0,0.0,75.22,75.22,75.22,0.0,0.0
2019-03-31,75.47,75.47,75.47,0.0,0.0,75.47,75.47,75.47,0.0,0.0,75.47,75.47,75.47,0.0,0.0,75.47,75.47,75.47,0.0,0.0
2019-04-07,75.42,75.42,75.42,0.0,0.0,75.42,75.42,75.42,0.0,0.0,75.42,75.42,75.42,0.0,0.0,75.42,75.42,75.42,0.0,0.0
2019-04-14,75.28,75.28,75.28,0.0,0.0,75.48,75.48,75.48,0.0,0.0,75.28,75.28,75.28,0.0,0.0,75.48,75.48,75.48,0.0,0.0
2019-04-21,75.19,75.19,75.19,0.0,0.0,75.19,75.19,75.19,0.0,0.0,75.19,75.19,75.19,0.0,0.0,75.19,75.19,75.19,0.0,0.0
2019-04-28,75.1,75.1,75.1,0.0,0.0,75.1,75.1,75.1,0.0,0.0,75.1,75.1,75.1,0.0,0.0,75.1,75.1,75.1,0.0,0.0
2019-05-05,75.03,75.03,75.03,0.0,0.0,75.03,75.03,75.03,0.0,0.0,75.03,75.03,75.03,0.0,0.0,75.03,75.03,75.03,0.0,0.0
2019-05-12,75.25,75.25,75.25,0.0,0.0,75.25,75.25,75.25,0.0,0.0,75.25,75.25,75.25,0.0,0.0,75.25,75.25,75.25,0.0,0.0
2019-05-19,75.38,75.38,75.38,0.0,0.0,75.38,75.38,75.38,0.0,0.0,75.38,75.38,75.38,0.0,0.0,75.38,75.38,75.38,0.0,0.0
2019-05-26,75.02,75.02,75.02,0.0,0.0,75.02,75.02,75.02,0.0,0.0,75.02,75.02,75.02,0.0,0.0,75.02,75.02,75.02,0.0,0.0
2019-06-02,75.28,75.28,75.28,0.0,0.0,75.67,75.67,75.67,0.0,0.0,75.28,75.28,75.28,0.0,0.0,75.67,75.67,75.67,0.0,0.0
2019-06-09,75.69,75.69,75.69,0.0,0.0,75.69,75.69,75.69,0.0,0.0,75.69,75.69,75.69,0.0,0.0,75.69,75.69,75.69,0.0,0.0
2019-06-16,76.2,76.2,76.2,0.0,0.0,76.2,76.2,76.2,0.0,0.0,76.2,76.2,76.2,0.0,0.0,76.2,76.2,76.2,0.0,0.0
2019-06-23,76.4,76.4,76.4,0.0,0.0,76.4,76.4,76.4,0.0,0.0,76.22,76.22,76.22,0.0,0.0,76.22,76.22,76.22,0.0,0.0
2019-06-30,76.08,76.08,76.08,0.0,0.0,76.08,76.08,76.08,0.0,0.0,76.08,76.08,76.08,0.0,0.0,76.08,76.08,76.08,0.0,0.0
2019-07-07,76.09,76.09,76.09,0.0,0.0,76.09,76.09,76.09,0.0,0.0,76.09,76.09,76.09,0.0,0.0,76.09,76.09,76.09,0.0,0.0
2019-07-14,76.39,76.39,76.39,0.0,0.0,76.39,76.39,76.39,0.0,0.0,76.39,76.39,76.39,0.0,0.0,76.39,76.39,76.39,0.0,0.0
2019-07-21,76.74,76.74,76.74,0.0,0.0,76.74,76.74,76.74,0.0,0.0,76.62,76.62,76.62,0.0,0.0,76.62,76.62,76.62,0.0,0.0
2019-07-28,76.27,76.27,76.27,0.0,0.0,76.27,76.27,76.27,0.0,0.0,76.02,76.02,76.02,0.0,0.0,76.02,76.02,76.02,0.0,0.0
2019-08-04,76.02,76.02,76.02,0.0,0.0,76.34,76.34,76.34,0.0,0.0,76.02,76.02,76.02,0.0,0.0,76.11,76.11,76.11,0.0,0.0
2019-08-11,75.28,75.28,75.28,0.0,0.0,75.28,75.28,75.28,0.0,0.0,75.28,75.28,75.28,0.0,0.0,75.28,75.28,75.28,0.0,0.0
2019-08-18,75.77,75.77,75.77,0.0,0.0,75.77,75.77,75.77,0.0,0.0,75.59,75.59,75.59,0.0,0.0,75.59,75.59,75.59,0.0,0.0
2019-08-25,75.16,75.16,75.16,0.0,0.0,75.16,75.16,75.16,0.0,0.0,75.16,75.16,75.16,0.0,0.0,75.16,75.16,75.16,0.0,0.0
2019-09-01,75.43,75.43,75.43,0.0,0.0,75.43,75.43,75.43,0.0,0.0,75.43,75.43,75.43,0.0,0.0,75.43,75.43,75.43,0.0,0.0
2019-09-08,75.38,75.38,75.38,0.0,0.0,75.38,75.38,75.38,0.0,0.0,75.38,75.38,75.38,0.0,0.0,75.38,75.38,75.38,0.0,0.0
2019-09-15,75.65,75.65,75.65,0.0,0.0,75.65,75.65,75.65,0.0,0.0,75.65,75.65,75.65,0.0,0.0,75.65,75.65,75.65,0.0,0.0
2019-09-22,75.29,75.29,75.29,0.0,0.0,75.29,75.29,75.29,0.0,0.0,75.29,75.29,75.29,0.0,0.0,75.29,75.29,75.29,0.0,0.0
2019-09-29,75.33,75.33,75.33,0.0,0.0,75.33,75.33,75.33,0.0,0.0,75.33,75.33,75.33,0.0,0.0,75.33,75.33,75.33,0.0,0.0
2019-10-06,75.27,75.27,75.27,0.0,0.0,75.27,75.27,75.27,0.0,0.0,75.27,75.27,75.27,0.0,0.0,75.27,75.27,75.27,0.0,0.0
2019-10-13,75.23,75.23,75.23,0.0,0.0,75.23,75.23,75.23,0.0,0.0,75.23,75.23,75.23,0.0,0.0,75.23,75.23,75.23,0.0,0.0
2019-10-20,75.25,75.25,75.25,0.0,0.0,75.25,75.25,75.25,0.0,0.0,75.25,75.25,75.25,0.0,0.0,75.25,75.25,75.25,0.0,0.0
2019-10-27,74.8,74.8,74.8,0.0,0.0,74.87,74.87,74.87,0.0,0.0,74.8,74.8,74.8,0.0,0.0,74.87,74.87,74.87,0.0,0.0
2019-11-03,74.96,74.96,74.96,0.0,0.0,74.96,74.96,74.96,0.0,0.0,74.77,74.77,74.77,0.0,0.0,74.77,74.77,74.77,0.0,0.0
2019-11-10,74.53,74.53,74.53,0.0,0.0,74.53,74.53,74.53,0.0,0.0,74.53,74.53,74.53,0.0,0.0,74.53,74.53,74.53,0.0,0.0
2019-11-17,74.22,74.22,74.22,0.0,0.0,74.47,74.47,74.47,0.0,0.0,74.22,74.22,74.22,0.0,0.0,74.47,74.47,74.47,0.0,0.0
2019-11-24,74.64,74.64,74.64,0.0,0.0,74.64,74.64,74.64,0.0,0.0,74.51,74.51,74.51,0.0,0.0,74.51,74.51,74.51,0.0,0.0
2019-12-01,74.62,74.62,74.62,0.0,0.0,74.62,74.62,74.62,0.0,0.0,74.62,74.62,74.62,0.0,0.0,74.62,74.62,74.62,0.0,0.0
2019-12-08,74.97,74.97,74.97,0.0,0.0,74.97,74.97,74.97,0.0,0.0,74.97,74.97,74.97,0.0,0.0,74.97,74.97,74.97,0.0,0.0
2019-12-15,75.17,75.17,75.17,0.0,0.0,75.17,75.17,75.17,0.0,0.0,75.01,75.01,75.01,0.0,0.0,75.01,75.01,75.01,0.0,0.0
2019-12-22,74.98,74.98,74.98,0.0,0.0,74.98,74.98,74.98,0.0,0.0,74.81,74.81,74.81,0.0,0.0,74.81,74.81,74.81,0.0,0.0
