Date,iShares Core MSCI Europe_Open_average,iShares Core MSCI Europe_Open_max,iShares Core MSCI Europe_Open_min,iShares Core MSCI Europe_Open_volatility,iShares Core MSCI Europe_Open_change,iShares Core MSCI Europe_High_average,iShares Core MSCI Europe_High_max,iShares Core MSCI Europe_High_min,iShares Core MSCI Europe_High_volatility,iShares Core MSCI Europe_High_change,iShares Core MSCI Europe_Low_average,iShares Core MSCI Europe_Low_max,iShares Core MSCI Europe_Low_min,iShares Core MSCI Europe_Low_volatility,iShares Core MSCI Europe_Low_change,iShares Core MSCI Europe_Close_average,iShares Core MSCI Europe_Close_max,iShares Core MSCI Europe_Close_min,iShares Core MSCI Europe_Close_volatility,iShares Core MSCI Europe_Close_change
2018-01-14,53.12,53.12,53.12,0.0,0.0,53.32,53.32,53.32,0.0,0.0,53.06,53.06,53.06,0.0,0.0,53.31,53.31,53.31,0.0,0.0
2018-01-21,53.45,53.45,53.45,0.0,0.0,53.46,53.46,53.46,0.0,0.0,53.21,53.21,53.21,0.0,0.0,53.38,53.38,53.38,0.0,0.0
2018-01-28,51.27,51.27,51.27,0.0,0.0,51.43,51.43,51.43,0.0,0.0,49.52,49.52,49.52,0.0,0.0,49.73,49.73,49.73,0.0,0.0
2018-02-04,49.36,49.36,49.36,0.0,0.0,49.79,49.79,49.79,0.0,0.0,49.25,49.25,49.25,0.0,0.0,49.73,49.73,49.73,0.0,0.0
2018-02-11,50.98,50.98,50.98,0.0,0.0,51.32,51.32,51.32,0.0,0.0,50.98,50.98,50.98,0.0,0.0,51.07,51.07,51.07,0.0,0.0
2018-02-18,51.07,51.07,51.07,0.0,0.0,51.28,51.28,51.28,0.0,0.0,50.84,50.84,50.84,0.0,0.0,51.28,51.28,51.28,0.0,0.0
2018-02-25,49.03,49.03,49.03,0.0,0.0,49.68,49.68,49.68,0.0,0.0,49.03,49.03,49.03,0.0,0.0,49.66,49.66,49.66,0.0,0.0
2018-03-04,50.49,50.49,50.49,0.0,0.0,50.6,50.6,50.6,0.0,0.0,50.42,50.42,50.42,0.0,0.0,50.54,50.54,50.54,0.0,0.0
2018-03-11,50.16,50.16,50.16,0.0,0.0,50.19,50.19,50.19,0.0,0.0,49.78,49.78,49.78,0.0,0.0,50.04,50.04,50.04,0.0,0.0
2018-03-18,49.46,49.46,49.46,0.0,0.0,49.57,49.57,49.57,0.0,0.0,48.91,48.91,48.91,0.0,0.0,49.57,49.57,49.57,0.0,0.0
2018-03-25,49.57,49.57,49.57,0.0,0.0,49.72,49.72,49.72,0.0,0.0,48.67,48.67,48.67,0.0,0.0,49.02,49.02,49.02,0.0,0.0
2018-04-01,50.16,50.16,50.16,0.0,0.0,50.42,50.42,50.42,0.0,0.0,50.01,50.01,50.01,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2018-04-08,51.05,51.05,51.05,0.0,0.0,51.05,51.05,51.05,0.0,0.0,50.84,50.84,50.84,0.0,0.0,50.97,50.97,50.97,0.0,0.0
2018-04-15,51.04,51.04,51.04,0.0,0.0,51.12,51.12,51.12,0.0,0.0,50.91,50.91,50.91,0.0,0.0,51.06,51.06,51.06,0.0,0.0
2018-04-22,50.75,50.75,50.75,0.0,0.0,50.88,50.88,50.88,0.0,0.0,50.63,50.63,50.63,0.0,0.0,50.7,50.7,50.7,0.0,0.0
2018-04-29,50.83,50.83,50.83,0.0,0.0,50.97,50.97,50.97,0.0,0.0,50.74,50.74,50.74,0.0,0.0,50.83,50.83,50.83,0.0,0.0
2018-05-06,51.57,51.57,51.57,0.0,0.0,51.59,51.59,51.59,0.0,0.0,51.37,51.37,51.37,0.0,0.0,51.43,51.43,51.43,0.0,0.0
2018-05-13,51.41,51.41,51.41,0.0,0.0,51.49,51.49,51.49,0.0,0.0,51.31,51.31,51.31,0.0,0.0,51.41,51.41,51.41,0.0,0.0
2018-05-20,50.19,50.19,50.19,0.0,0.0,50.3,50.3,50.3,0.0,0.0,50.07,50.07,50.07,0.0,0.0,50.22,50.22,50.22,0.0,0.0
2018-05-27,50.22,50.22,50.22,0.0,0.0,50.29,50.29,50.29,0.0,0.0,50.01,50.01,50.01,0.0,0.0,50.06,50.06,50.06,0.0,0.0
2018-06-03,50.38,50.38,50.38,0.0,0.0,50.7,50.7,50.7,0.0,0.0,50.35,50.35,50.35,0.0,0.0,50.59,50.59,50.59,0.0,0.0
2018-06-10,49.38,49.38,49.38,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.27,49.27,49.27,0.0,0.0,49.58,49.58,49.58,0.0,0.0
2018-06-17,47.82,47.82,47.82,0.0,0.0,47.9,47.9,47.9,0.0,0.0,47.4,47.4,47.4,0.0,0.0,47.52,47.52,47.52,0.0,0.0
2018-06-24,47.07,47.07,47.07,0.0,0.0,47.32,47.32,47.32,0.0,0.0,47.01,47.01,47.01,0.0,0.0,47.29,47.29,47.29,0.0,0.0
2018-07-01,48.64,48.64,48.64,0.0,0.0,48.7,48.7,48.7,0.0,0.0,48.5,48.5,48.5,0.0,0.0,48.67,48.67,48.67,0.0,0.0
2018-07-08,48.48,48.48,48.48,0.0,0.0,48.53,48.53,48.53,0.0,0.0,48.39,48.39,48.39,0.0,0.0,48.48,48.48,48.48,0.0,0.0
2018-07-15,48.5,48.5,48.5,0.0,0.0,48.54,48.54,48.54,0.0,0.0,48.42,48.42,48.42,0.0,0.0,48.52,48.52,48.52,0.0,0.0
2018-07-22,49.26,49.26,49.26,0.0,0.0,49.31,49.31,49.31,0.0,0.0,49.1,49.1,49.1,0.0,0.0,49.1,49.1,49.1,0.0,0.0
2018-07-29,48.26,48.26,48.26,0.0,0.0,48.44,48.44,48.44,0.0,0.0,48.19,48.19,48.19,0.0,0.0,48.42,48.42,48.42,0.0,0.0
2018-08-05,47.43,47.43,47.43,0.0,0.0,47.57,47.57,47.57,0.0,0.0,47.28,47.28,47.28,0.0,0.0,47.41,47.41,47.41,0.0,0.0
2018-08-12,47.31,47.31,47.31,0.0,0.0,47.44,47.44,47.44,0.0,0.0,47.22,47.22,47.22,0.0,0.0,47.43,47.43,47.43,0.0,0.0
2018-08-19,48.47,48.47,48.47,0.0,0.0,48.79,48.79,48.79,0.0,0.0,48.47,48.47,48.47,0.0,0.0,48.76,48.76,48.76,0.0,0.0
2018-08-26,48.13,48.13,48.13,0.0,0.0,48.29,48.29,48.29,0.0,0.0,47.81,47.81,47.81,0.0,0.0,48.05,48.05,48.05,0.0,0.0
2018-09-02,47.19,47.19,47.19,0.0,0.0,47.23,47.23,47.23,0.0,0.0,47.09,47.09,47.09,0.0,0.0,47.16,47.16,47.16,0.0,0.0
2018-09-09,47.83,47.83,47.83,0.0,0.0,47.9,47.9,47.9,0.0,0.0,47.66,47.66,47.66,0.0,0.0,47.69,47.69,47.69,0.0,0.0
2018-09-16,48.8,48.8,48.8,0.0,0.0,48.85,48.85,48.85,0.0,0.0,48.52,48.52,48.52,0.0,0.0,48.52,48.52,48.52,0.0,0.0
2018-09-23,48.2,48.2,48.2,0.0,0.0,48.25,48.25,48.25,0.0,0.0,47.95,47.95,47.95,0.0,0.0,47.98,47.98,47.98,0.0,0.0
2018-09-30,46.17,46.17,46.17,0.0,0.0,46.44,46.44,46.44,0.0,0.0,46.09,46.09,46.09,0.0,0.0,46.43,46.43,46.43,0.0,0.0
2018-10-07,44.96,44.96,44.96,0.0,0.0,45.16,45.16,45.16,0.0,0.0,44.84,44.84,44.84,0.0,0.0,45.0,45.0,45.0,0.0,0.0
2018-10-14,44.89,44.89,44.89,0.0,0.0,44.91,44.91,44.91,0.0,0.0,44.52,44.52,44.52,0.0,0.0,44.65,44.65,44.65,0.0,0.0
2018-10-21,43.97,43.97,43.97,0.0,0.0,44.02,44.02,44.02,0.0,0.0,43.09,43.09,43.09,0.0,0.0,43.4,43.4,43.4,0.0,0.0
