Date,iShares US Pharmaceuticals_Open_average,iShares US Pharmaceuticals_Open_max,iShares US Pharmaceuticals_Open_min,iShares US Pharmaceuticals_Open_volatility,iShares US Pharmaceuticals_Open_change,iShares US Pharmaceuticals_High_average,iShares US Pharmaceuticals_High_max,iShares US Pharmaceuticals_High_min,iShares US Pharmaceuticals_High_volatility,iShares US Pharmaceuticals_High_change,iShares US Pharmaceuticals_Low_average,iShares US Pharmaceuticals_Low_max,iShares US Pharmaceuticals_Low_min,iShares US Pharmaceuticals_Low_volatility,iShares US Pharmaceuticals_Low_change,iShares US Pharmaceuticals_Close_average,iShares US Pharmaceuticals_Close_max,iShares US Pharmaceuticals_Close_min,iShares US Pharmaceuticals_Close_volatility,iShares US Pharmaceuticals_Close_change
2018-01-14,160.75,160.75,160.75,0.0,0.0,163.65,163.65,163.65,0.0,0.0,160.75,160.75,160.75,0.0,0.0,163.65,163.65,163.65,0.0,0.0
2018-01-21,165.54,165.54,165.54,0.0,0.0,166.06,166.06,166.06,0.0,0.0,164.38,164.38,164.38,0.0,0.0,164.58,164.58,164.58,0.0,0.0
2018-01-28,154.04,154.04,154.04,0.0,0.0,154.1,154.1,154.1,0.0,0.0,147.41,147.41,147.41,0.0,0.0,147.91,147.91,147.91,0.0,0.0
2018-02-04,147.45,147.45,147.45,0.0,0.0,149.25,149.25,149.25,0.0,0.0,146.4,146.4,146.4,0.0,0.0,148.46,148.46,148.46,0.0,0.0
2018-02-11,154.74,154.74,154.74,0.0,0.0,155.55,155.55,155.55,0.0,0.0,154.37,154.37,154.37,0.0,0.0,155.22,155.22,155.22,0.0,0.0
2018-02-18,153.8,153.8,153.8,0.0,0.0,156.38,156.38,156.38,0.0,0.0,153.8,153.8,153.8,0.0,0.0,155.91,155.91,155.91,0.0,0.0
2018-02-25,148.87,148.87,148.87,0.0,0.0,150.95,150.95,150.95,0.0,0.0,148.67,148.67,148.67,0.0,0.0,150.81,150.81,150.81,0.0,0.0
2018-03-04,153.9,153.9,153.9,0.0,0.0,154.75,154.75,154.75,0.0,0.0,153.82,153.82,153.82,0.0,0.0,154.56,154.56,154.56,0.0,0.0
2018-03-11,151.6,151.6,151.6,0.0,0.0,151.6,151.6,151.6,0.0,0.0,149.2,149.2,149.2,0.0,0.0,150.46,150.46,150.46,0.0,0.0
2018-03-18,145.8,145.8,145.8,0.0,0.0,147.61,147.61,147.61,0.0,0.0,143.6,143.6,143.6,0.0,0.0,146.14,146.14,146.14,0.0,0.0
2018-03-25,146.6,146.6,146.6,0.0,0.0,146.6,146.6,146.6,0.0,0.0,141.8,141.8,141.8,0.0,0.0,141.86,141.86,141.86,0.0,0.0
2018-04-01,144.63,144.63,144.63,0.0,0.0,146.55,146.55,146.55,0.0,0.0,144.63,144.63,144.63,0.0,0.0,145.6,145.6,145.6,0.0,0.0
2018-04-08,148.81,148.81,148.81,0.0,0.0,148.81,148.81,148.81,0.0,0.0,147.9,147.9,147.9,0.0,0.0,148.41,148.41,148.41,0.0,0.0
2018-04-15,146.62,146.62,146.62,0.0,0.0,147.21,147.21,147.21,0.0,0.0,146.15,146.15,146.15,0.0,0.0,146.71,146.71,146.71,0.0,0.0
2018-04-22,146.63,146.63,146.63,0.0,0.0,147.04,147.04,147.04,0.0,0.0,144.29,144.29,144.29,0.0,0.0,144.29,144.29,144.29,0.0,0.0
2018-04-29,141.79,141.79,141.79,0.0,0.0,142.8,142.8,142.8,0.0,0.0,141.79,141.79,141.79,0.0,0.0,142.06,142.06,142.06,0.0,0.0
2018-05-06,148.03,148.03,148.03,0.0,0.0,149.28,149.28,149.28,0.0,0.0,147.76,147.76,147.76,0.0,0.0,148.3,148.3,148.3,0.0,0.0
2018-05-13,149.98,149.98,149.98,0.0,0.0,150.14,150.14,150.14,0.0,0.0,148.05,148.05,148.05,0.0,0.0,148.22,148.22,148.22,0.0,0.0
2018-05-20,147.5,147.5,147.5,0.0,0.0,148.5,148.5,148.5,0.0,0.0,147.5,147.5,147.5,0.0,0.0,148.32,148.32,148.32,0.0,0.0
2018-05-27,150.3,150.3,150.3,0.0,0.0,150.56,150.56,150.56,0.0,0.0,148.96,148.96,148.96,0.0,0.0,149.86,149.86,149.86,0.0,0.0
2018-06-03,154.49,154.49,154.49,0.0,0.0,155.37,155.37,155.37,0.0,0.0,154.31,154.31,154.31,0.0,0.0,154.74,154.74,154.74,0.0,0.0
2018-06-10,155.08,155.08,155.08,0.0,0.0,155.08,155.08,155.08,0.0,0.0,154.23,154.23,154.23,0.0,0.0,154.55,154.55,154.55,0.0,0.0
2018-06-17,154.01,154.01,154.01,0.0,0.0,154.01,154.01,154.01,0.0,0.0,151.72,151.72,151.72,0.0,0.0,152.74,152.74,152.74,0.0,0.0
2018-06-24,150.25,150.25,150.25,0.0,0.0,151.16,151.16,151.16,0.0,0.0,149.6,149.6,149.6,0.0,0.0,151.16,151.16,151.16,0.0,0.0
2018-07-01,157.17,157.17,157.17,0.0,0.0,158.49,158.49,158.49,0.0,0.0,157.09,157.09,157.09,0.0,0.0,157.99,157.99,157.99,0.0,0.0
2018-07-08,157.95,157.95,157.95,0.0,0.0,157.95,157.95,157.95,0.0,0.0,156.76,156.76,156.76,0.0,0.0,157.26,157.26,157.26,0.0,0.0
2018-07-15,157.49,157.49,157.49,0.0,0.0,158.28,158.28,158.28,0.0,0.0,157.44,157.44,157.44,0.0,0.0,157.92,157.92,157.92,0.0,0.0
2018-07-22,158.57,158.57,158.57,0.0,0.0,159.81,159.81,159.81,0.0,0.0,158.57,158.57,158.57,0.0,0.0,159.41,159.41,159.41,0.0,0.0
2018-07-29,162.59,162.59,162.59,0.0,0.0,164.21,164.21,164.21,0.0,0.0,162.59,162.59,162.59,0.0,0.0,163.85,163.85,163.85,0.0,0.0
2018-08-05,164.85,164.85,164.85,0.0,0.0,165.45,165.45,165.45,0.0,0.0,164.64,164.64,164.64,0.0,0.0,165.01,165.01,165.01,0.0,0.0
2018-08-12,167.62,167.62,167.62,0.0,0.0,169.06,169.06,169.06,0.0,0.0,167.62,167.62,167.62,0.0,0.0,168.94,168.94,168.94,0.0,0.0
2018-08-19,168.38,168.38,168.38,0.0,0.0,168.5,168.5,168.5,0.0,0.0,167.7,167.7,167.7,0.0,0.0,167.94,167.94,167.94,0.0,0.0
2018-08-26,168.75,168.75,168.75,0.0,0.0,169.58,169.58,169.58,0.0,0.0,168.45,168.45,168.45,0.0,0.0,169.55,169.55,169.55,0.0,0.0
2018-09-02,168.56,168.56,168.56,0.0,0.0,168.9,168.9,168.9,0.0,0.0,167.38,167.38,167.38,0.0,0.0,167.38,167.38,167.38,0.0,0.0
2018-09-09,166.99,166.99,166.99,0.0,0.0,166.99,166.99,166.99,0.0,0.0,165.27,165.27,165.27,0.0,0.0,165.38,165.38,165.38,0.0,0.0
2018-09-16,168.6,168.6,168.6,0.0,0.0,168.6,168.6,168.6,0.0,0.0,168.36,168.36,168.36,0.0,0.0,168.36,168.36,168.36,0.0,0.0
2018-09-23,168.21,168.21,168.21,0.0,0.0,168.32,168.32,168.32,0.0,0.0,165.58,165.58,165.58,0.0,0.0,165.84,165.84,165.84,0.0,0.0
2018-09-30,163.81,163.81,163.81,0.0,0.0,164.63,164.63,164.63,0.0,0.0,163.76,163.76,163.76,0.0,0.0,164.03,164.03,164.03,0.0,0.0
2018-10-07,157.32,157.32,157.32,0.0,0.0,158.75,158.75,158.75,0.0,0.0,157.15,157.15,157.15,0.0,0.0,157.93,157.93,157.93,0.0,0.0
2018-10-14,159.05,159.05,159.05,0.0,0.0,159.24,159.24,159.24,0.0,0.0,158.06,158.06,158.06,0.0,0.0,158.98,158.98,158.98,0.0,0.0
2018-10-21,154.18,154.18,154.18,0.0,0.0,155.12,155.12,155.12,0.0,0.0,149.5,149.5,149.5,0.0,0.0,151.29,151.29,151.29,0.0,0.0
2018-10-28,155.99,155.99,155.99,0.0,0.0,156.32,156.32,156.32,0.0,0.0,154.92,154.92,154.92,0.0,0.0,156.15,156.15,156.15,0.0,0.0
2018-11-04,156.34,156.34,156.34,0.0,0.0,156.5,156.5,156.5,0.0,0.0,154.76,154.76,154.76,0.0,0.0,154.76,154.76,154.76,0.0,0.0
2018-11-11,153.95,153.95,153.95,0.0,0.0,154.64,154.64,154.64,0.0,0.0,152.05,152.05,152.05,0.0,0.0,153.46,153.46,153.46,0.0,0.0
2018-11-18,153.74,153.74,153.74,0.0,0.0,153.74,153.74,153.74,0.0,0.0,152.19,152.19,152.19,0.0,0.0,152.85,152.85,152.85,0.0,0.0
2018-11-25,159.68,159.68,159.68,0.0,0.0,160.35,160.35,160.35,0.0,0.0,159.37,159.37,159.37,0.0,0.0,160.16,160.16,160.16,0.0,0.0
2018-12-02,152.88,152.88,152.88,0.0,0.0,153.59,153.59,153.59,0.0,0.0,149.99,149.99,149.99,0.0,0.0,153.27,153.27,153.27,0.0,0.0
2018-12-09,146.95,146.95,146.95,0.0,0.0,147.25,147.25,147.25,0.0,0.0,143.72,143.72,143.72,0.0,0.0,144.38,144.38,144.38,0.0,0.0
2018-12-16,133.17,133.17,133.17,0.0,0.0,133.8,133.8,133.8,0.0,0.0,131.91,131.91,131.91,0.0,0.0,132.01,132.01,132.01,0.0,0.0
2018-12-23,139.99,139.99,139.99,0.0,0.0,140.77,140.77,140.77,0.0,0.0,139.15,139.15,139.15,0.0,0.0,140.77,140.77,140.77,0.0,0.0
2018-12-30,142.54,142.54,142.54,0.0,0.0,145.7,145.7,145.7,0.0,0.0,142.54,142.54,142.54,0.0,0.0,144.7,144.7,144.7,0.0,0.0
