Date,Global X China Industrials_etf_Open_average,Global X China Industrials_etf_Open_max,Global X China Industrials_etf_Open_min,Global X China Industrials_etf_Open_volatility,Global X China Industrials_etf_Open_change,Global X China Industrials_etf_High_average,Global X China Industrials_etf_High_max,Global X China Industrials_etf_High_min,Global X China Industrials_etf_High_volatility,Global X China Industrials_etf_High_change,Global X China Industrials_etf_Low_average,Global X China Industrials_etf_Low_max,Global X China Industrials_etf_Low_min,Global X China Industrials_etf_Low_volatility,Global X China Industrials_etf_Low_change,Global X China Industrials_etf_Close_average,Global X China Industrials_etf_Close_max,Global X China Industrials_etf_Close_min,Global X China Industrials_etf_Close_volatility,Global X China Industrials_etf_Close_change
2018-01-14,15.83,15.83,15.83,0.0,0.0,16.0,16.0,16.0,0.0,0.0,15.75,15.75,15.75,0.0,0.0,16.0,16.0,16.0,0.0,0.0
2018-01-21,16.43,16.43,16.43,0.0,0.0,16.45,16.45,16.45,0.0,0.0,16.24,16.24,16.24,0.0,0.0,16.24,16.24,16.24,0.0,0.0
2018-01-28,15.43,15.43,15.43,0.0,0.0,15.43,15.43,15.43,0.0,0.0,15.43,15.43,15.43,0.0,0.0,15.43,15.43,15.43,0.0,0.0
2018-02-04,13.84,13.84,13.84,0.0,0.0,13.84,13.84,13.84,0.0,0.0,13.83,13.83,13.83,0.0,0.0,13.83,13.83,13.83,0.0,0.0
2018-02-11,15.35,15.35,15.35,0.0,0.0,15.35,15.35,15.35,0.0,0.0,15.35,15.35,15.35,0.0,0.0,15.35,15.35,15.35,0.0,0.0
2018-02-18,15.1,15.1,15.1,0.0,0.0,15.1,15.1,15.1,0.0,0.0,15.1,15.1,15.1,0.0,0.0,15.1,15.1,15.1,0.0,0.0
2018-02-25,14.61,14.61,14.61,0.0,0.0,15.14,15.14,15.14,0.0,0.0,14.61,14.61,14.61,0.0,0.0,15.14,15.14,15.14,0.0,0.0
2018-03-04,15.25,15.25,15.25,0.0,0.0,15.4,15.4,15.4,0.0,0.0,15.25,15.25,15.25,0.0,0.0,15.4,15.4,15.4,0.0,0.0
2018-03-11,15.39,15.39,15.39,0.0,0.0,15.39,15.39,15.39,0.0,0.0,15.01,15.01,15.01,0.0,0.0,15.39,15.39,15.39,0.0,0.0
2018-03-18,15.12,15.12,15.12,0.0,0.0,15.16,15.16,15.16,0.0,0.0,14.81,14.81,14.81,0.0,0.0,14.81,14.81,14.81,0.0,0.0
2018-03-25,14.81,14.81,14.81,0.0,0.0,14.88,14.88,14.88,0.0,0.0,14.47,14.47,14.47,0.0,0.0,14.59,14.59,14.59,0.0,0.0
2018-04-01,14.8,14.8,14.8,0.0,0.0,14.8,14.8,14.8,0.0,0.0,14.8,14.8,14.8,0.0,0.0,14.8,14.8,14.8,0.0,0.0
2018-04-08,14.8,14.8,14.8,0.0,0.0,14.8,14.8,14.8,0.0,0.0,14.66,14.66,14.66,0.0,0.0,14.7,14.7,14.7,0.0,0.0
2018-04-15,14.38,14.38,14.38,0.0,0.0,14.51,14.51,14.51,0.0,0.0,14.35,14.35,14.35,0.0,0.0,14.4,14.4,14.4,0.0,0.0
2018-04-22,14.68,14.68,14.68,0.0,0.0,14.76,14.76,14.76,0.0,0.0,14.55,14.55,14.55,0.0,0.0,14.76,14.76,14.76,0.0,0.0
2018-04-29,14.6,14.6,14.6,0.0,0.0,14.6,14.6,14.6,0.0,0.0,14.6,14.6,14.6,0.0,0.0,14.6,14.6,14.6,0.0,0.0
2018-05-06,14.85,14.85,14.85,0.0,0.0,15.14,15.14,15.14,0.0,0.0,14.84,14.84,14.84,0.0,0.0,14.85,14.85,14.85,0.0,0.0
2018-05-13,15.04,15.04,15.04,0.0,0.0,15.09,15.09,15.09,0.0,0.0,15.04,15.04,15.04,0.0,0.0,15.07,15.07,15.07,0.0,0.0
2018-05-20,15.74,15.74,15.74,0.0,0.0,15.77,15.77,15.77,0.0,0.0,15.62,15.62,15.62,0.0,0.0,15.63,15.63,15.63,0.0,0.0
2018-05-27,15.29,15.29,15.29,0.0,0.0,15.42,15.42,15.42,0.0,0.0,15.29,15.29,15.29,0.0,0.0,15.3,15.3,15.3,0.0,0.0
2018-06-03,15.49,15.49,15.49,0.0,0.0,15.78,15.78,15.78,0.0,0.0,15.13,15.13,15.13,0.0,0.0,15.22,15.22,15.22,0.0,0.0
2018-06-10,14.9,14.9,14.9,0.0,0.0,14.95,14.95,14.95,0.0,0.0,14.64,14.64,14.64,0.0,0.0,14.8,14.8,14.8,0.0,0.0
2018-06-17,14.4,14.4,14.4,0.0,0.0,14.4,14.4,14.4,0.0,0.0,14.4,14.4,14.4,0.0,0.0,14.4,14.4,14.4,0.0,0.0
2018-06-24,13.9,13.9,13.9,0.0,0.0,13.9,13.9,13.9,0.0,0.0,13.9,13.9,13.9,0.0,0.0,13.9,13.9,13.9,0.0,0.0
2018-07-01,13.5,13.5,13.5,0.0,0.0,13.5,13.5,13.5,0.0,0.0,13.5,13.5,13.5,0.0,0.0,13.5,13.5,13.5,0.0,0.0
2018-07-08,13.62,13.62,13.62,0.0,0.0,13.62,13.62,13.62,0.0,0.0,13.62,13.62,13.62,0.0,0.0,13.62,13.62,13.62,0.0,0.0
2018-07-15,13.56,13.56,13.56,0.0,0.0,13.56,13.56,13.56,0.0,0.0,13.56,13.56,13.56,0.0,0.0,13.56,13.56,13.56,0.0,0.0
2018-07-22,14.41,14.41,14.41,0.0,0.0,14.41,14.41,14.41,0.0,0.0,14.38,14.38,14.38,0.0,0.0,14.39,14.39,14.39,0.0,0.0
2018-07-29,14.29,14.29,14.29,0.0,0.0,14.29,14.29,14.29,0.0,0.0,14.12,14.12,14.12,0.0,0.0,14.2,14.2,14.2,0.0,0.0
2018-08-05,14.03,14.03,14.03,0.0,0.0,14.03,14.03,14.03,0.0,0.0,14.03,14.03,14.03,0.0,0.0,14.03,14.03,14.03,0.0,0.0
