Date,VanEck Vectors AMT-Free Intermediate Municipal_Open_average,VanEck Vectors AMT-Free Intermediate Municipal_Open_max,VanEck Vectors AMT-Free Intermediate Municipal_Open_min,VanEck Vectors AMT-Free Intermediate Municipal_Open_volatility,VanEck Vectors AMT-Free Intermediate Municipal_Open_change,VanEck Vectors AMT-Free Intermediate Municipal_High_average,VanEck Vectors AMT-Free Intermediate Municipal_High_max,VanEck Vectors AMT-Free Intermediate Municipal_High_min,VanEck Vectors AMT-Free Intermediate Municipal_High_volatility,VanEck Vectors AMT-Free Intermediate Municipal_High_change,VanEck Vectors AMT-Free Intermediate Municipal_Low_average,VanEck Vectors AMT-Free Intermediate Municipal_Low_max,VanEck Vectors AMT-Free Intermediate Municipal_Low_min,VanEck Vectors AMT-Free Intermediate Municipal_Low_volatility,VanEck Vectors AMT-Free Intermediate Municipal_Low_change,VanEck Vectors AMT-Free Intermediate Municipal_Close_average,VanEck Vectors AMT-Free Intermediate Municipal_Close_max,VanEck Vectors AMT-Free Intermediate Municipal_Close_min,VanEck Vectors AMT-Free Intermediate Municipal_Close_volatility,VanEck Vectors AMT-Free Intermediate Municipal_Close_change
2018-01-14,47.88,47.88,47.88,0.0,0.0,47.9,47.9,47.9,0.0,0.0,47.76,47.76,47.76,0.0,0.0,47.82,47.82,47.82,0.0,0.0
2018-01-21,47.58,47.58,47.58,0.0,0.0,47.58,47.58,47.58,0.0,0.0,47.36,47.36,47.36,0.0,0.0,47.4,47.4,47.4,0.0,0.0
2018-01-28,46.92,46.92,46.92,0.0,0.0,47.02,47.02,47.02,0.0,0.0,46.8,46.8,46.8,0.0,0.0,46.98,46.98,46.98,0.0,0.0
2018-02-04,46.92,46.92,46.92,0.0,0.0,46.92,46.92,46.92,0.0,0.0,46.75,46.75,46.75,0.0,0.0,46.78,46.78,46.78,0.0,0.0
2018-02-11,46.8,46.8,46.8,0.0,0.0,46.8,46.8,46.8,0.0,0.0,46.76,46.76,46.76,0.0,0.0,46.78,46.78,46.78,0.0,0.0
2018-02-18,46.94,46.94,46.94,0.0,0.0,46.99,46.99,46.99,0.0,0.0,46.9,46.9,46.9,0.0,0.0,46.94,46.94,46.94,0.0,0.0
2018-02-25,46.88,46.88,46.88,0.0,0.0,46.92,46.92,46.92,0.0,0.0,46.8,46.8,46.8,0.0,0.0,46.84,46.84,46.84,0.0,0.0
2018-03-04,46.82,46.82,46.82,0.0,0.0,46.84,46.84,46.84,0.0,0.0,46.72,46.72,46.72,0.0,0.0,46.8,46.8,46.8,0.0,0.0
2018-03-11,46.88,46.88,46.88,0.0,0.0,46.92,46.92,46.92,0.0,0.0,46.84,46.84,46.84,0.0,0.0,46.89,46.89,46.89,0.0,0.0
2018-03-18,46.94,46.94,46.94,0.0,0.0,47.0,47.0,47.0,0.0,0.0,46.84,46.84,46.84,0.0,0.0,46.84,46.84,46.84,0.0,0.0
2018-03-25,46.94,46.94,46.94,0.0,0.0,47.0,47.0,47.0,0.0,0.0,46.84,46.84,46.84,0.0,0.0,46.98,46.98,46.98,0.0,0.0
2018-04-01,46.9,46.9,46.9,0.0,0.0,46.92,46.92,46.92,0.0,0.0,46.82,46.82,46.82,0.0,0.0,46.88,46.88,46.88,0.0,0.0
2018-04-08,46.9,46.9,46.9,0.0,0.0,46.96,46.96,46.96,0.0,0.0,46.88,46.88,46.88,0.0,0.0,46.94,46.94,46.94,0.0,0.0
2018-04-15,46.88,46.88,46.88,0.0,0.0,46.88,46.88,46.88,0.0,0.0,46.72,46.72,46.72,0.0,0.0,46.73,46.73,46.73,0.0,0.0
2018-04-22,46.64,46.64,46.64,0.0,0.0,46.72,46.72,46.72,0.0,0.0,46.62,46.62,46.62,0.0,0.0,46.7,46.7,46.7,0.0,0.0
2018-04-29,46.86,46.86,46.86,0.0,0.0,47.04,47.04,47.04,0.0,0.0,46.86,46.86,46.86,0.0,0.0,46.94,46.94,46.94,0.0,0.0
2018-05-06,47.0,47.0,47.0,0.0,0.0,47.1,47.1,47.1,0.0,0.0,46.98,46.98,46.98,0.0,0.0,47.04,47.04,47.04,0.0,0.0
2018-05-13,46.66,46.66,46.66,0.0,0.0,46.76,46.76,46.76,0.0,0.0,46.66,46.66,46.66,0.0,0.0,46.7,46.7,46.7,0.0,0.0
2018-05-20,47.08,47.08,47.08,0.0,0.0,47.08,47.08,47.08,0.0,0.0,46.96,46.96,46.96,0.0,0.0,47.04,47.04,47.04,0.0,0.0
2018-05-27,47.08,47.08,47.08,0.0,0.0,47.1,47.1,47.1,0.0,0.0,46.96,46.96,46.96,0.0,0.0,46.98,46.98,46.98,0.0,0.0
2018-06-03,47.02,47.02,47.02,0.0,0.0,47.08,47.08,47.08,0.0,0.0,47.02,47.02,47.02,0.0,0.0,47.04,47.04,47.04,0.0,0.0
