Date,iShares MSCI Colombia Capped_Open_average,iShares MSCI Colombia Capped_Open_max,iShares MSCI Colombia Capped_Open_min,iShares MSCI Colombia Capped_Open_volatility,iShares MSCI Colombia Capped_Open_change,iShares MSCI Colombia Capped_High_average,iShares MSCI Colombia Capped_High_max,iShares MSCI Colombia Capped_High_min,iShares MSCI Colombia Capped_High_volatility,iShares MSCI Colombia Capped_High_change,iShares MSCI Colombia Capped_Low_average,iShares MSCI Colombia Capped_Low_max,iShares MSCI Colombia Capped_Low_min,iShares MSCI Colombia Capped_Low_volatility,iShares MSCI Colombia Capped_Low_change,iShares MSCI Colombia Capped_Close_average,iShares MSCI Colombia Capped_Close_max,iShares MSCI Colombia Capped_Close_min,iShares MSCI Colombia Capped_Close_volatility,iShares MSCI Colombia Capped_Close_change
2018-01-14,15.46,15.46,15.46,0.0,0.0,15.47,15.47,15.47,0.0,0.0,15.33,15.33,15.33,0.0,0.0,15.36,15.36,15.36,0.0,0.0
2018-01-21,16.07,16.07,16.07,0.0,0.0,16.07,16.07,16.07,0.0,0.0,15.95,15.95,15.95,0.0,0.0,15.95,15.95,15.95,0.0,0.0
2018-01-28,15.47,15.47,15.47,0.0,0.0,15.6,15.6,15.6,0.0,0.0,15.02,15.02,15.02,0.0,0.0,15.3,15.3,15.3,0.0,0.0
2018-02-04,14.6,14.6,14.6,0.0,0.0,14.96,14.96,14.96,0.0,0.0,14.6,14.6,14.6,0.0,0.0,14.93,14.93,14.93,0.0,0.0
2018-02-11,15.21,15.21,15.21,0.0,0.0,15.3,15.3,15.3,0.0,0.0,15.21,15.21,15.21,0.0,0.0,15.25,15.25,15.25,0.0,0.0
2018-02-18,15.4,15.4,15.4,0.0,0.0,15.53,15.53,15.53,0.0,0.0,15.26,15.26,15.26,0.0,0.0,15.41,15.41,15.41,0.0,0.0
2018-02-25,14.63,14.63,14.63,0.0,0.0,14.85,14.85,14.85,0.0,0.0,14.37,14.37,14.37,0.0,0.0,14.63,14.63,14.63,0.0,0.0
2018-03-04,14.82,14.82,14.82,0.0,0.0,14.86,14.86,14.86,0.0,0.0,14.71,14.71,14.71,0.0,0.0,14.76,14.76,14.76,0.0,0.0
2018-03-11,14.65,14.65,14.65,0.0,0.0,14.78,14.78,14.78,0.0,0.0,14.59,14.59,14.59,0.0,0.0,14.68,14.68,14.68,0.0,0.0
2018-03-18,14.79,14.79,14.79,0.0,0.0,14.99,14.99,14.99,0.0,0.0,14.68,14.68,14.68,0.0,0.0,14.94,14.94,14.94,0.0,0.0
2018-03-25,14.82,14.82,14.82,0.0,0.0,15.0,15.0,15.0,0.0,0.0,14.82,14.82,14.82,0.0,0.0,14.9,14.9,14.9,0.0,0.0
2018-04-01,15.4,15.4,15.4,0.0,0.0,15.54,15.54,15.54,0.0,0.0,15.22,15.22,15.22,0.0,0.0,15.48,15.48,15.48,0.0,0.0
2018-04-08,16.18,16.18,16.18,0.0,0.0,16.18,16.18,16.18,0.0,0.0,15.93,15.93,15.93,0.0,0.0,15.95,15.95,15.95,0.0,0.0
2018-04-15,16.08,16.08,16.08,0.0,0.0,16.08,16.08,16.08,0.0,0.0,15.89,15.89,15.89,0.0,0.0,15.95,15.95,15.95,0.0,0.0
2018-04-22,15.83,15.83,15.83,0.0,0.0,15.86,15.86,15.86,0.0,0.0,15.8,15.8,15.8,0.0,0.0,15.85,15.85,15.85,0.0,0.0
2018-04-29,15.57,15.57,15.57,0.0,0.0,15.61,15.61,15.61,0.0,0.0,15.47,15.47,15.47,0.0,0.0,15.47,15.47,15.47,0.0,0.0
2018-05-06,15.54,15.54,15.54,0.0,0.0,15.54,15.54,15.54,0.0,0.0,15.5,15.5,15.5,0.0,0.0,15.5,15.5,15.5,0.0,0.0
2018-05-13,14.8,14.8,14.8,0.0,0.0,14.85,14.85,14.85,0.0,0.0,14.8,14.8,14.8,0.0,0.0,14.85,14.85,14.85,0.0,0.0
2018-05-20,14.75,14.75,14.75,0.0,0.0,14.84,14.84,14.84,0.0,0.0,14.69,14.69,14.69,0.0,0.0,14.84,14.84,14.84,0.0,0.0
2018-05-27,15.43,15.43,15.43,0.0,0.0,15.63,15.63,15.63,0.0,0.0,15.43,15.43,15.43,0.0,0.0,15.63,15.63,15.63,0.0,0.0
2018-06-03,15.51,15.51,15.51,0.0,0.0,15.51,15.51,15.51,0.0,0.0,15.19,15.19,15.19,0.0,0.0,15.29,15.29,15.29,0.0,0.0
2018-06-10,15.31,15.31,15.31,0.0,0.0,15.31,15.31,15.31,0.0,0.0,15.09,15.09,15.09,0.0,0.0,15.1,15.1,15.1,0.0,0.0
2018-06-17,14.89,14.89,14.89,0.0,0.0,14.89,14.89,14.89,0.0,0.0,14.61,14.61,14.61,0.0,0.0,14.78,14.78,14.78,0.0,0.0
2018-06-24,14.87,14.87,14.87,0.0,0.0,14.99,14.99,14.99,0.0,0.0,14.87,14.87,14.87,0.0,0.0,14.94,14.94,14.94,0.0,0.0
2018-07-01,15.51,15.51,15.51,0.0,0.0,15.51,15.51,15.51,0.0,0.0,15.11,15.11,15.11,0.0,0.0,15.19,15.19,15.19,0.0,0.0
2018-07-08,15.05,15.05,15.05,0.0,0.0,15.24,15.24,15.24,0.0,0.0,15.05,15.05,15.05,0.0,0.0,15.24,15.24,15.24,0.0,0.0
2018-07-15,15.03,15.03,15.03,0.0,0.0,15.13,15.13,15.13,0.0,0.0,14.97,14.97,14.97,0.0,0.0,14.97,14.97,14.97,0.0,0.0
2018-07-22,14.98,14.98,14.98,0.0,0.0,15.31,15.31,15.31,0.0,0.0,14.95,14.95,14.95,0.0,0.0,15.27,15.27,15.27,0.0,0.0
2018-07-29,14.95,14.95,14.95,0.0,0.0,14.99,14.99,14.99,0.0,0.0,14.95,14.95,14.95,0.0,0.0,14.99,14.99,14.99,0.0,0.0
2018-08-05,14.36,14.36,14.36,0.0,0.0,14.51,14.51,14.51,0.0,0.0,14.2,14.2,14.2,0.0,0.0,14.21,14.21,14.21,0.0,0.0
2018-08-12,14.12,14.12,14.12,0.0,0.0,14.12,14.12,14.12,0.0,0.0,14.07,14.07,14.07,0.0,0.0,14.1,14.1,14.1,0.0,0.0
2018-08-19,14.56,14.56,14.56,0.0,0.0,14.61,14.61,14.61,0.0,0.0,14.51,14.51,14.51,0.0,0.0,14.59,14.59,14.59,0.0,0.0
2018-08-26,14.03,14.03,14.03,0.0,0.0,14.21,14.21,14.21,0.0,0.0,13.93,13.93,13.93,0.0,0.0,14.02,14.02,14.02,0.0,0.0
2018-09-02,13.63,13.63,13.63,0.0,0.0,13.63,13.63,13.63,0.0,0.0,13.39,13.39,13.39,0.0,0.0,13.39,13.39,13.39,0.0,0.0
2018-09-09,13.61,13.61,13.61,0.0,0.0,13.66,13.66,13.66,0.0,0.0,13.58,13.58,13.58,0.0,0.0,13.63,13.63,13.63,0.0,0.0
2018-09-16,13.85,13.85,13.85,0.0,0.0,13.85,13.85,13.85,0.0,0.0,13.71,13.71,13.71,0.0,0.0,13.75,13.75,13.75,0.0,0.0
2018-09-23,14.0,14.0,14.0,0.0,0.0,14.03,14.03,14.03,0.0,0.0,13.91,13.91,13.91,0.0,0.0,13.94,13.94,13.94,0.0,0.0
2018-09-30,13.75,13.75,13.75,0.0,0.0,13.75,13.75,13.75,0.0,0.0,13.57,13.57,13.57,0.0,0.0,13.6,13.6,13.6,0.0,0.0
2018-10-07,13.1,13.1,13.1,0.0,0.0,13.17,13.17,13.17,0.0,0.0,13.08,13.08,13.08,0.0,0.0,13.12,13.12,13.12,0.0,0.0
2018-10-14,13.1,13.1,13.1,0.0,0.0,13.1,13.1,13.1,0.0,0.0,12.94,12.94,12.94,0.0,0.0,13.03,13.03,13.03,0.0,0.0
2018-10-21,12.48,12.48,12.48,0.0,0.0,12.48,12.48,12.48,0.0,0.0,12.28,12.28,12.28,0.0,0.0,12.28,12.28,12.28,0.0,0.0
2018-10-28,12.21,12.21,12.21,0.0,0.0,12.38,12.38,12.38,0.0,0.0,12.21,12.21,12.21,0.0,0.0,12.37,12.37,12.37,0.0,0.0
2018-11-04,12.71,12.71,12.71,0.0,0.0,12.71,12.71,12.71,0.0,0.0,12.52,12.52,12.52,0.0,0.0,12.52,12.52,12.52,0.0,0.0
2018-11-11,12.81,12.81,12.81,0.0,0.0,12.86,12.86,12.86,0.0,0.0,12.74,12.74,12.74,0.0,0.0,12.74,12.74,12.74,0.0,0.0
2018-11-18,12.22,12.22,12.22,0.0,0.0,12.22,12.22,12.22,0.0,0.0,12.1,12.1,12.1,0.0,0.0,12.11,12.11,12.11,0.0,0.0
2018-11-25,12.58,12.58,12.58,0.0,0.0,12.58,12.58,12.58,0.0,0.0,12.45,12.45,12.45,0.0,0.0,12.46,12.46,12.46,0.0,0.0
2018-12-02,12.18,12.18,12.18,0.0,0.0,12.19,12.19,12.19,0.0,0.0,12.01,12.01,12.01,0.0,0.0,12.03,12.03,12.03,0.0,0.0
