Date,First Trust NASDAQ-100 Equal Weighted_Open_average,First Trust NASDAQ-100 Equal Weighted_Open_max,First Trust NASDAQ-100 Equal Weighted_Open_min,First Trust NASDAQ-100 Equal Weighted_Open_volatility,First Trust NASDAQ-100 Equal Weighted_Open_change,First Trust NASDAQ-100 Equal Weighted_High_average,First Trust NASDAQ-100 Equal Weighted_High_max,First Trust NASDAQ-100 Equal Weighted_High_min,First Trust NASDAQ-100 Equal Weighted_High_volatility,First Trust NASDAQ-100 Equal Weighted_High_change,First Trust NASDAQ-100 Equal Weighted_Low_average,First Trust NASDAQ-100 Equal Weighted_Low_max,First Trust NASDAQ-100 Equal Weighted_Low_min,First Trust NASDAQ-100 Equal Weighted_Low_volatility,First Trust NASDAQ-100 Equal Weighted_Low_change,First Trust NASDAQ-100 Equal Weighted_Close_average,First Trust NASDAQ-100 Equal Weighted_Close_max,First Trust NASDAQ-100 Equal Weighted_Close_min,First Trust NASDAQ-100 Equal Weighted_Close_volatility,First Trust NASDAQ-100 Equal Weighted_Close_change
2018-01-14,61.85,61.85,61.85,0.0,0.0,62.29,62.29,62.29,0.0,0.0,61.72,61.72,61.72,0.0,0.0,62.29,62.29,62.29,0.0,0.0
2018-01-21,63.05,63.05,63.05,0.0,0.0,63.05,63.05,63.05,0.0,0.0,62.65,62.65,62.65,0.0,0.0,62.96,62.96,62.96,0.0,0.0
2018-01-28,60.22,60.22,60.22,0.0,0.0,60.9,60.9,60.9,0.0,0.0,58.43,58.43,58.43,0.0,0.0,58.43,58.43,58.43,0.0,0.0
2018-02-04,57.88,57.88,57.88,0.0,0.0,58.45,58.45,58.45,0.0,0.0,57.56,57.56,57.56,0.0,0.0,58.27,58.27,58.27,0.0,0.0
2018-02-11,60.1,60.1,60.1,0.0,0.0,60.6,60.6,60.6,0.0,0.0,60.05,60.05,60.05,0.0,0.0,60.11,60.11,60.11,0.0,0.0
2018-02-18,61.26,61.26,61.26,0.0,0.0,61.5,61.5,61.5,0.0,0.0,61.0,61.0,61.0,0.0,0.0,61.48,61.48,61.48,0.0,0.0
2018-02-25,59.86,59.86,59.86,0.0,0.0,60.95,60.95,60.95,0.0,0.0,59.67,59.67,59.67,0.0,0.0,60.87,60.87,60.87,0.0,0.0
2018-03-04,63.13,63.13,63.13,0.0,0.0,63.31,63.31,63.31,0.0,0.0,62.97,62.97,62.97,0.0,0.0,63.23,63.23,63.23,0.0,0.0
2018-03-11,61.87,61.87,61.87,0.0,0.0,61.87,61.87,61.87,0.0,0.0,60.67,60.67,60.67,0.0,0.0,61.21,61.21,61.21,0.0,0.0
2018-03-18,59.17,59.17,59.17,0.0,0.0,59.85,59.85,59.85,0.0,0.0,58.42,58.42,58.42,0.0,0.0,59.85,59.85,59.85,0.0,0.0
