Date,PowerShares S&P SmallCap Health Care_Open_average,PowerShares S&P SmallCap Health Care_Open_max,PowerShares S&P SmallCap Health Care_Open_min,PowerShares S&P SmallCap Health Care_Open_volatility,PowerShares S&P SmallCap Health Care_Open_change,PowerShares S&P SmallCap Health Care_High_average,PowerShares S&P SmallCap Health Care_High_max,PowerShares S&P SmallCap Health Care_High_min,PowerShares S&P SmallCap Health Care_High_volatility,PowerShares S&P SmallCap Health Care_High_change,PowerShares S&P SmallCap Health Care_Low_average,PowerShares S&P SmallCap Health Care_Low_max,PowerShares S&P SmallCap Health Care_Low_min,PowerShares S&P SmallCap Health Care_Low_volatility,PowerShares S&P SmallCap Health Care_Low_change,PowerShares S&P SmallCap Health Care_Close_average,PowerShares S&P SmallCap Health Care_Close_max,PowerShares S&P SmallCap Health Care_Close_min,PowerShares S&P SmallCap Health Care_Close_volatility,PowerShares S&P SmallCap Health Care_Close_change
2018-01-14,107.39,107.39,107.39,0.0,0.0,108.8,108.8,108.8,0.0,0.0,107.2,107.2,107.2,0.0,0.0,108.69,108.69,108.69,0.0,0.0
2018-01-21,112.1,112.1,112.1,0.0,0.0,112.5,112.5,112.5,0.0,0.0,111.6,111.6,111.6,0.0,0.0,112.11,112.11,112.11,0.0,0.0
2018-01-28,106.89,106.89,106.89,0.0,0.0,108.04,108.04,108.04,0.0,0.0,103.73,103.73,103.73,0.0,0.0,103.81,103.81,103.81,0.0,0.0
2018-02-04,102.46,102.46,102.46,0.0,0.0,104.11,104.11,104.11,0.0,0.0,101.32,101.32,101.32,0.0,0.0,103.58,103.58,103.58,0.0,0.0
2018-02-11,107.05,107.05,107.05,0.0,0.0,107.68,107.68,107.68,0.0,0.0,106.85,106.85,106.85,0.0,0.0,107.24,107.24,107.24,0.0,0.0
2018-02-18,109.55,109.55,109.55,0.0,0.0,109.55,109.55,109.55,0.0,0.0,107.74,107.74,107.74,0.0,0.0,109.24,109.24,109.24,0.0,0.0
2018-02-25,110.15,110.15,110.15,0.0,0.0,111.14,111.14,111.14,0.0,0.0,108.92,108.92,108.92,0.0,0.0,110.56,110.56,110.56,0.0,0.0
2018-03-04,116.07,116.07,116.07,0.0,0.0,116.21,116.21,116.21,0.0,0.0,114.76,114.76,114.76,0.0,0.0,115.64,115.64,115.64,0.0,0.0
2018-03-11,114.48,114.48,114.48,0.0,0.0,114.48,114.48,114.48,0.0,0.0,111.99,111.99,111.99,0.0,0.0,113.3,113.3,113.3,0.0,0.0
2018-03-18,112.96,112.96,112.96,0.0,0.0,112.96,112.96,112.96,0.0,0.0,110.13,110.13,110.13,0.0,0.0,112.54,112.54,112.54,0.0,0.0
