Date,First Trust BICK_Open_average,First Trust BICK_Open_max,First Trust BICK_Open_min,First Trust BICK_Open_volatility,First Trust BICK_Open_change,First Trust BICK_High_average,First Trust BICK_High_max,First Trust BICK_High_min,First Trust BICK_High_volatility,First Trust BICK_High_change,First Trust BICK_Low_average,First Trust BICK_Low_max,First Trust BICK_Low_min,First Trust BICK_Low_volatility,First Trust BICK_Low_change,First Trust BICK_Close_average,First Trust BICK_Close_max,First Trust BICK_Close_min,First Trust BICK_Close_volatility,First Trust BICK_Close_change
2018-01-14,32.22,32.22,32.22,0.0,0.0,32.43,32.43,32.43,0.0,0.0,32.07,32.07,32.07,0.0,0.0,32.24,32.24,32.24,0.0,0.0
2018-01-21,33.15,33.15,33.15,0.0,0.0,33.29,33.29,33.29,0.0,0.0,32.94,32.94,32.94,0.0,0.0,33.05,33.05,33.05,0.0,0.0
2018-01-28,31.59,31.59,31.59,0.0,0.0,31.91,31.91,31.91,0.0,0.0,30.55,30.55,30.55,0.0,0.0,30.91,30.91,30.91,0.0,0.0
2018-02-04,30.12,30.12,30.12,0.0,0.0,30.44,30.44,30.44,0.0,0.0,29.97,29.97,29.97,0.0,0.0,30.13,30.13,30.13,0.0,0.0
2018-02-11,31.4,31.4,31.4,0.0,0.0,31.76,31.76,31.76,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.7,31.7,31.7,0.0,0.0
2018-02-18,32.21,32.21,32.21,0.0,0.0,32.21,32.21,32.21,0.0,0.0,31.93,31.93,31.93,0.0,0.0,32.03,32.03,32.03,0.0,0.0
2018-02-25,30.66,30.66,30.66,0.0,0.0,31.24,31.24,31.24,0.0,0.0,30.66,30.66,30.66,0.0,0.0,31.22,31.22,31.22,0.0,0.0
2018-03-04,31.95,31.95,31.95,0.0,0.0,32.11,32.11,32.11,0.0,0.0,31.87,31.87,31.87,0.0,0.0,32.11,32.11,32.11,0.0,0.0
2018-03-11,31.1,31.1,31.1,0.0,0.0,31.31,31.31,31.31,0.0,0.0,30.95,30.95,30.95,0.0,0.0,31.31,31.31,31.31,0.0,0.0
2018-03-18,30.85,30.85,30.85,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.75,30.75,30.75,0.0,0.0
2018-03-25,30.33,30.33,30.33,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.09,30.09,30.09,0.0,0.0,30.36,30.36,30.36,0.0,0.0
2018-04-01,30.48,30.48,30.48,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.13,30.13,30.13,0.0,0.0,30.13,30.13,30.13,0.0,0.0
2018-04-08,30.34,30.34,30.34,0.0,0.0,30.39,30.39,30.39,0.0,0.0,30.33,30.33,30.33,0.0,0.0,30.33,30.33,30.33,0.0,0.0
2018-04-15,30.05,30.05,30.05,0.0,0.0,30.15,30.15,30.15,0.0,0.0,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0
