Date,ATRI_Open_average,ATRI_Open_max,ATRI_Open_min,ATRI_Open_volatility,ATRI_Open_change,ATRI_High_average,ATRI_High_max,ATRI_High_min,ATRI_High_volatility,ATRI_High_change,ATRI_Low_average,ATRI_Low_max,ATRI_Low_min,ATRI_Low_volatility,ATRI_Low_change,ATRI_Close_average,ATRI_Close_max,ATRI_Close_min,ATRI_Close_volatility,ATRI_Close_change,ATRI_Volume_average,ATRI_Volume_max,ATRI_Volume_min,ATRI_Volume_volatility,ATRI_Volume_change
2018-01-14,589.38,610.2,575.0,35.200000000000045,25.200000000000045,597.82,616.5,585.0,31.5,31.5,582.3,603.3,566.05,37.25,20.75,594.51,611.2,577.55,33.65000000000009,23.899999999999977,5039,8686,2202,6484,2357
2018-01-21,597.51,608.5,581.0,27.5,-27.5,600.69,612.1,582.0,30.100000000000023,-26.5,592.49,597.35,579.0,18.350000000000023,-16.5,594.79,607.0,579.0,28.0,-28.0,2989,6321,1610,4711,-156
2018-01-28,565.67,578.35,545.65,32.700000000000045,-27.350000000000023,571.01,583.6,560.05,23.550000000000068,-12.950000000000045,557.74,570.0,542.65,27.350000000000023,-25.0,561.6,575.4,545.0,30.399999999999977,-25.0,4798,8185,1918,6267,6100
2018-02-04,544.5,552.15,536.0,16.149999999999977,-0.05000000000006821,553.29,567.0,545.8,21.200000000000045,20.5,535.91,544.0,526.0,18.0,14.049999999999955,549.84,566.0,541.0,25.0,25.0,5814,10172,3122,7050,-3697
2018-02-11,560.05,565.0,545.75,19.25,-18.700000000000045,567.1125,573.0,555.0,18.0,-18.0,550.7425,561.0,541.9,19.100000000000023,-9.769999999999982,554.4625,561.25,547.0,14.25,-14.25,7302,10217,2965,7252,-3086
2018-02-18,546.13,574.95,535.0,39.950000000000045,-2.8500000000000227,565.3,585.1,540.05,45.05000000000007,8.350000000000023,531.178,545.65,516.85,28.799999999999955,-7.659999999999968,548.5799999999999,582.9,526.8,56.10000000000002,14.600000000000023,8753,10878,4557,6321,-128
2018-02-25,567.1899999999999,588.25,537.05,51.200000000000045,16.350000000000023,596.29,623.0,559.65,63.35000000000002,40.75,557.94,575.0,537.05,37.950000000000045,27.799999999999955,572.7,588.9,543.2,45.69999999999993,38.89999999999998,13594,28078,3733,24345,13841
2018-03-04,602.92,624.15,578.0,46.14999999999998,24.600000000000023,620.098,635.89,597.5,38.389999999999986,14.149999999999977,596.6,617.4,573.0,44.39999999999998,25.0,607.23,621.0,597.1,23.899999999999977,3.3999999999999773,8648,12338,5777,6561,1602
2018-03-11,606.01,607.05,603.55,3.5,1.099999999999909,612.136,616.0,605.38,10.620000000000005,-3.25,594.604,599.95,585.6,14.350000000000023,4.550000000000068,605.51,611.0,600.55,10.450000000000045,10.450000000000045,15341,27359,7893,19466,5019
2018-03-18,615.37,625.0,605.25,19.75,-9.75,630.48,646.0,621.0,25.0,-1.3999999999999773,609.64,623.95,598.5,25.450000000000045,-7.75,616.76,630.0,598.5,31.5,1.6000000000000227,9285,12294,5916,6378,-624
