Date,Guggenheim Invest S&P Global Dividend Opptys_Open_average,Guggenheim Invest S&P Global Dividend Opptys_Open_max,Guggenheim Invest S&P Global Dividend Opptys_Open_min,Guggenheim Invest S&P Global Dividend Opptys_Open_volatility,Guggenheim Invest S&P Global Dividend Opptys_Open_change,Guggenheim Invest S&P Global Dividend Opptys_High_average,Guggenheim Invest S&P Global Dividend Opptys_High_max,Guggenheim Invest S&P Global Dividend Opptys_High_min,Guggenheim Invest S&P Global Dividend Opptys_High_volatility,Guggenheim Invest S&P Global Dividend Opptys_High_change,Guggenheim Invest S&P Global Dividend Opptys_Low_average,Guggenheim Invest S&P Global Dividend Opptys_Low_max,Guggenheim Invest S&P Global Dividend Opptys_Low_min,Guggenheim Invest S&P Global Dividend Opptys_Low_volatility,Guggenheim Invest S&P Global Dividend Opptys_Low_change,Guggenheim Invest S&P Global Dividend Opptys_Close_average,Guggenheim Invest S&P Global Dividend Opptys_Close_max,Guggenheim Invest S&P Global Dividend Opptys_Close_min,Guggenheim Invest S&P Global Dividend Opptys_Close_volatility,Guggenheim Invest S&P Global Dividend Opptys_Close_change
2018-01-14,11.61,11.61,11.61,0.0,0.0,11.7,11.7,11.7,0.0,0.0,11.61,11.61,11.61,0.0,0.0,11.7,11.7,11.7,0.0,0.0
2018-01-21,11.8,11.8,11.8,0.0,0.0,11.8,11.8,11.8,0.0,0.0,11.73,11.73,11.73,0.0,0.0,11.75,11.75,11.75,0.0,0.0
2018-01-28,11.35,11.35,11.35,0.0,0.0,11.39,11.39,11.39,0.0,0.0,11.07,11.07,11.07,0.0,0.0,11.08,11.08,11.08,0.0,0.0
2018-02-04,11.0,11.0,11.0,0.0,0.0,11.09,11.09,11.09,0.0,0.0,10.99,10.99,10.99,0.0,0.0,11.07,11.07,11.07,0.0,0.0
2018-02-11,11.28,11.28,11.28,0.0,0.0,11.38,11.38,11.38,0.0,0.0,11.28,11.28,11.28,0.0,0.0,11.35,11.35,11.35,0.0,0.0
2018-02-18,11.3,11.3,11.3,0.0,0.0,11.36,11.36,11.36,0.0,0.0,11.3,11.3,11.3,0.0,0.0,11.36,11.36,11.36,0.0,0.0
2018-02-25,11.07,11.07,11.07,0.0,0.0,11.15,11.15,11.15,0.0,0.0,11.07,11.07,11.07,0.0,0.0,11.14,11.14,11.14,0.0,0.0
2018-03-04,11.31,11.31,11.31,0.0,0.0,11.35,11.35,11.35,0.0,0.0,11.31,11.31,11.31,0.0,0.0,11.34,11.34,11.34,0.0,0.0
2018-03-11,11.13,11.13,11.13,0.0,0.0,11.13,11.13,11.13,0.0,0.0,11.06,11.06,11.06,0.0,0.0,11.07,11.07,11.07,0.0,0.0
2018-03-18,10.78,10.78,10.78,0.0,0.0,10.84,10.84,10.84,0.0,0.0,10.73,10.73,10.73,0.0,0.0,10.84,10.84,10.84,0.0,0.0
2018-03-25,10.93,10.93,10.93,0.0,0.0,10.93,10.93,10.93,0.0,0.0,10.71,10.71,10.71,0.0,0.0,10.75,10.75,10.75,0.0,0.0
2018-04-01,10.91,10.91,10.91,0.0,0.0,10.97,10.97,10.97,0.0,0.0,10.91,10.91,10.91,0.0,0.0,10.96,10.96,10.96,0.0,0.0
