Date,Shares JPX-Nikkei 400_Open_average,Shares JPX-Nikkei 400_Open_max,Shares JPX-Nikkei 400_Open_min,Shares JPX-Nikkei 400_Open_volatility,Shares JPX-Nikkei 400_Open_change,Shares JPX-Nikkei 400_High_average,Shares JPX-Nikkei 400_High_max,Shares JPX-Nikkei 400_High_min,Shares JPX-Nikkei 400_High_volatility,Shares JPX-Nikkei 400_High_change,Shares JPX-Nikkei 400_Low_average,Shares JPX-Nikkei 400_Low_max,Shares JPX-Nikkei 400_Low_min,Shares JPX-Nikkei 400_Low_volatility,Shares JPX-Nikkei 400_Low_change,Shares JPX-Nikkei 400_Close_average,Shares JPX-Nikkei 400_Close_max,Shares JPX-Nikkei 400_Close_min,Shares JPX-Nikkei 400_Close_volatility,Shares JPX-Nikkei 400_Close_change
2018-01-14,70.78,70.78,70.78,0.0,0.0,70.78,70.78,70.78,0.0,0.0,69.02,69.02,69.02,0.0,0.0,69.34,69.34,69.34,0.0,0.0
2018-01-21,69.68,69.68,69.68,0.0,0.0,69.68,69.68,69.68,0.0,0.0,69.45,69.45,69.45,0.0,0.0,69.55,69.55,69.55,0.0,0.0
2018-01-28,66.35,66.35,66.35,0.0,0.0,66.75,66.75,66.75,0.0,0.0,64.31,64.31,64.31,0.0,0.0,64.59,64.59,64.59,0.0,0.0
2018-02-04,64.73,64.73,64.73,0.0,0.0,65.33,65.33,65.33,0.0,0.0,64.73,64.73,64.73,0.0,0.0,65.33,65.33,65.33,0.0,0.0
2018-02-11,66.38,66.38,66.38,0.0,0.0,66.7,66.7,66.7,0.0,0.0,66.38,66.38,66.38,0.0,0.0,66.57,66.57,66.57,0.0,0.0
2018-02-18,66.97,66.97,66.97,0.0,0.0,67.56,67.56,67.56,0.0,0.0,66.97,66.97,66.97,0.0,0.0,67.56,67.56,67.56,0.0,0.0
2018-02-25,64.96,64.96,64.96,0.0,0.0,65.47,65.47,65.47,0.0,0.0,64.96,64.96,64.96,0.0,0.0,65.47,65.47,65.47,0.0,0.0
2018-03-04,66.0,66.0,66.0,0.0,0.0,66.0,66.0,66.0,0.0,0.0,65.75,65.75,65.75,0.0,0.0,65.77,65.77,65.77,0.0,0.0
2018-03-11,65.46,65.46,65.46,0.0,0.0,65.56,65.56,65.56,0.0,0.0,64.95,64.95,64.95,0.0,0.0,64.95,64.95,64.95,0.0,0.0
2018-03-18,63.97,63.97,63.97,0.0,0.0,64.01,64.01,64.01,0.0,0.0,63.45,63.45,63.45,0.0,0.0,64.01,64.01,64.01,0.0,0.0
2018-03-25,65.22,65.22,65.22,0.0,0.0,65.22,65.22,65.22,0.0,0.0,64.17,64.17,64.17,0.0,0.0,64.48,64.48,64.48,0.0,0.0
2018-04-01,65.73,65.73,65.73,0.0,0.0,65.92,65.92,65.92,0.0,0.0,65.73,65.73,65.73,0.0,0.0,65.86,65.86,65.86,0.0,0.0
2018-04-08,65.75,65.75,65.75,0.0,0.0,65.75,65.75,65.75,0.0,0.0,65.75,65.75,65.75,0.0,0.0,65.75,65.75,65.75,0.0,0.0
2018-04-15,65.54,65.54,65.54,0.0,0.0,65.59,65.59,65.59,0.0,0.0,65.41,65.41,65.41,0.0,0.0,65.47,65.47,65.47,0.0,0.0
2018-04-22,66.03,66.03,66.03,0.0,0.0,66.16,66.16,66.16,0.0,0.0,65.8,65.8,65.8,0.0,0.0,65.81,65.81,65.81,0.0,0.0
2018-04-29,65.72,65.72,65.72,0.0,0.0,65.78,65.78,65.78,0.0,0.0,65.66,65.66,65.66,0.0,0.0,65.73,65.73,65.73,0.0,0.0
2018-05-06,66.7,66.7,66.7,0.0,0.0,66.7,66.7,66.7,0.0,0.0,66.58,66.58,66.58,0.0,0.0,66.58,66.58,66.58,0.0,0.0
2018-05-13,66.1,66.1,66.1,0.0,0.0,66.1,66.1,66.1,0.0,0.0,65.95,65.95,65.95,0.0,0.0,66.07,66.07,66.07,0.0,0.0
2018-05-20,65.33,65.33,65.33,0.0,0.0,65.33,65.33,65.33,0.0,0.0,65.08,65.08,65.08,0.0,0.0,65.08,65.08,65.08,0.0,0.0
2018-05-27,65.8,65.8,65.8,0.0,0.0,65.8,65.8,65.8,0.0,0.0,65.51,65.51,65.51,0.0,0.0,65.56,65.56,65.56,0.0,0.0
2018-06-03,66.05,66.05,66.05,0.0,0.0,66.05,66.05,66.05,0.0,0.0,66.05,66.05,66.05,0.0,0.0,66.05,66.05,66.05,0.0,0.0
2018-06-10,64.87,64.87,64.87,0.0,0.0,64.87,64.87,64.87,0.0,0.0,64.73,64.73,64.73,0.0,0.0,64.77,64.77,64.77,0.0,0.0
2018-06-17,63.13,63.13,63.13,0.0,0.0,63.24,63.24,63.24,0.0,0.0,62.99,62.99,62.99,0.0,0.0,63.11,63.11,63.11,0.0,0.0
2018-06-24,61.5,61.5,61.5,0.0,0.0,61.74,61.74,61.74,0.0,0.0,61.5,61.5,61.5,0.0,0.0,61.74,61.74,61.74,0.0,0.0
2018-07-01,62.55,62.55,62.55,0.0,0.0,62.71,62.71,62.71,0.0,0.0,62.47,62.47,62.47,0.0,0.0,62.69,62.69,62.69,0.0,0.0
2018-07-08,62.38,62.38,62.38,0.0,0.0,62.38,62.38,62.38,0.0,0.0,62.38,62.38,62.38,0.0,0.0,62.38,62.38,62.38,0.0,0.0
2018-07-15,63.06,63.06,63.06,0.0,0.0,63.25,63.25,63.25,0.0,0.0,63.05,63.05,63.05,0.0,0.0,63.11,63.11,63.11,0.0,0.0
2018-07-22,64.14,64.14,64.14,0.0,0.0,64.14,64.14,64.14,0.0,0.0,64.0,64.0,64.0,0.0,0.0,64.0,64.0,64.0,0.0,0.0
2018-07-29,62.94,62.94,62.94,0.0,0.0,62.94,62.94,62.94,0.0,0.0,62.94,62.94,62.94,0.0,0.0,62.94,62.94,62.94,0.0,0.0
2018-08-05,61.81,61.81,61.81,0.0,0.0,61.84,61.84,61.84,0.0,0.0,61.56,61.56,61.56,0.0,0.0,61.59,61.59,61.59,0.0,0.0
2018-08-12,62.0,62.0,62.0,0.0,0.0,62.0,62.0,62.0,0.0,0.0,61.85,61.85,61.85,0.0,0.0,61.92,61.92,61.92,0.0,0.0
2018-08-19,62.71,62.71,62.71,0.0,0.0,62.84,62.84,62.84,0.0,0.0,62.71,62.71,62.71,0.0,0.0,62.84,62.84,62.84,0.0,0.0
2018-08-26,62.87,62.87,62.87,0.0,0.0,62.87,62.87,62.87,0.0,0.0,62.5,62.5,62.5,0.0,0.0,62.5,62.5,62.5,0.0,0.0
2018-09-02,61.45,61.45,61.45,0.0,0.0,61.45,61.45,61.45,0.0,0.0,61.26,61.26,61.26,0.0,0.0,61.27,61.27,61.27,0.0,0.0
2018-09-09,62.95,62.95,62.95,0.0,0.0,63.05,63.05,63.05,0.0,0.0,62.72,62.72,62.72,0.0,0.0,62.72,62.72,62.72,0.0,0.0
2018-09-16,64.65,64.65,64.65,0.0,0.0,64.65,64.65,64.65,0.0,0.0,64.35,64.35,64.35,0.0,0.0,64.45,64.45,64.45,0.0,0.0
2018-09-23,65.39,65.39,65.39,0.0,0.0,65.46,65.46,65.46,0.0,0.0,65.28,65.28,65.28,0.0,0.0,65.34,65.34,65.34,0.0,0.0
2018-09-30,63.7,63.7,63.7,0.0,0.0,63.85,63.85,63.85,0.0,0.0,63.52,63.52,63.52,0.0,0.0,63.52,63.52,63.52,0.0,0.0
2018-10-07,60.75,60.75,60.75,0.0,0.0,61.15,61.15,61.15,0.0,0.0,60.75,60.75,60.75,0.0,0.0,61.15,61.15,61.15,0.0,0.0
2018-10-14,60.86,60.86,60.86,0.0,0.0,60.86,60.86,60.86,0.0,0.0,60.73,60.73,60.73,0.0,0.0,60.73,60.73,60.73,0.0,0.0
2018-10-21,58.29,58.29,58.29,0.0,0.0,58.29,58.29,58.29,0.0,0.0,57.0,57.0,57.0,0.0,0.0,57.38,57.38,57.38,0.0,0.0
2018-10-28,59.1,59.1,59.1,0.0,0.0,59.27,59.27,59.27,0.0,0.0,57.28,57.28,57.28,0.0,0.0,59.27,59.27,59.27,0.0,0.0
2018-11-04,58.84,58.84,58.84,0.0,0.0,58.85,58.85,58.85,0.0,0.0,58.59,58.59,58.59,0.0,0.0,58.59,58.59,58.59,0.0,0.0
2018-11-11,58.89,58.89,58.89,0.0,0.0,59.0,59.0,59.0,0.0,0.0,58.34,58.34,58.34,0.0,0.0,58.34,58.34,58.34,0.0,0.0
2018-11-18,58.92,58.92,58.92,0.0,0.0,59.2,59.2,59.2,0.0,0.0,58.77,58.77,58.77,0.0,0.0,59.2,59.2,59.2,0.0,0.0
2018-11-25,60.63,60.63,60.63,0.0,0.0,60.76,60.76,60.76,0.0,0.0,60.21,60.21,60.21,0.0,0.0,60.31,60.31,60.31,0.0,0.0
2018-12-02,57.22,57.22,57.22,0.0,0.0,57.37,57.37,57.37,0.0,0.0,56.41,56.41,56.41,0.0,0.0,57.23,57.23,57.23,0.0,0.0
2018-12-09,56.97,56.97,56.97,0.0,0.0,57.08,57.08,57.08,0.0,0.0,56.35,56.35,56.35,0.0,0.0,56.41,56.41,56.41,0.0,0.0
2018-12-16,52.98,52.98,52.98,0.0,0.0,53.04,53.04,53.04,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.64,52.64,52.64,0.0,0.0
2018-12-23,54.8,54.8,54.8,0.0,0.0,54.9,54.9,54.9,0.0,0.0,54.45,54.45,54.45,0.0,0.0,54.48,54.48,54.48,0.0,0.0
2018-12-30,56.48,56.48,56.48,0.0,0.0,56.89,56.89,56.89,0.0,0.0,56.29,56.29,56.29,0.0,0.0,56.58,56.58,56.58,0.0,0.0
2019-01-06,56.54,56.54,56.54,0.0,0.0,56.63,56.63,56.63,0.0,0.0,56.41,56.41,56.41,0.0,0.0,56.41,56.41,56.41,0.0,0.0
2019-01-13,58.04,58.04,58.04,0.0,0.0,58.16,58.16,58.16,0.0,0.0,57.84,57.84,57.84,0.0,0.0,58.16,58.16,58.16,0.0,0.0
2019-01-20,57.22,57.22,57.22,0.0,0.0,57.41,57.41,57.41,0.0,0.0,57.17,57.17,57.17,0.0,0.0,57.4,57.4,57.4,0.0,0.0
2019-01-27,58.05,58.05,58.05,0.0,0.0,58.31,58.31,58.31,0.0,0.0,58.01,58.01,58.01,0.0,0.0,58.29,58.29,58.29,0.0,0.0
2019-02-03,56.79,56.79,56.79,0.0,0.0,56.83,56.83,56.83,0.0,0.0,56.58,56.58,56.58,0.0,0.0,56.75,56.75,56.75,0.0,0.0
2019-02-10,58.33,58.33,58.33,0.0,0.0,58.59,58.59,58.59,0.0,0.0,58.23,58.23,58.23,0.0,0.0,58.59,58.59,58.59,0.0,0.0
2019-02-17,59.34,59.34,59.34,0.0,0.0,59.34,59.34,59.34,0.0,0.0,59.11,59.11,59.11,0.0,0.0,59.11,59.11,59.11,0.0,0.0
2019-02-24,58.75,58.75,58.75,0.0,0.0,58.76,58.76,58.76,0.0,0.0,58.56,58.56,58.56,0.0,0.0,58.59,58.59,58.59,0.0,0.0
2019-03-03,57.51,57.51,57.51,0.0,0.0,58.09,58.09,58.09,0.0,0.0,57.51,57.51,57.51,0.0,0.0,58.07,58.07,58.07,0.0,0.0
