Date,Direxion Daily Emerging Markets Bull 3X Shares_Open_average,Direxion Daily Emerging Markets Bull 3X Shares_Open_max,Direxion Daily Emerging Markets Bull 3X Shares_Open_volatility,Direxion Daily Emerging Markets Bull 3X Shares_Open_change,Direxion Daily Emerging Markets Bull 3X Shares_High_average,Direxion Daily Emerging Markets Bull 3X Shares_High_max,Direxion Daily Emerging Markets Bull 3X Shares_High_volatility,Direxion Daily Emerging Markets Bull 3X Shares_High_change,Direxion Daily Emerging Markets Bull 3X Shares_Low_average,Direxion Daily Emerging Markets Bull 3X Shares_Low_max,Direxion Daily Emerging Markets Bull 3X Shares_Low_volatility,Direxion Daily Emerging Markets Bull 3X Shares_Low_change,Direxion Daily Emerging Markets Bull 3X Shares_Close_average,Direxion Daily Emerging Markets Bull 3X Shares_Close_max,Direxion Daily Emerging Markets Bull 3X Shares_Close_volatility,Direxion Daily Emerging Markets Bull 3X Shares_Close_change
2016-01-03,36.28,36.28,0.0,0.0,36.28,36.28,0.0,0.0,34.2,34.2,0.0,0.0,35.2,35.2,0.0,0.0
2016-01-10,31.44,31.44,0.0,0.0,32.04,32.04,0.0,0.0,30.04,30.04,0.0,0.0,31.36,31.36,0.0,0.0
2016-01-17,33.52,33.52,0.0,0.0,33.84,33.84,0.0,0.0,32.32,32.32,0.0,0.0,32.36,32.36,0.0,0.0
2016-01-24,36.48,36.48,0.0,0.0,37.64,37.64,0.0,0.0,36.2,36.2,0.0,0.0,37.32,37.32,0.0,0.0
2016-01-31,34.4,34.4,0.0,0.0,35.08,35.08,0.0,0.0,33.36,33.36,0.0,0.0,34.6,34.6,0.0,0.0
2016-02-07,32.76,32.76,0.0,0.0,33.56,33.56,0.0,0.0,32.24,32.24,0.0,0.0,33.52,33.52,0.0,0.0
2016-02-14,38.56,38.56,0.0,0.0,39.4,39.4,0.0,0.0,38.4,38.4,0.0,0.0,39.4,39.4,0.0,0.0
2016-02-21,36.96,36.96,0.0,0.0,37.84,37.84,0.0,0.0,36.76,36.76,0.0,0.0,36.84,36.84,0.0,0.0
2016-02-28,45.0,45.0,0.0,0.0,46.88,46.88,0.0,0.0,44.92,44.92,0.0,0.0,46.16,46.16,0.0,0.0
2016-03-06,47.2,47.2,0.0,0.0,47.68,47.68,0.0,0.0,46.44,46.44,0.0,0.0,46.88,46.88,0.0,0.0
2016-03-13,51.32,51.32,0.0,0.0,52.1,52.1,0.0,0.0,51.04,51.04,0.0,0.0,51.72,51.72,0.0,0.0
2016-03-20,48.44,48.44,0.0,0.0,48.94,48.94,0.0,0.0,48.25,48.25,0.0,0.0,48.86,48.86,0.0,0.0
2016-03-27,51.75,51.75,0.0,0.0,51.78,51.78,0.0,0.0,49.89,49.89,0.0,0.0,49.92,49.92,0.0,0.0
2016-04-03,50.55,50.55,0.0,0.0,51.09,51.09,0.0,0.0,49.86,49.86,0.0,0.0,49.94,49.94,0.0,0.0
2016-04-10,52.85,52.85,0.0,0.0,54.94,54.94,0.0,0.0,52.35,52.35,0.0,0.0,54.18,54.18,0.0,0.0
