Date,CX_Open_average,CX_Open_max,CX_Open_volatility,CX_Open_change%,CX_High_average,CX_High_max,CX_High_volatility,CX_High_change%,CX_Low_average,CX_Low_max,CX_Low_volatility,CX_Low_change%,CX_Close_average,CX_Close_max,CX_Close_volatility,CX_Close_change%,CX_Volume_average,CX_Volume_max,CX_Volume_volatility,CX_Volume_change%
2016-01-03,4.595,5.0,0.9500000000000002,-19.000000000000004,4.648333333333333,5.04,0.9299999999999997,-18.452380952380945,4.3966666666666665,4.84,0.8999999999999999,-18.595041322314046,4.431666666666667,4.84,0.8599999999999999,-17.355371900826444,15716822,24177384,13238161,13.307654483321164
2016-01-10,4.047499999999999,4.22,0.2999999999999998,-4.15647921760391,4.1525,4.28,0.27000000000000046,-3.8369304556354953,3.8575,3.99,0.3700000000000001,-9.273182957393487,4.0475,4.12,0.1499999999999999,-3.15533980582524,16795395,23967032,11333865,76.78345851329198
2016-01-17,3.8760000000000003,4.07,0.43000000000000016,-1.2406947890818925,3.996,4.23,0.5100000000000002,-1.9704433497536855,3.67,3.97,0.6000000000000001,-1.3440860215053834,3.8160000000000003,4.03,0.3600000000000003,-2.6525198938992065,14805280,19506458,8452266,-23.09669361876436
2016-01-24,3.936,4.08,0.30000000000000027,7.936507936507945,4.044,4.23,0.37000000000000055,7.253886010362689,3.8,3.98,0.3999999999999999,10.055865921787705,3.974,4.19,0.40000000000000036,5.69948186528498,17074340,22993102,10273486,8.835581199935595
2016-01-31,4.3759999999999994,4.76,0.7000000000000002,11.82266009852218,4.582,5.01,0.8599999999999994,10.361445783132522,4.196,4.61,0.7800000000000002,6.091370558375629,4.394,4.81,0.8199999999999994,6.015037593984967,21854988,32148840,14983852,23.72978064418105
2016-02-07,4.0325,4.11,0.17000000000000037,-4.136253041362539,4.2025,4.34,0.29000000000000004,-3.6866359447004644,3.9225,4.01,0.23999999999999977,-1.7543859649122877,4.0725,4.18,0.22999999999999954,1.951219512195124,18926373,23782634,7227364,-27.203395553242757
2016-02-14,4.63,4.89,0.5299999999999994,10.77981651376146,4.8100000000000005,5.06,0.6599999999999993,14.999999999999982,4.516,4.81,0.5699999999999994,13.44339622641508,4.728,5.06,0.71,16.32183908045977,17663908,36384656,26666952,51.70395187999141
2016-02-21,4.968,5.07,0.3200000000000003,1.0040160642570244,5.124,5.29,0.2999999999999998,0.19493177387913815,4.874,4.97,0.3199999999999994,1.6359918200409014,5.01,5.12,0.20000000000000018,4.065040650406508,10306643,12646372,3591602,-15.243092119477543
2016-02-28,5.384,5.5,0.33000000000000007,6.382978723404257,5.58,5.82,0.40000000000000036,7.380073800738014,5.342,5.47,0.33000000000000007,6.225680933852146,5.508,5.78,0.3700000000000001,6.839186691312387,13814539,17734796,7242630,14.487312197232578
2016-03-06,5.652,5.7,0.1200000000000001,-1.5873015873015848,5.732,5.82,0.1299999999999999,0.35149384885763746,5.536,5.6,0.14999999999999947,1.6513761467889883,5.608,5.68,0.22999999999999954,4.220183486238524,11552382,14741718,6046316,-30.941678575048037
2016-03-13,5.874,6.42,0.9199999999999999,16.304347826086964,6.106,6.66,1.0200000000000005,18.085106382978733,5.8100000000000005,6.39,0.9499999999999993,17.463235294117634,6.05,6.59,1.0700000000000003,19.3840579710145,16224889,23308636,11632923,40.85868674572593
