Date,ProShares Ultra Semiconductors_Open_average,ProShares Ultra Semiconductors_Open_max,ProShares Ultra Semiconductors_Open_min,ProShares Ultra Semiconductors_Open_volatility,ProShares Ultra Semiconductors_Open_change,ProShares Ultra Semiconductors_High_average,ProShares Ultra Semiconductors_High_max,ProShares Ultra Semiconductors_High_min,ProShares Ultra Semiconductors_High_volatility,ProShares Ultra Semiconductors_High_change,ProShares Ultra Semiconductors_Low_average,ProShares Ultra Semiconductors_Low_max,ProShares Ultra Semiconductors_Low_min,ProShares Ultra Semiconductors_Low_volatility,ProShares Ultra Semiconductors_Low_change,ProShares Ultra Semiconductors_Close_average,ProShares Ultra Semiconductors_Close_max,ProShares Ultra Semiconductors_Close_min,ProShares Ultra Semiconductors_Close_volatility,ProShares Ultra Semiconductors_Close_change
2018-01-14,46.61,46.61,46.61,0.0,0.0,47.44,47.44,47.44,0.0,0.0,46.52,46.52,46.52,0.0,0.0,47.44,47.44,47.44,0.0,0.0
2018-01-21,47.83,47.83,47.83,0.0,0.0,48.54,48.54,48.54,0.0,0.0,47.47,47.47,47.47,0.0,0.0,48.34,48.34,48.34,0.0,0.0
2018-01-28,42.0,42.0,42.0,0.0,0.0,43.85,43.85,43.85,0.0,0.0,38.88,38.88,38.88,0.0,0.0,38.88,38.88,38.88,0.0,0.0
2018-02-04,40.8,40.8,40.8,0.0,0.0,41.46,41.46,41.46,0.0,0.0,40.23,40.23,40.23,0.0,0.0,40.96,40.96,40.96,0.0,0.0
2018-02-11,44.0,44.0,44.0,0.0,0.0,44.87,44.87,44.87,0.0,0.0,43.7,43.7,43.7,0.0,0.0,43.7,43.7,43.7,0.0,0.0
2018-02-18,46.33,46.33,46.33,0.0,0.0,47.98,47.98,47.98,0.0,0.0,46.33,46.33,46.33,0.0,0.0,47.98,47.98,47.98,0.0,0.0
2018-02-25,46.11,46.11,46.11,0.0,0.0,47.66,47.66,47.66,0.0,0.0,45.77,45.77,45.77,0.0,0.0,47.47,47.47,47.47,0.0,0.0
2018-03-04,52.22,52.22,52.22,0.0,0.0,52.65,52.65,52.65,0.0,0.0,51.5,51.5,51.5,0.0,0.0,52.24,52.24,52.24,0.0,0.0
2018-03-11,50.08,50.08,50.08,0.0,0.0,50.08,50.08,50.08,0.0,0.0,47.36,47.36,47.36,0.0,0.0,48.65,48.65,48.65,0.0,0.0
2018-03-18,45.97,45.97,45.97,0.0,0.0,48.17,48.17,48.17,0.0,0.0,45.19,45.19,45.19,0.0,0.0,48.15,48.15,48.15,0.0,0.0
