Date,DMRC_stock_Open_average,DMRC_stock_Open_max,DMRC_stock_Open_min,DMRC_stock_Open_volatility,DMRC_stock_Open_change,DMRC_stock_High_average,DMRC_stock_High_max,DMRC_stock_High_min,DMRC_stock_High_volatility,DMRC_stock_High_change,DMRC_stock_Low_average,DMRC_stock_Low_max,DMRC_stock_Low_min,DMRC_stock_Low_volatility,DMRC_stock_Low_change,DMRC_stock_Close_average,DMRC_stock_Close_max,DMRC_stock_Close_min,DMRC_stock_Close_volatility,DMRC_stock_Close_change,DMRC_stock_Volume_average,DMRC_stock_Volume_max,DMRC_stock_Volume_min,DMRC_stock_Volume_volatility,DMRC_stock_Volume_change
2018-01-14,37.975,39.45,36.75,2.700000000000003,-2.700000000000003,38.5,39.45,37.6,1.8500000000000014,-1.8500000000000014,36.8425,37.3,36.25,1.0499999999999972,-0.75,37.1625,37.7,36.55,1.1500000000000057,-0.3999999999999986,77849,123938,59688,64250,-842
2018-01-21,35.33,37.0,34.0,3.0,-3.0,35.51,37.0,34.1,2.8999999999999986,-2.8999999999999986,34.13,36.05,32.7,3.3499999999999943,-3.3499999999999943,34.4,36.15,32.85,3.299999999999997,-3.299999999999997,69769,96117,44012,52105,28516
2018-01-28,31.43,32.85,30.5,2.3500000000000014,-2.3500000000000014,31.906,33.3,30.65,2.6499999999999986,-2.6499999999999986,30.43,31.4,29.3,2.099999999999998,-2.099999999999998,30.87,31.9,29.55,2.349999999999998,-2.349999999999998,102715,121698,87061,34637,-27457
2018-02-04,28.84,29.35,28.25,1.1000000000000014,-0.25,29.55,29.8,29.3,0.5,-0.4499999999999993,28.17,28.65,27.6,1.0499999999999972,-1.0499999999999972,28.73,28.85,28.6,0.25,-0.05000000000000071,118804,134847,93898,40949,-14540
2018-02-11,29.58,30.25,28.9,1.3500000000000014,1.3500000000000014,30.33,31.2,29.25,1.9499999999999993,1.9499999999999993,29.276,30.2,28.18,2.0199999999999996,2.0199999999999996,30.08,31.15,29.05,2.099999999999998,2.099999999999998,101276,246074,50081,195993,-14047
2018-02-18,29.9375,31.6,26.55,5.050000000000001,-4.5,30.762500000000003,32.45,27.75,4.700000000000003,-4.450000000000003,28.275,31.05,25.68,5.370000000000001,-5.370000000000001,28.925,31.55,26.55,5.0,-4.5,175975,414902,55331,359571,63349
2018-02-25,26.39,27.2,26.0,1.1999999999999993,-1.1999999999999993,26.85,27.3,26.3,1.0,-0.15000000000000213,25.84,26.05,25.65,0.40000000000000213,0.09999999999999787,26.28,26.7,25.9,0.8000000000000007,0.14999999999999858,73606,87432,53956,33476,9373
2018-03-04,27.740000000000002,28.2,26.55,1.6499999999999986,1.6499999999999986,28.64,29.2,27.95,1.25,1.25,27.49,27.95,26.55,1.3999999999999986,1.3999999999999986,28.23,29.2,27.65,1.5500000000000007,1.5500000000000007,61497,64262,56870,7392,-7096
2018-03-11,28.92,29.35,28.3,1.0500000000000007,-0.75,29.376,29.73,28.95,0.7800000000000011,-0.7800000000000011,28.54,28.95,28.15,0.8000000000000007,-0.75,28.74,29.15,28.25,0.8999999999999986,-0.75,67507,89851,56131,33720,25997
2018-03-18,26.990000000000002,28.35,25.85,2.5,-2.5,27.742,28.38,26.73,1.6499999999999986,-1.6499999999999986,26.36,27.75,25.45,2.3000000000000007,-2.3000000000000007,26.46,27.8,25.45,2.3500000000000014,-2.3500000000000014,84426,109263,68517,40746,-5751
2018-03-25,25.5,26.35,24.8,1.5500000000000007,-1.0500000000000007,25.7425,26.52,25.0,1.5199999999999996,-1.3500000000000014,24.65,25.35,23.9,1.4500000000000028,-1.4500000000000028,25.0125,26.35,23.95,2.400000000000002,-2.400000000000002,85536,139155,50971,88184,54510
2018-04-01,24.05,25.3,22.85,2.4499999999999993,1.3000000000000007,24.8,25.7,23.95,1.75,1.4000000000000021,23.596,24.73,22.85,1.879999999999999,1.7300000000000004,24.3,25.45,23.15,2.3000000000000007,1.6500000000000021,66459,82641,49674,32967,-584
2018-04-08,25.84,26.55,25.15,1.4000000000000021,1.4000000000000021,26.26,26.6,25.4,1.2000000000000028,1.2000000000000028,25.631999999999998,26.2,24.9,1.3000000000000007,1.3000000000000007,26.05,26.45,25.05,1.3999999999999986,1.3499999999999979,74901,86035,56241,29794,-26997
2018-04-15,27.46,28.25,26.5,1.75,1.5,28.16,29.05,26.75,2.3000000000000007,2.3000000000000007,27.222,27.95,26.3,1.6499999999999986,1.6499999999999986,27.91,28.95,26.3,2.6499999999999986,2.6499999999999986,54489,84330,29133,55197,55197
2018-04-22,26.82,29.0,25.85,3.1499999999999986,-3.1499999999999986,27.948,29.64,26.35,3.289999999999999,0.5899999999999999,25.433999999999997,26.15,24.47,1.6799999999999997,-0.9499999999999993,26.7,28.7,25.8,2.8999999999999986,2.5500000000000007,137662,252902,53710,199192,137435
2018-04-29,28.06,28.95,27.2,1.75,-1.75,28.374,29.1,27.75,1.3500000000000014,-0.990000000000002,27.35,27.9,27.0,0.8999999999999986,-0.8499999999999979,27.78,28.85,27.3,1.5500000000000007,-1.25,67447,84089,44704,39385,-23868
2018-05-06,28.97,29.65,27.9,1.75,1.6000000000000014,29.836,30.55,28.9,1.6500000000000021,0.8900000000000006,28.55,29.2,27.7,1.5,1.0,29.16,29.55,28.45,1.1000000000000014,0.4499999999999993,64632,106410,31142,75268,-34043
2018-05-13,28.89,29.05,28.45,0.6000000000000014,-0.5,29.29,29.73,28.85,0.879999999999999,-0.41999999999999815,28.424,28.95,27.8,1.1499999999999986,-0.8499999999999979,28.76,29.15,27.95,1.1999999999999993,-1.1999999999999993,61218,74392,43372,31020,5317
2018-05-20,28.55,28.9,28.1,0.7999999999999972,0.75,28.972,29.35,28.45,0.9000000000000021,0.6000000000000014,28.31,28.65,27.75,0.8999999999999986,0.8000000000000007,28.73,29.05,28.3,0.75,0.5500000000000007,50258,62286,32173,30113,-20786
2018-05-27,29.05,29.35,28.75,0.6000000000000014,0.6000000000000014,29.9375,30.85,29.45,1.4000000000000021,1.4000000000000021,28.8375,29.3,28.3,1.0,1.0,29.425,30.45,28.7,1.75,1.75,71948,107489,38492,68997,42425
2018-06-03,29.78,30.5,28.7,1.8000000000000007,-1.8000000000000007,30.084,30.6,28.9,1.7000000000000028,-1.7000000000000028,29.01,29.65,28.05,1.5999999999999979,-1.5999999999999979,29.31,30.0,28.15,1.8500000000000014,-1.7000000000000028,56181,78541,41892,36649,9345
2018-06-10,29.529999999999998,31.65,28.3,3.349999999999998,3.349999999999998,30.826,33.4,28.73,4.669999999999998,4.669999999999998,29.33,31.65,27.95,3.6999999999999993,3.6999999999999993,30.5,32.85,28.7,4.150000000000002,4.150000000000002,89046,129778,56052,73726,73726
2018-06-17,31.62,32.75,30.05,2.6999999999999993,-2.6999999999999993,31.99,33.1,30.45,2.650000000000002,-2.650000000000002,30.542,31.55,29.45,2.1000000000000014,-2.1000000000000014,31.11,31.95,30.0,1.9499999999999993,-1.5999999999999979,87052,149718,64873,84845,84845
2018-06-24,28.38,30.2,26.8,3.3999999999999986,-3.3999999999999986,28.77,30.2,27.0,3.1999999999999993,-3.1999999999999993,27.286,28.5,26.13,2.370000000000001,-2.370000000000001,27.63,29.1,26.65,2.450000000000003,-2.3000000000000007,72555,88718,55740,32978,-7630
