Date,KOPStock_Open_average,KOPStock_Open_max,KOPStock_Open_min,KOPStock_Open_volatility,KOPStock_Open_change,KOPStock_High_average,KOPStock_High_max,KOPStock_High_min,KOPStock_High_volatility,KOPStock_High_change,KOPStock_Low_average,KOPStock_Low_max,KOPStock_Low_min,KOPStock_Low_volatility,KOPStock_Low_change,KOPStock_Close_average,KOPStock_Close_max,KOPStock_Close_min,KOPStock_Close_volatility,KOPStock_Close_change,KOPStock_Volume_average,KOPStock_Volume_max,KOPStock_Volume_min,KOPStock_Volume_volatility,KOPStock_Volume_change
2018-01-14,47.8875,48.9,47.1,1.7999999999999972,-1.7999999999999972,48.325,49.25,47.7,1.5499999999999972,-1.2000000000000028,47.2425,47.65,46.86,0.7899999999999991,-0.6400000000000006,47.6625,47.9,47.15,0.75,0.04999999999999716,94614,162624,62388,100236,-18163
2018-01-21,47.41,47.85,46.55,1.3000000000000043,0.05000000000000426,47.81,48.1,47.4,0.7000000000000028,-0.20000000000000284,46.662,47.55,46.2,1.3499999999999943,-1.25,47.19,48.0,46.65,1.3500000000000014,-1.1499999999999986,114679,168880,66550,102330,102330
2018-01-28,45.809999999999995,46.8,44.4,2.3999999999999986,-2.3999999999999986,46.21,47.4,44.45,2.9499999999999957,-2.9499999999999957,45.046,46.58,43.0,3.5799999999999983,-3.5799999999999983,45.3,46.75,43.1,3.6499999999999986,-3.6499999999999986,136936,172021,100489,71532,-19212
2018-02-04,41.12,42.5,40.55,1.9500000000000028,-1.9500000000000028,41.660000000000004,43.25,40.75,2.5,-2.5,40.46,41.75,39.3,2.450000000000003,-2.450000000000003,40.67,41.85,39.65,2.200000000000003,-2.200000000000003,189479,263621,130747,132874,1472
2018-02-11,40.18,40.95,39.7,1.25,1.1499999999999986,40.8,41.6,40.25,1.3500000000000014,1.3500000000000014,39.782,40.6,39.15,1.4500000000000028,1.4500000000000028,40.48,40.85,40.05,0.8000000000000043,0.7000000000000028,110923,167363,67599,99764,-61962
2018-02-18,40.95,41.2,40.6,0.6000000000000014,0.44999999999999574,41.675,41.9,41.4,0.5,0.45000000000000284,40.7825,40.95,40.58,0.37000000000000455,0.37000000000000455,40.9625,41.3,40.65,0.6499999999999986,0.6499999999999986,79295,89524,69293,20231,17175
2018-02-25,40.67,41.35,39.5,1.8500000000000014,-0.6499999999999986,41.804,42.15,41.62,0.5300000000000011,-0.04999999999999716,40.199999999999996,40.9,38.75,2.1499999999999986,-0.5,41.07,41.6,40.4,1.2000000000000028,0.10000000000000142,143565,188602,93577,95025,-12676
2018-03-04,41.93,42.45,41.35,1.1000000000000014,1.0500000000000043,42.67,43.8,41.8,2.0,2.0,41.62,42.45,41.05,1.4000000000000057,1.3000000000000043,42.35,43.6,41.25,2.3500000000000014,2.3500000000000014,97955,149466,63697,85769,26721
2018-03-11,43.8,44.5,43.05,1.4500000000000028,-0.5,44.31,44.85,43.95,0.8999999999999986,-0.20000000000000284,43.3,43.95,42.9,1.0500000000000043,-0.6499999999999986,43.75,44.25,43.1,1.1499999999999986,-0.3999999999999986,109739,196143,69360,126783,126783
2018-03-18,43.01,43.75,41.85,1.8999999999999986,-1.8999999999999986,43.27,43.8,42.1,1.6999999999999957,-1.6499999999999986,42.28,43.1,40.9,2.200000000000003,-1.8999999999999986,42.5,43.4,40.9,2.5,-2.450000000000003,118056,184006,67392,116614,14463
