Date,CRDa_Open_average,CRDa_Open_max,CRDa_Open_min,CRDa_Open_volatility,CRDa_Open_change,CRDa_High_average,CRDa_High_max,CRDa_High_min,CRDa_High_volatility,CRDa_High_change,CRDa_Low_average,CRDa_Low_max,CRDa_Low_min,CRDa_Low_volatility,CRDa_Low_change,CRDa_Close_average,CRDa_Close_max,CRDa_Close_min,CRDa_Close_volatility,CRDa_Close_change,CRDa_Volume_average,CRDa_Volume_max,CRDa_Volume_min,CRDa_Volume_volatility,CRDa_Volume_change
2018-01-14,8.4225,8.48,8.31,0.16999999999999993,0.040000000000000924,8.5625,8.62,8.47,0.14999999999999858,-0.14999999999999858,8.2625,8.3,8.17,0.13000000000000078,-0.11999999999999922,8.4175,8.49,8.33,0.16000000000000014,-0.02999999999999936,34693,51433,20701,30732,-5246
2018-01-21,8.302,8.37,8.26,0.10999999999999943,0.09999999999999964,8.432,8.48,8.36,0.120000000000001,0.120000000000001,8.22,8.26,8.15,0.10999999999999943,0.05000000000000071,8.308,8.39,8.24,0.15000000000000036,0.15000000000000036,28882,38529,17582,20947,-20947
2018-01-28,8.48,8.63,8.3,0.33000000000000007,0.33000000000000007,8.664,8.8,8.55,0.25,0.20000000000000107,8.396,8.56,8.2,0.3600000000000012,0.3600000000000012,8.594,8.78,8.45,0.33000000000000007,0.33000000000000007,25466,53128,11767,41361,-16328
2018-02-04,8.578,8.75,8.46,0.28999999999999915,-0.22999999999999865,8.744,8.95,8.54,0.41000000000000014,-0.3500000000000014,8.426,8.65,8.25,0.40000000000000036,-0.40000000000000036,8.556,8.86,8.4,0.4599999999999991,-0.4299999999999997,39901,55950,21237,34713,-34713
2018-02-11,8.704,8.93,8.33,0.5999999999999996,0.5999999999999996,9.004,9.19,8.78,0.41000000000000014,0.41000000000000014,8.654,8.86,8.3,0.5599999999999987,0.5599999999999987,8.856,8.98,8.67,0.3100000000000005,0.3100000000000005,41374,100428,15695,84733,74768
2018-02-18,8.8825,9.0,8.74,0.2599999999999998,-0.2599999999999998,9.0,9.1,8.74,0.35999999999999943,-0.35999999999999943,8.6875,8.81,8.46,0.34999999999999964,-0.34999999999999964,8.745,8.85,8.51,0.33999999999999986,-0.33999999999999986,25316,35571,14501,21070,-21070
2018-02-25,8.342,8.56,8.1,0.46000000000000085,-0.120000000000001,8.446,8.6,8.29,0.3100000000000005,-0.09999999999999964,8.174,8.32,8.07,0.25,-0.120000000000001,8.268,8.42,8.14,0.27999999999999936,0.03999999999999915,20809,34298,11306,22992,-14147
2018-03-04,8.620000000000001,8.9,8.47,0.4299999999999997,0.019999999999999574,8.786,9.03,8.49,0.5399999999999991,-0.1999999999999993,8.248,8.64,7.8,0.8400000000000007,-0.39999999999999947,8.44,8.92,8.0,0.9199999999999999,-0.6199999999999992,57715,124247,25038,99209,49192
2018-03-11,8.046,8.46,7.72,0.7400000000000011,-0.5500000000000007,8.154,8.54,7.85,0.6899999999999995,-0.629999999999999,7.768,8.07,7.65,0.41999999999999993,-0.41999999999999993,7.888,8.29,7.71,0.5799999999999992,-0.40999999999999925,66492,89921,46201,43720,2624
2018-03-18,8.012,8.15,7.86,0.29000000000000004,0.13999999999999968,8.112,8.19,7.93,0.2599999999999998,0.2599999999999998,7.798,7.84,7.69,0.14999999999999947,0.11999999999999922,7.986,8.06,7.93,0.13000000000000078,0.08000000000000007,68859,199424,14631,184793,50223
