Date,ELLO_Open_average,ELLO_Open_max,ELLO_Open_min,ELLO_Open_volatility,ELLO_Open_change,ELLO_High_average,ELLO_High_max,ELLO_High_min,ELLO_High_volatility,ELLO_High_change,ELLO_Low_average,ELLO_Low_max,ELLO_Low_min,ELLO_Low_volatility,ELLO_Low_change,ELLO_Close_average,ELLO_Close_max,ELLO_Close_min,ELLO_Close_volatility,ELLO_Close_change,ELLO_Volume_average,ELLO_Volume_max,ELLO_Volume_min,ELLO_Volume_volatility,ELLO_Volume_change
2018-01-14,9.37,9.51,9.1,0.41000000000000014,0.009999999999999787,9.493333333333334,9.51,9.47,0.03999999999999915,0.009999999999999787,9.31,9.51,9.1,0.41000000000000014,0.1899999999999995,9.433333333333334,9.51,9.32,0.1899999999999995,0.1899999999999995,184,315,88,227,61
2018-01-21,10.176666666666668,10.42,9.98,0.4399999999999995,0.15000000000000036,10.496666666666666,11.09,9.98,1.1099999999999994,1.1099999999999994,9.893333333333334,10.13,9.49,0.6400000000000006,0.6400000000000006,10.046666666666667,10.59,9.49,1.0999999999999996,1.0999999999999996,168,400,35,365,330
2018-01-28,9.56,9.56,9.56,0.0,0.0,9.56,9.56,9.56,0.0,0.0,9.56,9.56,9.56,0.0,0.0,9.56,9.56,9.56,0.0,0.0,100,100,100,0,0
2018-02-04,9.0,9.0,9.0,0.0,0.0,9.13,9.13,9.13,0.0,0.0,9.0,9.0,9.0,0.0,0.0,9.13,9.13,9.13,0.0,0.0,240,240,240,0,0
2018-02-11,8.41,8.41,8.41,0.0,0.0,8.41,8.41,8.41,0.0,0.0,8.41,8.41,8.41,0.0,0.0,8.41,8.41,8.41,0.0,0.0,101,101,101,0,0
2018-02-18,9.24,9.24,9.24,0.0,0.0,9.24,9.24,9.24,0.0,0.0,9.24,9.24,9.24,0.0,0.0,9.24,9.24,9.24,0.0,0.0,100,100,100,0,0
2018-02-25,9.7,9.7,9.7,0.0,0.0,9.7,9.7,9.7,0.0,0.0,9.7,9.7,9.7,0.0,0.0,9.7,9.7,9.7,0.0,0.0,3053,3053,3053,0,0
2018-03-04,9.43,9.43,9.43,0.0,0.0,9.43,9.43,9.43,0.0,0.0,9.43,9.43,9.43,0.0,0.0,9.43,9.43,9.43,0.0,0.0,260,260,260,0,0
2018-03-11,8.5,8.5,8.5,0.0,0.0,8.5,8.5,8.5,0.0,0.0,8.5,8.5,8.5,0.0,0.0,8.5,8.5,8.5,0.0,0.0,200,200,200,0,0
2018-03-18,8.87,8.87,8.87,0.0,0.0,8.87,8.87,8.87,0.0,0.0,8.87,8.87,8.87,0.0,0.0,8.87,8.87,8.87,0.0,0.0,0,0,0,0,0
2018-03-25,7.99,7.99,7.99,0.0,0.0,7.99,7.99,7.99,0.0,0.0,7.99,7.99,7.99,0.0,0.0,7.99,7.99,7.99,0.0,0.0,160,160,160,0,0
2018-04-01,8.38,8.38,8.38,0.0,0.0,8.38,8.38,8.38,0.0,0.0,8.38,8.38,8.38,0.0,0.0,8.38,8.38,8.38,0.0,0.0,0,0,0,0,0
2018-04-08,8.4,8.4,8.4,0.0,0.0,8.4,8.4,8.4,0.0,0.0,8.4,8.4,8.4,0.0,0.0,8.4,8.4,8.4,0.0,0.0,298,298,298,0,0
2018-04-15,7.65,7.65,7.65,0.0,0.0,7.65,7.65,7.65,0.0,0.0,7.65,7.65,7.65,0.0,0.0,7.65,7.65,7.65,0.0,0.0,200,200,200,0,0
