Date,PIMCO Short Term Municipal Bond Active Exchange-Tr_Open_average,PIMCO Short Term Municipal Bond Active Exchange-Tr_Open_max,PIMCO Short Term Municipal Bond Active Exchange-Tr_Open_min,PIMCO Short Term Municipal Bond Active Exchange-Tr_Open_volatility,PIMCO Short Term Municipal Bond Active Exchange-Tr_Open_change,PIMCO Short Term Municipal Bond Active Exchange-Tr_High_average,PIMCO Short Term Municipal Bond Active Exchange-Tr_High_max,PIMCO Short Term Municipal Bond Active Exchange-Tr_High_min,PIMCO Short Term Municipal Bond Active Exchange-Tr_High_volatility,PIMCO Short Term Municipal Bond Active Exchange-Tr_High_change,PIMCO Short Term Municipal Bond Active Exchange-Tr_Low_average,PIMCO Short Term Municipal Bond Active Exchange-Tr_Low_max,PIMCO Short Term Municipal Bond Active Exchange-Tr_Low_min,PIMCO Short Term Municipal Bond Active Exchange-Tr_Low_volatility,PIMCO Short Term Municipal Bond Active Exchange-Tr_Low_change,PIMCO Short Term Municipal Bond Active Exchange-Tr_Close_average,PIMCO Short Term Municipal Bond Active Exchange-Tr_Close_max,PIMCO Short Term Municipal Bond Active Exchange-Tr_Close_min,PIMCO Short Term Municipal Bond Active Exchange-Tr_Close_volatility,PIMCO Short Term Municipal Bond Active Exchange-Tr_Close_change
2018-01-14,50.12,50.12,50.12,0.0,0.0,50.16,50.16,50.16,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0
2018-01-21,49.93,49.93,49.93,0.0,0.0,50.02,50.02,50.02,0.0,0.0,49.93,49.93,49.93,0.0,0.0,49.99,49.99,49.99,0.0,0.0
2018-01-28,49.91,49.91,49.91,0.0,0.0,49.91,49.91,49.91,0.0,0.0,49.74,49.74,49.74,0.0,0.0,49.76,49.76,49.76,0.0,0.0
2018-02-04,49.8,49.8,49.8,0.0,0.0,49.8,49.8,49.8,0.0,0.0,49.71,49.71,49.71,0.0,0.0,49.77,49.77,49.77,0.0,0.0
2018-02-11,49.76,49.76,49.76,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.7,49.7,49.7,0.0,0.0,49.7,49.7,49.7,0.0,0.0
2018-02-18,49.87,49.87,49.87,0.0,0.0,49.95,49.95,49.95,0.0,0.0,49.85,49.85,49.85,0.0,0.0,49.85,49.85,49.85,0.0,0.0
2018-02-25,49.77,49.77,49.77,0.0,0.0,49.77,49.77,49.77,0.0,0.0,49.75,49.75,49.75,0.0,0.0,49.75,49.75,49.75,0.0,0.0
2018-03-04,49.77,49.77,49.77,0.0,0.0,49.84,49.84,49.84,0.0,0.0,49.76,49.76,49.76,0.0,0.0,49.76,49.76,49.76,0.0,0.0
2018-03-11,49.79,49.79,49.79,0.0,0.0,49.83,49.83,49.83,0.0,0.0,49.79,49.79,49.79,0.0,0.0,49.82,49.82,49.82,0.0,0.0
2018-03-18,49.74,49.74,49.74,0.0,0.0,49.9,49.9,49.9,0.0,0.0,49.69,49.69,49.69,0.0,0.0,49.9,49.9,49.9,0.0,0.0
