Date,iShares International Preferred Stock_Open_average,iShares International Preferred Stock_Open_max,iShares International Preferred Stock_Open_min,iShares International Preferred Stock_Open_volatility,iShares International Preferred Stock_Open_change,iShares International Preferred Stock_High_average,iShares International Preferred Stock_High_max,iShares International Preferred Stock_High_min,iShares International Preferred Stock_High_volatility,iShares International Preferred Stock_High_change,iShares International Preferred Stock_Low_average,iShares International Preferred Stock_Low_max,iShares International Preferred Stock_Low_min,iShares International Preferred Stock_Low_volatility,iShares International Preferred Stock_Low_change,iShares International Preferred Stock_Close_average,iShares International Preferred Stock_Close_max,iShares International Preferred Stock_Close_min,iShares International Preferred Stock_Close_volatility,iShares International Preferred Stock_Close_change
2018-01-14,19.3,19.3,19.3,0.0,0.0,19.32,19.32,19.32,0.0,0.0,19.1,19.1,19.1,0.0,0.0,19.15,19.15,19.15,0.0,0.0
2018-01-21,19.31,19.31,19.31,0.0,0.0,19.49,19.49,19.49,0.0,0.0,19.31,19.31,19.31,0.0,0.0,19.43,19.43,19.43,0.0,0.0
2018-01-28,19.17,19.17,19.17,0.0,0.0,19.41,19.41,19.41,0.0,0.0,19.03,19.03,19.03,0.0,0.0,19.22,19.22,19.22,0.0,0.0
2018-02-04,18.72,18.72,18.72,0.0,0.0,18.72,18.72,18.72,0.0,0.0,18.55,18.55,18.55,0.0,0.0,18.66,18.66,18.66,0.0,0.0
2018-02-11,18.75,18.75,18.75,0.0,0.0,18.87,18.87,18.87,0.0,0.0,18.74,18.74,18.74,0.0,0.0,18.8,18.8,18.8,0.0,0.0
2018-02-18,18.56,18.56,18.56,0.0,0.0,18.63,18.63,18.63,0.0,0.0,18.54,18.54,18.54,0.0,0.0,18.57,18.57,18.57,0.0,0.0
2018-02-25,18.11,18.11,18.11,0.0,0.0,18.18,18.18,18.18,0.0,0.0,18.1,18.1,18.1,0.0,0.0,18.11,18.11,18.11,0.0,0.0
2018-03-04,17.96,17.96,17.96,0.0,0.0,18.08,18.08,18.08,0.0,0.0,17.95,17.95,17.95,0.0,0.0,17.95,17.95,17.95,0.0,0.0
2018-03-11,17.82,17.82,17.82,0.0,0.0,17.85,17.85,17.85,0.0,0.0,17.68,17.68,17.68,0.0,0.0,17.73,17.73,17.73,0.0,0.0
2018-03-18,18.06,18.06,18.06,0.0,0.0,18.09,18.09,18.09,0.0,0.0,18.0,18.0,18.0,0.0,0.0,18.05,18.05,18.05,0.0,0.0
2018-03-25,18.0,18.0,18.0,0.0,0.0,18.07,18.07,18.07,0.0,0.0,17.83,17.83,17.83,0.0,0.0,17.84,17.84,17.84,0.0,0.0
2018-04-01,18.2,18.2,18.2,0.0,0.0,18.2,18.2,18.2,0.0,0.0,17.99,17.99,17.99,0.0,0.0,18.14,18.14,18.14,0.0,0.0
2018-04-08,18.2,18.2,18.2,0.0,0.0,18.35,18.35,18.35,0.0,0.0,18.2,18.2,18.2,0.0,0.0,18.35,18.35,18.35,0.0,0.0
2018-04-15,18.35,18.35,18.35,0.0,0.0,18.35,18.35,18.35,0.0,0.0,18.06,18.06,18.06,0.0,0.0,18.06,18.06,18.06,0.0,0.0
2018-04-22,18.12,18.12,18.12,0.0,0.0,18.15,18.15,18.15,0.0,0.0,18.01,18.01,18.01,0.0,0.0,18.01,18.01,18.01,0.0,0.0
2018-04-29,18.07,18.07,18.07,0.0,0.0,18.12,18.12,18.12,0.0,0.0,18.01,18.01,18.01,0.0,0.0,18.04,18.04,18.04,0.0,0.0
2018-05-06,18.35,18.35,18.35,0.0,0.0,18.44,18.44,18.44,0.0,0.0,18.24,18.24,18.24,0.0,0.0,18.24,18.24,18.24,0.0,0.0
2018-05-13,18.23,18.23,18.23,0.0,0.0,18.23,18.23,18.23,0.0,0.0,18.08,18.08,18.08,0.0,0.0,18.23,18.23,18.23,0.0,0.0
2018-05-20,17.88,17.88,17.88,0.0,0.0,17.95,17.95,17.95,0.0,0.0,17.79,17.79,17.79,0.0,0.0,17.82,17.82,17.82,0.0,0.0
2018-05-27,17.77,17.77,17.77,0.0,0.0,17.83,17.83,17.83,0.0,0.0,17.73,17.73,17.73,0.0,0.0,17.83,17.83,17.83,0.0,0.0
2018-06-03,17.8,17.8,17.8,0.0,0.0,17.8,17.8,17.8,0.0,0.0,17.62,17.62,17.62,0.0,0.0,17.69,17.69,17.69,0.0,0.0
2018-06-10,17.4,17.4,17.4,0.0,0.0,17.46,17.46,17.46,0.0,0.0,17.4,17.4,17.4,0.0,0.0,17.44,17.44,17.44,0.0,0.0
2018-06-17,17.25,17.25,17.25,0.0,0.0,17.3,17.3,17.3,0.0,0.0,17.25,17.25,17.25,0.0,0.0,17.28,17.28,17.28,0.0,0.0
2018-06-24,17.2,17.2,17.2,0.0,0.0,17.36,17.36,17.36,0.0,0.0,17.2,17.2,17.2,0.0,0.0,17.25,17.25,17.25,0.0,0.0
2018-07-01,17.55,17.55,17.55,0.0,0.0,17.55,17.55,17.55,0.0,0.0,17.3,17.3,17.3,0.0,0.0,17.5,17.5,17.5,0.0,0.0
2018-07-08,17.45,17.45,17.45,0.0,0.0,17.56,17.56,17.56,0.0,0.0,17.45,17.45,17.45,0.0,0.0,17.56,17.56,17.56,0.0,0.0
2018-07-15,17.39,17.39,17.39,0.0,0.0,17.48,17.48,17.48,0.0,0.0,17.39,17.39,17.39,0.0,0.0,17.48,17.48,17.48,0.0,0.0
2018-07-22,17.72,17.72,17.72,0.0,0.0,17.72,17.72,17.72,0.0,0.0,17.71,17.71,17.71,0.0,0.0,17.72,17.72,17.72,0.0,0.0
2018-07-29,17.79,17.79,17.79,0.0,0.0,17.79,17.79,17.79,0.0,0.0,17.6,17.6,17.6,0.0,0.0,17.67,17.67,17.67,0.0,0.0
2018-08-05,17.42,17.42,17.42,0.0,0.0,17.57,17.57,17.57,0.0,0.0,17.42,17.42,17.42,0.0,0.0,17.49,17.49,17.49,0.0,0.0
2018-08-12,17.57,17.57,17.57,0.0,0.0,17.61,17.61,17.61,0.0,0.0,17.54,17.54,17.54,0.0,0.0,17.55,17.55,17.55,0.0,0.0
2018-08-19,17.56,17.56,17.56,0.0,0.0,17.73,17.73,17.73,0.0,0.0,17.56,17.56,17.56,0.0,0.0,17.69,17.69,17.69,0.0,0.0
2018-08-26,17.66,17.66,17.66,0.0,0.0,17.7,17.7,17.7,0.0,0.0,17.64,17.64,17.64,0.0,0.0,17.66,17.66,17.66,0.0,0.0
2018-09-02,17.28,17.28,17.28,0.0,0.0,17.39,17.39,17.39,0.0,0.0,17.28,17.28,17.28,0.0,0.0,17.38,17.38,17.38,0.0,0.0
2018-09-09,17.55,17.55,17.55,0.0,0.0,17.61,17.61,17.61,0.0,0.0,17.55,17.55,17.55,0.0,0.0,17.61,17.61,17.61,0.0,0.0
2018-09-16,17.73,17.73,17.73,0.0,0.0,17.76,17.76,17.76,0.0,0.0,17.64,17.64,17.64,0.0,0.0,17.65,17.65,17.65,0.0,0.0
2018-09-23,17.67,17.67,17.67,0.0,0.0,17.8,17.8,17.8,0.0,0.0,17.67,17.67,17.67,0.0,0.0,17.8,17.8,17.8,0.0,0.0
2018-09-30,17.52,17.52,17.52,0.0,0.0,17.61,17.61,17.61,0.0,0.0,17.46,17.46,17.46,0.0,0.0,17.61,17.61,17.61,0.0,0.0
2018-10-07,17.3,17.3,17.3,0.0,0.0,17.43,17.43,17.43,0.0,0.0,17.3,17.3,17.3,0.0,0.0,17.34,17.34,17.34,0.0,0.0
2018-10-14,17.06,17.06,17.06,0.0,0.0,17.12,17.12,17.12,0.0,0.0,17.05,17.05,17.05,0.0,0.0,17.11,17.11,17.11,0.0,0.0
2018-10-21,16.84,16.84,16.84,0.0,0.0,16.89,16.89,16.89,0.0,0.0,16.59,16.59,16.59,0.0,0.0,16.62,16.62,16.62,0.0,0.0
2018-10-28,16.8,16.8,16.8,0.0,0.0,16.8,16.8,16.8,0.0,0.0,16.75,16.75,16.75,0.0,0.0,16.8,16.8,16.8,0.0,0.0
2018-11-04,16.57,16.57,16.57,0.0,0.0,16.63,16.63,16.63,0.0,0.0,16.54,16.54,16.54,0.0,0.0,16.63,16.63,16.63,0.0,0.0
2018-11-11,16.42,16.42,16.42,0.0,0.0,16.42,16.42,16.42,0.0,0.0,16.29,16.29,16.29,0.0,0.0,16.29,16.29,16.29,0.0,0.0
2018-11-18,16.2,16.2,16.2,0.0,0.0,16.2,16.2,16.2,0.0,0.0,15.95,15.95,15.95,0.0,0.0,16.06,16.06,16.06,0.0,0.0
2018-11-25,15.95,15.95,15.95,0.0,0.0,15.95,15.95,15.95,0.0,0.0,15.8,15.8,15.8,0.0,0.0,15.85,15.85,15.85,0.0,0.0
2018-12-02,15.23,15.23,15.23,0.0,0.0,15.26,15.26,15.26,0.0,0.0,15.01,15.01,15.01,0.0,0.0,15.04,15.04,15.04,0.0,0.0
2018-12-09,15.35,15.35,15.35,0.0,0.0,15.42,15.42,15.42,0.0,0.0,15.23,15.23,15.23,0.0,0.0,15.23,15.23,15.23,0.0,0.0
2018-12-16,14.82,14.82,14.82,0.0,0.0,14.82,14.82,14.82,0.0,0.0,14.45,14.45,14.45,0.0,0.0,14.53,14.53,14.53,0.0,0.0
2018-12-23,14.77,14.77,14.77,0.0,0.0,15.21,15.21,15.21,0.0,0.0,14.77,14.77,14.77,0.0,0.0,15.11,15.11,15.11,0.0,0.0
2018-12-30,15.38,15.38,15.38,0.0,0.0,15.66,15.66,15.66,0.0,0.0,15.38,15.38,15.38,0.0,0.0,15.64,15.64,15.64,0.0,0.0
2019-01-06,16.14,16.14,16.14,0.0,0.0,16.14,16.14,16.14,0.0,0.0,15.86,15.86,15.86,0.0,0.0,15.99,15.99,15.99,0.0,0.0
2019-01-13,16.03,16.03,16.03,0.0,0.0,16.03,16.03,16.03,0.0,0.0,15.86,15.86,15.86,0.0,0.0,15.89,15.89,15.89,0.0,0.0
2019-01-20,15.75,15.75,15.75,0.0,0.0,15.75,15.75,15.75,0.0,0.0,15.63,15.63,15.63,0.0,0.0,15.69,15.69,15.69,0.0,0.0
2019-01-27,15.99,15.99,15.99,0.0,0.0,16.1,16.1,16.1,0.0,0.0,15.99,15.99,15.99,0.0,0.0,16.09,16.09,16.09,0.0,0.0
2019-02-03,15.79,15.79,15.79,0.0,0.0,15.86,15.86,15.86,0.0,0.0,15.64,15.64,15.64,0.0,0.0,15.75,15.75,15.75,0.0,0.0
2019-02-10,15.45,15.45,15.45,0.0,0.0,15.48,15.48,15.48,0.0,0.0,15.45,15.45,15.45,0.0,0.0,15.48,15.48,15.48,0.0,0.0
2019-02-17,15.8,15.8,15.8,0.0,0.0,15.8,15.8,15.8,0.0,0.0,15.66,15.66,15.66,0.0,0.0,15.69,15.69,15.69,0.0,0.0
2019-02-24,15.62,15.62,15.62,0.0,0.0,15.63,15.63,15.63,0.0,0.0,15.55,15.55,15.55,0.0,0.0,15.57,15.57,15.57,0.0,0.0
2019-03-03,15.18,15.18,15.18,0.0,0.0,15.3,15.3,15.3,0.0,0.0,15.18,15.18,15.18,0.0,0.0,15.26,15.26,15.26,0.0,0.0
2019-03-10,15.55,15.55,15.55,0.0,0.0,15.55,15.55,15.55,0.0,0.0,15.45,15.45,15.45,0.0,0.0,15.47,15.47,15.47,0.0,0.0
2019-03-17,15.42,15.42,15.42,0.0,0.0,15.45,15.45,15.45,0.0,0.0,15.28,15.28,15.28,0.0,0.0,15.42,15.42,15.42,0.0,0.0
