Date,SPDR S&P Pharmaceuticals_Open_average,SPDR S&P Pharmaceuticals_Open_max,SPDR S&P Pharmaceuticals_Open_min,SPDR S&P Pharmaceuticals_Open_volatility,SPDR S&P Pharmaceuticals_Open_change,SPDR S&P Pharmaceuticals_High_average,SPDR S&P Pharmaceuticals_High_max,SPDR S&P Pharmaceuticals_High_min,SPDR S&P Pharmaceuticals_High_volatility,SPDR S&P Pharmaceuticals_High_change,SPDR S&P Pharmaceuticals_Low_average,SPDR S&P Pharmaceuticals_Low_max,SPDR S&P Pharmaceuticals_Low_min,SPDR S&P Pharmaceuticals_Low_volatility,SPDR S&P Pharmaceuticals_Low_change,SPDR S&P Pharmaceuticals_Close_average,SPDR S&P Pharmaceuticals_Close_max,SPDR S&P Pharmaceuticals_Close_min,SPDR S&P Pharmaceuticals_Close_volatility,SPDR S&P Pharmaceuticals_Close_change
2018-01-14,45.36,45.36,45.36,0.0,0.0,46.33,46.33,46.33,0.0,0.0,45.34,45.34,45.34,0.0,0.0,46.32,46.32,46.32,0.0,0.0
2018-01-21,46.71,46.71,46.71,0.0,0.0,47.11,47.11,47.11,0.0,0.0,46.69,46.69,46.69,0.0,0.0,46.74,46.74,46.74,0.0,0.0
2018-01-28,43.77,43.77,43.77,0.0,0.0,43.77,43.77,43.77,0.0,0.0,42.0,42.0,42.0,0.0,0.0,42.09,42.09,42.09,0.0,0.0
2018-02-04,41.69,41.69,41.69,0.0,0.0,42.26,42.26,42.26,0.0,0.0,41.2,41.2,41.2,0.0,0.0,41.86,41.86,41.86,0.0,0.0
2018-02-11,43.13,43.13,43.13,0.0,0.0,43.74,43.74,43.74,0.0,0.0,43.13,43.13,43.13,0.0,0.0,43.51,43.51,43.51,0.0,0.0
2018-02-18,43.39,43.39,43.39,0.0,0.0,44.02,44.02,44.02,0.0,0.0,43.15,43.15,43.15,0.0,0.0,43.86,43.86,43.86,0.0,0.0
2018-02-25,42.13,42.13,42.13,0.0,0.0,42.82,42.82,42.82,0.0,0.0,42.07,42.07,42.07,0.0,0.0,42.64,42.64,42.64,0.0,0.0
2018-03-04,43.83,43.83,43.83,0.0,0.0,44.03,44.03,44.03,0.0,0.0,43.7,43.7,43.7,0.0,0.0,43.83,43.83,43.83,0.0,0.0
2018-03-11,43.22,43.22,43.22,0.0,0.0,43.4,43.4,43.4,0.0,0.0,42.38,42.38,42.38,0.0,0.0,42.81,42.81,42.81,0.0,0.0
2018-03-18,41.59,41.59,41.59,0.0,0.0,41.75,41.75,41.75,0.0,0.0,40.88,40.88,40.88,0.0,0.0,41.73,41.73,41.73,0.0,0.0
2018-03-25,41.75,41.75,41.75,0.0,0.0,41.77,41.77,41.77,0.0,0.0,40.17,40.17,40.17,0.0,0.0,40.3,40.3,40.3,0.0,0.0
2018-04-01,40.72,40.72,40.72,0.0,0.0,41.52,41.52,41.52,0.0,0.0,40.72,40.72,40.72,0.0,0.0,41.07,41.07,41.07,0.0,0.0
2018-04-08,41.93,41.93,41.93,0.0,0.0,41.93,41.93,41.93,0.0,0.0,41.39,41.39,41.39,0.0,0.0,41.75,41.75,41.75,0.0,0.0
2018-04-15,41.19,41.19,41.19,0.0,0.0,41.34,41.34,41.34,0.0,0.0,40.78,40.78,40.78,0.0,0.0,40.94,40.94,40.94,0.0,0.0
2018-04-22,41.13,41.13,41.13,0.0,0.0,41.15,41.15,41.15,0.0,0.0,40.24,40.24,40.24,0.0,0.0,40.27,40.27,40.27,0.0,0.0
2018-04-29,39.38,39.38,39.38,0.0,0.0,39.71,39.71,39.71,0.0,0.0,39.38,39.38,39.38,0.0,0.0,39.53,39.53,39.53,0.0,0.0
2018-05-06,41.4,41.4,41.4,0.0,0.0,42.23,42.23,42.23,0.0,0.0,41.4,41.4,41.4,0.0,0.0,41.88,41.88,41.88,0.0,0.0
2018-05-13,42.38,42.38,42.38,0.0,0.0,42.43,42.43,42.43,0.0,0.0,41.87,41.87,41.87,0.0,0.0,41.99,41.99,41.99,0.0,0.0
2018-05-20,41.87,41.87,41.87,0.0,0.0,42.13,42.13,42.13,0.0,0.0,41.87,41.87,41.87,0.0,0.0,42.05,42.05,42.05,0.0,0.0
2018-05-27,42.5,42.5,42.5,0.0,0.0,42.5,42.5,42.5,0.0,0.0,41.58,41.58,41.58,0.0,0.0,42.05,42.05,42.05,0.0,0.0
2018-06-03,43.78,43.78,43.78,0.0,0.0,44.11,44.11,44.11,0.0,0.0,43.66,43.66,43.66,0.0,0.0,43.93,43.93,43.93,0.0,0.0
2018-06-10,44.24,44.24,44.24,0.0,0.0,44.43,44.43,44.43,0.0,0.0,44.07,44.07,44.07,0.0,0.0,44.3,44.3,44.3,0.0,0.0
2018-06-17,43.68,43.68,43.68,0.0,0.0,43.88,43.88,43.88,0.0,0.0,43.02,43.02,43.02,0.0,0.0,43.29,43.29,43.29,0.0,0.0
2018-06-24,42.68,42.68,42.68,0.0,0.0,43.15,43.15,43.15,0.0,0.0,42.52,42.52,42.52,0.0,0.0,43.15,43.15,43.15,0.0,0.0
