Date,ClearBridge All Cap Growth_Open_average,ClearBridge All Cap Growth_Open_max,ClearBridge All Cap Growth_Open_min,ClearBridge All Cap Growth_Open_volatility,ClearBridge All Cap Growth_Open_change,ClearBridge All Cap Growth_High_average,ClearBridge All Cap Growth_High_max,ClearBridge All Cap Growth_High_min,ClearBridge All Cap Growth_High_volatility,ClearBridge All Cap Growth_High_change,ClearBridge All Cap Growth_Low_average,ClearBridge All Cap Growth_Low_max,ClearBridge All Cap Growth_Low_min,ClearBridge All Cap Growth_Low_volatility,ClearBridge All Cap Growth_Low_change,ClearBridge All Cap Growth_Close_average,ClearBridge All Cap Growth_Close_max,ClearBridge All Cap Growth_Close_min,ClearBridge All Cap Growth_Close_volatility,ClearBridge All Cap Growth_Close_change
2018-01-14,29.69,29.69,29.69,0.0,0.0,30.0,30.0,30.0,0.0,0.0,29.69,29.69,29.69,0.0,0.0,30.0,30.0,30.0,0.0,0.0
2018-01-21,30.58,30.58,30.58,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.3,30.3,30.3,0.0,0.0,30.3,30.3,30.3,0.0,0.0
2018-01-28,29.32,29.32,29.32,0.0,0.0,29.32,29.32,29.32,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.2,28.2,28.2,0.0,0.0
2018-02-04,28.05,28.05,28.05,0.0,0.0,28.19,28.19,28.19,0.0,0.0,28.03,28.03,28.03,0.0,0.0,28.15,28.15,28.15,0.0,0.0
2018-02-11,28.98,28.98,28.98,0.0,0.0,29.07,29.07,29.07,0.0,0.0,28.93,28.93,28.93,0.0,0.0,28.94,28.94,28.94,0.0,0.0
2018-02-18,29.54,29.54,29.54,0.0,0.0,29.54,29.54,29.54,0.0,0.0,29.34,29.34,29.34,0.0,0.0,29.46,29.46,29.46,0.0,0.0
2018-02-25,28.49,28.49,28.49,0.0,0.0,29.03,29.03,29.03,0.0,0.0,28.49,28.49,28.49,0.0,0.0,29.0,29.0,29.0,0.0,0.0
2018-03-04,29.9,29.9,29.9,0.0,0.0,29.94,29.94,29.94,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.89,29.89,29.89,0.0,0.0
2018-03-11,29.29,29.29,29.29,0.0,0.0,29.29,29.29,29.29,0.0,0.0,29.05,29.05,29.05,0.0,0.0,29.25,29.25,29.25,0.0,0.0
2018-03-18,28.41,28.41,28.41,0.0,0.0,28.55,28.55,28.55,0.0,0.0,28.03,28.03,28.03,0.0,0.0,28.55,28.55,28.55,0.0,0.0
2018-03-25,27.71,27.71,27.71,0.0,0.0,27.75,27.75,27.75,0.0,0.0,27.41,27.41,27.41,0.0,0.0,27.57,27.57,27.57,0.0,0.0
2018-04-01,28.29,28.29,28.29,0.0,0.0,28.29,28.29,28.29,0.0,0.0,28.27,28.27,28.27,0.0,0.0,28.27,28.27,28.27,0.0,0.0
2018-04-08,28.77,28.77,28.77,0.0,0.0,28.77,28.77,28.77,0.0,0.0,28.7,28.7,28.7,0.0,0.0,28.76,28.76,28.76,0.0,0.0
2018-04-15,29.04,29.04,29.04,0.0,0.0,29.04,29.04,29.04,0.0,0.0,28.97,28.97,28.97,0.0,0.0,29.02,29.02,29.02,0.0,0.0
2018-04-22,29.07,29.07,29.07,0.0,0.0,29.07,29.07,29.07,0.0,0.0,28.71,28.71,28.71,0.0,0.0,28.71,28.71,28.71,0.0,0.0
2018-04-29,28.65,28.65,28.65,0.0,0.0,28.88,28.88,28.88,0.0,0.0,28.65,28.65,28.65,0.0,0.0,28.8,28.8,28.8,0.0,0.0
2018-05-06,29.65,29.65,29.65,0.0,0.0,29.71,29.71,29.71,0.0,0.0,29.48,29.48,29.48,0.0,0.0,29.5,29.5,29.5,0.0,0.0
2018-05-13,29.82,29.82,29.82,0.0,0.0,29.82,29.82,29.82,0.0,0.0,29.67,29.67,29.67,0.0,0.0,29.68,29.68,29.68,0.0,0.0
2018-05-20,29.49,29.49,29.49,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.46,29.46,29.46,0.0,0.0,29.46,29.46,29.46,0.0,0.0
2018-05-27,29.93,29.93,29.93,0.0,0.0,29.96,29.96,29.96,0.0,0.0,29.87,29.87,29.87,0.0,0.0,29.96,29.96,29.96,0.0,0.0
2018-06-03,30.44,30.44,30.44,0.0,0.0,30.55,30.55,30.55,0.0,0.0,30.41,30.41,30.41,0.0,0.0,30.5,30.5,30.5,0.0,0.0
2018-06-10,30.5,30.5,30.5,0.0,0.0,30.65,30.65,30.65,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.65,30.65,30.65,0.0,0.0
2018-06-17,30.0,30.0,30.0,0.0,0.0,30.0,30.0,30.0,0.0,0.0,29.59,29.59,29.59,0.0,0.0,29.78,29.78,29.78,0.0,0.0
2018-06-24,29.64,29.64,29.64,0.0,0.0,29.8,29.8,29.8,0.0,0.0,29.62,29.62,29.62,0.0,0.0,29.79,29.79,29.79,0.0,0.0
