Date,MTOR_Open_average,MTOR_Open_max,MTOR_Open_volatility,MTOR_Open_change,MTOR_High_average,MTOR_High_max,MTOR_High_volatility,MTOR_High_change,MTOR_Low_average,MTOR_Low_max,MTOR_Low_volatility,MTOR_Low_change,MTOR_Close_average,MTOR_Close_max,MTOR_Close_volatility,MTOR_Close_change,MTOR_Volume_average,MTOR_Volume_max,MTOR_Volume_volatility,MTOR_Volume_change
2016-05-08,8.13,8.26,0.2599999999999998,-0.09999999999999964,8.332,8.51,0.27999999999999936,-0.07000000000000028,8.016,8.12,0.16999999999999904,-0.02999999999999936,8.116,8.25,0.2599999999999998,-0.11999999999999922,774245,921560,208651,-208651
2016-05-15,8.030000000000001,8.13,0.2400000000000011,0.0,8.26,8.39,0.33000000000000007,-0.030000000000001137,7.96,8.08,0.33000000000000007,-0.009999999999999787,8.102,8.23,0.3800000000000008,0.040000000000000924,997430,1314651,627668,354748
2016-05-22,8.545,8.75,0.40000000000000036,0.20000000000000107,8.682500000000001,8.83,0.3800000000000008,0.2900000000000009,8.43,8.53,0.33999999999999986,0.33999999999999986,8.6025,8.7,0.2699999999999996,0.2699999999999996,982230,1338266,668104,151015
2016-05-29,8.726,8.78,0.09999999999999964,-0.030000000000001137,8.906,9.0,0.22000000000000064,0.0600000000000005,8.63,8.73,0.20000000000000107,-0.040000000000000924,8.822,8.95,0.27999999999999936,0.10999999999999943,705195,823293,234597,-130465
2016-06-05,8.736,9.0,0.7200000000000006,-0.6400000000000006,8.816,9.13,0.6699999999999999,-0.5399999999999991,8.548,8.83,0.6300000000000008,-0.6300000000000008,8.656,8.95,0.629999999999999,-0.629999999999999,948473,1068911,263490,-170931
2016-06-12,8.428,8.84,0.5899999999999999,0.5899999999999999,8.608,8.94,0.629999999999999,0.5499999999999989,8.352,8.76,0.6500000000000004,0.5999999999999996,8.492,8.77,0.46999999999999886,0.4399999999999995,884999,1199967,566198,-566198
2016-06-19,8.446,8.82,1.0600000000000005,-0.9800000000000004,8.526,8.88,0.9800000000000004,-0.8399999999999999,8.184,8.74,1.6100000000000003,-1.3600000000000003,8.246,8.85,1.7199999999999998,-1.4699999999999998,1044941,2102705,1597771,887064
2016-06-26,6.97,7.31,0.75,0.33999999999999986,7.2524999999999995,7.57,0.47000000000000064,0.4400000000000004,6.745,7.29,0.9900000000000002,0.9900000000000002,7.0275,7.46,1.0199999999999996,1.0199999999999996,2299186,4562367,3317050,-3317050
2016-07-03,7.178,7.46,0.6600000000000001,0.11000000000000032,7.38,7.7,0.71,0.3100000000000005,6.9959999999999996,7.46,0.8200000000000003,0.7599999999999998,7.214,7.61,0.6900000000000004,0.6900000000000004,761164,1004393,445389,-445389
2016-07-10,7.848,7.99,0.25,-0.05999999999999961,7.992,8.09,0.22999999999999954,-0.07000000000000028,7.704,7.8,0.20999999999999996,-0.09999999999999964,7.846,7.99,0.25,0.07000000000000028,694833,1079649,749714,-345693
2016-07-17,7.916,8.08,0.4500000000000002,0.20999999999999996,8.05,8.17,0.29000000000000004,0.23000000000000043,7.774,7.96,0.5,0.3099999999999996,7.942,8.1,0.4299999999999997,0.33999999999999986,656246,1215625,770808,47254
2016-07-24,8.298,8.54,0.46999999999999886,0.27999999999999936,8.488,8.68,0.28999999999999915,0.03999999999999915,8.18,8.39,0.3200000000000003,0.08999999999999986,8.372,8.68,0.4599999999999991,-0.1399999999999988,928788,1428238,883114,-247751
2016-07-31,9.18,10.1,1.8899999999999988,1.8899999999999988,9.716,10.43,2.1999999999999993,2.1999999999999993,9.074,10.07,2.1900000000000004,2.1900000000000004,9.508,10.33,2.4000000000000004,2.4000000000000004,1583434,3419891,2754966,-419465
2016-08-07,10.244,10.29,0.15999999999999837,0.009999999999999787,10.572000000000001,11.14,0.8600000000000012,0.7200000000000006,10.17,10.29,0.20999999999999908,0.11999999999999922,10.362,10.9,0.7100000000000009,0.7100000000000009,1030501,1619522,924924,667956
2016-08-14,10.834,11.15,0.5700000000000003,-0.3200000000000003,11.022,11.38,0.6600000000000001,-0.6600000000000001,10.62,10.85,0.40000000000000036,-0.40000000000000036,10.786,11.15,0.5500000000000007,-0.5500000000000007,1152438,1550584,876886,-463488
2016-08-21,10.938,11.07,0.3100000000000005,0.02000000000000135,11.126,11.25,0.3000000000000007,-0.07000000000000028,10.824,10.95,0.1999999999999993,0.11999999999999922,10.94,11.06,0.25,0.08999999999999986,635436,1030249,533295,-521651
2016-08-28,11.067499999999999,11.12,0.11999999999999922,0.03999999999999915,11.315,11.37,0.1399999999999988,-0.1399999999999988,10.905,11.0,0.2699999999999996,-0.05000000000000071,11.11,11.17,0.1899999999999995,0.02999999999999936,654359,1084594,634495,-27844
2016-09-04,11.052,11.25,0.7400000000000002,-0.7000000000000011,11.228,11.39,0.41000000000000014,-0.3699999999999992,10.862,11.12,0.6599999999999984,-0.6099999999999994,11.054,11.29,0.629999999999999,-0.2400000000000002,615562,898714,507470,190992
2016-09-11,10.668,10.79,0.1999999999999993,0.08999999999999986,10.824,10.89,0.17999999999999972,0.040000000000000924,10.522,10.65,0.3000000000000007,0.20000000000000107,10.688,10.76,0.16000000000000014,0.16000000000000014,616494,929555,480280,44551
2016-09-18,10.84,11.02,0.3699999999999992,-0.13000000000000078,10.968,11.25,0.5299999999999994,-0.11999999999999922,10.696,10.91,0.35999999999999943,-0.03999999999999915,10.786,11.11,0.5499999999999989,-0.03999999999999915,419055,546754,231678,181961
2016-09-25,10.786,11.19,0.6600000000000001,0.6600000000000001,10.969999999999999,11.19,0.5700000000000003,0.5700000000000003,10.614,10.89,0.47000000000000064,0.47000000000000064,10.856,11.13,0.5600000000000005,0.5,511700,890147,562246,211793
2016-10-02,11.026,11.12,0.35999999999999943,-0.08000000000000007,11.258,11.7,0.5999999999999996,0.5,10.818,11.04,0.34999999999999964,0.34999999999999964,11.072000000000001,11.51,0.7599999999999998,0.7599999999999998,583895,851783,552369,49367
2016-10-09,11.038,11.51,0.7899999999999991,-0.7899999999999991,11.136,11.53,0.7400000000000002,-0.7400000000000002,10.842,11.09,0.47000000000000064,-0.47000000000000064,10.894,11.17,0.5500000000000007,-0.5,525622,599145,188516,-333
2016-10-16,10.732,10.92,0.34999999999999964,-0.17999999999999972,10.92,11.04,0.22999999999999865,0.07000000000000028,10.565999999999999,10.62,0.09999999999999964,0.09999999999999964,10.7,10.91,0.35999999999999943,0.129999999999999,588518,857852,494648,-153712
2016-10-23,10.398,10.64,0.4400000000000013,-0.23000000000000043,10.552,10.75,0.3200000000000003,-0.3200000000000003,10.256,10.31,0.17999999999999972,0.0,10.35,10.45,0.16999999999999993,-0.030000000000001137,685121,1044502,646403,-315181
2016-10-30,10.208,10.39,0.47000000000000064,-0.009999999999999787,10.326,10.45,0.23999999999999844,0.05999999999999872,9.986,10.2,0.35999999999999943,0.35999999999999943,10.14,10.38,0.40000000000000036,0.13000000000000078,624811,1075458,682973,-363796
2016-11-06,10.966,11.98,1.700000000000001,1.700000000000001,11.394,12.57,2.16,2.16,10.85,11.75,1.6300000000000008,1.6300000000000008,11.225999999999999,11.99,1.6300000000000008,1.6300000000000008,1324234,1710110,1238488,900798
2016-11-13,12.112,12.46,0.9000000000000004,0.4599999999999991,12.424,12.62,0.5099999999999998,0.33999999999999986,11.848,12.21,0.870000000000001,0.41000000000000014,12.262,12.43,0.41000000000000014,0.33999999999999986,1741657,2822202,1825164,-298761
2016-11-20,12.7375,12.98,0.4900000000000002,0.4399999999999995,12.955,13.13,0.46000000000000085,0.34999999999999964,12.575,12.72,0.3500000000000014,0.2900000000000009,12.81,12.98,0.3800000000000008,0.08999999999999986,1035227,1689762,1199881,-778529
2016-11-27,12.784,12.84,0.16999999999999993,0.15000000000000036,13.004,13.38,0.6600000000000001,0.6600000000000001,12.546,12.78,0.5599999999999987,0.27999999999999936,12.72,12.94,0.3200000000000003,0.29999999999999893,1303696,1889691,927078,307503
2016-12-04,13.098,13.33,0.4299999999999997,0.35999999999999943,13.224,13.34,0.379999999999999,0.35999999999999943,12.902,13.07,0.2900000000000009,0.08999999999999986,13.098,13.28,0.3999999999999986,0.1999999999999993,981424,1469593,976245,-388567
2016-12-11,12.894,13.18,0.6199999999999992,-0.4599999999999991,13.13,13.25,0.33999999999999986,-0.33999999999999986,12.702,12.9,0.33999999999999986,-0.28000000000000114,12.874,13.07,0.33000000000000007,-0.33000000000000007,1009800,1596194,999213,-179765
2016-12-18,12.775,12.95,0.3099999999999987,-0.009999999999999787,12.9275,13.0,0.2599999999999998,-0.2400000000000002,12.6525,12.78,0.20999999999999908,-0.040000000000000924,12.8025,12.94,0.3099999999999987,-0.22999999999999865,536697,914179,673543,-200696
2016-12-25,12.76,12.96,0.4200000000000017,-0.23000000000000043,12.879999999999999,12.99,0.2900000000000009,-0.2900000000000009,12.5625,12.77,0.3899999999999988,-0.3899999999999988,12.6325,12.84,0.41999999999999993,-0.41999999999999993,486723,597063,247937,215791
2017-01-01,12.991999999999999,13.16,0.46000000000000085,0.41999999999999993,13.188,13.39,0.40000000000000036,0.1899999999999995,12.756,12.85,0.33999999999999986,0.3100000000000005,13.036,13.23,0.40000000000000036,0.15000000000000036,971046,1414845,668446,111020
2017-01-08,13.43,13.69,0.5999999999999996,0.34999999999999964,13.6675,13.73,0.19000000000000128,0.1800000000000015,13.1875,13.42,0.4399999999999995,0.4399999999999995,13.5525,13.66,0.2599999999999998,0.16999999999999993,707421,863016,298383,-298383
2017-01-15,13.714,13.86,0.29999999999999893,0.22999999999999865,13.84,13.93,0.2400000000000002,0.19000000000000128,13.538,13.71,0.370000000000001,0.1899999999999995,13.696,13.85,0.41000000000000014,0.27000000000000135,834971,1050780,364813,17033
2017-01-22,14.65,15.2,1.379999999999999,0.8900000000000006,14.854,15.45,1.0399999999999991,0.3100000000000005,14.31,14.76,0.9399999999999995,0.3200000000000003,14.652,14.99,0.5899999999999999,0.08999999999999986,1283472,2620511,1802397,282054
2017-01-29,15.028,15.66,1.1999999999999993,0.8299999999999983,15.438,15.79,1.2399999999999984,1.0399999999999991,14.728,15.27,1.2199999999999989,1.2199999999999989,15.18,15.54,1.1099999999999994,1.0600000000000005,1795906,2367555,1246344,-139684
2017-02-05,15.696,16.08,0.6199999999999974,0.5299999999999976,15.902000000000001,16.19,0.7000000000000011,0.2900000000000009,15.45,15.77,0.5899999999999999,0.2599999999999998,15.704,15.95,0.46999999999999886,0.40000000000000036,1300990,1818023,942914,-286691
2017-02-12,15.81,15.92,0.1899999999999995,-0.07000000000000028,15.925,15.97,0.13000000000000078,-0.120000000000001,15.5875,15.69,0.1899999999999995,-0.1899999999999995,15.8225,15.91,0.17999999999999972,-0.08999999999999986,880845,1169563,543399,246367
2017-02-19,16.268,16.51,0.6800000000000015,-0.3100000000000023,16.62,16.79,0.4499999999999993,-0.07000000000000028,16.012,16.24,0.5199999999999978,-0.16000000000000014,16.386,16.66,0.5700000000000003,0.14999999999999858,1226691,1658390,732901,-229289
2017-02-26,16.628,16.86,0.41999999999999815,0.0,16.8,17.03,0.38000000000000256,0.030000000000001137,16.352,16.64,0.4499999999999993,0.060000000000002274,16.576,16.94,0.5899999999999999,0.14999999999999858,980309,1227774,431278,-345732
2017-03-05,16.332,16.45,0.25,-0.23000000000000043,16.528,16.65,0.2099999999999973,-0.16000000000000014,16.07,16.27,0.3699999999999992,-0.120000000000001,16.27,16.4,0.389999999999997,0.0,643776,871687,424301,-264895
2017-03-12,16.733999999999998,17.05,0.8500000000000014,0.6400000000000006,16.904,17.15,0.629999999999999,0.4499999999999993,16.560000000000002,16.82,0.8300000000000001,0.6899999999999995,16.792,17.03,0.5400000000000027,0.26000000000000156,747589,1121784,520575,-1472
2017-03-19,16.452,16.86,0.8499999999999979,-0.6899999999999977,16.722,16.92,0.40000000000000213,-0.2700000000000031,16.148,16.39,0.46000000000000085,-0.07000000000000028,16.466,16.64,0.5300000000000011,0.46000000000000085,737943,891842,323543,-154719
2017-03-26,16.838,17.18,0.6600000000000001,0.6600000000000001,17.104,17.2,0.23000000000000043,0.129999999999999,16.568,16.71,0.25,0.00999999999999801,16.9,17.13,0.41000000000000014,-0.26000000000000156,818100,1057012,467676,371173
2017-04-02,16.67,16.82,0.35999999999999943,0.14999999999999858,16.864,17.01,0.3000000000000007,0.3000000000000007,16.488,16.66,0.33000000000000185,0.21000000000000085,16.678,16.82,0.379999999999999,0.23000000000000043,758681,902692,366304,225557
2017-04-09,16.595,17.0,0.8099999999999987,-0.5599999999999987,16.7425,17.11,0.9100000000000001,-0.9100000000000001,16.2525,16.49,0.5499999999999989,-0.5400000000000009,16.4625,17.07,0.9600000000000009,-0.9299999999999997,842689,907157,182217,5891
2017-04-16,16.637999999999998,17.27,1.2300000000000004,1.1400000000000006,16.85,17.39,1.2199999999999989,1.2199999999999989,16.451999999999998,17.04,1.2199999999999989,1.2199999999999989,16.663999999999998,17.36,1.2300000000000004,1.2300000000000004,1066904,1447325,754381,-184091
2017-04-23,17.73,17.89,0.39000000000000057,0.39000000000000057,17.97,18.08,0.28999999999999915,0.120000000000001,17.562,17.69,0.33000000000000185,0.17999999999999972,17.77,17.86,0.3000000000000007,0.23000000000000043,966616,1204206,529936,-207390
2017-04-30,17.34,17.78,0.8000000000000007,-0.8000000000000007,17.612,18.29,1.1899999999999977,-0.9899999999999984,17.022,17.56,0.7399999999999984,-0.7399999999999984,17.216,17.78,0.8100000000000023,-0.8100000000000023,1439823,1808875,697620,-444323
2017-05-07,16.926,17.07,0.33000000000000185,-0.2799999999999976,17.088,17.25,0.4800000000000004,-0.030000000000001137,16.668,16.88,0.41999999999999815,-0.129999999999999,16.898,17.09,0.6000000000000014,-0.019999999999999574,1005384,1214772,415047,-90465
2017-05-14,16.422,17.16,1.1600000000000001,-0.9200000000000017,16.528,17.16,1.0199999999999996,-0.8900000000000006,16.06,16.72,1.009999999999998,-0.879999999999999,16.236,17.02,1.1099999999999994,-0.9400000000000013,1142993,1420150,862387,-851796
2017-05-21,16.122500000000002,16.19,0.19000000000000128,-0.19000000000000128,16.2025,16.26,0.1700000000000017,-0.120000000000001,15.8575,15.91,0.09999999999999964,-0.09999999999999964,16.0575,16.15,0.14999999999999858,-0.14999999999999858,859948,1125998,383133,-35664
2017-05-28,15.786,16.02,0.3899999999999988,-0.22000000000000064,15.928,16.17,0.5000000000000018,-0.22000000000000064,15.434000000000001,15.64,0.6699999999999999,-0.17999999999999972,15.664,16.02,0.5999999999999996,-0.17999999999999972,1087518,1168272,243685,-93564
2017-06-04,15.914,16.22,0.9399999999999995,0.9399999999999995,16.188,16.41,0.4900000000000002,0.3100000000000005,15.762,16.07,0.8599999999999994,0.6499999999999986,16.08,16.23,0.3800000000000008,0.3100000000000005,752105,959097,315803,-235048
2017-06-11,16.022,16.34,0.7200000000000006,-0.19000000000000128,16.228,16.37,0.3500000000000014,-0.05000000000000071,15.836,16.07,0.5700000000000003,-0.07000000000000028,16.098,16.32,0.4299999999999997,-0.07000000000000028,739117,804362,206279,-84765
2017-06-18,15.774000000000001,16.12,0.5400000000000009,-0.45000000000000107,15.91,16.18,0.5199999999999996,-0.27999999999999936,15.546,15.78,0.33000000000000007,-0.2599999999999998,15.644,15.79,0.25,-0.0799999999999983,472718,558745,223284,-44895
2017-06-25,16.184,16.69,0.9600000000000009,0.9600000000000009,16.49,16.98,1.25,1.25,16.032,16.69,1.2300000000000004,1.2300000000000004,16.338,16.87,1.3300000000000018,1.3300000000000018,778531,1027942,690751,-522467
2017-07-02,16.759999999999998,16.85,0.19000000000000128,-0.0400000000000027,16.9575,17.09,0.25,0.10000000000000142,16.59,16.7,0.21999999999999886,-0.019999999999999574,16.8475,16.99,0.3299999999999983,0.16000000000000014,772614,916308,296486,81813
2017-07-09,17.642,18.03,1.0500000000000007,1.0500000000000007,17.98,18.19,0.6400000000000006,0.6400000000000006,17.598,17.94,0.9600000000000009,0.9600000000000009,17.818,18.02,0.48999999999999844,0.41999999999999815,920317,1583153,1165961,-237631
2017-07-16,17.932,18.13,0.379999999999999,-0.03999999999999915,18.07,18.4,0.48999999999999844,0.0,17.73,17.89,0.370000000000001,0.17999999999999972,17.898,18.04,0.259999999999998,0.010000000000001563,753893,1563367,1124516,-117328
2017-07-23,17.756,18.09,0.7100000000000009,-0.7100000000000009,17.806,18.13,0.7099999999999973,-0.6600000000000001,17.45,17.87,0.8000000000000007,-0.6400000000000006,17.568,18.04,0.7799999999999976,-0.759999999999998,654476,1010977,599314,428569
2017-07-30,18.168,18.77,1.3099999999999987,0.5999999999999979,18.445999999999998,19.0,1.5300000000000011,1.5300000000000011,17.726,18.05,1.2699999999999996,1.2699999999999996,18.068,18.92,1.7800000000000011,1.7800000000000011,2013360,2664668,1317899,791235
2017-08-06,18.836,19.18,0.8999999999999986,-0.0400000000000027,19.198,19.61,0.8900000000000006,-0.41000000000000014,18.64,19.13,1.0299999999999976,-0.120000000000001,18.956,19.26,0.6700000000000017,-0.18000000000000327,1170431,1666632,745053,-619130
2017-08-13,18.88,19.08,0.7099999999999973,-0.0799999999999983,19.088,19.23,0.25,-0.04999999999999716,18.586000000000002,18.96,0.6600000000000001,-0.33999999999999986,18.78,19.02,0.5999999999999979,-0.48999999999999844,1208382,1406289,499864,426407
2017-08-20,18.652,19.0,0.5899999999999999,0.46000000000000085,18.77,19.0,0.35999999999999943,0.33999999999999986,18.508,18.73,0.35999999999999943,0.35999999999999943,18.66,18.83,0.3299999999999983,0.28999999999999915,856255,1305659,785514,280824
2017-08-27,19.405,19.89,1.2800000000000011,1.2800000000000011,19.8625,20.44,1.1300000000000026,1.1300000000000026,19.36,19.89,1.2899999999999991,1.2899999999999991,19.73,20.11,0.8299999999999983,0.8299999999999983,1117789,1387483,486257,317841
2017-09-03,20.328,21.0,1.1000000000000014,0.6700000000000017,20.706,21.6,1.4800000000000004,1.0300000000000011,20.024,20.9,1.1999999999999993,0.8599999999999994,20.368,21.09,1.1499999999999986,0.8999999999999986,1762004,2806713,1731881,885515
2017-09-10,22.292,24.57,3.219999999999999,3.1900000000000013,22.983999999999998,25.93,4.32,4.32,21.966,23.56,2.3299999999999983,2.3299999999999983,22.502,24.35,2.900000000000002,2.900000000000002,2867198,6685512,5051504,4329294
2017-09-17,25.442,26.4,1.3999999999999986,1.3999999999999986,26.138,26.91,1.3999999999999986,0.8200000000000003,25.12,25.92,1.5600000000000023,1.2000000000000028,25.756,26.4,1.3200000000000003,0.6600000000000001,3374625,6187694,4711547,-4221529
2017-09-24,26.16,26.64,1.0600000000000023,-0.259999999999998,26.548,26.74,0.4499999999999993,-0.21000000000000085,25.962,26.18,0.6000000000000014,-0.1999999999999993,26.33,26.61,0.5999999999999979,0.14999999999999858,2127988,2359391,605170,11609
2017-10-01,26.516000000000002,26.67,0.360000000000003,-0.3000000000000007,26.75,27.03,0.4400000000000013,-0.4400000000000013,26.296,26.54,0.48999999999999844,-0.48999999999999844,26.408,26.61,0.34999999999999787,-0.34999999999999787,1503857,2188338,1280906,-1256583
2017-10-08,26.044,26.45,0.9499999999999993,-0.46999999999999886,26.308,26.45,0.28999999999999915,-0.10999999999999943,25.794,26.11,0.9199999999999982,-0.1999999999999993,26.094,26.28,0.5,0.0400000000000027,1174388,1576547,950244,818326
2017-10-15,26.218,26.42,0.46000000000000085,0.120000000000001,26.382,26.63,0.41999999999999815,0.17999999999999972,25.922,26.18,0.509999999999998,0.28000000000000114,26.148,26.48,0.5300000000000011,0.1999999999999993,977572,1118520,283623,-109718
2017-10-22,26.176,26.5,0.5300000000000011,-0.23000000000000043,26.398,26.58,0.5,-0.5,25.69,26.14,1.0100000000000016,-0.6900000000000013,26.044,26.31,0.7300000000000004,-0.7000000000000028,1091141,1411006,638134,258800
2017-10-29,26.262,26.69,1.0300000000000011,1.0300000000000011,26.814,27.96,1.8000000000000007,0.5700000000000003,25.928,26.62,1.0100000000000016,0.10000000000000142,26.346,26.75,0.7399999999999984,0.2099999999999973,1421878,2815641,2009695,89154
2017-11-05,25.83,26.16,0.6400000000000006,-0.39000000000000057,26.234,26.8,0.9499999999999993,-0.7800000000000011,25.625999999999998,26.13,0.7399999999999984,-0.5500000000000007,25.928,26.29,0.7100000000000009,-0.3299999999999983,1116119,1545462,660293,602153
2017-11-12,24.951999999999998,26.25,2.780000000000001,-1.9299999999999997,25.278,26.44,2.530000000000001,-1.2699999999999996,24.124,25.6,2.4400000000000013,-1.740000000000002,24.63,25.78,2.0700000000000003,-1.0800000000000018,2526461,3926944,2485912,-80504
2017-11-19,24.2925,24.81,0.7799999999999976,-0.5299999999999976,24.555,25.02,0.7199999999999989,-0.5300000000000011,23.9725,24.2,0.3299999999999983,0.2699999999999996,24.177500000000002,24.32,0.28999999999999915,0.21999999999999886,1503785,2587442,1941763,772182
2017-11-26,24.98,25.21,0.7699999999999996,0.7399999999999984,25.322,25.43,0.3099999999999987,-0.03999999999999915,24.432,24.91,0.8999999999999986,-0.010000000000001563,24.856,25.28,1.0,-1.0,1423482,2134541,1080570,-907605
2017-12-03,24.14,24.25,0.1999999999999993,-0.029999999999997584,24.528,24.95,0.879999999999999,-0.6999999999999993,23.572,23.94,1.0400000000000027,-0.9000000000000021,23.838,24.4,1.1999999999999993,-1.1999999999999993,1709179,2314887,1305644,901822
2017-12-10,23.266000000000002,23.57,0.8000000000000007,-0.03999999999999915,23.8,24.42,1.1700000000000017,0.490000000000002,23.06,23.43,0.9100000000000001,-0.03999999999999915,23.292,23.68,1.009999999999998,0.08999999999999986,1693797,2349120,1312443,87251
2017-12-17,24.0525,24.2,0.3200000000000003,0.14000000000000057,24.2025,24.27,0.129999999999999,-0.120000000000001,23.78,23.84,0.16999999999999815,0.16999999999999815,23.947499999999998,24.14,0.33000000000000185,0.07000000000000028,777015,1123369,650022,-338389
2017-12-24,23.885,23.94,0.10000000000000142,-0.019999999999999574,23.9525,24.02,0.10999999999999943,-0.030000000000001137,23.6,23.67,0.23000000000000043,-0.2099999999999973,23.735,23.86,0.3999999999999986,-0.39000000000000057,1018944,1468283,698329,-211216
