Date,VanEck Vectors Unconventional Oil & Gas_Open_average,VanEck Vectors Unconventional Oil & Gas_Open_max,VanEck Vectors Unconventional Oil & Gas_Open_min,VanEck Vectors Unconventional Oil & Gas_Open_volatility,VanEck Vectors Unconventional Oil & Gas_Open_change,VanEck Vectors Unconventional Oil & Gas_High_average,VanEck Vectors Unconventional Oil & Gas_High_max,VanEck Vectors Unconventional Oil & Gas_High_min,VanEck Vectors Unconventional Oil & Gas_High_volatility,VanEck Vectors Unconventional Oil & Gas_High_change,VanEck Vectors Unconventional Oil & Gas_Low_average,VanEck Vectors Unconventional Oil & Gas_Low_max,VanEck Vectors Unconventional Oil & Gas_Low_min,VanEck Vectors Unconventional Oil & Gas_Low_volatility,VanEck Vectors Unconventional Oil & Gas_Low_change,VanEck Vectors Unconventional Oil & Gas_Close_average,VanEck Vectors Unconventional Oil & Gas_Close_max,VanEck Vectors Unconventional Oil & Gas_Close_min,VanEck Vectors Unconventional Oil & Gas_Close_volatility,VanEck Vectors Unconventional Oil & Gas_Close_change
2018-01-14,16.34,16.34,16.34,0.0,0.0,16.73,16.73,16.73,0.0,0.0,16.34,16.34,16.34,0.0,0.0,16.72,16.72,16.72,0.0,0.0
2018-01-21,16.76,16.76,16.76,0.0,0.0,16.76,16.76,16.76,0.0,0.0,16.47,16.47,16.47,0.0,0.0,16.48,16.48,16.48,0.0,0.0
2018-01-28,15.12,15.12,15.12,0.0,0.0,15.4,15.4,15.4,0.0,0.0,14.81,14.81,14.81,0.0,0.0,14.9,14.9,14.9,0.0,0.0
2018-02-04,14.15,14.15,14.15,0.0,0.0,14.4,14.4,14.4,0.0,0.0,14.13,14.13,14.13,0.0,0.0,14.32,14.32,14.32,0.0,0.0
2018-02-11,14.55,14.55,14.55,0.0,0.0,14.75,14.75,14.75,0.0,0.0,14.52,14.52,14.52,0.0,0.0,14.52,14.52,14.52,0.0,0.0
2018-02-18,14.85,14.85,14.85,0.0,0.0,14.87,14.87,14.87,0.0,0.0,14.73,14.73,14.73,0.0,0.0,14.82,14.82,14.82,0.0,0.0
2018-02-25,14.26,14.26,14.26,0.0,0.0,14.67,14.67,14.67,0.0,0.0,14.26,14.26,14.26,0.0,0.0,14.64,14.64,14.64,0.0,0.0
2018-03-04,14.57,14.57,14.57,0.0,0.0,14.67,14.67,14.67,0.0,0.0,14.48,14.48,14.48,0.0,0.0,14.55,14.55,14.55,0.0,0.0
2018-03-11,14.4,14.4,14.4,0.0,0.0,14.42,14.42,14.42,0.0,0.0,14.08,14.08,14.08,0.0,0.0,14.15,14.15,14.15,0.0,0.0
2018-03-18,149.0,149.0,149.0,0.0,0.0,150.07,150.07,150.07,0.0,0.0,147.11,147.11,147.11,0.0,0.0,150.0,150.0,150.0,0.0,0.0
2018-03-25,147.1,147.1,147.1,0.0,0.0,147.1,147.1,147.1,0.0,0.0,141.05,141.05,141.05,0.0,0.0,143.7,143.7,143.7,0.0,0.0
2018-04-01,147.2,147.2,147.2,0.0,0.0,148.89,148.89,148.89,0.0,0.0,146.5,146.5,146.5,0.0,0.0,146.7,146.7,146.7,0.0,0.0
2018-04-08,157.5,157.5,157.5,0.0,0.0,158.9,158.9,158.9,0.0,0.0,157.0,157.0,157.0,0.0,0.0,158.1,158.1,158.1,0.0,0.0
2018-04-15,161.1,161.1,161.1,0.0,0.0,163.5,163.5,163.5,0.0,0.0,160.2,160.2,160.2,0.0,0.0,163.4,163.4,163.4,0.0,0.0
2018-04-22,164.2,164.2,164.2,0.0,0.0,166.2,166.2,166.2,0.0,0.0,163.93,163.93,163.93,0.0,0.0,164.9,164.9,164.9,0.0,0.0
2018-04-29,164.8,164.8,164.8,0.0,0.0,168.2,168.2,168.2,0.0,0.0,163.8,163.8,163.8,0.0,0.0,163.9,163.9,163.9,0.0,0.0
2018-05-06,170.5,170.5,170.5,0.0,0.0,171.7,171.7,171.7,0.0,0.0,170.5,170.5,170.5,0.0,0.0,171.3,171.3,171.3,0.0,0.0
2018-05-13,177.0,177.0,177.0,0.0,0.0,178.3,178.3,178.3,0.0,0.0,176.1,176.1,176.1,0.0,0.0,178.1,178.1,178.1,0.0,0.0
2018-05-20,166.2,166.2,166.2,0.0,0.0,166.2,166.2,166.2,0.0,0.0,162.21,162.21,162.21,0.0,0.0,165.5,165.5,165.5,0.0,0.0
2018-05-27,168.3,168.3,168.3,0.0,0.0,169.0,169.0,169.0,0.0,0.0,163.8,163.8,163.8,0.0,0.0,164.0,164.0,164.0,0.0,0.0
2018-06-03,167.0,167.0,167.0,0.0,0.0,169.7,169.7,169.7,0.0,0.0,167.0,167.0,167.0,0.0,0.0,168.6,168.6,168.6,0.0,0.0
2018-06-10,162.6,162.6,162.6,0.0,0.0,167.9,167.9,167.9,0.0,0.0,162.3,162.3,162.3,0.0,0.0,166.3,166.3,166.3,0.0,0.0
2018-06-17,170.9,170.9,170.9,0.0,0.0,170.9,170.9,170.9,0.0,0.0,165.71,165.71,165.71,0.0,0.0,166.96,166.96,166.96,0.0,0.0
2018-06-24,173.8,173.8,173.8,0.0,0.0,173.8,173.8,173.8,0.0,0.0,170.38,170.38,170.38,0.0,0.0,171.0,171.0,171.0,0.0,0.0
