Date,ProShares Hedge Replication_Open_average,ProShares Hedge Replication_Open_max,ProShares Hedge Replication_Open_min,ProShares Hedge Replication_Open_volatility,ProShares Hedge Replication_Open_change,ProShares Hedge Replication_High_average,ProShares Hedge Replication_High_max,ProShares Hedge Replication_High_min,ProShares Hedge Replication_High_volatility,ProShares Hedge Replication_High_change,ProShares Hedge Replication_Low_average,ProShares Hedge Replication_Low_max,ProShares Hedge Replication_Low_min,ProShares Hedge Replication_Low_volatility,ProShares Hedge Replication_Low_change,ProShares Hedge Replication_Close_average,ProShares Hedge Replication_Close_max,ProShares Hedge Replication_Close_min,ProShares Hedge Replication_Close_volatility,ProShares Hedge Replication_Close_change
2018-01-14,45.98,45.98,45.98,0.0,0.0,45.98,45.98,45.98,0.0,0.0,45.98,45.98,45.98,0.0,0.0,45.98,45.98,45.98,0.0,0.0
2018-01-21,46.23,46.23,46.23,0.0,0.0,46.26,46.26,46.26,0.0,0.0,46.18,46.18,46.18,0.0,0.0,46.25,46.25,46.25,0.0,0.0
2018-01-28,45.52,45.52,45.52,0.0,0.0,45.52,45.52,45.52,0.0,0.0,45.2,45.2,45.2,0.0,0.0,45.2,45.2,45.2,0.0,0.0
2018-02-04,44.95,44.95,44.95,0.0,0.0,45.08,45.08,45.08,0.0,0.0,44.91,44.91,44.91,0.0,0.0,45.04,45.04,45.04,0.0,0.0
2018-02-11,45.45,45.45,45.45,0.0,0.0,45.52,45.52,45.52,0.0,0.0,45.45,45.45,45.45,0.0,0.0,45.51,45.51,45.51,0.0,0.0
2018-02-18,45.61,45.61,45.61,0.0,0.0,45.71,45.71,45.71,0.0,0.0,45.5,45.5,45.5,0.0,0.0,45.71,45.71,45.71,0.0,0.0
2018-02-25,45.22,45.22,45.22,0.0,0.0,45.23,45.23,45.23,0.0,0.0,45.22,45.22,45.22,0.0,0.0,45.23,45.23,45.23,0.0,0.0
2018-03-04,45.67,45.67,45.67,0.0,0.0,45.7,45.7,45.7,0.0,0.0,45.5,45.5,45.5,0.0,0.0,45.6,45.6,45.6,0.0,0.0
2018-03-11,45.41,45.41,45.41,0.0,0.0,45.41,45.41,45.41,0.0,0.0,45.3,45.3,45.3,0.0,0.0,45.33,45.33,45.33,0.0,0.0
2018-03-18,44.95,44.95,44.95,0.0,0.0,45.13,45.13,45.13,0.0,0.0,44.95,44.95,44.95,0.0,0.0,45.13,45.13,45.13,0.0,0.0
2018-03-25,45.09,45.09,45.09,0.0,0.0,45.13,45.13,45.13,0.0,0.0,44.85,44.85,44.85,0.0,0.0,44.85,44.85,44.85,0.0,0.0
2018-04-01,45.07,45.07,45.07,0.0,0.0,45.2,45.2,45.2,0.0,0.0,45.03,45.03,45.03,0.0,0.0,45.03,45.03,45.03,0.0,0.0
2018-04-08,45.26,45.26,45.26,0.0,0.0,45.32,45.32,45.32,0.0,0.0,45.26,45.26,45.26,0.0,0.0,45.32,45.32,45.32,0.0,0.0
2018-04-15,45.33,45.33,45.33,0.0,0.0,45.33,45.33,45.33,0.0,0.0,45.27,45.27,45.27,0.0,0.0,45.32,45.32,45.32,0.0,0.0
2018-04-22,45.37,45.37,45.37,0.0,0.0,45.37,45.37,45.37,0.0,0.0,45.24,45.24,45.24,0.0,0.0,45.31,45.31,45.31,0.0,0.0
2018-04-29,45.35,45.35,45.35,0.0,0.0,45.38,45.38,45.38,0.0,0.0,45.31,45.31,45.31,0.0,0.0,45.34,45.34,45.34,0.0,0.0
2018-05-06,45.74,45.74,45.74,0.0,0.0,45.74,45.74,45.74,0.0,0.0,45.64,45.64,45.64,0.0,0.0,45.64,45.64,45.64,0.0,0.0
2018-05-13,45.69,45.69,45.69,0.0,0.0,45.71,45.71,45.71,0.0,0.0,45.62,45.62,45.62,0.0,0.0,45.69,45.69,45.69,0.0,0.0
2018-05-20,45.61,45.61,45.61,0.0,0.0,45.65,45.65,45.65,0.0,0.0,45.61,45.61,45.61,0.0,0.0,45.61,45.61,45.61,0.0,0.0
2018-05-27,45.71,45.71,45.71,0.0,0.0,45.96,45.96,45.96,0.0,0.0,45.71,45.71,45.71,0.0,0.0,45.93,45.93,45.93,0.0,0.0
