Date,iShares Edge MSCI Min Vol EM_Open_average,iShares Edge MSCI Min Vol EM_Open_max,iShares Edge MSCI Min Vol EM_Open_min,iShares Edge MSCI Min Vol EM_Open_volatility,iShares Edge MSCI Min Vol EM_Open_change,iShares Edge MSCI Min Vol EM_High_average,iShares Edge MSCI Min Vol EM_High_max,iShares Edge MSCI Min Vol EM_High_min,iShares Edge MSCI Min Vol EM_High_volatility,iShares Edge MSCI Min Vol EM_High_change,iShares Edge MSCI Min Vol EM_Low_average,iShares Edge MSCI Min Vol EM_Low_max,iShares Edge MSCI Min Vol EM_Low_min,iShares Edge MSCI Min Vol EM_Low_volatility,iShares Edge MSCI Min Vol EM_Low_change,iShares Edge MSCI Min Vol EM_Close_average,iShares Edge MSCI Min Vol EM_Close_max,iShares Edge MSCI Min Vol EM_Close_min,iShares Edge MSCI Min Vol EM_Close_volatility,iShares Edge MSCI Min Vol EM_Close_change
2018-01-14,64.19,64.19,64.19,0.0,0.0,64.48,64.48,64.48,0.0,0.0,64.03,64.03,64.03,0.0,0.0,64.48,64.48,64.48,0.0,0.0
2018-01-21,64.97,64.97,64.97,0.0,0.0,64.97,64.97,64.97,0.0,0.0,64.7,64.7,64.7,0.0,0.0,64.78,64.78,64.78,0.0,0.0
2018-01-28,62.83,62.83,62.83,0.0,0.0,63.26,63.26,63.26,0.0,0.0,61.11,61.11,61.11,0.0,0.0,61.42,61.42,61.42,0.0,0.0
2018-02-04,60.89,60.89,60.89,0.0,0.0,61.06,61.06,61.06,0.0,0.0,60.38,60.38,60.38,0.0,0.0,60.57,60.57,60.57,0.0,0.0
2018-02-11,62.27,62.27,62.27,0.0,0.0,62.82,62.82,62.82,0.0,0.0,62.27,62.27,62.27,0.0,0.0,62.4,62.4,62.4,0.0,0.0
2018-02-18,62.85,62.85,62.85,0.0,0.0,63.07,63.07,63.07,0.0,0.0,62.5,62.5,62.5,0.0,0.0,62.99,62.99,62.99,0.0,0.0
2018-02-25,60.85,60.85,60.85,0.0,0.0,61.45,61.45,61.45,0.0,0.0,60.71,60.71,60.71,0.0,0.0,61.33,61.33,61.33,0.0,0.0
2018-03-04,62.78,62.78,62.78,0.0,0.0,62.98,62.98,62.98,0.0,0.0,62.72,62.72,62.72,0.0,0.0,62.9,62.9,62.9,0.0,0.0
2018-03-11,62.36,62.36,62.36,0.0,0.0,62.4,62.4,62.4,0.0,0.0,61.85,61.85,61.85,0.0,0.0,62.09,62.09,62.09,0.0,0.0
2018-03-18,61.71,61.71,61.71,0.0,0.0,62.16,62.16,62.16,0.0,0.0,61.3,61.3,61.3,0.0,0.0,62.1,62.1,62.1,0.0,0.0
