Date,iShares Russell Top 200_Open_average,iShares Russell Top 200_Open_max,iShares Russell Top 200_Open_min,iShares Russell Top 200_Open_volatility,iShares Russell Top 200_Open_change,iShares Russell Top 200_High_average,iShares Russell Top 200_High_max,iShares Russell Top 200_High_min,iShares Russell Top 200_High_volatility,iShares Russell Top 200_High_change,iShares Russell Top 200_Low_average,iShares Russell Top 200_Low_max,iShares Russell Top 200_Low_min,iShares Russell Top 200_Low_volatility,iShares Russell Top 200_Low_change,iShares Russell Top 200_Close_average,iShares Russell Top 200_Close_max,iShares Russell Top 200_Close_min,iShares Russell Top 200_Close_volatility,iShares Russell Top 200_Close_change
2018-01-14,64.75,64.75,64.75,0.0,0.0,65.13,65.13,65.13,0.0,0.0,64.75,64.75,64.75,0.0,0.0,65.13,65.13,65.13,0.0,0.0
2018-01-21,66.07,66.07,66.07,0.0,0.0,66.07,66.07,66.07,0.0,0.0,65.73,65.73,65.73,0.0,0.0,65.73,65.73,65.73,0.0,0.0
2018-01-28,63.2,63.2,63.2,0.0,0.0,63.64,63.64,63.64,0.0,0.0,60.71,60.71,60.71,0.0,0.0,61.0,61.0,61.0,0.0,0.0
2018-02-04,60.83,60.83,60.83,0.0,0.0,61.44,61.44,61.44,0.0,0.0,60.61,60.61,60.61,0.0,0.0,61.2,61.2,61.2,0.0,0.0
2018-02-11,62.89,62.89,62.89,0.0,0.0,63.52,63.52,63.52,0.0,0.0,62.89,62.89,62.89,0.0,0.0,63.14,63.14,63.14,0.0,0.0
2018-02-18,63.78,63.78,63.78,0.0,0.0,64.28,64.28,64.28,0.0,0.0,63.78,63.78,63.78,0.0,0.0,64.22,64.22,64.22,0.0,0.0
2018-02-25,61.94,61.94,61.94,0.0,0.0,62.93,62.93,62.93,0.0,0.0,61.94,61.94,61.94,0.0,0.0,62.93,62.93,62.93,0.0,0.0
2018-03-04,64.59,64.59,64.59,0.0,0.0,64.65,64.65,64.65,0.0,0.0,64.27,64.27,64.27,0.0,0.0,64.35,64.35,64.35,0.0,0.0
2018-03-11,63.32,63.32,63.32,0.0,0.0,63.32,63.32,63.32,0.0,0.0,62.25,62.25,62.25,0.0,0.0,62.61,62.61,62.61,0.0,0.0
2018-03-18,60.33,60.33,60.33,0.0,0.0,60.53,60.53,60.53,0.0,0.0,59.82,59.82,59.82,0.0,0.0,60.44,60.44,60.44,0.0,0.0
2018-03-25,60.39,60.39,60.39,0.0,0.0,60.39,60.39,60.39,0.0,0.0,58.6,58.6,58.6,0.0,0.0,59.16,59.16,59.16,0.0,0.0
2018-04-01,60.21,60.21,60.21,0.0,0.0,60.88,60.88,60.88,0.0,0.0,60.21,60.21,60.21,0.0,0.0,60.4,60.4,60.4,0.0,0.0
2018-04-08,61.49,61.49,61.49,0.0,0.0,61.69,61.69,61.69,0.0,0.0,61.33,61.33,61.33,0.0,0.0,61.56,61.56,61.56,0.0,0.0
2018-04-15,61.43,61.43,61.43,0.0,0.0,61.56,61.56,61.56,0.0,0.0,61.14,61.14,61.14,0.0,0.0,61.32,61.32,61.32,0.0,0.0
2018-04-22,61.53,61.53,61.53,0.0,0.0,61.64,61.64,61.64,0.0,0.0,60.9,60.9,60.9,0.0,0.0,60.9,60.9,60.9,0.0,0.0
2018-04-29,61.38,61.38,61.38,0.0,0.0,61.62,61.62,61.62,0.0,0.0,61.38,61.38,61.38,0.0,0.0,61.39,61.39,61.39,0.0,0.0
2018-05-06,63.07,63.07,63.07,0.0,0.0,63.13,63.13,63.13,0.0,0.0,62.86,62.86,62.86,0.0,0.0,62.91,62.91,62.91,0.0,0.0
2018-05-13,62.93,62.93,62.93,0.0,0.0,63.07,63.07,63.07,0.0,0.0,62.87,62.87,62.87,0.0,0.0,62.97,62.97,62.97,0.0,0.0
2018-05-20,62.88,62.88,62.88,0.0,0.0,62.88,62.88,62.88,0.0,0.0,62.66,62.66,62.66,0.0,0.0,62.79,62.79,62.79,0.0,0.0
2018-05-27,63.4,63.4,63.4,0.0,0.0,63.55,63.55,63.55,0.0,0.0,63.36,63.36,63.36,0.0,0.0,63.5,63.5,63.5,0.0,0.0
2018-06-03,64.59,64.59,64.59,0.0,0.0,64.59,64.59,64.59,0.0,0.0,64.26,64.26,64.26,0.0,0.0,64.4,64.4,64.4,0.0,0.0
2018-06-10,63.76,63.76,63.76,0.0,0.0,64.14,64.14,64.14,0.0,0.0,63.7,63.7,63.7,0.0,0.0,64.06,64.06,64.06,0.0,0.0
2018-06-17,63.39,63.39,63.39,0.0,0.0,63.39,63.39,63.39,0.0,0.0,62.37,62.37,62.37,0.0,0.0,62.74,62.74,62.74,0.0,0.0
